,\string0,\string1,\string2,\string3,\string4,\string5,\string6,\string7,\string8,\string9
\string0,0,3.405,2.794,3.961,3.350,4.026,3.627,3.908,2.598,3.284
\string1,3.405,0,0.616,2.183,1.463,1.487,1.300,2.608,2.415,0.796
\string2,2.794,0.616,0,2.310,1.507,1.678,1.494,2.643,2.134,0.929
\string3,3.961,2.183,2.310,0,0.812,3.653,0.884,0.528,1.509,1.418
\string4,3.350,1.463,1.507,0.812,0,2.950,0.368,1.155,1.271,0.667
\string5,4.026,1.487,1.678,3.653,2.950,0,2.770,4.093,3.802,2.283
\string6,3.627,1.300,1.494,0.884,0.368,2.770,0,1.341,1.638,0.567
\string7,3.908,2.608,2.643,0.528,1.155,4.093,1.341,0,1.328,1.817
\string8,2.598,2.415,2.134,1.509,1.271,3.802,1.638,1.328,0,1.727
\string9,3.284,0.796,0.929,1.418,0.667,2.283,0.567,1.817,1.727,0
