id,v0,v1
98,0,0
102,0.051,0.000
164,0.053,0.029
60,0.079,0.126
76,0.333,-0.334
89,-0.473,-0.171
24,-0.214,-0.590
190,-0.554,-0.062
162,0.499,-0.208
56,-0.340,-0.630
148,-0.269,-0.690
170,-0.561,0.122
21,-0.625,-0.247
96,0.577,-0.222
167,0.458,-0.576
70,0.280,-0.965
39,0.064,0.766
191,0.108,0.825
85,-0.966,-0.540
97,-0.076,-1.214
131,-0.659,0.754
12,-0.755,-0.985
87,-0.293,-1.242
91,0.257,-1.223
143,-0.848,0.630
142,1.084,-0.325
101,0.640,0.815
135,-1.155,0.065
145,-0.672,0.861
132,0.209,1.065
64,0.111,1.090
165,0.954,-0.875
69,-0.931,-1.017
27,-0.706,0.924
93,1.137,0.416
184,-0.873,-1.192
161,1.245,0.303
82,-0.624,1.069
19,0.891,-1.115
2,0.986,-1.057
36,0.794,-1.239
141,0.455,1.206
195,0.665,1.130
25,0.490,1.227
8,-1.148,-1.052
121,-1.098,0.842
48,-0.444,-1.548
155,1.438,-0.201
105,-1.451,-0.436
163,0.191,-1.616
137,-1.227,-1.040
88,-1.493,-0.419
189,1.276,0.702
138,-1.537,-0.218
66,1.297,0.708
103,-1.505,0.324
0,-0.323,1.412
99,-1.561,-0.472
146,1.569,-0.104
95,1.498,0.432
154,-1.236,0.948
157,-1.022,1.153
31,0.690,1.366
126,1.192,0.989
72,0.694,1.367
75,1.612,-0.382
171,-0.209,1.529
18,1.465,-0.887
177,-0.721,-1.688
183,-1.601,0.417
30,1.581,-0.676
169,-1.487,-1.022
9,0.413,-1.788
125,1.703,-0.168
116,-0.774,-1.711
104,-1.083,-1.519
181,1.343,-1.190
197,-1.140,1.223
166,1.428,0.930
73,0.341,-1.873
180,-1.386,1.016
194,-1.754,0.258
32,-1.700,-0.731
158,1.327,1.088
4,-0.237,-1.937
140,-1.453,0.966
193,-1.347,-1.384
94,-0.893,-1.754
79,-1.350,-1.396
57,-0.602,-1.883
90,1.349,-1.383
15,-0.659,1.614
49,-0.804,1.558
185,-1.336,1.197
41,0.973,-1.710
113,1.733,0.569
117,-0.195,-2.031
63,1.885,-0.172
192,1.367,-1.436
114,1.462,-1.342
68,0.981,-1.760
176,-1.811,0.554
153,1.222,-1.605
127,-1.921,0.162
1,1.194,-1.637
151,1.096,1.507
67,0.778,1.703
112,1.961,-0.201
52,-1.874,0.570
174,0.683,1.764
188,0.136,-2.134
178,-1.880,-0.849
133,1.365,-1.593
14,1.972,0.248
172,1.688,0.976
6,0.022,-2.198
22,0.935,-1.963
160,-1.060,-1.960
152,0.437,-2.196
62,-0.497,-2.228
198,-1.956,-1.008
115,-1.880,0.947
109,-1.603,-1.600
29,1.381,1.549
65,2.147,-0.043
119,1.157,1.747
150,-1.208,-1.985
47,-1.850,-1.345
23,1.442,1.574
55,1.346,1.686
108,0.185,2.133
42,-1.892,-1.381
139,-1.438,-1.900
159,-1.723,-1.630
156,-0.404,-2.390
149,-1.528,1.580
130,-1.938,-1.385
81,-2.165,-0.901
44,-0.635,-2.374
84,2.090,0.834
50,-0.516,2.145
124,1.869,-1.526
34,-0.945,-2.329
33,0.612,2.202
100,-2.170,0.900
37,-2.382,-0.210
106,0.433,2.256
199,-1.315,-2.157
40,0.369,-2.492
11,-2.337,0.490
35,-2.404,0.173
51,1.903,-1.595
186,-1.066,2.062
110,-1.837,1.481
128,2.430,0.069
38,-2.422,-0.484
77,0.055,2.356
28,-1.387,1.924
134,2.362,0.599
3,-0.802,-2.520
147,-0.995,2.182
17,0.427,-2.603
26,0.424,-2.626
144,2.493,0.341
83,1.657,1.832
58,2.534,0.119
86,1.841,1.657
53,-1.410,2.024
78,-0.199,-2.696
7,-1.308,-2.370
118,2.212,-1.532
107,0.231,2.536
168,-0.158,2.534
196,-0.892,-2.638
59,-2.563,0.675
129,-2.351,1.195
187,-2.183,1.459
179,2.419,-1.274
136,-2.678,0.107
123,1.011,2.429
111,2.684,0.237
16,2.563,-1.033
43,-0.238,-2.964
173,2.578,-1.325
46,2.867,-0.467
175,1.101,2.599
5,2.645,-1.309
71,-2.565,1.346
54,0.153,2.878
74,2.808,-1.100
61,1.040,2.721
80,-2.861,0.832
92,0.264,2.910
10,2.842,-1.110
182,2.941,-0.814
13,0.587,2.906
122,-0.570,-3.135
20,1.443,2.693
120,-3.002,0.893
45,1.106,3.198
