id,v0,v1
0,0,0
1,3.405,0.000
2,2.793,0.072
3,3.307,-2.181
4,3.036,-1.415
5,3.758,1.445
6,3.386,-1.300
7,2.946,-2.567
8,1.838,-1.837
9,3.193,-0.767
10,3.668,1.710
11,-0.073,-2.214
12,1.953,-1.455
13,-0.933,1.480
14,2.065,1.536
15,-0.331,-0.211
16,3.474,1.494
17,3.928,-1.117
18,2.855,0.577
19,2.803,-0.039
20,-0.361,2.151
21,1.350,-1.009
22,3.582,-0.378
23,0.641,1.652
24,1.840,-0.794
25,0.527,0.645
26,3.948,-1.131
27,0.266,-0.561
28,-0.933,-0.725
29,0.637,1.586
30,2.718,0.774
31,0.492,0.886
32,1.305,-2.188
33,-0.291,1.189
34,3.072,-2.224
35,0.182,-2.416
36,2.870,-0.182
37,0.535,-2.567
38,0.762,-2.724
39,0.751,0.058
40,3.803,-1.120
41,3.372,-0.231
42,1.801,-2.649
43,3.956,-1.874
44,3.250,-1.966
45,-0.962,2.074
46,3.103,2.018
47,1.787,-2.596
48,2.596,-1.428
49,-0.345,-0.366
50,-0.743,0.153
51,3.684,0.652
52,0.063,-1.764
53,-1.032,-0.701
54,-1.101,1.079
55,0.498,1.616
56,1.821,-0.925
57,2.826,-1.718
58,2.430,1.981
59,-0.338,-2.334
60,1.330,-0.213
61,-0.565,1.803
62,3.181,-1.778
63,2.402,1.271
64,0.481,0.245
65,2.403,1.563
66,1.352,1.137
67,0.230,1.115
68,3.421,-0.247
69,1.903,-1.627
70,2.396,-0.519
71,-0.940,-2.037
72,0.493,0.890
73,3.237,-0.870
74,3.644,1.684
75,2.467,0.933
76,1.855,-0.191
77,-0.677,0.759
78,3.733,-1.720
79,2.056,-2.170
80,-0.612,-2.530
81,1.250,-2.680
82,0.172,-0.422
83,0.506,1.960
84,1.592,1.902
85,1.461,-1.446
86,0.745,2.046
87,2.389,-1.156
88,1.118,-1.863
89,1.350,-0.840
90,3.247,0.252
91,2.617,-0.655
92,-1.080,1.192
93,1.542,0.863
94,2.580,-1.921
95,1.689,1.194
96,1.864,0.077
97,2.461,-0.949
98,1.408,-0.340
99,1.135,-1.948
100,-0.365,-1.882
101,0.964,0.596
102,1.430,-0.295
103,0.447,-1.544
104,2.286,-1.986
105,1.151,-1.834
106,-0.419,1.053
107,-0.760,0.997
108,-0.419,0.776
109,2.126,-2.488
110,-0.736,-1.325
111,2.392,2.169
112,2.462,1.326
113,1.671,1.465
114,3.261,0.371
115,-0.277,-1.602
116,2.595,-1.795
117,3.140,-1.420
118,3.765,0.957
119,0.360,1.474
120,-0.729,-2.630
121,0.164,-0.948
122,3.960,-2.247
123,-0.317,1.647
124,3.607,0.653
125,2.317,1.110
126,1.053,1.168
127,0.407,-1.988
128,2.428,1.866
129,-0.709,-1.913
130,1.785,-2.692
131,0.439,-0.594
132,0.547,0.322
133,3.442,0.172
134,1.924,2.042
135,0.835,-1.345
136,0.119,-2.691
137,1.792,-1.902
138,0.918,-1.813
139,2.469,-2.474
140,-0.105,-1.211
141,0.531,0.604
142,2.182,0.486
143,0.466,-0.819
144,2.213,2.044
145,0.337,-0.558
146,2.200,1.018
147,-0.989,-0.259
148,1.906,-0.889
149,-0.688,-1.004
150,2.647,-2.306
151,0.547,1.313
152,3.568,-0.927
153,3.389,0.039
154,0.008,-1.024
155,2.228,0.858
156,3.367,-1.767
157,-0.079,-0.741
158,1.025,1.332
159,2.099,-2.609
160,2.690,-2.163
161,1.691,0.909
162,1.816,0.014
163,2.939,-0.889
164,1.406,-0.280
165,2.616,0.124
166,1.212,1.353
167,2.127,-0.186
168,-0.931,0.647
169,1.660,-2.127
170,1.049,-0.789
171,-0.055,0.154
172,1.286,1.606
173,3.743,1.378
174,0.133,1.057
175,-0.429,1.803
176,0.105,-1.715
177,2.597,-1.738
178,1.330,-2.402
179,3.626,1.258
180,-0.119,-1.128
181,3.071,0.332
182,3.447,1.930
183,0.321,-1.588
184,2.086,-1.653
185,-0.259,-1.003
186,-0.913,-0.376
187,-0.871,-1.644
188,3.379,-1.169
189,1.348,1.115
190,1.216,-0.864
191,0.717,0.124
192,3.303,0.244
193,2.047,-2.163
194,0.395,-1.795
195,0.692,0.758
196,3.372,-2.314
197,-0.195,-0.816
198,1.439,-2.541
199,2.753,-2.479
