Head,Tail,Difference
0,0,0
0,1,-4.94715e-13
0,2,9.85878e-13
0,3,2.09166e-12
0,4,-8.68638e-13
0,5,9.77884e-13
0,6,-1.42286e-12
0,7,4.17444e-14
0,8,-2.82441e-13
0,9,7.4607e-13
0,10,-8.10019e-13
0,11,8.59757e-13
0,12,9.76996e-13
0,13,8.84626e-13
0,14,-2.53619e-12
0,15,3.62377e-13
0,16,1.36158e-12
0,17,2.47802e-13
0,18,1.76392e-12
0,19,9.27258e-13
0,20,1.46549e-13
0,21,8.22453e-13
0,22,-5.44453e-13
0,23,2.09344e-12
0,24,1.21769e-12
0,25,2.49112e-12
0,26,-1.39089e-12
0,27,1.42109e-12
0,28,1.16707e-12
0,29,7.67386e-13
0,30,3.73035e-14
0,31,2.70894e-13
0,32,-2.14939e-13
0,33,4.60076e-13
0,34,-1.51257e-12
0,35,1.04716e-12
0,36,3.01981e-13
0,37,-1.25011e-12
0,38,-1.68576e-12
0,39,4.6807e-13
0,40,3.47278e-13
0,41,1.30385e-12
0,42,1.21059e-12
0,43,5.47118e-13
0,44,-9.48575e-13
0,45,6.34159e-13
0,46,-7.21201e-13
0,47,4.08562e-13
0,48,-2.08011e-12
0,49,-7.30083e-13
0,50,2.28706e-12
0,51,-1.23457e-13
0,52,-1.12443e-12
0,53,-8.36664e-13
0,54,-1.68043e-12
0,55,-1.05871e-12
0,56,1.13154e-12
0,57,-2.27995e-12
0,58,8.88178e-16
0,59,-6.75904e-13
0,60,-6.57252e-14
0,61,-2.2915e-13
0,62,2.70006e-13
0,63,4.84945e-13
0,64,6.39488e-13
0,65,1.0969e-12
0,66,-1.65024e-12
0,67,-1.3447e-12
0,68,-1.32694e-12
0,69,4.22773e-13
0,70,6.80345e-13
0,71,-8.18901e-13
0,72,-5.24025e-13
0,73,7.10543e-14
0,74,0
0,75,-8.18901e-13
0,76,-9.64562e-13
0,77,2.55795e-13
0,78,-1.80567e-12
0,79,2.23199e-12
0,80,-5.59552e-13
0,81,-7.30971e-13
0,82,-1.34115e-12
0,83,-2.16005e-12
0,84,2.96652e-13
0,85,-1.17861e-12
0,86,-8.68638e-13
0,87,-5.34683e-13
0,88,3.89022e-13
0,89,5.31131e-13
0,90,1.59872e-13
0,91,-1.42997e-13
0,92,1.11378e-12
0,93,1.12887e-12
0,94,4.44089e-13
0,95,-2.00728e-13
0,96,1.17151e-12
0,97,1.5099e-12
0,98,1.2772e-12
0,99,-7.28306e-14
0,100,-9.46798e-13
0,101,1.0143e-12
0,102,1.31983e-12
0,103,2.24887e-12
0,104,-1.47438e-12
0,105,-5.34683e-13
0,106,1.23279e-12
0,107,-3.57936e-13
0,108,8.10907e-13
0,109,2.00728e-13
0,110,3.42837e-13
0,111,1.44329e-12
0,112,1.3225e-12
0,113,-1.116e-12
0,114,-1.24345e-13
0,115,-6.98108e-13
0,116,7.74492e-13
0,117,-1.41043e-12
0,118,-1.49214e-13
0,119,1.05516e-12
0,120,9.84102e-13
0,121,-1.12799e-12
0,122,-4.63629e-13
0,123,7.37188e-13
0,124,-1.40199e-12
0,125,1.17595e-12
0,126,-1.43174e-12
0,127,-1.21148e-12
0,128,-3.03757e-13
0,129,-6.05738e-13
0,130,-7.27418e-13
0,131,-1.43174e-12
0,132,-1.89626e-12
0,133,-1.30118e-12
0,134,-2.40696e-13
0,135,1.49214e-13
0,136,-1.52767e-13
0,137,-1.9007e-13
0,138,1.77636e-15
0,139,3.41061e-13
0,140,1.43352e-12
0,141,-4.96492e-13
0,142,-3.96128e-13
0,143,-6.2883e-13
0,144,-1.06404e-12
0,145,9.57456e-13
0,146,-2.43627e-12
0,147,-8.98837e-13
0,148,1.07825e-12
0,149,-1.01608e-12
0,150,6.43485e-13
0,151,-1.0747e-12
0,152,-1.06759e-12
0,153,-1.36247e-12
0,154,-1.52411e-12
0,155,-1.08846e-12
0,156,-8.06466e-13
0,157,1.59872e-13
0,158,-4.40536e-13
0,159,-7.37188e-13
0,160,7.2653e-13
0,161,1.75238e-12
0,162,7.30083e-13
0,163,1.70441e-12
0,164,5.31131e-13
0,165,-1.4353e-12
0,166,2.11386e-13
0,167,1.247e-12
0,168,-9.32587e-13
0,169,-6.37712e-13
0,170,3.55271e-13
0,171,-1.21503e-12
0,172,1.2399e-12
0,173,-2.13163e-14
0,174,4.61853e-13
0,175,2.64677e-13
0,176,1.87672e-12
0,177,4.16556e-13
0,178,7.01661e-14
0,179,-1.91847e-13
0,180,-1.09601e-12
0,181,1.36358e-12
0,182,1.7959e-12
0,183,2.32614e-12
0,184,-2.30926e-13
0,185,9.87654e-13
0,186,2.66454e-14
0,187,1.20082e-12
0,188,-2.22045e-12
0,189,6.44818e-13
0,190,-8.70415e-14
0,191,0
0,192,8.13127e-13
0,193,-7.60281e-13
0,194,-1.19282e-12
0,195,-5.18696e-13
0,196,-1.81188e-13
0,197,-2.60147e-12
0,198,8.2423e-13
0,199,3.81917e-14
1,0,-4.94715e-13
1,1,0
1,2,6.21725e-15
1,3,8.88178e-16
1,4,1.9984e-15
1,5,8.88178e-16
1,6,-8.88178e-16
1,7,-3.55271e-15
1,8,-7.10543e-15
1,9,-1.33227e-15
1,10,6.66134e-16
1,11,-7.99361e-15
1,12,-8.88178e-16
1,13,-7.99361e-15
1,14,0
1,15,-2.22045e-15
1,16,-2.66454e-15
1,17,6.9722e-14
1,18,3.81917e-14
1,19,-2.66454e-15
1,20,-1.28786e-14
1,21,-8.88178e-16
1,22,-1.33227e-14
1,23,-8.88178e-15
1,24,4.44089e-15
1,25,8.88178e-16
1,26,-8.88178e-16
1,27,0
1,28,-1.77636e-15
1,29,1.77636e-15
1,30,6.57252e-14
1,31,-8.88178e-16
1,32,-3.88578e-15
1,33,3.55271e-15
1,34,2.66454e-15
1,35,-1.68754e-14
1,36,0
1,37,4.44089e-15
1,38,8.88178e-16
1,39,-8.88178e-16
1,40,-5.32907e-15
1,41,-3.55271e-15
1,42,-2.66454e-15
1,43,-8.88178e-16
1,44,-1.15463e-14
1,45,0
1,46,-2.66454e-15
1,47,-1.77636e-15
1,48,8.88178e-16
1,49,-5.32907e-15
1,50,-3.55271e-15
1,51,4.44089e-15
1,52,3.10862e-15
1,53,2.66454e-15
1,54,-8.88178e-16
1,55,-8.88178e-15
1,56,0
1,57,-8.88178e-16
1,58,0
1,59,-3.33067e-16
1,60,1.77636e-15
1,61,-6.21725e-15
1,62,-8.88178e-16
1,63,-8.88178e-16
1,64,-8.88178e-16
1,65,-1.77636e-15
1,66,-8.88178e-16
1,67,8.88178e-16
1,68,1.77636e-15
1,69,1.77636e-14
1,70,-2.66454e-15
1,71,-1.77636e-15
1,72,5.32907e-15
1,73,-7.37188e-14
1,74,0
1,75,-4.44089e-16
1,76,3.55271e-15
1,77,1.15463e-14
1,78,-4.44089e-15
1,79,0
1,80,7.10543e-15
1,81,6.21725e-15
1,82,-5.32907e-15
1,83,5.32907e-15
1,84,1.77636e-15
1,85,-6.21725e-15
1,86,7.99361e-15
1,87,-1.33227e-15
1,88,6.21725e-15
1,89,2.66454e-15
1,90,1.42109e-14
1,91,-6.21725e-15
1,92,1.77636e-15
1,93,1.77636e-15
1,94,0
1,95,7.54952e-15
1,96,-1.77636e-15
1,97,-6.21725e-15
1,98,-8.88178e-16
1,99,9.90319e-14
1,100,0
1,101,-8.88178e-16
1,102,-4.44089e-15
1,103,-2.66454e-15
1,104,3.10862e-15
1,105,-1.33227e-14
1,106,-1.77636e-15
1,107,-2.4869e-14
1,108,0
1,109,1.28786e-14
1,110,-4.44089e-15
1,111,-1.77636e-15
1,112,-3.55271e-15
1,113,-8.88178e-15
1,114,1.33227e-15
1,115,-3.4639e-14
1,116,-8.88178e-16
1,117,3.55271e-15
1,118,-3.90799e-14
1,119,0
1,120,1.77636e-15
1,121,-1.77636e-15
1,122,4.44089e-15
1,123,1.77636e-15
1,124,7.99361e-15
1,125,-1.77636e-15
1,126,4.44089e-15
1,127,-5.32907e-15
1,128,-5.32907e-15
1,129,1.24345e-14
1,130,8.88178e-16
1,131,-2.4869e-14
1,132,-8.88178e-16
1,133,-8.88178e-16
1,134,4.44089e-15
1,135,3.68594e-14
1,136,7.99361e-15
1,137,-1.33227e-15
1,138,-3.55715e-13
1,139,8.88178e-16
1,140,-3.55271e-15
1,141,1.55431e-15
1,142,6.21725e-15
1,143,2.66454e-15
1,144,-3.9968e-15
1,145,-2.66454e-15
1,146,8.88178e-16
1,147,0
1,148,7.99361e-15
1,149,2.66454e-15
1,150,-1.59872e-14
1,151,3.9968e-15
1,152,-2.66454e-15
1,153,6.21725e-15
1,154,4.44089e-15
1,155,-7.99361e-15
1,156,-2.66454e-15
1,157,-1.24345e-14
1,158,1.77636e-15
1,159,-2.22045e-15
1,160,8.88178e-16
1,161,1.77636e-15
1,162,0
1,163,1.77636e-15
1,164,0
1,165,8.88178e-16
1,166,-4.44089e-16
1,167,8.88178e-16
1,168,8.88178e-15
1,169,1.77636e-15
1,170,-1.33227e-14
1,171,-6.21725e-15
1,172,2.66454e-15
1,173,-8.61533e-14
1,174,2.66454e-15
1,175,3.55271e-15
1,176,2.66454e-15
1,177,9.32587e-15
1,178,2.30926e-14
1,179,6.21725e-15
1,180,1.77636e-15
1,181,-2.13163e-14
1,182,-2.22045e-14
1,183,-1.33227e-14
1,184,3.55271e-15
1,185,-2.66454e-15
1,186,-5.88862e-12
1,187,-8.88178e-16
1,188,1.77636e-15
1,189,-8.88178e-15
1,190,2.66454e-14
1,191,0
1,192,-3.19744e-14
1,193,-1.68754e-14
1,194,4.44089e-16
1,195,0
1,196,-3.9968e-14
1,197,-2.66454e-15
1,198,-3.9968e-15
1,199,1.59872e-13
2,0,9.85878e-13
2,1,6.21725e-15
2,2,0
2,3,-1.77636e-15
2,4,1.24345e-14
2,5,0
2,6,3.55271e-15
2,7,8.88178e-15
2,8,0
2,9,1.06581e-14
2,10,4.44089e-15
2,11,0
2,12,-8.88178e-15
2,13,-2.4647e-14
2,14,7.10543e-15
2,15,8.43769e-15
2,16,-1.02141e-14
2,17,-8.17124e-14
2,18,-2.66454e-14
2,19,2.08722e-14
2,20,2.66454e-14
2,21,-1.5099e-14
2,22,5.32907e-15
2,23,-7.99361e-15
2,24,5.32907e-15
2,25,5.32907e-15
2,26,1.77636e-15
2,27,-7.10543e-15
2,28,-3.19744e-14
2,29,-8.88178e-16
2,30,-1.63425e-13
2,31,1.77636e-15
2,32,1.06581e-14
2,33,-3.4639e-14
2,34,3.55271e-15
2,35,3.73035e-14
2,36,-5.32907e-15
2,37,2.13163e-14
2,38,3.55271e-15
2,39,-1.06581e-14
2,40,2.04281e-14
2,41,-3.55271e-14
2,42,-8.88178e-16
2,43,-1.59872e-14
2,44,-1.77636e-15
2,45,-1.06581e-14
2,46,-3.55271e-15
2,47,1.77636e-15
2,48,1.24345e-14
2,49,1.77636e-15
2,50,-1.77636e-15
2,51,-8.88178e-15
2,52,5.32907e-15
2,53,-3.55271e-15
2,54,3.55271e-15
2,55,-7.10543e-15
2,56,-1.5099e-14
2,57,-7.10543e-15
2,58,0
2,59,7.10543e-15
2,60,-1.06581e-14
2,61,1.77636e-15
2,62,-8.88178e-15
2,63,-2.66454e-15
2,64,-2.22045e-14
2,65,-1.95399e-14
2,66,7.10543e-15
2,67,3.55271e-15
2,68,1.77636e-15
2,69,-7.4607e-14
2,70,-4.88498e-15
2,71,-1.77636e-15
2,72,-5.32907e-15
2,73,1.91847e-13
2,74,0
2,75,1.95399e-14
2,76,0
2,77,-6.66134e-15
2,78,3.55271e-15
2,79,-5.32907e-15
2,80,-5.32907e-15
2,81,1.77636e-15
2,82,-3.55271e-15
2,83,1.95399e-14
2,84,-3.28626e-14
2,85,0
2,86,-1.77636e-15
2,87,1.77636e-15
2,88,-3.55271e-14
2,89,-2.13163e-14
2,90,-3.73035e-14
2,91,1.24345e-14
2,92,-4.44089e-16
2,93,7.99361e-15
2,94,0
2,95,-7.10543e-15
2,96,-8.88178e-15
2,97,-2.39808e-14
2,98,-1.95399e-14
2,99,-2.32703e-13
2,100,1.42109e-14
2,101,-1.59872e-14
2,102,7.99361e-15
2,103,-5.32907e-15
2,104,8.88178e-15
2,105,5.32907e-15
2,106,-2.75335e-14
2,107,2.4869e-14
2,108,4.44089e-15
2,109,-8.43769e-15
2,110,1.11022e-14
2,111,-8.88178e-15
2,112,-2.22045e-14
2,113,4.08562e-14
2,114,1.77636e-15
2,115,1.77636e-14
2,116,-1.28786e-14
2,117,0
2,118,6.03961e-14
2,119,-2.22045e-14
2,120,3.55271e-15
2,121,0
2,122,-8.88178e-15
2,123,-3.64153e-14
2,124,-1.77636e-14
2,125,-2.30926e-14
2,126,1.77636e-14
2,127,1.77636e-15
2,128,0
2,129,-2.30926e-14
2,130,6.21725e-15
2,131,-3.55271e-15
2,132,7.10543e-15
2,133,1.77636e-14
2,134,-8.88178e-15
2,135,-4.88498e-14
2,136,-1.42109e-14
2,137,1.24345e-14
2,138,7.10543e-13
2,139,-1.24345e-14
2,140,-2.04281e-14
2,141,1.77636e-15
2,142,-8.88178e-15
2,143,-3.55271e-15
2,144,3.64153e-14
2,145,-1.77636e-15
2,146,1.06581e-14
2,147,1.42109e-14
2,148,3.10862e-15
2,149,5.32907e-15
2,150,1.59872e-14
2,151,5.32907e-15
2,152,-1.77636e-15
2,153,1.06581e-14
2,154,7.10543e-15
2,155,-7.10543e-15
2,156,0
2,157,4.44089e-14
2,158,-1.77636e-15
2,159,0
2,160,-1.06581e-14
2,161,-2.66454e-15
2,162,-1.15463e-14
2,163,1.77636e-15
2,164,8.88178e-16
2,165,3.55271e-15
2,166,-6.21725e-15
2,167,1.15463e-14
2,168,-7.10543e-15
2,169,0
2,170,3.73035e-14
2,171,0
2,172,1.11022e-15
2,173,1.45661e-13
2,174,0
2,175,-2.75335e-14
2,176,4.44089e-15
2,177,-4.44089e-16
2,178,-5.86198e-14
2,179,-1.42109e-14
2,180,1.77636e-15
2,181,3.90799e-14
2,182,2.66454e-14
2,183,-1.77636e-15
2,184,-1.06581e-14
2,185,-2.30926e-14
2,186,1.23839e-11
2,187,-2.22045e-14
2,188,1.42109e-14
2,189,3.64153e-14
2,190,-5.24025e-14
2,191,-8.88178e-16
2,192,3.37508e-14
2,193,8.88178e-15
2,194,3.55271e-15
2,195,6.21725e-15
2,196,4.9738e-14
2,197,0
2,198,-7.10543e-15
2,199,-3.55271e-13
3,0,2.09166e-12
3,1,8.88178e-16
3,2,-1.77636e-15
3,3,0
3,4,3.55271e-15
3,5,8.88178e-16
3,6,-5.32907e-15
3,7,1.68754e-14
3,8,7.10543e-15
3,9,5.32907e-15
3,10,0
3,11,3.55271e-15
3,12,8.88178e-16
3,13,7.10543e-15
3,14,-4.44089e-15
3,15,3.55271e-15
3,16,2.66454e-15
3,17,-7.99361e-14
3,18,-9.99201e-14
3,19,7.10543e-15
3,20,1.86517e-14
3,21,-8.88178e-15
3,22,1.15463e-14
3,23,2.09832e-14
3,24,8.88178e-15
3,25,0
3,26,-5.32907e-15
3,27,5.32907e-15
3,28,-3.55271e-14
3,29,6.21725e-15
3,30,-1.22569e-13
3,31,1.77636e-15
3,32,2.66454e-15
3,33,-1.95399e-14
3,34,-1.77636e-15
3,35,2.4869e-14
3,36,3.55271e-15
3,37,1.68754e-14
3,38,0
3,39,-7.10543e-15
3,40,3.55271e-14
3,41,-1.15463e-14
3,42,5.32907e-15
3,43,-5.32907e-15
3,44,1.77636e-15
3,45,-2.66454e-15
3,46,1.77636e-15
3,47,1.15463e-14
3,48,3.55271e-15
3,49,5.32907e-15
3,50,1.55431e-14
3,51,-7.99361e-15
3,52,0
3,53,-2.66454e-15
3,54,0
3,55,-2.66454e-15
3,56,8.88178e-16
3,57,-1.68754e-14
3,58,0
3,59,8.88178e-16
3,60,-3.55271e-15
3,61,5.32907e-15
3,62,0
3,63,1.77636e-15
3,64,-6.21725e-15
3,65,-3.68594e-14
3,66,-1.77636e-15
3,67,-4.44089e-15
3,68,-1.77636e-15
3,69,-8.61533e-14
3,70,1.77636e-15
3,71,0
3,72,-3.55271e-15
3,73,9.76996e-14
3,74,0
3,75,5.32907e-15
3,76,0
3,77,-7.10543e-15
3,78,-1.77636e-15
3,79,-2.22045e-15
3,80,-3.55271e-15
3,81,-8.88178e-16
3,82,-7.10543e-15
3,83,8.88178e-15
3,84,-1.06581e-14
3,85,0
3,86,-5.32907e-15
3,87,0
3,88,-4.17444e-14
3,89,-1.59872e-14
3,90,-5.50671e-14
3,91,6.21725e-15
3,92,8.88178e-16
3,93,2.66454e-15
3,94,5.32907e-15
3,95,-5.32907e-15
3,96,-2.66454e-15
3,97,-9.76996e-15
3,98,-1.06581e-14
3,99,-1.19016e-13
3,100,5.32907e-15
3,101,3.55271e-15
3,102,7.99361e-15
3,103,8.43769e-15
3,104,1.77636e-15
3,105,1.42109e-14
3,106,-1.68754e-14
3,107,4.79616e-14
3,108,1.5099e-14
3,109,-7.99361e-15
3,110,4.44089e-15
3,111,8.88178e-16
3,112,-1.42109e-14
3,113,3.9968e-14
3,114,-8.88178e-16
3,115,4.61853e-14
3,116,0
3,117,-5.32907e-15
3,118,1.03917e-13
3,119,-7.99361e-15
3,120,8.88178e-15
3,121,0
3,122,-1.15463e-14
3,123,-2.66454e-14
3,124,-4.44089e-14
3,125,-3.55271e-15
3,126,5.32907e-15
3,127,0
3,128,7.10543e-15
3,129,-3.01981e-14
3,130,1.77636e-15
3,131,1.15463e-14
3,132,-3.55271e-15
3,133,1.06581e-14
3,134,-2.84217e-14
3,135,-4.79616e-14
3,136,-1.24345e-14
3,137,5.32907e-15
3,138,3.57048e-13
3,139,-7.99361e-15
3,140,-1.90958e-14
3,141,8.88178e-16
3,142,-5.32907e-15
3,143,-1.06581e-14
3,144,1.77636e-14
3,145,2.66454e-15
3,146,0
3,147,3.55271e-15
3,148,-2.66454e-15
3,149,1.77636e-15
3,150,4.70735e-14
3,151,0
3,152,0
3,153,5.32907e-15
3,154,-2.66454e-15
3,155,-8.88178e-15
3,156,0
3,157,3.19744e-14
3,158,0
3,159,0
3,160,8.88178e-16
3,161,1.77636e-15
3,162,-2.66454e-15
3,163,8.88178e-16
3,164,8.88178e-15
3,165,0
3,166,-8.88178e-16
3,167,1.77636e-15
3,168,-8.88178e-15
3,169,0
3,170,2.4869e-14
3,171,0
3,172,8.88178e-16
3,173,1.94511e-13
3,174,3.55271e-15
3,175,-1.06581e-14
3,176,0
3,177,-5.32907e-15
3,178,-1.06581e-13
3,179,-1.06581e-14
