Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,4.44089e-16
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,8.88178e-16
0,23,0
0,24,0
0,25,0
0,26,0
0,27,1.77636e-15
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,-8.88178e-16
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,4.44089e-16
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,-8.88178e-16
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,8.88178e-16
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,8.88178e-16
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
0,100,0
0,101,0
0,102,0
0,103,0
0,104,0
0,105,0
0,106,1.77636e-15
0,107,0
0,108,-8.88178e-16
0,109,0
0,110,0
0,111,0
0,112,0
0,113,0
0,114,0
0,115,0
0,116,0
0,117,0
0,118,0
0,119,0
0,120,0
0,121,0
0,122,0
0,123,0
0,124,0
0,125,0
0,126,0
0,127,0
0,128,0
0,129,0
0,130,0
0,131,0
0,132,0
0,133,0
0,134,0
0,135,0
0,136,0
0,137,0
0,138,0
0,139,0
0,140,-8.88178e-16
0,141,0
0,142,0
0,143,0
0,144,0
0,145,0
0,146,0
0,147,0
0,148,1.77636e-15
0,149,0
0,150,0
0,151,0
0,152,0
0,153,0
0,154,0
0,155,-4.44089e-16
0,156,0
0,157,0
0,158,0
0,159,0
0,160,0
0,161,8.88178e-16
0,162,0
0,163,0
0,164,0
0,165,0
0,166,0
0,167,-8.88178e-16
0,168,0
0,169,0
0,170,0
0,171,0
0,172,1.77636e-15
0,173,0
0,174,0
0,175,0
0,176,4.44089e-16
0,177,0
0,178,8.88178e-16
0,179,0
0,180,0
0,181,0
0,182,0
0,183,0
0,184,0
0,185,0
0,186,0
0,187,0
0,188,0
0,189,0
0,190,0
0,191,0
0,192,0
0,193,0
0,194,0
0,195,0
0,196,-1.77636e-15
0,197,0
0,198,0
0,199,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,-2.22045e-16
1,5,8.88178e-16
1,6,-1.33227e-15
1,7,-8.88178e-16
1,8,0
1,9,1.33227e-15
1,10,-2.22045e-16
1,11,-8.88178e-16
1,12,-1.77636e-15
1,13,-8.88178e-16
1,14,0
1,15,2.22045e-15
1,16,0
1,17,0
1,18,-8.88178e-16
1,19,0
1,20,8.88178e-16
1,21,8.88178e-16
1,22,0
1,23,0
1,24,0
1,25,-8.88178e-16
1,26,-8.88178e-16
1,27,0
1,28,-1.77636e-15
1,29,1.77636e-15
1,30,2.66454e-15
1,31,-8.88178e-16
1,32,-6.66134e-16
1,33,0
1,34,-8.88178e-16
1,35,-1.77636e-15
1,36,1.77636e-15
1,37,8.88178e-16
1,38,0
1,39,8.88178e-16
1,40,-8.88178e-16
1,41,0
1,42,8.88178e-16
1,43,0
1,44,-1.77636e-15
1,45,8.88178e-16
1,46,8.88178e-16
1,47,-8.88178e-16
1,48,-8.88178e-16
1,49,8.88178e-16
1,50,-8.88178e-16
1,51,0
1,52,-1.33227e-15
1,53,0
1,54,8.88178e-16
1,55,0
1,56,-8.88178e-16
1,57,-8.88178e-16
1,58,-4.44089e-16
1,59,-7.66054e-15
1,60,0
1,61,1.77636e-15
1,62,-8.88178e-16
1,63,8.88178e-16
1,64,0
1,65,0
1,66,0
1,67,-8.88178e-16
1,68,8.88178e-16
1,69,0
1,70,-4.44089e-16
1,71,-8.88178e-16
1,72,0
1,73,0
1,74,-1.33227e-15
1,75,4.44089e-16
1,76,-8.88178e-16
1,77,0
1,78,0
1,79,0
1,80,0
1,81,-4.44089e-16
1,82,0
1,83,0
1,84,-8.88178e-16
1,85,-8.88178e-16
1,86,-8.88178e-16
1,87,3.10862e-15
1,88,0
1,89,0
1,90,0
1,91,-1.33227e-15
1,92,8.88178e-16
1,93,0
1,94,8.88178e-16
1,95,0
1,96,-8.88178e-16
1,97,-8.88178e-16
1,98,8.88178e-16
1,99,1.33227e-15
1,100,-4.44089e-16
1,101,0
1,102,0
1,103,0
1,104,8.88178e-16
1,105,8.88178e-16
1,106,8.88178e-16
1,107,0
1,108,0
1,109,0
1,110,-8.88178e-16
1,111,-8.88178e-16
1,112,0
1,113,0
1,114,8.88178e-16
1,115,0
1,116,-8.88178e-16
1,117,-8.88178e-16
1,118,0
1,119,-8.88178e-16
1,120,-8.88178e-16
1,121,0
1,122,0
1,123,8.88178e-16
1,124,0
1,125,8.88178e-16
1,126,0
1,127,-1.77636e-15
1,128,0
1,129,0
1,130,-4.44089e-16
1,131,0
1,132,0
1,133,0
1,134,0
1,135,0
1,136,-1.77636e-15
1,137,-3.10862e-15
1,138,-4.44089e-16
1,139,-8.88178e-16
1,140,-8.88178e-16
1,141,-2.66454e-15
1,142,0
1,143,-8.88178e-16
1,144,-8.88178e-16
1,145,8.88178e-16
1,146,8.88178e-16
1,147,4.44089e-16
1,148,0
1,149,-8.88178e-16
1,150,0
1,151,-3.10862e-15
1,152,0
1,153,1.77636e-15
1,154,-8.88178e-16
1,155,-8.88178e-16
1,156,8.88178e-16
1,157,0
1,158,-1.77636e-15
1,159,-8.88178e-16
1,160,-1.77636e-15
1,161,0
1,162,8.88178e-16
1,163,8.88178e-16
1,164,-8.88178e-16
1,165,-8.88178e-16
1,166,8.88178e-16
1,167,-8.88178e-16
1,168,0
1,169,-8.88178e-16
1,170,-8.88178e-16
1,171,0
1,172,0
1,173,0
1,174,-2.66454e-15
1,175,-1.77636e-15
1,176,8.88178e-16
1,177,0
1,178,0
1,179,0
1,180,0
1,181,0
1,182,0
1,183,-8.88178e-16
1,184,0
1,185,8.88178e-16
1,186,0
1,187,0
1,188,0
1,189,0
1,190,-8.88178e-16
1,191,-1.33227e-15
1,192,0
1,193,8.88178e-16
1,194,-8.88178e-16
1,195,-7.43849e-15
1,196,-8.88178e-16
1,197,0
1,198,4.44089e-16
1,199,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,8.88178e-16
2,5,0
2,6,3.55271e-15
2,7,0
2,8,1.77636e-15
2,9,-1.77636e-15
2,10,-8.88178e-16
2,11,-1.77636e-15
2,12,-8.88178e-16
2,13,-2.44249e-15
2,14,0
2,15,4.44089e-16
2,16,-4.44089e-16
2,17,8.88178e-16
2,18,0
2,19,3.10862e-15
2,20,0
2,21,0
2,22,1.77636e-15
2,23,8.88178e-16
2,24,0
2,25,0
2,26,-1.77636e-15
2,27,0
2,28,0
2,29,-1.77636e-15
2,30,0
2,31,-4.44089e-16
2,32,8.88178e-16
2,33,8.88178e-16
2,34,0
2,35,2.66454e-15
2,36,-1.77636e-15
2,37,0
2,38,0
2,39,8.88178e-16
2,40,0
2,41,8.88178e-16
2,42,-8.88178e-16
2,43,0
2,44,0
2,45,0
