id,v0,v1,v2
\string0,4.491,-0.04499999999999993,4.526
\string1,1.238,-0.875,-2.083
\string2,0.8129999999999997,4.608000000000001,-3.546
\string3,1.319,3.625999999999999,4.177
\string4,1.595,-2.14,-3.179
\string5,0.5259999999999998,2.347,0.7519999999999998
\string6,4.215,-3.32,-2.46
\string7,0.4400000000000004,-0.2690000000000001,3.196
\string8,-4.02,-1.5,0.2530000000000001
\string9,2.318,2.742,-1.701
\string10,0.3369999999999997,-1.988,-0.8949999999999996
\string11,1.167,0.6870000000000003,4.894
\string12,-0.6989999999999998,3.244,-0.7489999999999997
\string13,-0.173,4.504,-4.137
\string14,4.289,-3.258,3.68
\string15,1.509,1.536,-1.649
\string16,0.4500000000000002,4.459,-0.5099999999999998
\string17,3.292,1.204,-1.05
\string18,3.77,2.293,2.521
\string19,2.476,4.263,-3.327
\string20,3.071999999999999,0.9109999999999996,-0.7679999999999998
\string21,-1.915,2.039,1.493
\string22,-1.775,-1.88,1.709
\string23,1.486,3.824999999999999,3.789
\string24,-1.307,3.471,0.8730000000000002
\string25,4.292999999999999,0.5369999999999999,4.507
\string26,3.833,-3.729,-3.517
\string27,-3.295,3.911,4.288
\string28,-3.59,2.97,4.574
\string29,-2.342,3.222,-2.28
\string30,-4.601,0.03000000000000025,-2.04
\string31,0.2350000000000003,1.21,-1.726
\string32,0.8540000000000001,-0.1319999999999997,-1.943
\string33,-3.862,1.458,-0.3040000000000003
\string34,-0.452,-4.511,1.937
\string35,4.33,3.901,-1.602
\string36,-3.466,1.725,-4.172
\string37,2.083,-1.82,2.755
\string38,0.8090000000000002,-4.061,2.304
\string39,-1.969,0.875,1.884
\string40,-1.425,0.3330000000000002,2.729
\string41,-3.063,4.808,0.2930000000000001
\string42,1.357,3.550000000000001,-0.3120000000000003
\string43,-1.77,1.735,-0.4809999999999999
\string44,-1.693,-3.754,-4.901
\string45,-3.169,1.607,1.396
\string46,-3.628,-3.165,-3.304
\string47,-3.585,0.5149999999999997,3.032999999999999
\string48,3.983000000000001,-4.917,-0.05999999999999961
\string49,-4.229,-3.382,0.1349999999999998
\string50,2.606,3.788,3.68
\string51,-2.225,-0.6600000000000001,0.7060000000000004
\string52,-0.2679999999999998,-3.651,-2.537
\string53,-2.12,-2.987,1.738
\string54,1.179,-4.629,-0.3390000000000004
\string55,1.002,-2.028,3.932
\string56,-3.569,4.247,-0.1299999999999999
\string57,3.58,-2.217,3.962
\string58,0.3719999999999999,-0.08900000000000041,1.523
\string59,1.572,-1.279,-1.313
\string60,-2.497,0.2030000000000003,-4.593
\string61,-3.029,-0.7759999999999998,-2.889
\string62,-2.615,1.669,-4.365
\string63,-0.4630000000000001,2.025,-2.24
\string64,-3.016,2.171,-0.5449999999999999
\string65,-0.585,1.64,4.898
\string66,3.513,-4.452,-2.372
\string67,2.292,-1.79,4.476000000000001
\string68,-0.5229999999999997,-3.99,0.4219999999999997
\string69,-4.86,0.6660000000000004,3.163
\string70,-0.1360000000000001,2.54,-1.716
\string71,-4.614,-3.975,-1.596
\string72,-3.476,-2.164,-4.816
\string73,4.34,1.545,-4.347
\string74,-0.3230000000000004,0.274,-1.406
\string75,4.561999999999999,-1.393,-3.217
\string76,-1.732,-3.308,-0.1369999999999996
\string77,1.355,1.645,-3.363
\string78,2.055,-4.687,-0.3899999999999997
\string79,0.9690000000000003,4.656000000000001,4.813000000000001
\string80,-3.721,-2.417,-4.035
\string81,-0.109,-1.826,0.9279999999999999
\string82,1.503,-2.273,3.090999999999999
\string83,3.239000000000001,-4.306,1.603
\string84,-4.962,1.49,-3.444
\string85,0.1100000000000003,-2.837,3.132999999999999
\string86,-1.585,-2.858,0.4379999999999997
\string87,-1.842,-1.779,-3.74
\string88,-3.948,0.3680000000000003,3.704000000000001
\string89,-4.265,1.033,2.841
\string90,-2.429,-0.2830000000000004,3.510999999999999
\string91,1.509,0.09600000000000009,-1.162
\string92,0.9349999999999996,3.545999999999999,-0.79
\string93,3.380000000000001,4.223000000000001,-1.839
\string94,-3.17,2.051,-2.92
\string95,-2.139,-0.5599999999999996,-2.394
\string96,-0.3810000000000002,2.711,1.653
\string97,-0.7889999999999997,4.105,1.706
\string98,-2.959,3.718999999999999,2.407
\string99,3.307,0.9770000000000003,-4.801
\string100,3.23,-2.236,-4.053
\string101,-3.516,4.56,-2.211
\string102,2.586,3.76,-0.2039999999999997
\string103,1.882,4.906000000000001,3.32
\string104,1.238,-4.074,-1.281
\string105,-4.212,-2.539,0.2140000000000004
\string106,-2.911,3.589,2.224
\string107,-2.342,-1.79,4.25
\string108,-2.08,1.718,2.473
\string109,1.434,1.426,-3.23
\string110,1.675,1.563,-1.897
\string111,-0.05499999999999972,3.815,1.153
\string112,-1.342,3.332000000000001,2.212
\string113,3.728,-1.269,1.165
\string114,1.579,0.02200000000000024,0.05299999999999994
\string115,-1.602,-2.406,3.792
\string116,-1.457,2.752,-1.178
\string117,-1.477,-4.95,3.391
\string118,-3.719,-1.42,3.913
\string119,-4.37,3.593,1.246
\string120,-3.66,4.545,-2.537
\string121,-2.021,-4.133,-0.3799999999999999
\string122,-3.616,-2.506,3.999000000000001
\string123,-4.437,2.15,1.533
\string124,3.505000000000001,-0.9640000000000004,4.864000000000001
\string125,-3.115,4.826000000000001,-1.089
\string126,2.389,-4.653,-4.136
\string127,-0.5620000000000003,-4.402,-3.543
\string128,-4.486,-2.2,4.307
\string129,-4.429,-3.503,4.936999999999999
\string130,0.8970000000000002,-1.447,1.058
\string131,-0.2800000000000002,-3.975,4.287000000000001
\string132,4.528,-4.533,-1.087
\string133,3.582000000000001,-1.7,0.9320000000000004
\string134,1.948,-0.5709999999999997,4.359
\string135,4.449999999999999,1.208,-1.437
\string136,-2.877,-0.8680000000000003,0.7199999999999998
\string137,0.8310000000000004,0.1740000000000004,-4.794
\string138,2.976,1.034,-3.716
\string139,-2.47,0.7430000000000003,0.7949999999999999
\string140,-1.852,3.582000000000001,3.273999999999999
\string141,-0.2599999999999998,-1.227,-1.022
\string142,-3.267,-1.634,-1.396
\string143,2.625,-0.657,2.429
\string144,4.297000000000001,-1.959,-2.042
\string145,0.6710000000000003,3.262,-1.235
\string146,4.486000000000001,-4.891,2.032
\string147,3.510999999999999,-2.038,-4.293
