,\string0,\string1,\string2,\string3,\string4,\string5,\string6,\string7,\string8,\string9,\string10,\string11,\string12,\string13,\string14,\string15,\string16,\string17,\string18,\string19,\string20,\string21,\string22,\string23,\string24,\string25,\string26,\string27,\string28,\string29,\string30,\string31,\string32,\string33,\string34,\string35,\string36,\string37,\string38,\string39,\string40,\string41,\string42,\string43,\string44,\string45,\string46,\string47,\string48,\string49,\string50,\string51,\string52,\string53,\string54,\string55,\string56,\string57,\string58,\string59,\string60,\string61,\string62,\string63,\string64,\string65,\string66,\string67,\string68,\string69,\string70,\string71,\string72,\string73,\string74,\string75,\string76,\string77,\string78,\string79,\string80,\string81,\string82,\string83,\string84,\string85,\string86,\string87,\string88,\string89,\string90,\string91,\string92,\string93,\string94,\string95,\string96,\string97,\string98,\string99,\string100,\string101,\string102,\string103,\string104,\string105,\string106,\string107,\string108,\string109,\string110,\string111,\string112,\string113,\string114,\string115,\string116,\string117,\string118,\string119,\string120,\string121,\string122,\string123,\string124,\string125,\string126,\string127,\string128,\string129,\string130,\string131,\string132,\string133,\string134,\string135,\string136,\string137,\string138,\string139,\string140,\string141,\string142,\string143,\string144,\string145,\string146,\string147,\string148,\string149,\string150,\string151,\string152,\string153,\string154,\string155,\string156,\string157,\string158,\string159,\string160,\string161,\string162,\string163,\string164,\string165,\string166,\string167,\string168,\string169,\string170,\string171,\string172,\string173,\string174,\string175,\string176,\string177,\string178,\string179,\string180,\string181,\string182,\string183,\string184,\string185,\string186,\string187,\string188,\string189,\string190,\string191,\string192,\string193,\string194,\string195,\string196,\string197,\string198,\string199
\string0,0,7.413,10.017,4.864,8.494,5.974,7.720,4.270,9.634,7.160,7.101,3.423,8.098,10.839,3.329,7.037,7.873,5.839,3.163,9.181,5.564,7.388,7.111,4.955,7.702,0.615,8.871,8.737,8.625,10.183,11.215,7.667,7.422,9.765,7.147,7.290,11.921,3.476,5.884,7.040,6.194,9.926,6.794,8.212,11.869,8.438,11.703,8.232,6.710,10.318,4.354,7.751,9.249,7.755,7.460,4.057,10.250,2.422,5.098,6.644,11.491,10.586,11.510,8.637,9.326,5.361,8.244,2.808,7.586,9.477,8.189,11.654,12.459,9.016,7.646,7.860,8.433,8.656,7.187,5.881,12.098,6.106,3.994,5.317,12.459,5.379,7.845,10.557,8.489,8.982,6.998,6.424,7.335,7.744,10.887,9.597,6.292,7.284,8.612,9.457,8.944,11.433,6.362,5.725,7.780,10.028,8.561,7.058,7.106,8.465,7.195,6.851,7.126,3.657,5.338,6.576,8.703,7.808,8.347,10.125,11.721,9.121,8.489,9.669,1.390,10.635,10.034,10.470,9.235,9.576,5.187,6.186,7.187,4.060,2.602,6.093,8.334,10.015,8.449,7.937,7.413,7.399,9.888,2.873,6.844,7.663,5.450,9.094,8.991,11.056,2.529,9.120,12.629,10.466,4.983,3.698,8.301,11.618,11.441,6.376,9.563,6.754,8.051,3.369,7.038,8.770,8.783,6.444,9.990,11.519,5.833,10.961,8.785,8.268,11.260,10.896,3.505,6.729,6.530,9.225,5.125,1.376,4.706,5.182,8.534,10.434,10.834,9.569,5.965,9.916,11.485,7.867,2.198,8.231,7.722,6.987,8.393,4.504,7.410,7.632
\string1,7.413,0,5.691,7.711,1.711,4.350,3.871,5.373,5.787,3.794,1.861,7.150,4.743,5.928,6.943,2.465,5.617,3.100,6.135,5.429,2.878,5.588,4.946,7.525,5.840,7.400,4.115,9.168,9.078,5.444,5.909,2.341,0.848,5.884,5.678,5.710,5.766,5.001,5.439,5.393,5.631,7.513,4.768,4.293,4.982,6.139,5.515,7.167,5.288,6.410,7.538,4.452,3.191,5.508,4.140,6.129,7.291,6.620,3.791,0.931,4.627,4.344,5.150,3.366,5.453,7.641,4.249,6.706,4.368,8.190,3.699,6.640,5.599,4.539,2.053,3.550,4.304,2.829,4.250,8.844,5.548,3.433,5.366,5.419,6.774,5.686,4.273,3.612,7.869,7.627,6.715,1.365,4.616,5.535,5.357,3.406,5.426,6.578,7.673,3.886,3.115,7.222,5.180,7.939,3.298,6.144,7.463,7.332,6.204,2.578,2.484,5.843,6.542,4.112,2.342,6.703,4.608,7.344,7.799,7.905,7.319,4.913,7.951,7.378,7.308,7.241,4.451,4.220,8.681,9.397,3.211,7.245,5.020,3.907,6.488,3.882,4.979,2.935,3.055,4.965,7.623,1.869,4.620,4.725,3.246,4.261,6.604,3.377,6.701,4.168,5.995,3.020,6.450,4.431,5.699,6.438,3.751,5.578,4.481,3.886,6.681,6.475,5.740,5.977,5.513,4.063,3.665,6.163,7.119,4.617,4.616,4.529,5.755,5.673,5.180,5.967,6.517,2.917,7.606,5.412,4.492,6.934,7.153,7.991,5.397,5.921,6.160,7.035,5.739,5.881,5.362,2.216,6.102,7.245,3.173,0.536,6.349,7.792,3.954,8.136
\string2,10.017,5.691,0,7.802,6.803,4.865,8.695,8.329,8.666,3.025,7.125,9.313,3.460,1.154,11.233,3.677,3.061,4.895,7.135,1.712,5.147,6.280,8.741,7.407,5.031,9.671,8.867,8.873,9.381,3.671,7.248,3.898,5.004,6.503,10.715,4.080,5.197,9.090,10.458,7.153,7.916,5.459,3.446,4.932,8.834,7.020,8.955,8.909,10.627,10.140,7.490,7.420,8.390,9.706,9.785,10.000,5.568,10.517,6.925,6.342,5.609,6.647,4.589,3.163,5.441,9.059,9.526,10.367,9.563,9.630,2.920,10.340,8.116,4.740,4.965,7.083,8.987,3.018,9.894,8.361,8.375,7.891,9.585,10.576,6.564,10.027,8.796,6.920,9.654,8.908,9.178,5.150,2.956,3.107,4.774,6.062,5.662,5.514,7.103,4.580,7.276,4.530,3.877,6.955,8.983,9.511,6.943,10.567,7.277,3.257,3.569,4.844,6.279,8.077,5.880,10.434,3.769,12.030,10.607,7.131,4.586,9.719,11.276,7.707,10.441,4.638,9.413,9.114,11.666,12.854,7.607,11.671,10.169,8.216,9.518,5.407,7.861,4.606,4.181,6.675,7.394,6.447,7.761,8.167,7.585,2.678,11.612,7.212,3.759,8.447,8.441,8.199,10.458,9.470,10.290,10.200,8.272,5.990,7.061,8.231,6.827,4.775,6.397,6.981,7.153,9.556,5.177,5.021,11.227,7.815,5.647,9.242,1.617,8.242,3.450,6.659,7.104,3.814,10.268,8.170,8.979,8.979,6.852,7.205,8.394,0.812,7.884,5.422,10.899,3.263,6.851,5.008,8.450,11.067,8.562,5.911,9.220,12.368,3.551,10.715
\string3,4.864,7.711,7.802,0,9.351,3.741,10.034,4.112,8.377,6.027,7.629,3.029,5.337,8.492,7.514,6.192,4.839,6.089,3.244,7.619,5.907,4.492,6.781,0.467,4.223,4.301,10.937,4.624,4.969,7.434,9.307,6.470,7.197,7.185,8.624,6.522,9.809,5.680,7.928,4.862,4.524,5.974,4.490,5.900,12.081,5.653,11.250,5.919,9.901,9.810,1.389,6.556,10.028,7.843,9.411,5.668,6.544,6.269,4.663,7.366,10.158,9.392,9.606,6.850,6.573,2.844,10.628,5.511,8.689,6.926,6.166,11.238,11.721,9.280,6.716,9.507,8.718,7.796,9.513,1.260,11.373,6.505,6.001,8.557,10.104,6.657,8.028,10.094,6.211,6.300,5.456,6.403,4.982,6.387,8.544,8.524,3.178,3.283,4.631,9.569,10.283,8.066,4.562,1.640,9.439,9.182,4.659,6.538,4.254,7.728,6.425,3.327,3.321,6.232,5.483,6.713,6.095,9.054,7.135,6.400,8.409,9.598,7.873,6.504,5.130,6.988,11.781,11.295,8.225,9.189,5.970,7.768,10.226,6.635,4.248,6.868,7.054,9.625,8.471,5.840,3.297,7.285,8.931,4.807,8.873,5.463,9.336,10.422,7.946,11.613,3.305,9.815,12.805,11.766,6.979,5.555,8.338,9.657,10.702,6.647,6.478,3.154,5.189,2.537,4.749,10.069,7.046,5.855,9.930,11.109,6.629,11.821,6.374,6.720,9.205,8.611,3.291,6.208,5.471,7.869,6.377,4.480,4.318,2.115,7.342,7.968,8.954,5.797,9.487,9.113,9.916,6.857,3.306,8.130,8.691,7.334,7.115,8.839,5.174,6.319
\string4,8.494,1.711,6.803,9.351,0,6.060,2.962,6.744,6.612,5.152,2.612,8.564,6.337,6.942,7.453,3.983,7.210,4.312,7.541,6.465,4.160,7.184,5.943,9.173,7.505,8.574,2.765,10.783,10.635,6.713,6.663,3.897,2.472,7.141,5.999,6.816,6.445,5.963,5.863,6.887,7.081,9.057,6.376,5.798,4.047,7.594,5.324,8.513,4.811,6.815,9.122,5.646,2.483,6.221,3.799,7.137,8.761,7.412,5.274,2.055,4.923,4.830,5.800,4.740,6.840,9.180,3.111,7.695,4.569,9.474,5.200,6.665,5.329,4.741,3.557,3.060,4.657,3.797,3.805,10.509,5.392,4.458,6.272,5.501,7.499,6.522,4.869,3.501,9.186,8.980,8.025,3.013,6.203,6.743,6.351,4.130,7.126,8.279,9.288,3.909,1.856,8.482,6.682,9.590,2.733,6.737,9.073,8.415,7.768,3.570,3.919,7.547,8.224,4.917,3.888,7.674,6.103,7.778,8.891,9.382,8.527,4.988,8.878,8.775,8.350,8.665,2.804,3.147,9.645,10.199,4.350,7.914,4.325,4.587,7.708,4.732,6.068,2.923,3.503,6.374,9.288,2.988,5.203,5.892,2.937,5.815,6.564,2.219,7.623,2.952,7.365,2.429,5.742,2.963,6.396,7.455,4.257,6.247,4.367,4.860,8.080,8.146,7.269,7.482,7.021,3.514,4.938,7.343,7.500,4.250,5.511,3.270,7.106,6.842,5.967,6.939,7.922,4.265,8.870,6.350,5.382,8.084,8.479,9.577,6.410,7.047,6.994,8.579,5.505,6.481,5.859,3.647,7.457,8.024,3.237,2.059,7.416,8.056,5.594,9.347
\string5,5.974,4.350,4.865,3.741,6.060,0,7.486,3.581,5.976,3.063,4.641,4.508,2.135,5.389,7.359,2.718,2.461,3.493,3.695,4.910,3.295,2.570,4.907,3.511,2.154,5.618,8.129,5.436,5.651,4.264,6.281,2.742,3.676,4.600,7.028,4.736,6.369,4.879,6.599,3.110,3.431,4.376,1.808,2.677,8.608,3.823,8.006,5.046,8.086,7.471,3.870,4.076,6.887,6.035,7.091,5.430,4.600,6.361,2.560,4.302,6.504,5.971,6.042,3.168,3.776,4.350,8.057,5.840,6.432,6.136,2.563,8.479,8.208,6.418,3.110,6.785,6.154,4.256,7.288,4.692,7.978,4.225,5.270,7.235,6.961,5.720,5.626,6.543,5.714,5.389,4.823,3.114,1.996,4.287,5.218,5.045,1.329,2.394,4.095,6.360,7.170,5.479,2.675,3.871,6.773,6.827,3.940,6.130,3.186,4.187,2.992,1.629,2.567,4.848,2.646,6.030,2.797,8.014,6.496,5.076,5.759,7.054,7.159,5.028,6.062,4.774,8.739,8.073,7.644,8.734,3.824,7.288,8.169,5.074,4.853,4.635,4.682,5.964,5.262,3.399,3.680,4.067,5.903,4.030,6.369,2.192,8.349,7.321,6.033,8.167,3.849,6.659,9.589,8.604,6.088,5.592,5.580,6.283,7.122,4.496,4.500,2.426,3.146,3.073,3.089,7.345,3.620,4.715,8.039,7.594,4.800,8.529,3.896,4.769,5.680,5.679,3.956,3.118,5.647,5.412,4.904,5.345,4.789,4.262,5.150,4.986,6.221,3.991,8.033,6.428,6.564,3.254,3.976,7.056,5.983,4.073,5.547,8.632,1.592,6.306
\string6,7.720,3.871,8.695,10.034,2.962,7.486,0,7.453,8.859,6.397,4.389,8.912,8.376,9.126,6.141,5.618,8.859,4.828,7.518,7.828,4.698,9.051,7.439,9.877,9.366,7.964,1.196,12.419,12.246,9.264,9.440,6.075,4.661,9.629,6.522,7.273,9.348,5.830,5.903,8.644,8.490,11.252,7.745,8.080,6.407,9.678,7.890,10.282,2.892,8.834,9.530,7.653,4.496,7.607,3.928,7.270,11.103,6.547,6.409,3.531,7.875,7.690,8.670,7.106,9.279,10.089,1.335,7.358,5.586,11.396,7.337,8.895,8.126,5.220,5.884,2.099,6.385,5.801,3.289,11.272,8.141,5.693,6.266,4.293,10.408,6.955,6.500,6.380,10.873,10.907,9.435,4.547,7.790,7.614,9.143,6.928,8.626,9.876,11.167,4.977,2.164,11.042,7.607,10.321,3.290,8.876,10.975,9.506,9.452,5.554,5.533,9.066,9.847,4.193,4.943,8.588,8.407,8.324,10.352,11.629,11.130,6.624,10.184,10.987,7.726,11.044,2.814,5.016,11.079,11.378,5.186,8.134,1.859,3.812,7.694,4.648,8.150,5.395,4.698,8.473,10.832,5.145,7.743,5.790,1.426,7.575,4.767,2.345,8.240,5.163,7.506,4.539,7.875,4.125,6.429,7.456,6.212,9.165,7.264,6.150,10.392,9.389,9.313,7.742,8.766,4.616,7.489,7.520,9.092,7.013,5.251,5.066,8.669,8.808,8.678,9.674,7.886,5.426,9.914,8.602,5.895,7.393,8.358,10.024,8.433,9.139,9.615,10.783,3.592,7.435,8.757,6.054,7.476,9.246,4.623,3.963,9.208,6.416,7.495,10.595
\string7,4.270,5.373,8.329,4.112,6.744,3.581,7.453,0,5.483,6.048,4.439,2.080,5.404,8.771,4.897,5.280,6.007,5.323,4.255,8.200,4.902,3.711,3.117,4.267,4.737,4.149,8.279,5.711,5.351,7.065,7.274,5.143,5.157,5.809,4.514,7.453,8.574,2.302,3.913,2.972,2.015,6.817,5.266,4.735,9.070,4.448,8.197,4.104,6.690,6.392,4.624,3.668,6.694,4.008,5.661,1.988,6.894,3.774,1.684,4.757,8.338,7.023,8.382,5.969,5.647,2.755,7.612,2.717,4.740,5.382,5.688,7.889,9.117,8.683,4.696,7.706,5.006,6.894,5.915,5.211,8.615,2.805,2.271,5.164,8.739,2.590,4.291,7.456,4.463,4.895,2.886,4.502,5.540,7.360,7.471,6.163,3.455,4.781,5.299,8.586,8.013,8.259,5.692,5.374,5.929,5.974,5.202,3.341,3.290,6.720,5.552,4.593,4.137,3.992,3.356,3.015,5.644,5.062,4.374,6.469,8.535,5.812,4.701,5.692,3.558,7.547,8.762,7.969,5.406,6.099,2.483,3.930,7.296,4.129,1.928,6.303,4.182,8.012,7.477,3.906,4.482,4.382,6.057,2.348,6.721,5.671,6.252,8.285,9.029,8.630,1.935,6.509,9.456,8.500,3.037,2.162,4.818,8.035,8.225,2.845,5.654,5.357,4.231,3.590,3.002,6.359,5.277,7.097,6.249,8.352,6.468,8.582,7.429,4.016,8.433,6.979,4.772,5.600,2.948,5.076,2.368,4.552,6.225,5.592,4.350,8.443,6.737,6.331,6.366,9.401,7.801,4.821,2.350,4.529,5.049,4.856,4.161,6.112,4.889,3.926
\string8,9.634,5.787,8.666,8.377,6.612,5.976,8.859,5.483,0,7.873,4.532,7.296,5.877,8.374,9.158,6.588,7.488,7.904,8.956,9.393,7.560,4.300,2.703,8.437,5.697,9.558,8.992,6.789,6.232,5.615,2.817,5.419,5.518,3.014,4.963,10.116,5.503,6.604,5.838,3.537,4.028,6.380,7.398,4.008,6.088,3.418,3.947,3.461,8.708,1.897,9.144,2.033,5.147,2.833,6.097,6.248,5.777,8.487,4.785,5.811,5.358,3.373,5.774,5.594,3.889,6.575,8.506,7.600,4.296,3.724,5.940,3.146,5.141,10.016,4.423,9.258,2.942,7.201,6.890,9.142,4.395,3.982,6.257,7.899,4.847,5.209,2.794,4.557,3.925,3.630,3.825,5.926,7.149,9.586,4.837,3.381,5.739,6.631,5.745,9.239,8.464,6.561,8.457,9.235,6.052,1.057,5.569,4.345,4.364,7.102,6.815,6.692,5.862,7.805,5.806,4.381,5.167,5.312,3.673,5.201,6.668,3.366,3.900,3.890,8.842,6.530,8.383,5.898,4.140,5.111,4.983,6.032,9.169,7.635,7.303,9.052,1.387,7.198,8.433,2.780,6.297,3.980,1.818,7.043,8.640,6.848,9.328,8.813,11.149,6.482,7.339,4.967,5.617,7.152,5.998,6.694,2.753,4.434,4.830,3.606,3.768,8.008,3.839,8.265,3.668,5.314,3.502,10.367,2.993,4.913,9.588,6.505,8.699,1.748,6.564,3.137,9.406,7.473,5.037,0.569,5.065,9.748,10.545,9.828,1.147,8.351,1.914,5.822,8.965,10.607,3.698,4.243,7.719,3.633,4.504,5.527,2.000,9.992,5.831,4.689
\string9,7.160,3.794,3.025,6.027,5.152,3.063,6.397,6.048,7.873,0,5.191,7.003,3.203,3.904,8.297,1.453,2.803,1.933,4.487,2.232,2.189,5.349,7.053,5.657,4.505,6.878,6.890,8.291,8.622,4.720,7.439,2.586,3.234,6.465,8.574,2.324,6.371,6.381,8.037,5.892,6.280,6.099,1.872,4.383,8.278,6.402,8.533,7.888,8.008,9.151,5.489,6.165,6.947,8.021,7.582,7.498,6.276,7.632,4.711,4.108,6.164,6.510,5.708,2.922,5.488,7.293,7.323,7.661,7.609,8.916,2.462,9.653,8.206,3.539,3.627,4.943,7.447,2.212,7.548,6.922,8.278,5.802,6.984,7.838,7.590,7.705,7.153,6.473,8.609,8.178,7.671,2.819,1.841,1.828,5.664,5.590,4.305,4.808,6.758,3.702,5.581,6.132,1.830,5.485,6.914,8.614,6.593,8.813,6.149,2.203,1.357,3.864,5.390,5.127,3.320,8.488,3.811,9.975,9.235,7.358,6.300,8.236,9.759,7.513,7.632,5.851,7.786,7.920,10.335,11.340,5.213,9.366,7.628,5.316,6.916,2.640,6.774,4.286,2.722,5.758,6.546,4.781,7.102,5.358,5.112,1.789,8.769,5.567,3.337,7.587,5.849,6.759,9.854,8.088,7.795,7.644,6.806,6.706,7.016,6.246,6.755,3.761,5.726,4.463,5.912,7.781,4.699,2.967,9.918,7.533,2.902,8.154,2.345,7.157,4.965,6.976,4.557,1.011,8.518,7.344,6.595,6.130,4.550,5.462,7.293,3.584,7.782,5.851,8.145,3.411,7.146,3.817,5.801,9.421,6.683,3.864,8.013,9.431,2.530,9.194
