Runtime,Nodes,Flips,Ratio,Cumulative Absolute,RMS Absolute,Cumulative Relative,RMS Relative,Sammon's Stress
0.000202,4,0,0.00,0,0,0,0,0
0.000478029,5,1,20.00,8.38165e-31,6.16298e-32,0,0,0
0.000325978,6,1,16.67,3.20475e-30,1.72563e-31,0,0,0
0.000476003,7,2,28.57,3.43648e-29,2.35426e-30,0,0,0
0.000602007,8,2,25.00,5.88194e-29,3.45127e-30,0,0,0
0.000760019,9,2,22.22,8.09075e-29,3.85802e-30,0,0,0
0.000935018,10,3,30.00,2.24086e-28,1.15371e-29,0,0,0
0.001212,11,3,27.27,2.46223e-28,1.30655e-29,0,0,0
0.00136304,12,3,25.00,2.7758e-28,1.43597e-29,0,0,0
0.00168502,13,3,23.08,3.74019e-28,2.19772e-29,0,0,0
0.001867,14,3,21.43,4.11736e-28,2.84976e-29,0,0,0
0.00215,15,4,26.67,9.94704e-28,4.38681e-29,0,0,0
0.002684,16,4,25.00,3.15899e-27,2.16518e-28,0,0,0
0.00276196,17,4,23.53,3.44989e-27,2.4271e-28,0,0,0
0.00320601,18,5,27.78,3.78776e-27,3.26909e-28,0,0,0
0.00348002,19,6,31.58,5.68064e-27,4.39975e-28,0,0,0
0.00387001,20,7,35.00,5.87687e-27,4.5664e-28,0,0,0
0.00427496,21,8,38.10,6.09263e-27,5.03392e-28,0,0,0
0.004978,22,8,36.36,7.1574e-27,5.42934e-28,0,0,0
0.005256,23,8,34.78,7.89538e-27,5.6178e-28,0,0,0
0.005647,24,8,33.33,8.49235e-27,6.117e-28,0,0,0
0.00611001,25,8,32.00,9.44968e-27,6.55691e-28,0,0,0
0.00698,26,8,30.77,9.57392e-27,6.61583e-28,0,0,0
0.00719899,27,9,33.33,9.9759e-27,6.7259e-28,0,0,0
0.00813299,28,9,32.14,1.11925e-26,6.92447e-28,0,0,0
0.00831199,29,9,31.03,1.24715e-26,7.16742e-28,0,0,0
0.00888699,30,9,30.00,1.30365e-26,7.42133e-28,0,0,0
0.009794,31,9,29.03,1.38185e-26,7.5743e-28,0,0,0
0.010178,32,9,28.12,1.43078e-26,9.92091e-28,0,0,0
0.011298,33,9,27.27,1.43458e-26,9.97305e-28,0,0,0
0.0115049,34,9,26.47,1.53808e-26,1.02605e-27,0,0,0
0.012476,35,9,25.71,1.59142e-26,1.03861e-27,0,0,0
0.013557,36,10,27.78,1.65678e-26,1.07205e-27,0,0,0
0.013953,37,10,27.03,1.71865e-26,1.08585e-27,0,0,0
0.014708,38,10,26.32,1.74421e-26,1.10586e-27,0,0,0
0.016287,39,10,25.64,1.78071e-26,1.12335e-27,0,0,0
0.016103,40,10,25.00,1.89435e-26,1.16125e-27,0,0,0
0.017943,41,10,24.39,1.99976e-26,1.19517e-27,0,0,0
0.018845,42,10,23.81,2.0907e-26,1.21711e-27,0,0,0
0.024359,43,10,23.26,2.13259e-26,1.2659e-27,0,0,0
0.023938,44,10,22.73,2.22026e-26,1.32384e-27,0,0,0
0.026418,45,10,22.22,2.28589e-26,1.33961e-27,0,0,0
0.026538,46,10,21.74,2.42454e-26,1.37799e-27,0,0,0
0.027904,47,10,21.28,2.54433e-26,1.4382e-27,0,0,0
0.029291,48,10,20.83,2.69039e-26,1.46674e-27,0,0,0
0.031027,49,11,22.45,2.72297e-26,1.4775e-27,0,0,0
0.031301,50,11,22.00,2.82171e-26,1.49572e-27,0,0,0
0.033153,51,11,21.57,2.88767e-26,1.56091e-27,0,0,0
0.034143,52,11,21.15,2.99808e-26,1.60041e-27,0,0,0
0.035616,53,11,20.75,3.02009e-26,1.60871e-27,0,0,0
0.036301,54,11,20.37,3.09592e-26,1.62788e-27,0,0,0
0.039628,55,11,20.00,3.1215e-26,1.63959e-27,0,0,0
0.0345,56,11,19.64,3.19258e-26,1.67124e-27,0,0,0
0.037495,57,11,19.30,3.31517e-26,1.70844e-27,0,0,0
0.042589,58,11,18.97,3.37966e-26,1.74225e-27,0,0,0
0.044175,59,11,18.64,3.44421e-26,1.78149e-27,0,0,0
0.045775,60,11,18.33,3.93821e-24,2.22714e-25,0,0,0
0.047509,61,11,18.03,3.9727e-24,2.2389e-25,0,0,0
