,\string0,\string1,\string2,\string3,\string4,\string5,\string6,\string7,\string8,\string9
\string0,0,1.847,2.293,3.798,5.203,1.762,4.018,3.267,5.471,1.732
\string1,1.847,0,2.482,3.217,4.363,2.276,3.359,3.721,4.838,2.580
\string2,2.293,2.482,0,4.609,4.991,1.193,3.784,3.475,4.770,1.390
\string3,3.798,3.217,4.609,0,3.350,4.333,2.433,5.762,4.282,5.104
\string4,5.203,4.363,4.991,3.350,0,4.560,4.249,5.211,1.374,5.927
\string5,1.762,2.276,1.193,4.333,4.560,0,4.170,2.442,4.430,1.514
\string6,4.018,3.359,3.784,2.433,4.249,4.170,0,6.316,4.629,4.601
\string7,3.267,3.721,3.475,5.762,5.211,2.442,6.316,0,5.094,3.244
\string8,5.471,4.838,4.770,4.282,1.374,4.430,4.629,5.094,0,5.859
\string9,1.732,2.580,1.390,5.104,5.927,1.514,4.601,3.244,5.859,0
