id,v0,v1,v2,v3
\string0,1.637,-0.7010000000000001,-0.1859999999999999,-1.259
\string1,0.7589999999999999,-0.758,1.437,-1.329
\string2,-0.3730000000000002,-1.603,-0.5069999999999999,-0.7090000000000001
\string3,1.892,0.2559999999999998,2.404,1.336
\string4,-0.99,1.928,2.131,1.549
\string5,-0.02099999999999991,-0.4980000000000002,-0.651,-0.9470000000000001
\string6,0.8780000000000001,-1.881,2.042,1.776
\string7,-0.3959999999999999,1.365,-1.189,-2.383
\string8,-1.908,1.713,1.178,1.852
\string9,0.4950000000000001,-1.669,-0.9330000000000001,-1.706
