,\string7,\string0,\string2,\string8,\string9,\string4,\string1,\string5,\string6,\string3
\string7,0,21.628,38.657,45.319,44.206,44.540,49.037,42.499,33.073,51.385
\string0,21.628,0,39.083,41.202,44.995,37.333,42.557,40.237,46.512,57.635
\string2,38.657,39.083,0,24.550,56.706,34.458,51.413,48.823,37.096,49.835
\string8,45.319,41.202,24.550,0,45.530,43.911,48.308,36.607,49.774,50.058
\string9,44.206,44.995,56.706,45.530,0,54.512,37.608,38.394,57.198,41.029
\string4,44.540,37.333,34.458,43.911,54.512,0,45.457,63.377,55.495,43.331
\string1,49.037,42.557,51.413,48.308,37.608,45.457,0,40.583,50.586,57.753
\string5,42.499,40.237,48.823,36.607,38.394,63.377,40.583,0,46.939,66.873
\string6,33.073,46.512,37.096,49.774,57.198,55.495,50.586,46.939,0,59.327
\string3,51.385,57.635,49.835,50.058,41.029,43.331,57.753,66.873,59.327,0
