,\string0,\string1,\string2,\string3,\string4,\string5,\string6,\string7,\string8,\string9,\string10,\string11,\string12,\string13,\string14,\string15,\string16,\string17,\string18,\string19,\string20,\string21,\string22,\string23,\string24,\string25,\string26,\string27,\string28,\string29,\string30,\string31,\string32,\string33,\string34,\string35,\string36,\string37,\string38,\string39,\string40,\string41,\string42,\string43,\string44,\string45,\string46,\string47,\string48,\string49,\string50,\string51,\string52,\string53,\string54,\string55,\string56,\string57,\string58,\string59,\string60,\string61,\string62,\string63,\string64,\string65,\string66,\string67,\string68,\string69,\string70,\string71,\string72,\string73,\string74,\string75,\string76,\string77,\string78,\string79,\string80,\string81,\string82,\string83,\string84,\string85,\string86,\string87,\string88,\string89,\string90,\string91,\string92,\string93,\string94,\string95,\string96,\string97,\string98,\string99,\string100,\string101,\string102,\string103,\string104,\string105,\string106,\string107,\string108,\string109,\string110,\string111,\string112,\string113,\string114,\string115,\string116,\string117,\string118,\string119,\string120,\string121,\string122,\string123,\string124,\string125,\string126,\string127,\string128,\string129,\string130,\string131,\string132,\string133,\string134,\string135,\string136,\string137,\string138,\string139,\string140,\string141,\string142,\string143,\string144,\string145,\string146,\string147,\string148,\string149,\string150,\string151,\string152,\string153,\string154,\string155,\string156,\string157,\string158,\string159,\string160,\string161,\string162,\string163,\string164,\string165,\string166,\string167,\string168,\string169,\string170,\string171,\string172,\string173,\string174,\string175,\string176,\string177,\string178,\string179,\string180,\string181,\string182,\string183,\string184,\string185,\string186,\string187,\string188,\string189,\string190,\string191,\string192,\string193,\string194,\string195,\string196,\string197,\string198,\string199
\string0,0,42.557,39.083,57.635,37.333,40.237,46.512,21.628,41.202,44.995,32.749,40.783,42.955,49.943,45.366,26.735,27.330,42.163,59.533,28.385,45.395,36.940,42.438,26.094,32.138,47.066,23.388,18.989,50.556,33.991,27.576,34.765,26.572,19.026,18.372,56.557,39.799,45.299,58.537,46.248,39.165,45.835,51.877,40.711,48.336,55.342,28.502,31.341,58.087,42.663,33.890,34.378,48.351,26.486,45.400,36.948,28.151,46.745,21.603,51.700,54.891,26.435,64.816,56.878,45.878,23.742,51.235,36.779,47.769,45.482,51.260,34.792,47.943,38.350,35.884,60.372,32.438,56.080,35.602,55.025,41.273,19.680,22.450,48.781,52.093,58.344,30.450,31.762,38.685,40.199,42.866,14.811,51.658,53.431,34.967,36.339,37.948,58.554,45.372,49.388,42.832,41.491,28.831,33.635,42.843,49.275,56.138,48.508,47.012,53.650,18.184,41.207,47.849,23.649,55.750,41.971,46.786,39.203,43.741,29.171,41.113,27.529,20.669,45.578,31.049,36.169,35.926,20.600,27.409,50.854,49.373,31.647,28.574,64.195,49.398,51.424,46.953,50.453,40.179,46.067,16.013,45.531,42.896,42.710,40.086,53.721,49.048,29.954,61.351,40.464,35.289,56.890,29.644,40.564,42.718,36.718,47.232,46.691,48.315,19.609,49.706,47.970,39.290,53.826,35.336,44.830,18.799,38.453,14.898,44.521,32.782,56.794,34.503,11.990,56.784,35.324,55.864,40.312,47.620,63.152,55.627,40.051,33.892,46.819,26.781,27.691,52.008,46.559,43.527,26.255,44.524,42.087,23.954,49.998,63.720,36.758,48.420,31.733,49.885,38.871
\string1,42.557,0,51.413,57.753,45.457,40.583,50.586,49.037,48.308,37.608,36.009,51.757,51.710,50.294,36.024,30.206,50.087,44.147,69.486,38.188,43.435,50.074,54.200,29.532,36.802,66.999,37.978,38.181,50.106,52.856,38.892,39.267,46.348,35.603,30.863,32.862,49.036,38.104,44.208,67.187,57.953,37.566,34.569,53.007,65.233,60.053,47.248,41.662,33.946,41.614,38.536,46.587,61.054,33.638,40.271,62.056,47.247,36.187,31.297,51.245,63.911,26.098,63.237,32.012,54.837,37.304,61.892,15.664,35.727,55.160,46.117,64.708,47.015,47.096,37.527,65.107,33.651,49.360,57.664,71.796,52.223,32.296,35.371,49.972,51.891,56.680,59.551,29.864,61.890,55.320,57.681,47.639,44.272,53.353,50.066,26.786,62.289,57.936,58.061,62.710,68.549,50.117,50.055,24.342,41.357,47.769,51.833,52.135,45.146,65.111,38.265,39.356,45.499,49.588,51.389,52.038,60.840,64.196,57.816,51.774,67.840,43.965,56.551,55.174,43.696,35.672,39.530,37.137,31.410,57.127,32.866,56.640,21.463,62.431,49.059,55.649,49.753,54.303,20.566,29.780,40.609,41.631,49.214,28.542,59.550,54.637,42.413,41.191,66.923,29.868,52.364,61.211,39.004,39.006,57.920,51.032,50.149,42.952,61.646,36.626,30.891,55.289,43.749,79.433,45.316,51.814,43.615,47.237,32.929,67.364,31.519,61.743,29.285,49.451,54.969,49.526,20.574,46.937,34.028,47.326,66.160,69.926,56.375,22.142,44.641,30.865,39.869,57.796,49.479,41.847,55.117,49.228,54.187,72.651,40.081,14.176,76.025,19.253,46.188,36.760
\string2,39.083,51.413,0,49.835,34.458,48.823,37.096,38.657,24.550,56.706,38.692,27.709,62.304,26.245,61.933,47.079,34.425,51.988,57.244,51.018,64.583,44.595,22.855,49.440,39.827,30.173,26.869,40.775,51.320,49.228,43.619,32.736,35.217,45.371,41.039,59.856,55.936,52.652,43.981,49.251,56.842,35.566,45.353,63.831,56.640,47.419,49.353,55.464,62.495,43.111,48.110,44.914,50.339,52.804,61.896,20.420,28.319,44.395,33.598,56.311,48.861,43.942,71.712,56.997,32.162,44.891,57.514,52.450,53.741,45.792,56.023,50.015,54.807,63.923,41.598,63.116,37.879,37.741,52.065,44.721,31.311,44.081,52.000,63.275,35.806,53.362,54.294,41.821,41.205,47.837,53.176,44.821,50.262,66.914,14.716,29.029,42.298,45.988,59.207,44.765,51.044,31.166,13.289,41.141,59.344,62.670,65.733,64.130,58.627,53.735,51.107,42.634,36.429,22.460,38.881,38.111,53.266,64.139,41.440,54.416,40.599,50.908,42.818,56.954,28.478,48.511,46.565,48.701,26.575,59.593,45.782,41.550,44.596,44.081,59.193,23.983,58.226,57.453,45.742,47.582,31.984,63.791,24.929,58.133,52.095,62.662,49.258,39.381,49.519,37.335,60.812,60.685,45.294,26.392,48.207,29.136,33.691,52.870,44.106,40.048,45.071,45.353,43.525,55.038,28.297,45.413,40.461,56.722,30.513,47.332,39.845,53.305,38.402,37.930,66.669,30.947,63.277,54.077,39.703,64.419,30.723,50.613,27.254,47.122,39.009,35.156,42.014,61.523,32.832,25.322,29.387,44.458,56.163,41.611,60.198,45.661,41.646,51.425,39.715,33.773
\string3,57.635,57.753,49.835,0,43.331,66.873,59.327,51.385,50.058,41.029,27.884,40.158,44.505,46.338,41.029,61.222,47.943,27.499,21.661,57.119,55.497,32.108,38.744,50.853,30.829,53.139,42.574,43.388,24.119,38.970,58.537,57.664,54.456,66.851,45.605,58.041,45.414,31.621,48.232,36.141,41.309,32.732,27.953,59.601,39.107,38.755,54.230,62.456,44.913,39.550,41.948,27.053,35.659,48.414,41.237,48.427,37.745,38.813,46.303,41.405,19.551,56.410,50.029,51.312,33.215,49.107,38.933,51.847,46.447,23.737,50.050,51.487,50.109,53.209,51.300,23.453,41.453,51.553,43.091,35.828,28.079,53.891,56.520,35.837,29.958,23.619,51.002,48.633,38.571,45.016,37.142,54.725,32.511,46.013,56.911,40.798,37.598,14.841,50.998,25.625,52.281,53.860,46.284,39.606,40.573,47.162,37.839,39.444,31.367,21.996,56.490,29.823,31.251,43.271,29.172,25.051,31.959,68.604,41.188,59.014,53.280,62.085,53.461,49.372,60.880,55.481,50.326,53.077,51.246,26.267,42.352,40.604,45.304,26.094,32.799,43.280,43.049,37.080,46.902,42.638,45.896,41.907,57.319,50.477,38.685,40.659,22.831,44.563,27.950,45.802,52.079,25.781,55.883,51.687,39.818,49.123,24.441,47.995,42.321,66.228,35.254,25.481,26.078,46.413,31.847,15.192,48.038,49.187,49.795,33.643,37.870,21.826,55.826,55.481,32.941,47.281,52.958,43.303,31.901,53.548,52.481,56.483,38.892,38.238,65.505,36.818,38.878,61.549,21.660,42.702,41.487,23.199,66.470,44.502,48.756,61.890,56.108,61.081,30.559,26.429
\string4,37.333,45.457,34.458,43.331,0,63.377,55.495,44.540,43.911,54.512,32.594,31.375,52.859,24.477,46.221,33.367,45.985,38.314,43.233,39.889,38.463,35.958,44.921,43.559,37.616,41.813,29.772,38.954,41.289,46.343,52.632,30.950,28.905,39.634,36.372,42.702,30.941,33.932,30.714,54.652,53.146,30.772,35.794,43.352,40.603,22.263,25.755,37.459,53.202,39.991,45.952,32.501,31.916,40.072,40.041,40.501,20.301,46.417,31.489,32.169,34.540,45.261,52.977,61.481,23.029,47.827,44.720,37.893,57.818,40.651,49.182,35.259,37.073,55.324,54.573,50.439,45.156,24.661,36.931,57.433,42.391,30.928,39.758,46.964,22.302,48.110,45.453,18.723,36.100,49.151,33.179,45.266,44.725,46.938,44.023,34.630,46.761,48.074,45.301,39.988,29.651,55.730,28.431,32.587,53.722,50.794,60.448,58.347,44.198,39.292,46.205,34.779,44.360,26.420,47.261,39.678,30.943,57.006,32.812,42.394,39.513,34.308,33.947,37.162,30.536,54.843,27.606,38.764,31.320,53.119,35.684,46.607,31.179,54.965,40.837,26.104,37.861,45.202,45.367,26.252,28.264,42.007,25.942,56.247,52.870,50.029,42.497,18.446,37.885,44.522,44.863,54.961,54.680,26.024,38.665,27.149,24.699,48.668,38.760,35.065,40.993,25.236,23.070,63.274,39.047,37.576,44.387,52.496,31.731,40.438,18.340,55.998,48.897,33.731,47.693,10.884,53.754,33.883,26.518,52.306,44.109,46.522,34.443,38.493,27.194,20.356,51.087,49.159,38.421,35.797,14.778,43.735,39.588,57.427,57.054,40.415,44.065,50.266,44.550,31.771
\string5,40.237,40.583,48.823,66.873,63.377,0,46.939,42.499,36.607,38.394,43.652,51.199,59.733,65.891,57.020,46.435,40.342,54.511,79.764,43.806,66.134,58.943,44.777,33.212,39.247,59.308,36.681,36.385,57.883,46.252,29.364,45.761,48.321,40.965,35.448,61.462,64.451,57.472,71.669,57.772,55.242,56.454,55.605,63.285,70.005,80.510,60.679,54.272,52.504,44.006,44.366,54.242,76.008,43.846,64.281,51.421,51.694,48.730,41.045,69.288,74.438,32.997,75.581,35.828,62.973,28.644,75.048,47.594,30.165,62.120,50.386,66.946,60.600,53.811,19.915,72.311,30.510,72.029,66.740,59.129,47.255,43.726,43.205,60.976,69.169,69.033,55.507,54.528,59.482,44.544,71.909,40.971,60.919,66.807,37.987,38.289,51.867,60.311,61.060,63.165,78.493,30.385,47.545,45.453,43.830,53.904,52.984,51.290,56.811,73.188,36.241,55.165,42.739,48.247,57.524,49.301,74.079,56.264,60.291,52.343,62.585,53.813,55.800,65.147,47.000,18.178,54.341,40.947,41.413,59.741,51.792,44.665,42.929,60.747,68.766,65.056,63.116,69.910,31.038,58.727,45.473,62.760,62.509,33.752,49.366,60.763,56.692,54.441,76.209,39.148,57.082,61.838,24.200,50.328,68.250,53.212,64.080,43.877,61.546,45.024,52.518,68.658,60.661,65.550,41.887,59.269,33.606,41.025,36.634,66.555,53.726,57.970,29.144,46.915,69.569,64.059,52.686,59.287,58.275,62.607,61.582,62.593,50.046,47.320,57.090,47.501,37.926,59.881,51.339,40.184,66.910,51.339,61.231,55.931,52.236,39.679,69.752,29.686,45.623,48.367
\string6,46.512,50.586,37.096,59.327,55.495,46.939,0,33.073,49.774,57.198,47.070,57.903,52.767,45.510,58.757,60.197,28.483,62.410,68.104,66.183,78.007,43.430,32.507,54.601,46.486,64.145,46.139,43.733,67.060,59.581,28.869,58.461,60.559,55.709,44.044,75.235,72.973,64.623,53.843,52.161,53.155,37.326,54.982,80.922,77.263,64.006,66.585,71.298,69.824,62.867,36.642,54.304,56.617,57.845,62.725,45.649,51.705,30.111,32.405,77.483,65.628,33.716,92.309,55.517,60.540,42.163,52.902,53.168,54.528,45.556,75.573,70.444,77.405,53.163,33.774,76.264,31.534,57.569,54.790,56.087,37.992,56.329,61.066,72.666,53.729,48.398,67.733,54.459,64.415,66.151,58.300,44.032,40.223,82.874,31.681,31.693,55.494,58.325,80.395,65.754,69.213,25.493,40.636,39.132,58.767,77.135,70.294,65.411,67.330,69.482,53.199,38.929,52.201,43.901,35.324,54.807,66.572,81.510,69.548,71.826,69.955,68.637,59.293,79.552,54.962,53.519,67.645,59.099,28.716,61.026,63.728,51.002,50.879,54.148,57.567,54.898,76.904,49.546,50.928,61.466,37.883,68.602,42.977,52.244,59.386,79.212,46.210,60.493,74.059,23.858,73.560,70.513,33.866,53.534,45.072,60.677,47.174,70.175,72.643,49.914,40.275,65.304,54.616,61.068,32.522,52.123,41.882,67.437,35.352,65.323,50.705,59.136,24.069,53.566,77.691,50.133,58.018,72.310,49.101,83.383,65.707,74.756,51.803,52.890,54.764,46.550,51.216,84.098,39.314,25.747,57.682,44.229,67.384,54.442,71.815,51.962,72.188,45.294,56.442,37.076
\string7,21.628,49.037,38.657,51.385,44.540,42.499,33.073,0,45.319,44.206,32.197,46.747,33.186,50.091,44.599,44.750,9.087,44.171,53.686,45.332,58.594,26.644,32.492,35.525,30.747,52.583,31.037,19.376,52.587,34.643,19.350,49.240,42.563,38.846,23.615,68.361,50.912,50.323,59.733,33.128,27.986,40.815,52.410,56.251,53.843,56.130,43.895,50.178,62.694,50.015,22.958,33.282,42.907,35.492,46.835,34.527,34.197,36.429,20.588,61.273,52.227,26.124,74.151,56.598,49.901,21.670,40.293,43.891,47.446,33.583,61.544,43.570,61.080,32.015,29.658,58.994,24.757,60.387,30.668,45.121,30.564,36.628,38.306,52.227,51.130,46.341,37.688,42.607,42.450,45.778,39.075,12.767,41.112,62.570,33.540,34.576,33.010,52.895,57.132,49.036,47.487,31.714,30.652,32.588,41.286,58.115,55.070,45.630,49.374,51.737,28.059,33.213,46.997,26.358,44.158,40.190,46.753,53.916,52.080,45.732,49.543,47.169,31.335,58.229,45.550,41.448,50.818,35.468,28.328,43.308,57.404,26.611,37.105,56.083,44.268,54.117,57.145,39.750,45.039,54.056,16.916,49.924,46.002,42.438,35.424,60.316,40.922,42.642,62.811,33.105,46.307,53.839,22.456,50.254,31.429,47.631,43.120,55.879,55.795,36.644,44.661,50.406,39.790,41.850,25.236,37.980,15.592,45.526,20.265,42.925,38.476,48.221,29.844,27.766,59.556,40.091,57.365,51.340,48.049,73.280,60.392,49.165,34.954,49.674,41.989,33.014,51.061,61.997,33.961,16.440,49.202,31.215,40.543,40.961,68.578,48.166,53.919,37.201,50.176,32.946
\string8,41.202,48.308,24.550,50.058,43.911,36.607,49.774,45.319,0,45.530,35.480,20.059,65.200,43.779,60.727,44.461,40.820,45.905,62.120,41.519,60.408,52.631,28.254,40.943,34.240,26.572,21.468,38.659,42.203,40.918,45.658,27.253,30.849,43.922,39.021,52.651,52.811,47.509,55.543,49.834,57.204,45.260,42.825,56.658,51.899,59.350,50.448,50.296,50.720,27.425,51.051,44.507,62.280,47.858,63.170,27.876,30.950,49.973,40.699,51.291,52.807,46.197,60.297,44.628,34.138,40.269,68.484,51.766,39.670,52.753,38.489,51.240,44.615,65.075,35.613,57.465,36.268,50.147,60.368,41.922,33.520,41.334,46.420,55.617,46.259,60.493,49.403,45.651,37.951,32.084,61.895,46.705,57.682,57.227,24.056,32.237,38.692,41.214,47.757,40.168,60.897,31.469,25.775,44.832,50.745,48.399,53.313,54.966,51.100,54.236,46.530,49.767,23.426,30.138,46.073,30.559,58.392,52.929,34.231,46.561,37.387,47.300,45.342,49.045,28.911,32.955,40.612,42.223,37.284,55.883,36.582,37.268,42.454,41.041,64.236,34.591,49.968,66.521,34.834,46.764,40.166,61.126,44.644,49.763,44.847,49.631,51.608,38.548,48.486,42.437,53.669,51.588,42.882,27.052,60.834,25.360,44.155,34.866,34.383,44.466,48.815,47.103,47.333,55.289,31.581,47.090,38.240,42.209,35.409,47.627,43.633,47.212,41.117,39.301,60.252,45.697,59.936,47.074,44.419,49.993,25.151,44.718,26.074,42.495,48.071,37.645,28.198,48.263,36.738,34.527,39.912,45.309,58.739,39.491,45.196,42.940,42.066,47.909,26.098,38.446
\string9,44.995,37.608,56.706,41.029,54.512,38.394,57.198,44.206,45.530,0,23.571,46.703,37.959,63.053,28.672,46.227,43.026,24.943,54.498,38.008,46.680,41.914,45.912,23.550,19.718,61.637,35.680,28.035,30.445,28.367,39.804,51.114,49.182,49.500,28.087,48.978,44.475,30.301,62.637,43.888,36.169,44.655,34.504,48.321,48.700,64.357,50.992,48.056,26.749,30.345,30.833,31.606,57.889,27.406,37.753,56.036,44.084,37.522,39.193,47.669,51.951,37.377,50.128,25.548,51.613,25.574,55.623,35.536,13.312,42.327,35.663,56.380,45.234,36.645,29.155,41.155,26.093,66.725,50.772,49.284,37.880,39.427,36.026,28.305,55.292,46.657,43.190,45.729,47.496,33.901,52.051,41.135,42.190,39.728,54.411,36.177,41.107,38.842,44.157,44.178,66.969,45.522,51.492,32.873,10.064,29.308,17.064,18.030,23.678,48.176,32.677,37.628,31.147,47.499,46.059,32.385,51.681,51.995,48.785,45.282,59.445,50.415,51.586,47.932,56.132,24.207,44.034,33.489,46.766,28.798,37.929,36.187,30.558,46.694,42.424,61.510,40.231,48.992,22.367,42.798,43.008,33.830,66.477,14.943,31.667,33.550,31.924,44.259,56.278,38.259,38.760,30.832,33.088,52.699,54.048,52.361,49.449,29.702,50.049,54.322,37.037,47.611,39.237,55.553,35.300,35.025,32.246,23.572,40.073,49.678,39.253,33.540,39.921,48.324,36.003,59.090,35.051,38.986,42.602,44.566,63.330,56.870,45.905,29.154,62.018,35.300,29.031,49.730,37.548,41.400,59.562,30.026,57.653,52.620,35.167,44.286,67.566,34.012,31.091,33.805
