Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,2.27374e-13
0,6,1.13687e-13
0,7,0
0,8,0
0,9,0
0,10,0
1,0,0
1,1,0
1,2,0
1,3,-0.0352915
1,4,-1.16652
1,5,0.068526
1,6,-10.4109
1,7,-0.0430532
1,8,-7.5198
1,9,-1.53077
1,10,0.0550922
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,2.27374e-13
2,6,0
2,7,0
2,8,0
2,9,-2.27374e-13
2,10,0
3,0,0
3,1,-0.0352915
3,2,0
3,3,0
3,4,0.211952
3,5,0.95829
3,6,-6.09558
3,7,-0.00685483
3,8,-1.52711
3,9,1.06856
3,10,-0.525534
4,0,0
4,1,-1.16652
4,2,0
4,3,0.211952
4,4,0
4,5,0.310946
4,6,1.4609
4,7,-0.0132702
4,8,-6.57348
4,9,1.30626
4,10,-1.50965
5,0,2.27374e-13
5,1,0.068526
5,2,2.27374e-13
5,3,0.95829
5,4,0.310946
5,5,0
5,6,-3.41472
5,7,0.90011
5,8,-34.8741
5,9,-10.5362
5,10,-5.26397
6,0,1.13687e-13
6,1,-10.4109
6,2,0
6,3,-6.09558
6,4,1.4609
6,5,-3.41472
6,6,0
6,7,-8.73603
6,8,-0.678823
6,9,-2.54254
6,10,3.16202
7,0,0
7,1,-0.0430532
7,2,0
7,3,-0.00685483
7,4,-0.0132702
7,5,0.90011
7,6,-8.73603
7,7,0
7,8,-3.2445
7,9,0.0241984
7,10,-0.239483
8,0,0
8,1,-7.5198
8,2,0
8,3,-1.52711
8,4,-6.57348
8,5,-34.8741
8,6,-0.678823
8,7,-3.2445
8,8,0
8,9,-27.9714
8,10,-6.41189
9,0,0
9,1,-1.53077
9,2,-2.27374e-13
9,3,1.06856
9,4,1.30626
9,5,-10.5362
9,6,-2.54254
9,7,0.0241984
9,8,-27.9714
9,9,0
9,10,-6.44247
10,0,0
10,1,0.0550922
10,2,0
10,3,-0.525534
10,4,-1.50965
10,5,-5.26397
10,6,3.16202
10,7,-0.239483
10,8,-6.41189
10,9,-6.44247
10,10,0
