,ATL,BOS,ORD,DCA,DEN,LAX,MIA,JFK,SEA,SFO,MSY
ATL,0,934,585,542,1209,1942,605,751,2181,2139,424
BOS,934,0,853,392,1769,2601,1252,183,2492,2700,1356
ORD,585,853,0,594,917,1748,1186,717,1732,1856,830
DCA,542,392,594,0,1489,2301,922,209,2321,2437,964
DEN,1209,1769,917,1489,0,837,1728,1633,1034,950,1082
LAX,1942,2601,1748,2301,837,0,2358,2458,1010,356,1685
MIA,605,1252,1186,922,1728,2358,0,1093,2741,2606,674
JFK,751,183,717,209,1633,2458,1093,0,2406,2573,1173
SEA,2181,2492,1732,2321,1034,1010,2741,2406,0,724,2112
SFO,2139,2700,1856,2437,950,356,2606,2573,724,0,1933
MSY,424,1356,830,964,1082,1685,674,1173,2112,1933,0
