Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,4.54747e-13
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
2,0,0
2,1,0
2,2,0
2,3,3.52607
2,4,1.10411
2,5,-0.069671
2,6,1.11366
2,7,2.59694
2,8,3.92402
2,9,1.27231
2,10,-0.450899
3,0,0
3,1,0
3,2,3.52607
3,3,0
3,4,4.05025
3,5,3.64758
3,6,-0.376825
3,7,0
3,8,6.86915
3,9,5.16093
3,10,-0.368256
4,0,0
4,1,0
4,2,1.10411
4,3,4.05025
4,4,0
4,5,-1.2074
4,6,-5.44024
4,7,3.46302
4,8,-10.553
4,9,1.42952
4,10,-3.00637
5,0,0
5,1,4.54747e-13
5,2,-0.069671
5,3,3.64758
5,4,-1.2074
5,5,0
5,6,-13.1095
5,7,3.11858
5,8,-53.1981
5,9,-14.6798
5,10,-5.79768
6,0,0
6,1,0
6,2,1.11366
6,3,-0.376825
6,4,-5.44024
6,5,-13.1095
6,6,0
6,7,-1.00661
6,8,-7.80639
6,9,-11.9378
6,10,-5.37219
7,0,0
7,1,0
7,2,2.59694
7,3,0
7,4,3.46302
7,5,3.11858
7,6,-1.00661
7,7,0
7,8,6.19801
7,9,3.93258
7,10,-0.141303
8,0,0
8,1,0
8,2,3.92402
8,3,6.86915
8,4,-10.553
8,5,-53.1981
8,6,-7.80639
8,7,6.19801
8,8,0
8,9,-42.8163
8,10,-11.0295
9,0,0
9,1,0
9,2,1.27231
9,3,5.16093
9,4,1.42952
9,5,-14.6798
9,6,-11.9378
9,7,3.93258
9,8,-42.8163
9,9,0
9,10,-7.96922
10,0,0
10,1,0
10,2,-0.450899
10,3,-0.368256
10,4,-3.00637
10,5,-5.79768
10,6,-5.37219
10,7,-0.141303
10,8,-11.0295
10,9,-7.96922
10,10,0
