,\stringORD,\stringATL,\stringDCA,\stringMSY,\stringDEN,\stringJFK,\stringBOS,\stringMIA,\stringLAX,\stringSFO,\stringSEA
\stringORD,0,585.000,834.045,1126.932,1123.530,927.413,1004.919,1269.565,2037.928,2402.312,2454.348
\stringATL,585.000,0,724.917,541.932,1708.530,1005.363,1252.350,684.565,2622.928,2987.312,3039.348
\stringDCA,834.045,724.917,0,1266.849,1957.575,280.446,527.433,1238.162,1898.011,2262.395,2314.431
\stringMSY,1126.932,541.932,1266.849,0,1451.895,1547.296,1794.282,941.200,3164.860,3529.244,3581.280
\stringDEN,1123.530,1708.530,1957.575,1451.895,0,2050.943,2128.449,2393.095,2688.411,3052.796,3104.831
\stringJFK,927.413,1005.363,280.446,1547.296,2050.943,0,246.986,1518.608,1617.564,1981.949,2033.984
\stringBOS,1004.919,1252.350,527.433,1794.282,2128.449,246.986,0,1765.595,1370.578,1734.962,1786.998
\stringMIA,1269.565,684.565,1238.162,941.200,2393.095,1518.608,1765.595,0,3136.173,3500.557,3552.593
\stringLAX,2037.928,2622.928,1898.011,3164.860,2688.411,1617.564,1370.578,3136.173,0,364.384,1339.486
\stringSFO,2402.312,2987.312,2262.395,3529.244,3052.796,1981.949,1734.962,3500.557,364.384,0,1001.286
\stringSEA,2454.348,3039.348,2314.431,3581.280,3104.831,2033.984,1786.998,3552.593,1339.486,1001.286,0
