Head,Tail,Difference
0,0,0
0,1,0
0,2,-199.395
0,3,0
0,4,-348.313
0,5,-768.992
0,6,-149.966
0,7,0
0,8,-288.712
0,9,-745.312
0,10,-46.6488
1,0,0
1,1,0
1,2,-344.011
1,3,0
1,4,-722.313
1,5,-1043.99
1,6,-436.966
1,7,0
1,8,-911.712
1,9,-1118.31
1,10,-48.6488
2,0,-199.395
2,1,-344.011
2,2,0
2,3,-207.011
2,4,-376.302
2,5,-699.981
2,6,-352.361
2,7,-294.011
2,8,-470.701
2,9,-764.301
2,10,-325.934
3,0,0
3,1,0
3,2,-207.011
3,3,0
3,4,-606.313
3,5,-947.992
3,6,-374.966
3,7,0
3,8,-683.712
3,9,-984.312
3,10,-48.6488
4,0,-348.313
4,1,-722.313
4,2,-376.302
4,3,-606.313
4,4,0
4,5,-317.679
4,6,-236.9
4,7,-672.313
4,8,-118.925
4,9,-375.999
4,10,-7.66439
5,0,-768.992
5,1,-1043.99
5,2,-699.981
5,3,-947.992
5,4,-317.679
5,5,0
5,6,-768.579
5,7,-1000.99
5,8,-451.114
5,9,-131.204
5,10,-561.344
6,0,-149.966
6,1,-436.966
6,2,-352.361
6,3,-374.966
6,4,-236.9
6,5,-768.579
6,6,0
6,7,-413.966
6,8,-139.298
6,9,-692.898
6,10,-204.235
7,0,0
7,1,0
7,2,-294.011
7,3,0
7,4,-672.313
7,5,-1000.99
7,6,-413.966
7,7,0
7,8,-808.712
7,9,-1058.31
7,10,-48.6488
8,0,-288.712
8,1,-911.712
8,2,-470.701
8,3,-683.712
8,4,-118.925
8,5,-451.114
8,6,-139.298
8,7,-808.712
8,8,0
8,9,-254.91
8,10,-118.253
9,0,-745.312
9,1,-1118.31
9,2,-764.301
9,3,-984.312
9,4,-375.999
9,5,-131.204
9,6,-692.898
9,7,-1058.31
9,8,-254.91
9,9,0
9,10,-488.663
10,0,-46.6488
10,1,-48.6488
10,2,-325.934
10,3,-48.6488
10,4,-7.66439
10,5,-561.344
10,6,-204.235
10,7,-48.6488
10,8,-118.253
10,9,-488.663
10,10,0
