,\stringATL,\stringBOS,\stringORD,\stringDCA,\stringDEN,\stringLAX,\stringMIA,\stringJFK,\stringSEA,\stringSFO,\stringMSY
\stringATL,0,934.000,784.395,542.000,1557.313,2710.992,754.966,751.000,2469.712,2884.312,470.649
\stringBOS,934.000,0,1197.011,392.000,2491.313,3644.992,1688.966,183.000,3403.712,3818.312,1404.649
\stringORD,784.395,1197.011,0,805.011,1294.302,2447.981,1539.361,1014.011,2206.701,2621.301,1155.934
\stringDCA,542.000,392.000,805.011,0,2099.313,3252.992,1296.966,209.000,3011.712,3426.312,1012.649
\stringDEN,1557.313,2491.313,1294.302,2099.313,0,1153.679,1959.900,2308.313,1141.925,1326.999,1086.664
\stringLAX,2710.992,3644.992,2447.981,3252.992,1153.679,0,3113.579,3461.992,1408.114,472.204,2240.344
\stringMIA,754.966,1688.966,1539.361,1296.966,1959.900,3113.579,0,1505.966,2872.298,3286.898,873.235
\stringJFK,751.000,183.000,1014.011,209.000,2308.313,3461.992,1505.966,0,3220.712,3635.312,1221.649
\stringSEA,2469.712,3403.712,2206.701,3011.712,1141.925,1408.114,2872.298,3220.712,0,935.910,2219.253
\stringSFO,2884.312,3818.312,2621.301,3426.312,1326.999,472.204,3286.898,3635.312,935.910,0,2413.663
\stringMSY,470.649,1404.649,1155.934,1012.649,1086.664,2240.344,873.235,1221.649,2219.253,2413.663,0
