Head,Tail,Difference
0,0,0
0,1,3.55271e-15
0,2,-7.10543e-14
0,3,4.61853e-14
0,4,4.9738e-14
0,5,6.03961e-14
0,6,2.13163e-14
0,7,3.90799e-14
0,8,2.84217e-14
0,9,1.42109e-14
0,10,1.77636e-14
0,11,4.26326e-14
0,12,-7.10543e-15
0,13,-7.10543e-15
0,14,-2.13163e-14
0,15,0
0,16,7.10543e-15
0,17,-2.84217e-14
0,18,0
0,19,-3.55271e-14
0,20,-1.42109e-14
0,21,0
0,22,0
0,23,-1.42109e-14
0,24,-1.42109e-14
0,25,0
0,26,-1.42109e-14
0,27,0
0,28,0
0,29,-2.84217e-14
0,30,0
0,31,-2.84217e-14
0,32,0
0,33,0
0,34,0
0,35,-1.42109e-14
0,36,-1.42109e-14
0,37,-1.42109e-14
1,0,3.55271e-15
1,1,0
1,2,3.55271e-14
1,3,4.08562e-14
1,4,1.42109e-14
1,5,3.55271e-14
1,6,2.84217e-14
1,7,1.42109e-14
1,8,7.10543e-15
1,9,7.10543e-15
1,10,-3.55271e-15
1,11,1.42109e-14
1,12,0
1,13,-7.10543e-15
1,14,1.42109e-14
1,15,7.10543e-15
1,16,0
1,17,-1.42109e-14
1,18,0
1,19,-2.84217e-14
1,20,0
1,21,7.10543e-15
1,22,1.42109e-14
1,23,7.10543e-15
1,24,0
1,25,-1.42109e-14
1,26,-1.42109e-14
1,27,0
1,28,5.68434e-14
1,29,-2.84217e-14
1,30,0
1,31,-2.84217e-14
1,32,0
1,33,-1.42109e-14
1,34,4.26326e-14
1,35,-1.42109e-14
1,36,0
1,37,0
2,0,-7.10543e-14
2,1,3.55271e-14
2,2,0
2,3,4.583e-13
2,4,9.23706e-14
2,5,1.77636e-13
2,6,-2.13163e-14
2,7,1.13687e-13
2,8,3.2685e-13
2,9,-7.81597e-14
2,10,1.98952e-13
2,11,1.49214e-13
2,12,-4.9738e-14
2,13,4.26326e-14
2,14,-1.13687e-13
2,15,0
2,16,-1.42109e-14
2,17,-1.06581e-13
2,18,0
2,19,-1.27898e-13
2,20,-2.84217e-14
2,21,0
2,22,-8.52651e-14
2,23,-6.39488e-14
2,24,0
2,25,-7.10543e-14
2,26,-5.68434e-14
2,27,-1.42109e-14
2,28,5.68434e-14
2,29,2.84217e-14
2,30,4.26326e-14
2,31,0
2,32,-9.9476e-14
2,33,8.52651e-14
2,34,4.26326e-14
2,35,5.68434e-14
2,36,-2.84217e-14
2,37,-4.26326e-14
3,0,4.61853e-14
3,1,4.08562e-14
3,2,4.583e-13
3,3,0
3,4,-6.39488e-14
3,5,-1.06581e-13
3,6,3.55271e-14
3,7,-9.23706e-14
3,8,-2.38032e-13
3,9,5.68434e-14
3,10,-1.56319e-13
3,11,-1.13687e-13
3,12,4.26326e-14
3,13,-1.42109e-14
