,\string18,\string15,\string21,\string16,\string24,\string12,\string13,\string27,\string17,\string26,\string11,\string23,\string30,\string10,\string14,\string7,\string31,\string20,\string19,\string6,\string8,\string9,\string29,\string22,\string5,\string4,\string33,\string35,\string25,\string28,\string34,\string0,\string37,\string3,\string1,\string36,\string32,\string2
\string18,0,10,13,9,16,16,27,26,28,31,26,32,32,31,25,32,37,27,40,35,41,35,43,34,39,40,47,47,42,51,49,53,55,57,56,54,53,60
\string15,10,0,19,11,24,11,18,35,24,35,22,32,39,21,29,25,44,35,37,32,32,32,45,43,32,34,53,55,52,52,58,43,60,47,46,63,63,50
\string21,13,19,0,21,6,28,31,17,26,20,38,23,20,38,35,43,25,32,34,48,47,48,32,37,51,52,35,37,44,40,42,62,42,61,63,46,51,66
\string16,9,11,21,0,24,10,29,33,34,40,18,40,40,30,18,25,45,25,46,27,40,27,52,34,33,32,56,54,42,59,54,49,63,56,54,59,55,59
\string24,16,24,6,24,0,33,37,12,31,20,42,26,15,43,36,48,20,30,38,51,53,51,32,34,55,56,32,31,40,41,36,67,39,67,69,40,46,72
\string12,16,11,28,10,33,0,25,42,34,45,13,43,48,24,22,16,53,33,47,21,33,21,57,42,24,24,63,63,51,63,63,40,70,48,45,69,64,51
\string13,27,18,31,29,37,25,0,49,16,38,32,31,49,11,46,32,53,54,28,42,17,42,45,61,34,39,60,66,70,48,73,34,66,30,33,77,80,35
\string27,26,35,17,33,12,42,49,0,41,24,51,33,11,55,40,57,14,30,46,59,65,59,35,30,65,65,27,21,33,45,24,78,33,79,81,29,37,83
\string17,28,24,26,34,31,34,16,41,0,25,43,16,40,26,51,45,43,55,14,53,31,53,31,60,49,53,48,57,68,33,66,49,53,41,46,69,75,46
\string26,31,35,20,40,20,45,38,24,25,0,55,11,18,48,54,60,20,50,24,66,55,65,14,52,66,69,24,34,57,22,45,72,28,66,71,47,60,71
\string11,26,22,38,18,42,13,32,51,43,55,0,54,57,26,25,8,62,37,57,14,35,15,66,47,16,15,72,70,55,72,70,38,80,50,45,76,69,52
\string23,32,32,23,40,26,43,31,33,16,11,54,0,28,41,55,57,30,55,14,64,47,64,16,58,62,65,34,45,64,20,55,65,37,57,62,58,69,62
\string30,32,39,20,40,15,48,49,11,40,18,57,28,0,57,50,63,5,40,42,67,65,66,26,40,70,71,17,17,43,36,28,81,25,79,82,31,45,84
\string10,31,21,38,30,43,24,11,55,26,48,26,41,57,0,45,24,61,55,38,35,11,37,55,64,25,31,68,73,72,58,78,26,75,27,27,84,84,30
\string14,25,29,35,18,36,22,46,40,51,54,25,55,50,45,0,30,54,18,63,25,55,23,67,25,39,35,67,60,34,75,55,58,73,70,65,60,48,72
\string7,32,25,43,25,48,16,32,57,45,60,8,57,63,24,30,0,68,44,58,12,31,14,70,54,9,9,78,77,62,76,77,31,85,45,39,83,77,46
\string31,37,44,25,45,20,53,53,14,43,20,62,30,5,61,54,68,0,44,44,72,70,71,26,43,76,77,13,15,45,36,27,86,20,83,86,29,45,88
\string20,27,35,32,25,30,33,54,30,55,50,37,55,40,55,18,44,44,0,65,41,65,39,62,10,53,50,57,46,18,71,39,72,63,81,79,45,33,84
\string19,40,37,34,46,38,47,28,46,14,24,57,14,42,38,63,58,44,65,0,67,41,67,24,69,62,66,45,58,77,23,69,59,48,47,55,71,82,53
\string6,35,32,48,27,51,21,42,59,53,66,14,64,67,35,25,12,72,41,67,0,42,3,77,50,17,11,83,80,58,84,77,39,90,56,48,83,73,56
\string8,41,32,47,40,53,33,17,65,31,55,35,47,65,11,55,31,70,65,41,42,0,44,60,74,29,36,76,82,83,62,88,20,83,16,17,93,94,20
\string9,35,32,48,27,51,21,42,59,53,65,15,64,66,37,23,14,71,39,67,3,44,0,77,48,19,13,82,79,57,84,76,40,89,57,50,82,71,57
\string29,43,45,32,52,32,57,45,35,31,14,66,16,26,55,67,70,26,62,24,77,60,77,0,64,76,79,22,38,69,10,52,79,26,70,76,54,70,75
\string22,34,43,37,34,34,42,61,30,60,52,47,58,40,64,25,54,43,10,69,50,74,48,64,0,62,59,56,44,10,74,34,81,61,89,87,38,23,92
\string5,39,32,51,33,55,24,34,65,49,66,16,62,70,25,39,9,76,53,62,17,29,19,76,62,0,7,85,85,71,81,86,24,93,41,34,92,85,41
\string4,40,34,52,32,56,24,39,65,53,69,15,65,71,31,35,9,77,50,66,11,36,13,79,59,7,0,86,85,67,84,85,30,94,48,40,91,82,48
\string33,47,53,35,56,32,63,60,27,48,24,72,34,17,68,67,78,13,57,45,83,76,82,22,56,85,86,0,18,57,31,34,94,13,88,93,35,56,93
\string35,47,55,37,54,31,63,66,21,57,34,70,45,17,73,60,77,15,46,58,80,82,79,38,44,85,85,18,0,43,48,17,98,24,96,99,19,39,101
\string25,42,52,44,42,40,51,70,33,68,57,55,64,43,72,34,62,45,18,77,58,83,57,69,10,71,67,57,43,0,78,30,90,62,98,96,35,16,101
\string28,51,52,40,59,41,63,48,45,33,22,72,20,36,58,75,76,36,71,23,84,62,84,10,74,81,84,31,48,78,0,62,81,32,69,77,63,80,75
\string34,49,58,42,54,36,63,73,24,66,45,70,55,28,78,55,77,27,39,69,77,88,76,52,34,86,85,34,17,30,62,0,102,38,103,104,9,23,107
\string0,53,43,62,49,67,40,34,78,49,72,38,65,81,26,58,31,86,72,59,39,20,40,79,81,24,30,94,98,90,81,102,0,100,22,11,107,103,19
\string37,55,60,42,63,39,70,66,33,53,28,80,37,25,75,73,85,20,63,48,90,83,89,26,61,93,94,13,24,62,32,38,100,0,93,99,36,58,99
\string3,57,47,61,56,67,48,30,79,41,66,50,57,79,27,70,45,83,81,47,56,16,57,70,89,41,48,88,96,98,69,103,22,93,0,11,107,109,6
\string1,56,46,63,54,69,45,33,81,46,71,45,62,82,27,65,39,86,79,55,48,17,50,76,87,34,40,93,99,96,77,104,11,99,11,0,109,108,8
\string36,54,63,46,59,40,69,77,29,69,47,76,58,31,84,60,83,29,45,71,83,93,82,54,38,92,91,35,19,35,63,9,107,36,107,109,0,25,112
\string32,53,63,51,55,46,64,80,37,75,60,69,69,45,84,48,77,45,33,82,73,94,71,70,23,85,82,56,39,16,80,23,103,58,109,108,25,0,113
\string2,60,50,66,59,72,51,35,83,46,71,52,62,84,30,72,46,88,84,53,56,20,57,75,92,41,48,93,101,101,75,107,19,99,6,8,112,113,0
