id,v0,v1,v2
18,0,0,0
15,10.012,0,0
21,-5.213,11.401,0
16,2.647,-8.210,0.768
24,-11.011,11.998,0.197
12,11.710,-11.223,1.780
13,25.743,9.421,-1.672
27,-22.572,13.185,1.290
17,17.828,21.748,4.382
26,-5.643,30.557,3.661
11,14.682,-19.916,-6.986
23,5.044,31.339,5.139
30,-21.323,23.422,-1.650
10,30.337,0.874,-6.012
14,-5.643,-23.088,7.008
7,22.172,-21.736,-5.381
31,-24.644,27.201,0.064
20,-21.124,-16.624,1.854
19,18.052,35.341,5.038
6,16.659,-31.207,0.386
8,40.724,3.080,-6.505
9,15.381,-31.437,2.851
29,-4.120,43.025,-1.770
22,-29.663,-15.091,7.306
5,30.312,-24.118,-6.818
4,26.217,-29.745,-4.680
33,-25.918,39.267,-5.232
35,-38.302,26.061,-4.774
25,-39.001,-15.660,4.762
28,1.998,50.997,0.526
34,-46.891,12.607,-0.505
0,51.236,-13.392,-0.724
37,-29.214,45.742,5.026
3,55.930,8.034,-2.698
1,56.180,-3.378,-1.849
36,-50.787,16.931,5.751
32,-51.336,-7.529,10.485
2,60.200,3.618,-1.464
