id,v0,v1,v2
\string0,-16,-15,17
\string1,-14,-4,18
\string2,-13,4,17.5
\string3,-7,5,19
\string4,-6,-43,22
\string5,-6,-36,24
\string6,1,-50,17.4
\string7,2,-39,23
\string8,2,-8,23.5
\string9,2,-51,15
\string10,9,-16,23.5
\string11,9,-42,25
\string12,17,-37,16.5
\string13,18,-12,19.5
\string14,24,-57,12
\string15,25,-29,18.5
\string16,26,-40,18
\string17,32,-7,14
\string18,33,-35,19
\string19,40,4,13.5
\string20,40,-61,18
\string21,44,-29,19.4
\string22,48,-65,13
\string23,48,-7,14
\string24,49,-32,19.5
\string25,55,-71,16
\string26,56,-14,16
\string27,59,-38,19
\string28,62,7,19
\string29,62,-3,21.5
\string30,64,-29,22
\string31,69,-28,20.5
\string32,70,-72,11
\string33,77,-19,26
\string34,78,-53,22
\string35,79,-37,26
\string36,84,-52,16
\string37,84,-16,16
