Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,3.55271e-15
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,7.10543e-15
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,-1.42109e-14
0,28,0
0,29,1.42109e-14
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,-1.42109e-14
1,0,0
1,1,0
1,2,-1.77636e-15
1,3,-1.77636e-15
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,-7.10543e-15
1,13,0
1,14,-1.42109e-14
1,15,0
1,16,0
1,17,0
1,18,7.10543e-15
1,19,-7.10543e-15
1,20,0
1,21,0
1,22,-1.42109e-14
1,23,0
1,24,0
1,25,0
1,26,0
1,27,-1.42109e-14
1,28,0
1,29,1.42109e-14
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,-1.42109e-14
2,0,0
2,1,-1.77636e-15
2,2,0
2,3,3.55271e-15
2,4,0
2,5,0
2,6,-7.10543e-15
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,-7.10543e-15
2,13,0
2,14,0
2,15,0
2,16,-7.10543e-15
2,17,0
2,18,0
2,19,-7.10543e-15
2,20,0
2,21,0
2,22,-1.42109e-14
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,1.42109e-14
2,33,0
2,34,0
2,35,0
2,36,0
2,37,0
3,0,0
3,1,-1.77636e-15
3,2,3.55271e-15
3,3,0
3,4,1.42109e-14
3,5,0
3,6,7.10543e-15
3,7,0
3,8,-1.06581e-14
3,9,2.13163e-14
3,10,-3.55271e-15
3,11,0
3,12,0
3,13,7.10543e-15
3,14,0
3,15,7.10543e-15
3,16,1.42109e-14
3,17,2.84217e-14
3,18,2.13163e-14
3,19,1.42109e-14
3,20,0
3,21,2.13163e-14
3,22,0
3,23,1.42109e-14
3,24,2.84217e-14
3,25,1.42109e-14
3,26,2.84217e-14
3,27,0
3,28,1.42109e-14
3,29,2.84217e-14
3,30,0
3,31,1.42109e-14
3,32,2.84217e-14
3,33,-1.42109e-14
3,34,0
3,35,-1.42109e-14
3,36,-1.42109e-14
3,37,0
4,0,0
4,1,0
4,2,0
4,3,1.42109e-14
4,4,0
4,5,7.01661e-14
4,6,3.19744e-14
4,7,2.4869e-14
4,8,1.42109e-14
4,9,2.32703e-13
4,10,2.13163e-14
4,11,3.55271e-15
4,12,6.75016e-14
4,13,3.55271e-14
4,14,3.55271e-14
4,15,1.13687e-13
4,16,7.10543e-14
4,17,1.13687e-13
4,18,8.52651e-14
4,19,4.26326e-14
4,20,5.68434e-14
4,21,7.10543e-15
4,22,3.55271e-14
4,23,9.9476e-14
4,24,8.52651e-14
4,25,0
4,26,9.9476e-14
4,27,2.84217e-14
4,28,1.42109e-14
4,29,7.10543e-14
4,30,7.10543e-14
4,31,1.13687e-13
4,32,5.68434e-14
4,33,9.9476e-14
4,34,5.68434e-14
4,35,-1.42109e-14
4,36,5.68434e-14
4,37,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,7.01661e-14
5,5,0
5,6,1.42109e-13
5,7,1.43885e-13
5,8,1.77636e-14
5,9,3.33955e-13
5,10,6.39488e-14
5,11,6.75016e-14
5,12,1.98952e-13
5,13,1.06581e-13
5,14,1.49214e-13
5,15,2.41585e-13
5,16,1.98952e-13
5,17,2.20268e-13
5,18,1.98952e-13
5,19,1.27898e-13
5,20,1.63425e-13
5,21,9.23706e-14
5,22,1.49214e-13
5,23,1.91847e-13
5,24,2.06057e-13
5,25,9.9476e-14
5,26,2.27374e-13
5,27,1.27898e-13
5,28,8.52651e-14
5,29,1.42109e-13
5,30,1.42109e-13
5,31,2.13163e-13
5,32,1.7053e-13
5,33,1.84741e-13
5,34,1.13687e-13
5,35,4.26326e-14
5,36,1.56319e-13
5,37,8.52651e-14
6,0,0
6,1,0
6,2,-7.10543e-15
6,3,7.10543e-15
6,4,3.19744e-14
6,5,1.42109e-13
6,6,0
6,7,-1.77636e-14
6,8,-7.10543e-15
6,9,3.46834e-13
6,10,-7.10543e-15
6,11,3.73035e-14
6,12,2.84217e-14
6,13,1.42109e-14
6,14,2.4869e-14
6,15,2.84217e-14
6,16,1.77636e-14
6,17,5.68434e-14
6,18,2.13163e-14
6,19,1.42109e-14
6,20,2.84217e-14
6,21,-7.10543e-15
6,22,0
6,23,5.68434e-14
6,24,0
6,25,-2.84217e-14
6,26,1.42109e-14
6,27,-7.10543e-15
6,28,0
6,29,1.42109e-14
6,30,0
6,31,2.84217e-14
6,32,0
6,33,4.26326e-14
6,34,2.84217e-14
6,35,2.84217e-14
6,36,2.84217e-14
6,37,-1.42109e-14
7,0,0
7,1,0
7,2,0
7,3,0
7,4,2.4869e-14
7,5,1.43885e-13
7,6,-1.77636e-14
7,7,0
7,8,3.55271e-15
7,9,2.02505e-13
7,10,7.10543e-15
7,11,-4.44089e-15
7,12,1.77636e-14
7,13,7.10543e-15
7,14,-4.26326e-14
7,15,9.9476e-14
7,16,4.26326e-14
7,17,9.9476e-14
7,18,4.9738e-14
7,19,1.42109e-14
7,20,2.13163e-14
7,21,-3.55271e-14
7,22,0
7,23,7.10543e-14
7,24,6.39488e-14
7,25,-3.55271e-14
7,26,9.23706e-14
7,27,-7.10543e-15
7,28,-1.42109e-14
7,29,4.26326e-14
7,30,2.84217e-14
7,31,8.52651e-14
7,32,2.84217e-14
7,33,7.10543e-14
7,34,0
7,35,-5.68434e-14
7,36,1.42109e-14
7,37,-2.84217e-14
8,0,0
8,1,0
8,2,0
8,3,-1.06581e-14
8,4,1.42109e-14
8,5,1.77636e-14
8,6,-7.10543e-15
8,7,3.55271e-15
8,8,0
8,9,6.39488e-14
8,10,0
8,11,0
8,12,-1.42109e-14
8,13,-2.13163e-14
8,14,-4.9738e-14
8,15,5.68434e-14
8,16,1.42109e-14
8,17,9.59233e-14
8,18,2.84217e-14
8,19,0
8,20,0
8,21,-2.13163e-14
8,22,0
8,23,3.55271e-14
8,24,5.68434e-14
8,25,-1.42109e-14
8,26,9.23706e-14
8,27,-1.42109e-14
8,28,-3.55271e-14
8,29,2.84217e-14
8,30,1.42109e-14
8,31,5.68434e-14
8,32,1.42109e-14
8,33,1.42109e-14
8,34,-4.26326e-14
8,35,-7.10543e-14
8,36,-1.42109e-14
8,37,-5.68434e-14
9,0,0
9,1,0
9,2,0
9,3,2.13163e-14
9,4,2.32703e-13
9,5,3.33955e-13
9,6,3.46834e-13
9,7,2.02505e-13
9,8,6.39488e-14
9,9,0
9,10,9.23706e-14
9,11,3.33955e-13
9,12,7.10543e-14
9,13,6.39488e-14
9,14,1.06581e-14
9,15,5.68434e-14
9,16,7.10543e-14
9,17,2.84217e-14
9,18,7.10543e-14
9,19,2.84217e-14
9,20,8.52651e-14
9,21,5.68434e-14
9,22,7.10543e-15
9,23,4.9738e-14
9,24,4.26326e-14
9,25,2.13163e-14
9,26,0
9,27,4.9738e-14
9,28,5.68434e-14
9,29,5.68434e-14
9,30,5.68434e-14
9,31,4.26326e-14
9,32,-1.42109e-14
9,33,9.9476e-14
9,34,8.52651e-14
9,35,1.27898e-13
