,\string0,\string1,\string2,\string3,\string4,\string5,\string6,\string7,\string8,\string9,\string10,\string11,\string12,\string13,\string14,\string15,\string16,\string17,\string18,\string19,\string20,\string21,\string22,\string23,\string24,\string25,\string26,\string27,\string28,\string29,\string30,\string31,\string32,\string33,\string34,\string35,\string36,\string37
\string0,0,11.225,19.242,22.023,30.150,24.290,38.912,30.594,20.378,40.299,25.851,37.656,39.664,34.224,58.215,43.350,48.888,48.754,52.962,59.239,72.478,61.658,81.314,64.568,67.233,90.432,72.014,78.473,81.068,79.046,81.370,86.060,103.349,93.520,101.514,97.929,106.630,100.010
\string1,11.225,0,8.078,11.446,40.012,33.526,48.388,38.807,17.385,49.739,26.519,44.967,45.302,33.019,65.490,46.328,53.814,46.271,56.312,54.775,78.518,63.174,87.121,62.201,68.958,96.198,70.739,80.536,76.798,76.087,82.006,86.436,108.301,92.574,104.312,99.005,109.142,98.752
\string2,19.242,8.078,0,6.265,47.731,41.125,55.785,45.872,20.125,57.064,30.332,51.539,50.813,34.943,71.556,50.339,58.798,46.457,60.326,53.151,83.870,65.891,92.208,62.083,71.722,101.248,71.325,83.368,75.075,75.432,83.894,88.074,112.726,93.280,107.472,101.080,112.015,99.052
\string3,22.023,11.446,6.265,0,48.104,41.316,55.602,45.089,16.439,56.859,26.782,50.010,48.438,30.237,69.671,46.693,55.812,41.110,56.569,47.331,81.031,61.296,89.224,56.515,67.121,98.127,65.871,78.772,69.029,69.507,78.778,82.869,109.188,87.641,102.947,95.964,107.420,93.440
\string4,30.150,40.012,47.731,48.104,0,7.280,10.916,9.000,35.934,13.304,30.923,15.330,24.398,39.284,34.583,34.194,32.388,52.953,39.925,66.312,49.558,51.988,59.000,65.391,56.145,67.387,68.710,65.261,84.457,78.894,71.386,76.500,82.085,86.493,84.593,85.305,90.648,94.154
\string5,24.290,33.526,41.125,41.316,7.280,0,16.987,8.602,29.125,19.235,25.005,16.186,24.213,34.238,38.536,32.253,32.802,48.836,39.332,61.857,52.697,50.697,62.274,62.105,55.329,70.781,66.272,65.223,80.610,75.626,70.378,75.507,85.094,84.747,85.726,85.029,91.761,92.542
\string6,38.912,48.388,55.785,55.602,10.916,16.987,0,12.384,42.452,2.786,35.457,13.629,20.635,41.682,24.641,31.909,26.933,53.118,35.377,66.725,40.526,47.896,49.531,63.793,51.307,57.957,65.749,59.250,83.502,77.116,66.567,71.537,72.705,82.529,77.196,79.542,83.036,89.705
\string7,30.594,38.807,45.872,45.089,9.000,8.602,12.384,0,31.004,14.422,24.047,7.874,16.470,31.579,30.480,25.480,24.536,44.777,31.512,58.166,44.193,43.324,53.777,56.754,47.647,62.306,59.917,57.149,75.710,69.987,62.809,67.943,76.531,77.679,77.285,77.084,83.319,85.452
\string8,20.378,17.385,20.125,16.439,35.934,29.125,42.452,31.004,0,43.832,10.630,34.746,33.392,16.971,54.930,31.544,40.376,31.484,41.355,41.085,65.447,47.136,73.995,46.981,52.924,82.670,54.848,64.570,62.010,60.241,65.477,69.986,94.214,75.844,88.336,82.318,93.361,82.730
\string9,40.299,49.739,57.064,56.859,13.304,19.235,2.786,14.422,43.832,0,36.691,15.166,20.573,42.394,23.000,32.020,26.571,53.263,35.114,66.867,39.408,47.617,48.125,63.663,50.894,56.657,65.468,58.600,83.546,77.112,66.159,71.051,71.281,82.280,76.348,79.032,82.012,89.163
\string10,25.851,26.519,30.332,26.782,30.923,25.005,35.457,24.047,10.630,36.691,0,26.043,23.537,10.630,45.147,21.213,29.921,26.462,30.939,38.223,54.920,37.561,63.500,41.137,43.267,72.092,47.637,54.811,57.950,54.608,56.535,61.262,83.745,68.112,78.309,73.125,83.530,75.374
\string11,37.656,44.967,51.539,50.010,15.330,16.186,13.629,7.874,34.746,15.166,26.043,0,12.698,31.800,24.880,21.616,18.493,43.301,25.710,56.650,37.027,37.754,46.840,53.544,41.596,55.118,55.444,50.517,72.429,65.896,56.595,61.776,69.405,71.791,69.936,70.185,76.197,79.887
\string12,39.664,45.302,50.813,48.438,24.398,24.213,20.635,16.470,33.392,20.573,23.537,12.698,0,25.199,21.662,11.489,9.605,33.634,16.317,47.106,33.275,28.309,41.920,43.212,32.527,50.993,45.280,42.086,62.986,56.622,47.992,52.924,63.751,63.358,63.303,62.724,68.660,70.216
\string13,34.224,33.019,34.943,30.237,39.284,34.238,41.682,31.579,16.971,42.394,10.630,31.800,25.199,0,46.014,18.412,29.159,15.851,27.464,27.857,53.733,31.065,61.247,30.907,36.892,69.730,38.213,48.552,47.930,44.956,49.104,53.460,79.851,59.768,72.713,66.244,77.254,66.214
\string14,58.215,65.490,71.556,69.671,34.583,38.536,24.641,30.480,54.930,23.000,45.147,24.880,21.662,46.014,0,28.762,18.138,50.675,24.779,63.081,17.550,35.196,25.318,55.498,36.142,34.249,53.749,40.435,74.760,66.710,49.840,54.206,48.394,66.701,55.064,60.175,60.341,72.780
\string15,43.350,46.328,50.339,46.693,34.194,32.253,31.909,25.480,31.544,32.020,21.213,21.616,11.489,18.412,28.762,0,11.057,23.521,10.012,36.592,35.345,19.021,43.073,32.144,24.207,51.674,34.529,35.175,51.626,45.321,39.157,44.057,62.692,53.481,58.286,55.102,63.374,60.467
\string16,48.888,53.814,58.798,55.812,32.388,32.802,26.933,24.536,40.376,26.571,29.921,18.493,9.605,29.159,18.138,11.057,0,33.779,8.660,46.392,25.239,21.141,33.675,39.862,24.398,42.497,39.749,33.076,59.211,51.742,39.762,44.713,54.854,55.731,53.749,53.684,59.262,62.801
\string17,48.754,46.271,46.457,41.110,52.953,48.836,53.118,44.777,31.484,53.263,26.462,43.301,33.634,15.851,50.675,23.521,33.779,0,28.460,13.611,54.736,25.635,60.175,16.000,30.729,68.037,25.080,41.413,33.481,31.181,39.648,43.038,75.353,48.094,65.544,57.035,68.797,52.811
\string18,52.962,56.312,60.326,56.569,39.925,39.332,35.377,31.512,41.355,35.114,30.939,25.710,16.317,27.464,24.779,10.012,8.660,28.460,0,40.003,26.944,12.536,34.073,32.156,16.286,42.297,31.289,26.173,51.039,43.258,31.718,36.705,52.934,47.339,48.559,46.573,53.842,54.507
\string19,59.239,54.775,53.151,47.331,66.312,61.857,66.725,58.166,41.085,66.867,38.223,56.650,47.106,27.857,63.081,36.592,46.392,13.611,40.003,0,65.156,33.761,69.464,13.611,37.590,76.526,24.213,46.425,22.875,24.434,41.680,43.749,81.745,45.324,69.031,57.950,71.262,48.397
\string20,72.478,78.518,83.870,81.031,49.558,52.697,40.526,44.193,65.447,39.408,54.920,37.027,33.275,53.733,17.550,35.345,25.239,54.736,26.944,65.156,0,32.279,10.247,54.736,30.401,18.138,49.689,29.850,71.477,62.131,40.200,44.003,32.711,56.542,39.038,46.487,44.956,62.968
\string21,61.658,63.174,65.891,61.296,51.988,50.697,47.896,43.324,47.136,47.617,37.561,37.754,28.309,31.065,35.196,19.021,21.141,25.635,12.536,33.761,32.279,0,36.783,23.003,5.832,43.550,19.508,17.497,40.251,31.692,20.168,25.044,50.947,35.108,41.698,36.504,46.266,42.197
\string22,81.314,87.121,92.208,89.224,59.000,62.274,49.531,53.777,73.995,48.125,63.500,46.840,41.920,61.247,25.318,43.073,33.675,60.175,34.073,69.464,10.247,36.783,0,58.009,33.649,9.695,51.711,29.766,73.593,64.127,40.410,43.200,23.173,55.911,33.541,43.749,38.393,60.877
