Runtime,Nodes,Flips,Ratio,Cumulative Absolute,RMS Absolute,Cumulative Relative,RMS Relative,Sammon's Stress
0.000149012,4,0,0.00,1.89327e-29,4.06756e-31,0,0,0
0.000343025,5,0,0.00,2.20881e-28,5.1769e-31,0,0,0
0.000249028,6,0,0.00,5.14416e-27,9.38128e-29,0,0,0
0.000340998,7,0,0.00,2.64623e-26,1.7154e-28,0,0,0
0.000446975,8,0,0.00,4.80992e-26,4.62063e-28,0,0,0
0.000556052,9,0,0.00,4.87934e-26,4.63074e-28,0,0,0
0.000684023,10,0,0.00,3.80316e-25,1.67579e-26,0,0,0
0.00122404,11,0,0.00,3.93518e-25,1.67716e-26,0,0,0
0.000995994,12,0,0.00,5.11138e-25,1.7281e-26,0,0,0
0.00115699,13,0,0.00,5.83284e-25,1.75026e-26,0,0,0
0.00140703,14,0,0.00,6.02863e-25,1.75239e-26,0,0,0
0.001858,15,0,0.00,6.38381e-25,1.75496e-26,0,0,0
0.00252897,16,0,0.00,8.0272e-25,1.77979e-26,0,0,0
0.00300097,17,0,0.00,9.05237e-25,1.80029e-26,0,0,0
0.00312001,18,0,0.00,1.06927e-24,1.81784e-26,0,0,0
0.003658,19,0,0.00,1.17798e-24,1.82998e-26,0,0,0
0.00455803,20,0,0.00,1.21032e-24,1.8313e-26,0,0,0
0.004408,21,0,0.00,1.26839e-24,1.83644e-26,0,0,0
0.00467098,22,0,0.00,1.35009e-24,1.84665e-26,0,0,0
0.00515896,23,0,0.00,1.39092e-24,1.84872e-26,0,0,0
0.00741798,24,0,0.00,1.52399e-24,1.86054e-26,0,0,0
0.00417203,25,0,0.00,1.67509e-24,1.86935e-26,0,0,0
0.00463802,26,0,0.00,1.74079e-24,1.88206e-26,0,0,0
0.00747401,27,0,0.00,1.9664e-24,1.90692e-26,0,0,0
0.00832003,28,0,0.00,2.04792e-24,1.91498e-26,0,0,0
0.008825,29,0,0.00,2.14553e-24,1.92821e-26,0,0,0
0.00949103,30,0,0.00,2.32261e-24,1.99683e-26,0,0,0
0.010303,31,0,0.00,2.44493e-24,2.01591e-26,0,0,0
0.011833,32,0,0.00,2.69549e-24,2.2052e-26,0,0,0
0.009453,33,0,0.00,2.84094e-24,2.21877e-26,0,0,0
0.010585,34,0,0.00,3.16426e-24,2.27586e-26,0,0,0
0.01295,35,0,0.00,3.39256e-24,2.30427e-26,0,0,0
0.013681,36,0,0.00,5.00665e-24,2.6293e-26,0,0,0
0.0140679,37,0,0.00,5.46716e-24,2.74139e-26,0,0,0
