Head,Tail,Difference
0,0,0
0,1,0
0,2,2.22903
0,3,5.67179
0,4,5.41303
0,5,2.74859
0,6,0
0,7,0
0,8,0
0,9,0
0,10,13.0474
0,11,9.55704
0,12,17.5079
0,13,6.20261
0,14,0
0,15,0.814614
0,16,0
0,17,0
0,18,0
0,19,1.05843
0,20,6.04584
0,21,0
0,22,0
0,23,2.26273
0,24,0
0,25,0.17488
0,26,0
0,27,10.7131
0,28,0
0,29,0
0,30,12.1676
0,31,0
0,32,10.3433
0,33,0
0,34,0
0,35,15.4079
0,36,8.99001
0,37,0
0,38,0.460507
0,39,1.98884
0,40,0
0,41,3.0978
0,42,9.07681
0,43,0
0,44,0
0,45,16.5543
0,46,9.26231
0,47,6.08256
0,48,7.94587
0,49,3.9422
0,50,0
0,51,0
0,52,6.62941
0,53,0
0,54,1.20825
0,55,0
0,56,4.13554
0,57,0
0,58,0
0,59,2.23483
0,60,7.57683
0,61,13.2692
0,62,0.870567
0,63,0
0,64,6.43807
0,65,0
0,66,0.355069
0,67,0
0,68,16.8379
0,69,10.4237
0,70,10.0964
0,71,7.9954
0,72,1.96736
0,73,4.58338
0,74,6.51684
0,75,0
0,76,0
0,77,0
0,78,0
0,79,2.38977
0,80,0
0,81,0.0289919
0,82,0.240855
0,83,0
0,84,0
0,85,6.44602
0,86,0
0,87,1.4759
0,88,2.3308
0,89,0
0,90,0
0,91,7.01874
0,92,0
0,93,20.2461
0,94,10.3499
0,95,6.8957
0,96,0
0,97,20.8278
0,98,14.3811
0,99,13.8268
1,0,0
1,1,0
1,2,0
1,3,1.61109
1,4,15.6366
1,5,0
1,6,8.04124
1,7,18.6533
1,8,2.27167
1,9,0
1,10,10.3079
1,11,0
1,12,0
1,13,0
1,14,0
1,15,7.10926
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,2.49158
1,22,3.72031
1,23,0
1,24,9.7185
1,25,13.2482
1,26,0
1,27,4.84753
1,28,0.619996
1,29,5.12077
1,30,0
1,31,0
1,32,0.462162
1,33,0
1,34,0.559669
1,35,0
1,36,5.96338
1,37,0
1,38,0
1,39,13.7553
1,40,0
1,41,0
1,42,9.8834
1,43,0
1,44,10.955
1,45,8.28915
1,46,0
1,47,0
1,48,0
1,49,4.9945
1,50,0.887542
1,51,0
1,52,0
1,53,11.5956
1,54,2.12904
1,55,2.99148
1,56,11.3848
1,57,0
1,58,0
1,59,0
1,60,0
1,61,6.75682
1,62,4.33299
1,63,0
1,64,2.44682
1,65,3.25941
1,66,14.3076
1,67,3.95547
1,68,0.994092
1,69,7.67087
1,70,8.92852
1,71,0
1,72,10.1456
1,73,0
1,74,19.2555
1,75,4.78956
1,76,0
1,77,0
1,78,8.64668
1,79,3.44519
1,80,16.6622
1,81,0
1,82,0
1,83,5.4242
1,84,5.8546
1,85,3.03039
1,86,0
1,87,0
1,88,0
1,89,2.09972
1,90,5.46571
1,91,0
1,92,10.4028
1,93,4.05699
1,94,0
1,95,13.5076
1,96,0
1,97,1.30324
1,98,12.2858
1,99,1.64415
2,0,2.22903
2,1,0
2,2,0
2,3,0.26588
2,4,0
2,5,0
2,6,0
2,7,0
2,8,11.3917
2,9,0
2,10,0
2,11,21.1284
2,12,0
2,13,12.8031
2,14,9.38458
2,15,0
2,16,16.1015
2,17,5.76646
2,18,1.3014
2,19,0
2,20,18.0144
2,21,4.22454
2,22,0
2,23,9.05231
2,24,0
2,25,0
2,26,0
2,27,4.19333
2,28,6.11868
2,29,0
2,30,13.4332
2,31,15.5453
2,32,0.210981
2,33,13.4552
2,34,5.5257
2,35,10.8306
2,36,15.0337
2,37,4.65174
2,38,14.9081
2,39,0
2,40,1.77585
2,41,3.48266
2,42,0
2,43,6.53071
2,44,0.92642
2,45,0
2,46,0
2,47,1.57182
2,48,3.65457
2,49,5.04836
2,50,4.47399
2,51,5.34041
2,52,18.6221
2,53,0
2,54,0
2,55,0
2,56,0
2,57,15.499
2,58,2.34617
2,59,0
2,60,9.98021
2,61,0
2,62,0.604482
2,63,5.54522
2,64,0
2,65,0
2,66,0
2,67,8.30803
2,68,4.81119
2,69,6.38687
2,70,5.4061
2,71,6.92004
2,72,1.16595
2,73,10.2474
2,74,0.150873
2,75,0
2,76,6.75613
2,77,4.69168
2,78,0
2,79,12.3634
2,80,0
2,81,1.99228
2,82,0.319662
2,83,0
2,84,0
2,85,2.02812
2,86,17.6266
2,87,4.89757
2,88,0.8998
2,89,11.6639
2,90,1.55771
2,91,0
2,92,0
2,93,0.391987
2,94,11.2396
2,95,0
2,96,2.37135
2,97,7.50829
2,98,0
2,99,0
3,0,5.67179
3,1,1.61109
3,2,0.26588
3,3,0
3,4,7.32727
3,5,16.9219
3,6,0
3,7,0
3,8,5.77672
3,9,0
3,10,3.0146
3,11,6.97661
3,12,10.305
3,13,17.6913
3,14,10.7933
3,15,0
3,16,0
3,17,0
3,18,5.41628
3,19,14.3565
3,20,4.11572
3,21,0
3,22,0
3,23,0
3,24,0
3,25,10.942
3,26,5.7873
3,27,0
3,28,11.4342
3,29,0
3,30,0
3,31,2.23425
3,32,14.8724
3,33,0
3,34,0
3,35,5.91312
3,36,11.3485
3,37,0
3,38,0
3,39,11.83
3,40,0
3,41,7.72744
3,42,21.4199
3,43,0.472917
3,44,3.52088
3,45,15.8306
3,46,0
3,47,0
3,48,8.91127
3,49,18.7256
3,50,11.7362
3,51,0
3,52,5.26039
3,53,0.230339
3,54,0
3,55,10.0687
3,56,0
3,57,3.98954
3,58,0
3,59,3.43151
3,60,0
3,61,3.13839
3,62,0
3,63,16.1623
3,64,4.57149
3,65,1.03923
3,66,10.7829
3,67,0
3,68,0
3,69,2.60022
3,70,23.7154
3,71,11.2723
3,72,3.92724
3,73,0
3,74,0
3,75,4.42407
3,76,5.74458
3,77,0
3,78,12.5245
3,79,0
3,80,0
3,81,0
3,82,6.99558
3,83,0
3,84,8.27128
3,85,0
3,86,0
3,87,0
3,88,0
3,89,0
3,90,0
3,91,4.78037
3,92,0.859913
3,93,7.2355
3,94,0
3,95,1.52698
3,96,2.23499
3,97,12.7069
3,98,1.11381
3,99,0
4,0,5.41303
4,1,15.6366
4,2,0
4,3,7.32727
4,4,0
4,5,6.17708
4,6,1.52882
4,7,11.2084
4,8,0
4,9,0
4,10,13.6256
4,11,0
4,12,8.36328
4,13,0
4,14,0
4,15,16.2379
4,16,0
4,17,0
4,18,7.4461
4,19,8.24721
4,20,0
4,21,0
4,22,9.96815
4,23,0
4,24,2.81331
4,25,4.21362
4,26,2.85788
4,27,0
4,28,0
4,29,1.30588
4,30,0
4,31,0
4,32,12.9794
4,33,0
4,34,1.66279
4,35,0
4,36,0.408109
4,37,0
4,38,0
4,39,13.9231
4,40,0
4,41,0
4,42,12.795
4,43,0
4,44,0.307291
4,45,13.2194
4,46,5.03393
4,47,1.94203
4,48,0
4,49,7.21039
4,50,4.87598
4,51,1.04619
4,52,0
4,53,0
4,54,8.94803
4,55,0.133263
4,56,12.5609
4,57,0
4,58,0
4,59,9.00459
4,60,0
4,61,2.94834
4,62,0
4,63,0
4,64,19.3188
4,65,6.81031
4,66,19.6652
4,67,0
4,68,0
4,69,4.14045
4,70,6.78276
4,71,1.03842
4,72,10.1043
4,73,0
4,74,4.47982
4,75,7.13848
4,76,0
4,77,0
4,78,9.82017
4,79,0
4,80,11.0387
4,81,0
4,82,0.127508
4,83,0.476587
4,84,0.207008
