Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,-3.55271e-15
0,4,7.10543e-15
0,5,0
0,6,-7.10543e-15
0,7,-3.55271e-15
0,8,7.10543e-15
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,3.55271e-15
0,17,0
0,18,0
0,19,0
0,20,7.10543e-15
0,21,0
0,22,0
0,23,-3.55271e-15
0,24,3.55271e-15
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,3.55271e-15
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,7.10543e-15
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,-3.55271e-15
0,45,0
0,46,7.10543e-15
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,3.55271e-15
0,58,0
0,59,-7.10543e-15
0,60,0
0,61,0
0,62,0
0,63,0
0,64,7.10543e-15
0,65,-7.10543e-15
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,7.10543e-15
0,72,0
0,73,0
0,74,0
0,75,7.10543e-15
0,76,-3.55271e-15
0,77,0
0,78,3.55271e-15
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,-3.55271e-15
0,86,0
0,87,0
0,88,0
0,89,0
0,90,-7.10543e-15
0,91,0
0,92,-3.55271e-15
0,93,0
0,94,-3.55271e-15
0,95,0
0,96,0
0,97,0
0,98,0
0,99,-7.10543e-15
1,0,0
1,1,0
1,2,29.8107
1,3,29.6011
1,4,31.5772
1,5,28.0363
1,6,28.3735
1,7,31.0226
1,8,29.3247
1,9,25.3246
1,10,29.9612
1,11,29.4109
1,12,28.7831
1,13,28.0025
1,14,29.6577
1,15,29.2648
1,16,28.1235
1,17,30.8491
1,18,30.5012
1,19,29.404
1,20,29.04
1,21,-7.10543e-15
1,22,27.9292
1,23,30.1282
1,24,29.5241
1,25,28.9585
1,26,29.8059
1,27,-7.10543e-15
1,28,28.3565
1,29,26.5718
1,30,28.543
1,31,29.9686
1,32,31.9048
1,33,28.2139
1,34,29.8618
1,35,30.5998
1,36,30.0962
1,37,28.9635
1,38,28.566
1,39,0
1,40,31.1228
1,41,28.0273
1,42,30.5747
1,43,30.2789
1,44,27.0968
1,45,27.517
1,46,29.2483
1,47,25.7853
1,48,29.5523
1,49,29.4607
1,50,27.7904
1,51,31.8179
1,52,27.9126
1,53,28.5182
1,54,29.753
1,55,28.5392
1,56,27.861
1,57,31.574
1,58,29.8684
1,59,27.8719
1,60,27.6797
1,61,30.6062
1,62,30.5275
1,63,29.1325
1,64,29.9387
1,65,25.9819
1,66,30.6646
1,67,27.7886
1,68,28.731
1,69,31.1428
1,70,28.9199
1,71,27.248
1,72,30.4242
1,73,25.816
1,74,32.8023
1,75,27.9364
1,76,31.6843
1,77,28.5528
1,78,29.4392
1,79,28.6552
1,80,0
1,81,28.6497
1,82,27.6287
1,83,31.7696
1,84,28.2378
1,85,27.7395
1,86,28.3206
1,87,28.8927
1,88,28.8102
1,89,0
1,90,26.1987
1,91,30.5629
1,92,28.9544
1,93,30.6412
1,94,27.1641
1,95,26.9338
1,96,25.834
1,97,27.7538
1,98,0
1,99,27.9896
2,0,0
2,1,29.8107
2,2,0
2,3,28.4451
2,4,29.8398
2,5,29.5106
2,6,29.887
2,7,31.2535
2,8,28.6451
2,9,27.9385
2,10,28.9146
2,11,31.4104
2,12,28.9227
2,13,29.5708
2,14,29.3651
2,15,28.672
2,16,29.8924
2,17,26.9451
2,18,30.9476
2,19,29.297
2,20,29.509
2,21,3.55271e-15
2,22,27.9403
2,23,28.2475
2,24,27.5878
2,25,29.4461
2,26,26.6413
2,27,3.55271e-15
2,28,29.5605
2,29,28.9365
2,30,29.1322
2,31,29.492
2,32,27.6422
2,33,31.9795
2,34,29.7835
2,35,29.0023
2,36,29.7754
2,37,27.3753
2,38,28.9981
2,39,0
2,40,27.5568
2,41,31.8232
2,42,30.6867
2,43,30.6759
2,44,29.4759
2,45,27.2179
2,46,28.4265
2,47,31.1366
2,48,28.093
2,49,29.3994
2,50,31.0608
2,51,29.9089
2,52,29.6105
2,53,29.1922
2,54,29.5916
2,55,31.6304
2,56,28.2212
2,57,27.5704
2,58,28.0752
2,59,30.2053
2,60,28.6689
2,61,30.3133
2,62,31.1129
2,63,29.7161
2,64,27.661
2,65,27.8621
2,66,30.7819
2,67,27.8663
2,68,30.2326
2,69,26.7749
2,70,30.523
2,71,29.968
2,72,31.0856
2,73,27.1203
2,74,30.9288
2,75,31.5045
2,76,29.763
2,77,32.0979
2,78,30.0541
2,79,28.5176
2,80,0
2,81,29.4631
2,82,30.77
2,83,30.7263
2,84,30.221
2,85,31.3783
2,86,31.0636
2,87,28.6336
2,88,30.9692
2,89,0
2,90,30.3369
2,91,29.746
2,92,29.5204
2,93,29.9591
2,94,31.5215
2,95,31.3315
2,96,27.5283
2,97,26.6994
2,98,3.55271e-15
2,99,28.9657
3,0,-3.55271e-15
3,1,29.6011
3,2,28.4451
3,3,0
3,4,30.7271
3,5,28.4791
3,6,27.3349
3,7,30.6044
3,8,30.393
3,9,27.7657
3,10,26.6896
3,11,29.6688
3,12,29.0843
3,13,29.2509
3,14,29.603
3,15,27.2217
3,16,28.4198
3,17,29.0315
3,18,28.8829
3,19,31.1176
3,20,28.5118
3,21,-3.55271e-15
3,22,28.811
3,23,29.7572
3,24,28.9369
3,25,30.0307
3,26,31.8093
3,27,0
3,28,28.192
3,29,30.4428
3,30,29.3402
3,31,28.4306
3,32,31.0389
3,33,29.7938
3,34,28.7641
3,35,29.4524
3,36,30.2288
3,37,27.9705
3,38,29.4913
3,39,-3.55271e-15
3,40,28.9929
3,41,28.4263
3,42,29.0709
3,43,31.1431
3,44,29.731
3,45,27.8151
3,46,29.2179
3,47,25.8714
3,48,28.4391
3,49,32.1078
3,50,29.8486
3,51,30.9686
3,52,27.973
3,53,29.0203
3,54,30.6612
3,55,27.4972
3,56,26.8127
3,57,27.1325
3,58,29.0218
3,59,28.728
3,60,26.8409
3,61,27.1326
3,62,29.2656
3,63,30.5911
3,64,30.3062
3,65,26.0382
3,66,30.6219
3,67,26.8309
3,68,30.2181
3,69,29.7217
3,70,28.6391
3,71,28.8921
3,72,28.0229
3,73,27.076
3,74,28.5643
3,75,29.2042
3,76,29.4195
3,77,28.5297
3,78,31.8448
3,79,26.251
3,80,0
3,81,28.1467
3,82,27.3922
3,83,31.6755
3,84,31.1524
3,85,27.0017
3,86,27.863
3,87,28.5021
3,88,28.7612
3,89,0
3,90,27.48
3,91,29.0102
3,92,27.0204
3,93,28.5295
3,94,28.7658
3,95,27.1926
3,96,27.5728
3,97,25.4836
3,98,-3.55271e-15
3,99,29.4143
4,0,7.10543e-15
4,1,31.5772
4,2,29.8398
4,3,30.7271
4,4,0
4,5,31.7649
4,6,27.9415
4,7,30.687
4,8,30.8891
4,9,27.7992
4,10,30.3864
4,11,31.8154
4,12,29.675
4,13,32.1349
4,14,30.7496
4,15,28.3832
4,16,32.737
4,17,29.3027
4,18,29.6489
4,19,30.0637
4,20,29.9819
4,21,0
4,22,29.2789
4,23,27.5136
4,24,30.3555
4,25,31.791
4,26,30.3291
4,27,0
4,28,27.963
4,29,28.9387
4,30,31.5825
4,31,29.5156
4,32,30.9495
4,33,32.037
4,34,29.5768
