Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,-3.55271e-15
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,-7.10543e-15
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,-7.10543e-15
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,-7.10543e-15
0,35,0
0,36,0
0,37,0
0,38,7.10543e-15
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,7.10543e-15
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,7.10543e-15
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,3.55271e-15
0,78,0
0,79,0
0,80,0
0,81,0
0,82,7.10543e-15
0,83,0
0,84,7.10543e-15
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,3.55271e-15
0,92,0
0,93,0
0,94,0
0,95,7.10543e-15
0,96,0
0,97,0
0,98,0
0,99,0
1,0,0
1,1,0
1,2,32.216
1,3,31.4382
1,4,32.5499
1,5,0
1,6,30.9159
1,7,32.6663
1,8,30.9606
1,9,27.3166
1,10,31.9199
1,11,30.5315
1,12,31.7153
1,13,29.7395
1,14,31.4493
1,15,32.3814
1,16,30.9614
1,17,31.9389
1,18,32.0831
1,19,31.4079
1,20,31.3862
1,21,30.8076
1,22,30.0642
1,23,31.3801
1,24,31.6124
1,25,29.9889
1,26,30.9483
1,27,0
1,28,31.8718
1,29,28.5855
1,30,30.5911
1,31,32.3444
1,32,32.154
1,33,30.1058
1,34,31.6873
1,35,32.0765
1,36,30.6104
1,37,30.7504
1,38,29.9433
1,39,30.3341
1,40,33.8905
1,41,30.3218
1,42,31.7286
1,43,31.2496
1,44,28.8586
1,45,30.6906
1,46,30.1291
1,47,28.4123
1,48,31.678
1,49,31.5401
1,50,29.5628
1,51,33.9491
1,52,29.3903
1,53,30.2865
1,54,31.5831
1,55,31.1171
1,56,30.1263
1,57,33.3839
1,58,31.5166
1,59,29.4359
1,60,28.6137
1,61,31.8064
1,62,33.0642
1,63,30.9383
1,64,30.2924
1,65,28.4334
1,66,31.4179
1,67,30.731
1,68,30.5497
1,69,31.7725
1,70,31.2069
1,71,29.9478
1,72,32.849
1,73,27.9371
1,74,33.5821
1,75,30.6385
1,76,33.1807
1,77,30.6866
1,78,30.6529
1,79,31.7804
1,80,31.6859
1,81,30.3082
1,82,29.0037
1,83,32.2293
1,84,28.5367
1,85,31.1498
1,86,30.9049
1,87,29.9419
1,88,29.4751
1,89,-3.55271e-15
1,90,28.7355
1,91,32.1045
1,92,32.1726
1,93,32.0354
1,94,29.5898
1,95,0
1,96,0
1,97,0
1,98,0
1,99,30.4595
2,0,0
2,1,32.216
2,2,0
2,3,30.7981
2,4,32.0209
2,5,0
2,6,32.7315
2,7,32.7599
2,8,30.4796
2,9,28.5887
2,10,30.8145
2,11,34.7171
2,12,30.2607
2,13,29.9799
2,14,30.5906
2,15,34.2947
2,16,32.0234
2,17,30.2654
2,18,32.9995
2,19,31.5331
2,20,32.8338
2,21,29.5154
2,22,28.9253
2,23,30.1594
2,24,30.4778
2,25,30.9082
2,26,28.6151
2,27,0
2,28,31.7434
2,29,33.0116
2,30,33.2564
2,31,32.646
2,32,31.6743
2,33,33.897
2,34,31.9877
2,35,32.5153
2,36,32.7495
2,37,30.4576
2,38,31.7138
2,39,30.1794
2,40,29.4893
2,41,33.6012
2,42,32.6157
2,43,31.9707
2,44,29.9808
2,45,30.6864
2,46,31.3782
2,47,32.6465
2,48,31.5126
2,49,30.5429
2,50,33.1458
2,51,31.0142
2,52,32.0358
2,53,31.5251
2,54,32.3165
2,55,34.185
2,56,30.0383
2,57,31.0452
2,58,30.6861
2,59,30.6358
2,60,29.6835
2,61,33.09
2,62,31.5572
2,63,29.9216
2,64,30.1544
2,65,31.5826
2,66,34.2155
2,67,29.5179
2,68,32.0487
2,69,29.5722
2,70,32.1859
2,71,31.0986
2,72,32.6312
2,73,27.6604
2,74,32.7666
2,75,32.3499
2,76,31.6159
2,77,32.8547
2,78,31.1692
2,79,32.5176
2,80,34.0158
2,81,30.2895
2,82,31.533
2,83,32.8356
2,84,32.3372
2,85,32.3685
2,86,32.063
2,87,30.538
2,88,33.2668
2,89,0
2,90,34.1395
2,91,32.7252
2,92,31.4464
2,93,32.3506
2,94,32.3835
2,95,0
2,96,0
2,97,0
2,98,0
2,99,31.2707
3,0,-3.55271e-15
3,1,31.4382
3,2,30.7981
3,3,0
3,4,33.146
3,5,0
3,6,30.0542
3,7,33.7516
3,8,32.4817
3,9,29.7266
3,10,29.4996
3,11,31.7832
3,12,33.0444
3,13,30.7048
3,14,32.032
3,15,32.5475
3,16,33.1323
3,17,30.9497
3,18,32.3762
3,19,31.8727
3,20,30.688
3,21,30.5531
3,22,31.6624
3,23,30.0767
3,24,31.0231
3,25,32.3435
3,26,32.5154
3,27,0
3,28,33.046
3,29,31.4325
3,30,33.2546
3,31,32.0338
3,32,33.0647
3,33,32.7258
3,34,31.0025
3,35,33.1137
3,36,32.9705
3,37,31.3657
3,38,31.9135
3,39,30.4809
3,40,33.1032
3,41,31.9724
3,42,31.1739
3,43,32.1606
3,44,31.6896
3,45,33.0834
3,46,30.8407
3,47,28.8535
3,48,33.5332
3,49,34.6872
3,50,31.9
3,51,32.5051
3,52,30.2966
3,53,30.4146
3,54,31.3889
3,55,31.3106
3,56,30.5652
3,57,31.6352
3,58,31.2281
3,59,29.7617
3,60,28.8534
3,61,29.939
3,62,31.9353
3,63,32.5627
3,64,31.6723
3,65,30.241
3,66,33.0398
3,67,30.6187
3,68,33.7287
3,69,31.0455
3,70,32.1661
3,71,32.1491
3,72,30.0724
3,73,28.5741
3,74,30.1337
3,75,32.8492
3,76,32.7163
3,77,31.1941
3,78,33.0738
3,79,30.8602
3,80,32.9752
3,81,29.9025
3,82,29.337
3,83,33.6872
3,84,32.6135
3,85,31.6169
3,86,30.71
3,87,30.3969
3,88,29.9921
3,89,-3.55271e-15
3,90,30.8886
3,91,32.4257
3,92,31.8488
3,93,31.9065
3,94,31.5208
3,95,0
3,96,0
3,97,0
3,98,0
3,99,30.7057
4,0,0
4,1,32.5499
4,2,32.0209
4,3,33.146
4,4,0
4,5,0
4,6,29.6847
4,7,32.2445
4,8,31.4609
4,9,28.6956
4,10,31.3495
4,11,32.2603
4,12,31.863
4,13,32.7862
4,14,31.7674
4,15,32.2209
4,16,34.7716
4,17,30.6521
4,18,31.7935
4,19,32.2446
4,20,32.9133
4,21,31.7851
4,22,30.1754
4,23,29.0708
4,24,32.7593
4,25,32.2889
4,26,31.4179
4,27,0
4,28,32.0889
4,29,31.4937
4,30,33.907
4,31,31.2099
4,32,33.0176
4,33,33.1701
4,34,30.4773
4,35,31.2524
4,36,32.0403
4,37,30.6632
4,38,33.5559
4,39,30.6812
4,40,29.7956
4,41,31.2363
4,42,33.2852
4,43,29.5601
4,44,29.0594
4,45,31.712
4,46,29.8417
4,47,30.7072
4,48,33.5806
4,49,31.8991
