Head,Tail,Difference
0,0,0
0,1,0
0,2,15.6544
0,3,0
0,4,0
0,5,19.7059
0,6,4.57073
0,7,0
0,8,9.44927
0,9,5.39661
0,10,17.4547
0,11,4.49117
0,12,2.28725
0,13,14.33
0,14,0
0,15,12.5748
0,16,3.77097
0,17,6.21584
0,18,0
0,19,10.1798
0,20,1.1503
0,21,13.9542
0,22,6.48505
0,23,0
0,24,16.678
0,25,0
0,26,5.28898
0,27,18.2585
0,28,0
0,29,7.43918
0,30,0
0,31,5.61439
0,32,0
0,33,1.52207
0,34,0
0,35,11.1492
0,36,1.12007
0,37,10.4559
0,38,7.52381
0,39,8.57672
0,40,7.99459
0,41,0.492478
0,42,12.4979
0,43,9.56856
0,44,0
0,45,0
0,46,0
0,47,8.47505
0,48,0
0,49,1.56988
0,50,11.0824
0,51,10.1166
0,52,5.97368
0,53,12.6533
0,54,2.53501
0,55,1.68109
0,56,19.1878
0,57,7.57611
0,58,2.05342
0,59,0
0,60,0
0,61,0.505776
0,62,22.3219
0,63,14.8846
0,64,7.42917
0,65,8.42242
0,66,0
0,67,0
0,68,0
0,69,0
0,70,5.37223
0,71,13.9687
0,72,9.72026
0,73,14.8953
0,74,0
0,75,15.8924
0,76,21.8568
0,77,0
0,78,15.8538
0,79,20.7515
0,80,0
0,81,0
0,82,24.6066
0,83,3.35906
0,84,21.7542
0,85,2.06615
0,86,0
0,87,20.8755
0,88,1.50975
0,89,6.0658
0,90,23.0604
0,91,24.591
0,92,1.84
0,93,0
0,94,7.91951
0,95,19.1513
0,96,1.89465
0,97,4.32999
0,98,0
0,99,10.3898
1,0,0
1,1,0
1,2,0
1,3,2.34664
1,4,0
1,5,0
1,6,28.6392
1,7,9.73184
1,8,0
1,9,0
1,10,10.1716
1,11,0
1,12,11.8677
1,13,0
1,14,14.3908
1,15,0
1,16,0
1,17,0
1,18,8.55978
1,19,0
1,20,18.9361
1,21,1.404
1,22,0
1,23,0
1,24,0
1,25,21.8291
1,26,0
1,27,8.23636
1,28,13.767
1,29,0
1,30,0.288226
1,31,19.0032
1,32,0
1,33,0
1,34,1.59338
1,35,3.80667
1,36,5.2588
1,37,0
1,38,26.8497
1,39,16.7671
1,40,0
1,41,15.6205
1,42,9.05825
1,43,3.84723
1,44,0
1,45,0
1,46,4.48934
1,47,0
1,48,11.1684
1,49,7.97454
1,50,9.23876
1,51,22.885
1,52,0
1,53,0
1,54,4.34376
1,55,0
1,56,8.67829
1,57,16.7989
1,58,0.961774
1,59,0.302616
1,60,0
1,61,0
1,62,1.34924
1,63,0
1,64,8.2614
1,65,19.9687
1,66,0
1,67,0
1,68,13.651
1,69,9.69915
1,70,0
1,71,11.5625
1,72,24.8491
1,73,13.7754
1,74,0
1,75,0
1,76,4.99738
1,77,0
1,78,13.6686
1,79,0
1,80,0
1,81,22.5699
1,82,3.69166
1,83,11.4798
1,84,0
1,85,20.3516
1,86,0.578953
1,87,3.84443
1,88,11.2697
1,89,0
1,90,0
1,91,0
1,92,15.49
1,93,0
1,94,0
1,95,5.41953
1,96,0
1,97,6.56083
1,98,5.30366
1,99,0
2,0,15.6544
2,1,0
2,2,0
2,3,0
2,4,6.99621
2,5,25.4729
2,6,0
2,7,0
2,8,14.6185
2,9,9.9933
2,10,11.1139
2,11,1.97536
2,12,0
2,13,15.3846
2,14,0
2,15,24.076
2,16,13.7773
2,17,19.1202
2,18,2.19045
2,19,22.0584
2,20,0
2,21,0
2,22,0
2,23,6.62257
2,24,8.80474
2,25,0
2,26,4.72513
2,27,0.693777
2,28,0
2,29,18.0045
2,30,0
2,31,4.52542
2,32,0
2,33,13.1219
2,34,0
2,35,19.7817
2,36,7.90808
2,37,3.86666
2,38,0
2,39,0
2,40,23.6793
2,41,0
2,42,0
2,43,6.43201
2,44,0
2,45,3.48472
2,46,0
2,47,11.9748
2,48,0
2,49,7.21939
2,50,13.5618
2,51,0.61917
2,52,20.8327
2,53,10.6575
2,54,0
2,55,11.9491
2,56,6.81764
2,57,6.10074
2,58,12.8922
2,59,0
2,60,5.34294
2,61,0.191718
2,62,6.73952
2,63,24.0381
2,64,9.77761
2,65,0
2,66,0
2,67,0
2,68,0
2,69,0
2,70,0
2,71,0
2,72,0
2,73,5.73401
2,74,0
2,75,4.97996
2,76,11.3589
2,77,0
2,78,4.39561
2,79,12.0269
2,80,1.10304
2,81,0
2,82,25.8232
2,83,0
2,84,25.3124
2,85,0.947688
2,86,7.12869
2,87,15.7827
2,88,5.07992
2,89,0
2,90,17.2827
2,91,17.6398
2,92,0
2,93,0
2,94,24.425
2,95,3.45643
2,96,11.0125
2,97,0
2,98,0
2,99,7.91372
3,0,0
3,1,2.34664
3,2,0
3,3,0
3,4,13.2875
3,5,0
3,6,6.15755
3,7,26.0639
3,8,0
3,9,0.799956
3,10,0
3,11,0
3,12,6.82252
3,13,0
3,14,21.2959
3,15,0
3,16,14.1158
3,17,1.69144
3,18,24.4583
3,19,0
3,20,16.1948
3,21,0
3,22,0
3,23,7.67347
3,24,0
3,25,7.7781
3,26,0.661026
3,27,0
3,28,20.186
3,29,0
3,30,17.4442
3,31,6.1785
3,32,2.43851
3,33,13.1046
3,34,25.9447
3,35,3.97867
3,36,23.1331
3,37,0
3,38,3.73038
3,39,0.312911
3,40,0
3,41,4.95925
3,42,0
3,43,11.3718
3,44,12.7462
3,45,9.2615
3,46,10.9937
3,47,4.42945
3,48,16.2252
3,49,13.3507
3,50,4.72769
3,51,0
3,52,4.46142
3,53,0
3,54,4.01324
3,55,9.58567
3,56,0
3,57,0
3,58,2.79153
3,59,25.0796
3,60,18.1767
3,61,5.04641
3,62,0
3,63,0
3,64,0
3,65,0
3,66,13.4732
3,67,15.1133
3,68,18.7545
3,69,21.1349
3,70,3.24929
3,71,0
3,72,0
3,73,0
3,74,2.67906
3,75,0
3,76,0
3,77,11.0724
3,78,0
3,79,0
3,80,20.1452
3,81,11.7263
3,82,0
3,83,12.8852
3,84,0
3,85,5.45698
3,86,14.2639
3,87,0
3,88,7.87508
3,89,0
3,90,0
3,91,0
3,92,0
3,93,23.4765
3,94,0.886419
3,95,0
3,96,5.27069
3,97,0
3,98,15.1978
3,99,0
4,0,0
4,1,0
4,2,6.99621
4,3,13.2875
4,4,0
4,5,2.59601
4,6,0
4,7,5.62328
4,8,5.72832
4,9,9.77112
4,10,0
4,11,0
4,12,0
4,13,2.24508
4,14,8.56434
4,15,1.84709
4,16,26.3889
4,17,14.9255
4,18,13.1643
4,19,9.89735
4,20,2.74724
4,21,0
4,22,0
4,23,19.4725
4,24,0
4,25,0
4,26,4.60167
4,27,0
4,28,0.974551
4,29,10.7815
4,30,1.53798
4,31,0.970483
4,32,0
4,33,29.1344
4,34,17.3461
4,35,9.20955
4,36,19.5754
4,37,0
4,38,0
4,39,0
4,40,9.76246
4,41,0
4,42,0
4,43,3.64235
4,44,9.50684
4,45,13.0815
4,46,0
4,47,10.5518
4,48,0
4,49,11.5621
4,50,7.52467
4,51,0
4,52,19.632
4,53,0
4,54,0
4,55,19.347
4,56,0
4,57,0
4,58,11.6862
4,59,12.2944
4,60,24.9246
4,61,3.69147
4,62,0
4,63,0.311245
4,64,1.20257
4,65,0
4,66,4.08156
4,67,6.53339
4,68,6.35209
4,69,2.04964
4,70,0
4,71,0
4,72,0
4,73,0
4,74,1.72009
4,75,0
4,76,0
4,77,0
4,78,0
4,79,0
4,80,15.9291
4,81,0
