Head,Tail,Difference
0,0,0
0,1,-8.88178e-16
0,2,1.77636e-15
0,3,-2.22045e-15
0,4,-4.44089e-16
0,5,-1.77636e-15
0,6,-1.77636e-15
0,7,2.22045e-15
0,8,-3.10862e-15
0,9,4.44089e-16
0,10,-7.10543e-15
0,11,-2.62013e-14
0,12,-4.44089e-16
0,13,-9.99201e-15
0,14,2.4869e-14
0,15,-1.27676e-15
0,16,0
0,17,-8.88178e-16
0,18,0
0,19,8.88178e-16
0,20,6.66134e-15
0,21,5.9952e-15
0,22,-4.44089e-16
0,23,9.99201e-15
0,24,0
0,25,6.66134e-16
0,26,0
0,27,3.77476e-15
0,28,-6.43929e-15
0,29,1.08802e-14
0,30,-7.54952e-15
0,31,-1.33227e-15
0,32,-1.77636e-15
0,33,5.10703e-15
0,34,-4.44089e-16
0,35,2.35367e-14
0,36,4.44089e-16
0,37,7.41629e-14
0,38,3.24185e-14
0,39,-3.33067e-16
0,40,-4.44089e-16
0,41,0
0,42,-1.5099e-14
0,43,0
0,44,-8.88178e-16
0,45,-3.10862e-15
0,46,-2.22045e-15
0,47,-3.9968e-15
0,48,8.88178e-16
0,49,-6.66134e-16
0,50,2.22045e-16
0,51,-5.32907e-15
0,52,1.9984e-15
0,53,4.44089e-16
0,54,1.77636e-15
0,55,6.43929e-15
0,56,-4.44089e-16
0,57,1.77636e-15
0,58,1.77636e-13
0,59,-5.77316e-15
0,60,2.22045e-16
0,61,4.66294e-15
0,62,-4.44089e-16
0,63,-3.95239e-14
0,64,7.77156e-16
0,65,-1.41664e-13
0,66,8.88178e-16
0,67,-2.44249e-15
0,68,0
0,69,-1.33227e-15
0,70,0
0,71,-8.88178e-16
0,72,-8.21565e-15
0,73,8.88178e-16
0,74,-1.33227e-14
0,75,1.73195e-14
0,76,2.22045e-16
0,77,-2.22045e-15
0,78,-8.88178e-16
0,79,-8.88178e-16
0,80,5.37348e-14
0,81,-1.59872e-14
0,82,4.55191e-15
0,83,-5.32907e-15
0,84,1.64313e-14
0,85,3.10862e-15
0,86,2.66454e-15
0,87,0
0,88,-1.19904e-14
0,89,1.11022e-15
0,90,1.33227e-15
0,91,0
0,92,-2.44249e-15
0,93,-1.08802e-14
0,94,2.22045e-15
0,95,-1.90958e-14
0,96,8.88178e-16
0,97,-4.44089e-16
0,98,0
0,99,-5.77316e-15
0,100,7.77156e-15
0,101,4.66294e-15
0,102,0
0,103,-2.5091e-14
0,104,8.88178e-16
0,105,7.10543e-15
0,106,7.32747e-15
0,107,2.44249e-15
0,108,-3.33067e-16
0,109,-4.44089e-15
0,110,3.33067e-15
0,111,4.52971e-14
0,112,-2.17604e-14
0,113,5.77316e-15
0,114,2.66454e-15
0,115,-7.77156e-15
0,116,0
0,117,-2.66454e-15
0,118,4.44089e-16
0,119,2.66454e-15
0,120,-4.88498e-15
0,121,5.32907e-15
0,122,-2.66454e-15
0,123,5.9952e-15
0,124,1.77636e-15
0,125,-1.77636e-14
0,126,8.88178e-16
0,127,6.92779e-14
0,128,-4.52971e-14
0,129,-1.19904e-14
0,130,-7.54952e-15
0,131,-1.11022e-15
0,132,2.88658e-15
0,133,1.77636e-15
0,134,-3.19744e-14
0,135,4.17444e-14
0,136,1.88738e-13
0,137,-3.55271e-15
0,138,-1.42109e-14
0,139,-4.88498e-15
0,140,-1.62093e-14
0,141,2.33147e-15
0,142,3.9968e-15
0,143,-8.32667e-15
0,144,-2.4869e-14
0,145,1.66533e-15
0,146,3.24185e-14
0,147,-4.44089e-16
0,148,0
0,149,-1.04361e-14
0,150,-5.32907e-15
0,151,-3.9968e-15
0,152,-4.44089e-16
0,153,2.22045e-15
0,154,-8.43769e-15
0,155,-3.10862e-15
0,156,2.22045e-15
0,157,-1.11022e-16
0,158,7.32747e-15
0,159,8.88178e-15
0,160,4.44089e-16
0,161,-8.88178e-15
0,162,6.66134e-16
0,163,4.44089e-16
0,164,2.22045e-16
0,165,1.33227e-15
0,166,4.21885e-15
0,167,0
0,168,2.44249e-15
0,169,-6.21725e-15
0,170,-3.33067e-15
0,171,4.46865e-15
0,172,1.28786e-14
0,173,-8.88178e-15
0,174,3.55271e-15
0,175,-8.43769e-15
0,176,1.26565e-14
0,177,0
0,178,5.77316e-15
0,179,3.55271e-15
0,180,6.66134e-16
0,181,0
0,182,1.42109e-14
0,183,-2.88658e-15
0,184,-1.33227e-15
0,185,2.22045e-16
0,186,3.77476e-15
0,187,-1.33227e-14
0,188,-4.44089e-16
0,189,-5.9952e-15
0,190,-2.22045e-15
0,191,5.55112e-16
0,192,1.33227e-15
0,193,-3.10862e-15
0,194,-2.4869e-14
0,195,8.88178e-16
0,196,-4.44089e-15
0,197,1.22125e-15
0,198,8.88178e-15
0,199,0
1,0,-8.88178e-16
1,1,0
1,2,-4.55191e-15
1,3,1.95399e-14
1,4,1.17684e-14
1,5,-5.32907e-15
1,6,2.95319e-14
1,7,2.22045e-15
1,8,1.06581e-14
1,9,8.88178e-15
1,10,6.43929e-15
1,11,1.86517e-14
1,12,7.10543e-15
1,13,5.32907e-15
1,14,-4.61853e-14
1,15,-1.33227e-15
1,16,-8.65974e-15
1,17,1.31006e-14
1,18,-7.21645e-15
1,19,-1.55431e-15
1,20,-1.24345e-14
1,21,-3.10862e-15
1,22,4.82947e-15
1,23,-1.46549e-14
1,24,2.66454e-15
1,25,-3.9968e-15
1,26,1.15463e-14
1,27,-4.44089e-16
1,28,8.88178e-16
1,29,-1.55431e-14
1,30,1.13243e-14
1,31,-3.10862e-15
1,32,8.43769e-15
1,33,-8.43769e-15
1,34,1.11022e-14
