,\string5,\string1,\string9,\string7,\string4,\string3,\string6,\string2,\string0,\string8
\string5,0,4.350,3.063,3.581,6.060,3.741,7.486,4.865,5.974,5.976
\string1,4.350,0,3.794,5.373,1.711,7.711,3.871,5.691,7.413,5.787
\string9,3.063,3.794,0,6.048,5.152,6.027,6.397,3.025,7.160,7.873
\string7,3.581,5.373,6.048,0,6.744,4.112,7.453,8.329,4.270,5.483
\string4,6.060,1.711,5.152,6.744,0,9.351,2.962,6.803,8.494,6.612
\string3,3.741,7.711,6.027,4.112,9.351,0,10.034,7.802,4.864,8.377
\string6,7.486,3.871,6.397,7.453,2.962,10.034,0,8.695,7.720,8.859
\string2,4.865,5.691,3.025,8.329,6.803,7.802,8.695,0,10.017,8.666
\string0,5.974,7.413,7.160,4.270,8.494,4.864,7.720,10.017,0,9.634
\string8,5.976,5.787,7.873,5.483,6.612,8.377,8.859,8.666,9.634,0
