Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,-2.22045e-16
1,5,8.88178e-16
1,6,-1.33227e-15
1,7,-8.88178e-16
1,8,0
1,9,1.33227e-15
2,0,0
2,1,0
2,2,0
2,3,0
2,4,8.88178e-16
2,5,0
2,6,3.55271e-15
2,7,0
2,8,1.77636e-15
2,9,-1.77636e-15
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,-8.88178e-16
3,6,0
3,7,1.77636e-15
3,8,0
3,9,-4.44089e-15
4,0,0
4,1,-2.22045e-16
4,2,8.88178e-16
4,3,0
4,4,0
4,5,8.88178e-16
4,6,-3.9968e-15
4,7,-8.88178e-16
4,8,1.77636e-15
4,9,1.77636e-15
5,0,0
5,1,8.88178e-16
5,2,0
5,3,-8.88178e-16
5,4,8.88178e-16
5,5,0
5,6,8.88178e-16
5,7,2.66454e-15
5,8,1.77636e-15
5,9,-6.66134e-15
6,0,0
6,1,-1.33227e-15
6,2,3.55271e-15
6,3,0
6,4,-3.9968e-15
6,5,8.88178e-16
6,6,0
6,7,-3.55271e-15
6,8,-3.55271e-15
6,9,6.21725e-15
7,0,0
7,1,-8.88178e-16
7,2,0
7,3,1.77636e-15
7,4,-8.88178e-16
7,5,2.66454e-15
7,6,-3.55271e-15
7,7,0
7,8,0
7,9,-4.44089e-15
8,0,0
8,1,0
8,2,1.77636e-15
8,3,0
8,4,1.77636e-15
8,5,1.77636e-15
8,6,-3.55271e-15
8,7,0
8,8,0
8,9,-3.55271e-15
9,0,0
9,1,1.33227e-15
9,2,-1.77636e-15
9,3,-4.44089e-15
9,4,1.77636e-15
9,5,-6.66134e-15
9,6,6.21725e-15
9,7,-4.44089e-15
9,8,-3.55271e-15
9,9,0
