Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,-7.10543e-15
0,6,0
0,7,0
0,8,0
0,9,0
1,0,0
1,1,0
1,2,0
1,3,0.371318
1,4,9.05764
1,5,26.6277
1,6,0
1,7,7.10543e-15
1,8,7.74816
1,9,2.90876
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,-7.10543e-15
2,7,0
2,8,7.10543e-15
2,9,0
3,0,0
3,1,0.371318
3,2,0
3,3,0
3,4,8.50281
3,5,21.7398
3,6,0
3,7,0
3,8,14.1877
3,9,7.90123
4,0,0
4,1,9.05764
4,2,0
4,3,8.50281
4,4,0
4,5,32.3226
4,6,0
4,7,0
4,8,30.9261
4,9,21.8255
5,0,-7.10543e-15
5,1,26.6277
5,2,0
5,3,21.7398
5,4,32.3226
5,5,0
5,6,-7.10543e-15
5,7,0
5,8,0.410257
5,9,16.6301
6,0,0
6,1,0
6,2,-7.10543e-15
6,3,0
6,4,0
6,5,-7.10543e-15
6,6,0
6,7,0
6,8,0
6,9,0
7,0,0
7,1,7.10543e-15
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
8,0,0
8,1,7.74816
8,2,7.10543e-15
8,3,14.1877
8,4,30.9261
8,5,0.410257
8,6,0
8,7,0
8,8,0
8,9,4.48232
9,0,0
9,1,2.90876
9,2,0
9,3,7.90123
9,4,21.8255
9,5,16.6301
9,6,0
9,7,0
9,8,4.48232
9,9,0
