,\string0,\string7,\string6,\string2,\string8,\string5,\string9,\string1,\string4,\string3
\string0,0,21.628,46.512,39.083,41.202,40.237,44.995,42.557,37.333,57.635
\string7,21.628,0,33.073,38.657,45.319,42.499,44.206,49.037,44.540,51.385
\string6,46.512,33.073,0,37.096,49.774,46.939,57.198,50.586,55.495,59.327
\string2,39.083,38.657,37.096,0,24.550,48.823,56.706,51.413,34.458,49.835
\string8,41.202,45.319,49.774,24.550,0,36.196,41.048,40.560,51.348,35.870
\string5,40.237,42.499,46.939,48.823,36.196,0,21.764,13.955,69.227,45.133
\string9,44.995,44.206,57.198,56.706,41.048,21.764,0,34.700,76.485,33.128
\string1,42.557,49.037,50.586,51.413,40.560,13.955,34.700,0,68.970,57.382
\string4,37.333,44.540,55.495,34.458,51.348,69.227,76.485,68.970,0,75.958
\string3,57.635,51.385,59.327,49.835,35.870,45.133,33.128,57.382,75.958,0
