,\string0,\string7,\string6,\string2,\string8,\string5,\string9,\string1,\string4,\string3
\string0,0,21.628,46.512,39.083,41.202,40.237,44.995,42.557,37.333,57.635
\string7,21.628,0,33.073,38.657,45.319,42.499,44.206,49.037,44.540,51.385
\string6,46.512,33.073,0,37.096,49.774,46.939,57.198,50.586,55.495,59.327
\string2,39.083,38.657,37.096,0,24.550,48.823,56.706,51.413,34.458,49.835
\string8,41.202,45.319,49.774,24.550,0,36.607,45.530,48.308,43.911,50.058
\string5,40.237,42.499,46.939,48.823,36.607,0,27.740,30.336,63.377,58.489
\string9,44.995,44.206,57.198,56.706,45.530,27.740,0,37.608,74.657,41.029
\string1,42.557,49.037,50.586,51.413,48.308,30.336,37.608,0,68.923,57.753
\string4,37.333,44.540,55.495,34.458,43.911,63.377,74.657,68.923,0,75.889
\string3,57.635,51.385,59.327,49.835,50.058,58.489,41.029,57.753,75.889,0
