,\string0,\string7,\string6,\string2,\string8,\string5,\string9,\string1,\string4,\string3
\string0,0,21.628,46.512,39.083,41.202,40.237,44.995,42.557,37.333,57.635
\string7,21.628,0,33.073,38.657,45.319,42.499,44.206,49.037,44.540,51.385
\string6,46.512,33.073,0,25.054,34.786,30.632,26.623,82.030,77.408,22.970
\string2,39.083,38.657,25.054,0,9.768,5.623,5.975,81.090,75.933,20.384
\string8,41.202,45.319,34.786,9.768,0,4.155,10.087,83.759,78.533,25.997
\string5,40.237,42.499,30.632,5.623,4.155,0,6.922,82.703,77.498,23.107
\string9,44.995,44.206,26.623,5.975,10.087,6.922,0,87.062,81.902,16.186
\string1,42.557,49.037,82.030,81.090,83.759,82.703,87.062,0,5.232,98.135
\string4,37.333,44.540,77.408,75.933,78.533,77.498,81.902,5.232,0,93.133
\string3,57.635,51.385,22.970,20.384,25.997,23.107,16.186,98.135,93.133,0
