,\string0,\string1,\string2,\string3,\string4,\string5,\string6,\string7,\string8,\string9
\string0,0,42.557,39.083,57.635,37.333,40.237,46.512,21.628,41.202,44.995
\string1,42.557,0,51.413,57.753,45.457,40.583,50.586,49.037,48.308,37.608
\string2,39.083,51.413,0,49.835,34.458,48.823,37.096,38.657,24.550,56.706
\string3,57.635,57.753,49.835,0,43.331,66.873,59.327,51.385,50.058,41.029
\string4,37.333,45.457,34.458,43.331,0,63.377,55.495,44.540,43.911,54.512
\string5,40.237,40.583,48.823,66.873,63.377,0,46.939,42.499,36.607,38.394
\string6,46.512,50.586,37.096,59.327,55.495,46.939,0,33.073,49.774,57.198
\string7,21.628,49.037,38.657,51.385,44.540,42.499,33.073,0,45.319,44.206
\string8,41.202,48.308,24.550,50.058,43.911,36.607,49.774,45.319,0,45.530
\string9,44.995,37.608,56.706,41.029,54.512,38.394,57.198,44.206,45.530,0
