Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,-7.10543e-15
0,4,0
0,5,-7.10543e-15
0,6,0
0,7,0
0,8,-7.10543e-15
0,9,0
1,0,0
1,1,0
1,2,36.0438
1,3,27.0263
1,4,40.2246
1,5,30.7951
1,6,10.1715
1,7,0
1,8,42.6607
1,9,22.2394
2,0,0
2,1,36.0438
2,2,0
2,3,29.4508
2,4,20.0504
2,5,43.2001
2,6,12.042
2,7,7.10543e-15
2,8,14.782
2,9,50.7314
3,0,-7.10543e-15
3,1,27.0263
3,2,29.4508
3,3,0
3,4,10.8084
3,5,43.766
3,6,36.3571
3,7,0
3,8,24.0611
3,9,24.8432
4,0,0
4,1,40.2246
4,2,20.0504
4,3,10.8084
4,4,0
4,5,53.7372
4,6,16.4534
4,7,0
4,8,37.2472
4,9,38.1015
5,0,-7.10543e-15
5,1,30.7951
5,2,43.2001
5,3,43.766
5,4,53.7372
5,5,0
5,6,16.3067
5,7,0
5,8,32.4521
5,9,31.4718
6,0,0
6,1,10.1715
6,2,12.042
6,3,36.3571
6,4,16.4534
6,5,16.3067
6,6,0
6,7,0
6,8,14.9884
6,9,30.5755
7,0,0
7,1,0
7,2,7.10543e-15
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
8,0,-7.10543e-15
8,1,42.6607
8,2,14.782
8,3,24.0611
8,4,37.2472
8,5,32.4521
8,6,14.9884
8,7,0
8,8,0
8,9,35.4431
9,0,0
9,1,22.2394
9,2,50.7314
9,3,24.8432
9,4,38.1015
9,5,31.4718
9,6,30.5755
9,7,0
9,8,35.4431
9,9,0
