,\string0,\string7,\string6,\string2,\string8,\string5,\string9,\string1,\string4,\string3
\string0,0,21.628,46.512,39.083,41.202,40.237,44.995,42.557,37.333,57.635
\string7,21.628,0,33.073,38.657,45.319,42.499,44.206,49.037,44.540,51.385
\string6,46.512,33.073,0,37.096,49.774,46.939,57.198,50.586,55.495,59.327
\string2,39.083,38.657,37.096,0,13.035,63.429,75.137,62.334,21.196,36.361
\string8,41.202,45.319,49.774,13.035,0,71.119,82.120,69.246,10.249,34.009
\string5,40.237,42.499,46.939,63.429,71.119,0,20.731,12.817,71.524,90.191
\string9,44.995,44.206,57.198,75.137,82.120,20.731,0,32.374,80.893,95.423
\string1,42.557,49.037,50.586,62.334,69.246,12.817,32.374,0,69.997,92.552
\string4,37.333,44.540,55.495,21.196,10.249,71.524,80.893,69.997,0,34.780
\string3,57.635,51.385,59.327,36.361,34.009,90.191,95.423,92.552,34.780,0
