,\string0,\string7,\string6,\string2,\string8,\string5,\string9,\string1,\string4,\string3
\string0,0,21.628,46.512,39.083,41.202,40.237,44.995,42.557,37.333,57.635
\string7,21.628,0,33.073,38.657,45.319,42.499,44.206,49.037,44.540,51.385
\string6,46.512,33.073,0,37.096,49.774,46.939,57.198,50.586,55.495,59.327
\string2,39.083,38.657,37.096,0,13.035,10.808,28.796,15.446,21.196,36.361
\string8,41.202,45.319,49.774,13.035,0,4.229,23.015,9.473,10.249,34.009
\string5,40.237,42.499,46.939,10.808,4.229,0,20.731,12.817,11.857,31.016
\string9,44.995,44.206,57.198,28.796,23.015,20.731,0,32.374,20.238,16.198
\string1,42.557,49.037,50.586,15.446,9.473,12.817,32.374,0,15.962,43.241
\string4,37.333,44.540,55.495,21.196,10.249,11.857,20.238,15.962,0,34.780
\string3,57.635,51.385,59.327,36.361,34.009,31.016,16.198,43.241,34.780,0
