,\string0,\string173,\string122,\string71,\string181,\string120,\string196,\string25,\string180,\string11,\string155,\string32,\string124,\string31,\string153,\string135,\string190,\string64,\string161,\string60,\string109,\string18,\string116,\string90,\string52,\string154,\string66,\string137,\string134,\string54,\string141,\string14,\string104,\string9,\string68,\string63,\string138,\string183,\string42,\string178,\string41,\string199,\string111,\string92,\string146,\string85,\string69,\string21,\string78,\string51,\string10,\string24,\string27,\string34,\string65,\string166,\string91,\string7,\string16,\string189,\string164,\string80,\string188,\string191,\string165,\string3,\string97,\string133,\string112,\string198,\string186,\string49,\string157,\string70,\string105,\string145,\string93,\string136,\string177,\string36,\string123,\string98,\string187,\string43,\string150,\string119,\string19,\string127,\string82,\string81,\string15,\string33,\string159,\string184,\string87,\string170,\string185,\string132,\string67,\string1,\string195,\string197,\string61,\string172,\string149,\string57,\string160,\string103,\string58,\string168,\string140,\string113,\string102,\string2,\string94,\string101,\string74,\string152,\string30,\string76,\string50,\string12,\string73,\string40,\string129,\string107,\string106,\string151,\string75,\string28,\string17,\string108,\string83,\string174,\string37,\string162,\string156,\string84,\string45,\string4,\string175,\string142,\string13,\string77,\string38,\string139,\string130,\string35,\string179,\string72,\string126,\string147,\string46,\string121,\string47,\string20,\string59,\string62,\string44,\string88,\string169,\string99,\string115,\string182,\string55,\string22,\string193,\string79,\string39,\string163,\string96,\string131,\string144,\string29,\string89,\string167,\string23,\string53,\string110,\string125,\string5,\string143,\string176,\string48,\string194,\string95,\string128,\string26,\string56,\string118,\string158,\string148,\string171,\string114,\string6,\string8,\string86,\string117,\string192,\string100
\string0,0,11.990,20.669,34.792,40.051,41.113,48.420,47.066,55.627,40.783,36.718,26.572,31.049,34.765,40.564,51.424,44.524,45.878,47.970,54.891,53.650,59.533,46.786,42.866,48.351,42.718,51.235,50.453,49.398,45.400,45.531,45.366,42.843,44.995,47.769,56.878,40.179,46.819,51.877,47.620,45.835,38.871,41.207,51.658,49.048,58.344,45.482,36.940,35.602,34.378,32.749,32.138,18.989,18.372,23.742,18.799,14.811,21.628,27.330,26.255,35.336,41.273,43.527,42.087,44.830,57.635,58.554,64.195,47.849,49.885,52.008,42.663,46.691,51.260,49.275,53.721,53.431,46.953,40.312,39.799,45.578,45.372,46.559,40.711,35.289,29.171,28.385,20.600,22.450,19.680,26.735,19.026,19.609,26.781,31.762,32.782,27.691,28.574,36.779,42.557,36.758,31.733,26.435,34.503,40.464,46.745,49.706,33.635,21.603,14.898,16.013,23.649,28.831,39.083,34.967,41.491,35.884,29.644,27.576,32.438,33.890,42.955,38.350,39.165,50.854,48.508,56.138,56.890,60.372,50.556,42.163,47.012,48.781,56.784,45.299,39.290,47.232,52.093,55.342,37.333,35.324,42.896,49.943,56.080,58.537,46.067,49.373,56.557,63.152,47.943,35.926,29.954,28.502,27.529,31.341,45.395,51.700,64.816,48.336,38.685,44.521,49.388,41.971,33.892,36.948,42.438,49.998,55.025,46.248,53.826,37.948,31.647,40.086,33.991,40.199,38.453,26.094,26.486,18.184,36.169,40.237,42.710,55.864,58.087,63.720,36.339,27.409,23.388,28.151,43.741,48.315,61.351,56.794,55.750,46.512,41.202,30.450,39.203,23.954,42.832
\string173,11.990,0,10.648,24.335,29.081,30.048,37.624,38.783,49.018,34.569,29.439,19.524,28.408,32.307,38.736,47.175,38.703,39.336,42.287,49.585,47.913,55.276,41.819,41.271,46.385,43.964,52.408,53.367,51.108,47.774,46.427,49.502,45.977,48.324,51.698,61.704,44.399,49.763,52.575,48.682,48.470,41.078,44.589,55.823,51.665,59.943,45.795,38.391,34.895,32.379,33.396,33.481,23.451,24.476,30.672,23.714,21.523,27.766,32.104,30.484,36.915,41.111,43.477,43.275,43.464,55.481,56.277,62.901,46.678,48.170,53.422,39.791,44.626,48.247,46.797,49.569,49.442,42.009,35.341,34.770,38.353,38.248,39.963,35.802,31.425,23.204,27.143,21.719,24.841,21.301,28.893,24.007,24.993,27.041,32.828,33.493,28.658,32.630,42.694,49.451,42.544,41.417,36.918,43.572,47.539,52.754,54.206,39.164,28.675,22.091,19.795,18.921,25.665,37.930,36.729,46.077,42.759,38.572,37.750,38.634,40.695,47.517,45.043,40.917,50.684,49.631,56.489,54.078,55.953,47.092,40.454,45.975,46.948,54.082,44.127,37.550,45.514,49.497,51.583,33.731,32.425,43.160,49.076,54.808,59.607,46.177,48.484,56.749,60.821,42.977,31.879,24.885,23.347,24.037,29.374,43.696,46.355,59.200,40.025,29.595,36.923,42.683,38.247,27.219,32.131,42.685,46.116,51.556,44.607,50.352,33.209,29.102,37.861,31.190,35.271,37.439,30.623,29.745,24.838,40.289,46.915,49.374,62.011,59.788,64.426,40.917,33.500,21.802,21.804,35.037,39.669,54.481,55.383,57.924,53.566,39.301,24.071,33.122,21.622,35.241
\string122,20.669,10.648,0,14.911,24.292,27.099,33.900,39.661,51.005,36.501,32.155,24.391,35.757,39.118,44.349,48.740,38.024,38.272,38.548,44.772,42.201,49.534,35.359,36.160,41.752,41.263,48.890,51.577,48.999,47.068,45.461,50.372,47.765,51.586,56.888,67.691,50.810,53.957,54.869,50.943,50.985,43.408,45.705,56.958,52.293,58.856,43.641,36.630,29.848,30.061,35.288,36.062,27.533,29.991,36.240,28.454,25.447,31.335,35.816,35.159,39.698,42.342,44.239,43.014,41.243,53.461,55.920,63.832,49.837,50.856,58.258,42.880,48.127,51.115,47.608,48.443,47.605,40.415,33.970,31.895,36.095,36.239,40.373,34.517,29.143,23.936,31.999,26.475,29.671,27.277,35.627,33.077,33.720,32.555,36.325,35.445,31.661,37.426,47.653,56.551,50.708,49.347,44.268,51.351,53.391,56.442,57.679,43.231,34.244,29.641,23.795,21.190,29.629,42.818,43.850,52.498,49.611,45.361,44.812,44.030,43.437,46.508,45.931,38.762,48.399,49.409,57.006,51.782,51.725,46.148,39.401,45.077,44.969,51.214,44.275,35.768,44.906,48.996,48.493,33.947,32.716,47.194,51.465,57.141,62.105,48.835,52.246,60.801,63.328,43.915,34.312,26.050,22.253,27.655,32.716,43.589,44.556,57.058,33.693,24.936,30.230,39.087,38.050,27.213,33.842,45.816,45.237,50.186,41.976,46.645,30.766,28.723,36.184,30.209,36.322,39.650,36.330,32.707,30.337,47.460,55.800,54.532,66.768,63.164,68.644,46.846,40.428,27.760,22.013,33.314,38.037,50.969,54.295,59.892,59.293,45.342,19.184,33.061,21.155,27.256
\string71,34.792,24.335,14.911,0,19.473,23.448,29.625,39.827,50.929,37.169,33.604,29.344,43.058,44.648,48.913,49.550,37.093,35.456,32.935,38.947,35.140,43.964,29.415,35.732,40.956,45.373,50.918,54.888,50.162,48.824,45.685,54.019,52.089,56.380,62.981,73.906,57.512,58.068,56.508,53.621,55.852,48.549,50.786,61.757,55.521,60.799,46.028,41.099,32.733,31.057,39.548,41.313,37.329,39.882,46.811,39.655,38.342,43.570,46.938,45.405,46.588,47.210,47.940,46.766,41.433,51.487,55.127,64.893,52.571,52.481,62.741,44.087,49.427,50.803,46.341,44.348,42.629,35.636,30.531,27.614,29.731,30.918,37.515,32.080,28.487,26.428,37.131,34.168,37.285,35.378,43.196,44.288,45.439,41.458,41.272,39.319,37.145,44.132,54.530,64.708,59.426,60.298,56.200,63.006,62.768,63.867,63.126,50.577,44.911,41.574,34.935,29.076,37.279,50.015,54.146,62.867,60.074,57.333,57.712,53.389,52.075,51.901,53.596,43.593,48.662,51.429,57.634,49.003,45.512,43.321,38.655,44.026,42.539,46.513,43.490,35.703,45.843,48.562,45.421,35.259,36.399,53.784,55.109,59.047,64.914,50.399,53.624,62.145,61.705,40.997,34.990,27.427,23.828,32.323,36.512,42.392,38.750,49.748,23.272,20.163,24.192,33.993,38.530,29.959,39.659,52.457,48.015,51.252,44.729,47.958,32.783,34.221,38.515,32.749,37.321,42.710,44.348,39.094,41.031,55.883,66.946,62.125,72.487,64.980,70.373,54.891,51.061,35.317,24.933,28.246,32.656,43.710,54.415,64.414,70.444,51.240,20.204,34.213,28.685,21.639
\string181,40.051,29.081,24.292,19.473,0,6.961,32.755,21.768,53.828,25.372,36.031,29.572,44.308,45.214,53.463,58.791,48.672,45.907,47.565,55.758,36.498,45.730,47.713,54.454,60.020,63.369,69.546,72.552,66.883,62.240,56.175,62.768,54.367,56.292,60.014,71.373,56.951,58.809,67.864,66.191,69.869,62.508,66.290,77.701,57.592,61.670,47.961,58.416,50.429,36.293,40.764,41.527,40.789,44.569,48.276,40.799,43.355,46.279,46.188,43.430,42.364,41.268,43.458,47.227,42.658,49.187,48.392,55.465,44.424,44.715,56.087,39.039,44.483,46.123,44.920,42.959,46.023,39.833,35.818,38.591,31.522,27.323,29.608,31.103,31.383,22.510,36.064,36.829,40.009,42.358,49.647,49.524,51.706,50.513,52.026,51.638,48.551,52.309,63.264,70.884,63.900,64.357,60.008,62.643,73.915,64.328,76.105,62.491,55.788,49.950,46.638,39.596,45.817,57.692,59.931,55.947,57.418,57.688,59.491,52.894,57.001,61.012,62.810,48.740,51.119,52.600,56.509,46.768,46.274,41.709,42.436,48.187,47.576,52.052,48.052,51.340,61.392,62.960,61.980,48.342,50.351,64.288,67.166,70.249,77.745,59.642,59.248,66.489,60.192,42.045,39.476,35.808,36.948,40.655,45.609,53.605,46.067,50.186,26.246,12.174,22.262,26.947,31.827,18.554,26.859,43.374,36.137,40.590,41.770,41.925,26.220,29.985,35.291,30.926,27.326,38.763,46.664,45.316,44.422,51.678,62.204,64.269,76.641,65.778,67.012,64.897,60.426,31.801,36.203,20.264,22.070,55.605,49.609,59.525,81.413,39.730,22.056,21.914,43.227,40.095
\string120,41.113,30.048,27.099,23.448,6.961,0,30.262,18.002,49.231,23.665,32.294,26.773,40.671,41.488,50.126,56.120,47.156,44.232,48.271,56.956,41.500,51.365,50.743,57.952,62.719,66.247,72.880,75.522,69.827,65.042,59.038,65.859,57.361,58.299,60.798,71.489,56.736,59.487,67.280,65.840,69.920,62.799,67.702,79.147,61.223,66.318,53.146,60.965,54.423,40.475,43.247,43.913,43.385,46.335,50.436,43.397,46.335,49.517,49.292,45.882,45.173,44.560,46.893,51.511,47.245,53.060,51.003,57.529,44.765,44.942,55.987,38.123,43.354,44.498,45.737,44.311,47.555,40.688,36.872,40.180,31.609,28.054,28.129,33.146,35.018,24.003,35.789,38.100,41.340,42.306,48.409,48.316,50.643,49.241,51.854,52.223,48.945,52.841,63.887,70.295,62.396,64.807,61.340,63.574,73.781,67.120,76.291,63.279,56.525,50.118,47.841,39.190,44.242,55.242,57.632,56.811,58.573,59.430,61.233,54.874,60.476,65.780,66.889,54.080,55.920,56.431,59.208,50.505,50.266,43.686,45.365,51.000,50.744,55.092,49.769,52.890,61.540,62.469,62.599,47.831,50.125,62.585,65.620,68.313,76.732,58.983,57.245,64.667,58.460,40.456,38.068,35.346,37.648,39.401,44.566,54.164,45.984,50.460,30.027,16.920,28.569,30.543,34.424,20.664,28.070,45.361,39.553,44.354,47.208,47.465,31.083,34.128,39.977,34.888,28.128,40.420,47.694,47.480,46.537,51.473,61.526,65.875,77.715,66.019,66.051,64.025,59.866,31.686,35.737,19.293,20.647,54.832,53.457,62.509,81.218,37.365,27.345,23.684,44.518,42.724
\string196,48.420,37.624,33.900,29.625,32.755,30.262,0,45.294,31.027,49.657,27.589,33.122,38.641,43.048,44.307,37.970,30.469,30.947,41.094,44.555,61.693,71.943,46.345,53.825,52.925,58.336,65.924,70.472,68.351,69.876,68.681,78.091,76.857,78.898,82.259,91.375,73.382,76.980,62.884,59.531,60.944,55.478,62.150,72.226,81.794,88.764,74.255,55.368,52.982,58.136,62.819,64.181,59.077,59.484,67.286,60.241,58.126,63.933,67.503,65.829,68.925,70.310,72.252,73.520,68.991,77.392,78.010,86.226,70.531,70.292,79.818,58.840,63.553,63.065,65.529,64.213,62.283,53.098,48.953,45.878,44.462,48.410,50.194,53.825,54.171,46.001,52.854,53.330,56.755,47.980,50.235,49.807,49.685,40.676,50.707,51.578,48.971,59.140,69.380,75.438,66.605,75.215,73.409,79.865,69.024,87.537,71.187,62.984,55.817,51.082,46.636,31.071,32.531,40.422,47.511,78.909,78.203,75.800,75.190,74.202,76.288,78.894,78.474,71.446,76.910,78.022,81.942,74.480,70.791,65.123,63.157,68.235,67.353,70.284,64.618,49.616,48.180,48.051,47.991,37.877,36.750,47.137,48.949,53.350,64.768,59.142,58.386,69.152,72.044,50.711,44.147,38.149,36.306,37.227,42.582,55.586,50.194,64.350,46.146,41.672,50.393,56.388,60.701,47.775,53.546,71.618,67.119,72.904,70.752,71.422,56.430,57.547,64.366,57.915,55.213,63.903,63.031,60.797,61.257,71.477,79.391,82.856,91.614,82.519,84.769,59.160,55.665,50.735,30.213,41.349,44.385,41.137,79.832,88.350,71.838,60.771,46.899,52.237,38.050,31.648
\string25,47.066,38.783,39.661,39.827,21.768,18.002,45.294,0,58.232,18.196,41.423,33.796,45.426,44.961,56.380,67.488,60.675,57.409,62.532,72.620,48.288,56.978,66.131,72.385,78.009,80.058,86.933,88.218,81.853,74.373,66.799,71.133,58.175,56.629,55.736,65.798,54.203,58.345,76.279,75.772,80.608,73.616,78.941,90.374,61.976,66.729,56.000,73.990,68.027,46.864,45.100,44.658,46.785,49.949,50.901,45.263,51.296,52.450,49.360,44.627,42.231,40.951,44.229,52.534,50.270,53.087,46.654,49.202,37.431,38.331,48.038,35.658,39.889,41.889,46.211,46.365,53.119,47.863,44.928,51.472,39.980,33.049,27.728,37.259,41.154,27.881,36.918,41.723,44.261,48.992,54.302,53.329,56.497,58.613,60.777,62.095,58.374,58.727,69.086,72.919,64.541,65.528,62.305,60.540,81.217,65.076,85.211,71.448,64.630,57.125,57.737,51.154,54.878,64.427,64.358,48.971,54.023,57.859,60.908,52.900,62.981,71.894,72.538,59.030,58.862,57.356,57.908,51.136,54.658,45.150,50.002,55.233,56.124,61.211,54.314,65.499,74.990,75.668,77.571,60.464,63.324,72.819,77.037,78.987,87.145,66.646,62.693,67.992,57.837,45.307,45.116,45.548,50.236,49.095,53.827,63.892,55.527,54.976,41.030,26.018,37.058,32.994,32.754,20.240,22.414,37.852,34.015,38.972,48.307,47.921,32.690,35.326,40.997,37.406,24.065,38.416,48.997,52.263,49.197,45.897,54.406,64.880,77.820,64.984,61.292,71.518,67.175,31.556,48.437,24.814,23.108,69.085,50.876,57.118,89.212,25.905,35.828,20.177,57.421,59.850
\string180,55.627,49.018,51.005,50.929,53.828,49.231,31.027,58.232,0,57.640,22.690,35.211,29.372,31.532,26.489,19.856,25.465,26.034,43.878,48.827,77.881,89.320,57.362,64.212,60.959,66.173,73.611,74.634,71.884,72.544,72.646,81.998,83.333,82.912,83.615,88.803,70.561,75.801,50.997,49.080,52.361,49.726,60.226,68.403,90.136,101.112,89.033,61.279,66.106,70.016,70.071,71.466,67.534,64.357,74.040,70.276,69.418,76.151,79.889,75.914,79.779,83.114,84.176,85.713,82.014,89.292,88.387,96.431,75.873,75.051,81.331,60.457,63.192,61.111,68.721,69.929,66.601,56.844,53.805,51.468,50.518,57.425,55.794,62.765,65.714,56.700,55.275,58.667,61.273,47.626,43.143,45.550,45.789,36.254,45.423,49.085,47.136,56.515,64.331,65.298,55.262,72.374,75.233,81.940,60.183,93.749,61.350,58.800,55.149,51.041,51.446,36.656,31.548,29.272,39.127,86.295,82.563,81.312,80.538,80.000,84.452,90.121,87.309,86.738,89.728,87.772,88.668,86.229,83.312,72.294,70.770,74.546,74.875,77.356,67.542,51.611,43.703,40.002,47.157,34.645,36.343,35.408,35.029,35.101,49.336,49.399,44.484,55.243,64.835,47.801,40.860,39.423,41.470,34.341,37.002,52.480,49.635,66.918,61.940,59.550,70.817,71.507,72.219,62.740,69.342,83.441,85.506,90.254,89.257,93.147,74.271,73.246,79.873,71.228,65.417,71.095,65.227,65.414,67.927,72.503,79.155,83.874,87.783,78.857,79.613,48.378,49.544,56.464,34.402,51.799,54.844,38.621,92.719,98.226,65.518,64.264,64.338,66.170,46.073,50.001
\string11,40.783,34.569,36.501,37.169,25.372,23.665,49.657,18.196,57.640,0,37.153,27.549,40.991,37.409,48.865,62.720,55.585,51.297,53.526,65.082,38.490,47.807,57.747,63.795,70.386,72.715,78.359,77.911,69.664,59.965,51.266,55.395,42.701,40.431,40.258,50.065,38.048,40.686,63.313,63.899,70.306,63.425,68.107,79.163,47.220,54.567,45.692,65.303,60.618,34.012,29.751,29.776,35.694,37.600,39.908,36.801,44.731,46.614,43.790,36.517,32.379,32.267,33.226,40.649,37.760,40.101,34.147,39.577,22.503,22.477,33.208,17.663,22.243,25.046,28.483,30.216,37.337,32.942,30.432,39.061,27.591,19.693,12.941,21.813,27.774,15.622,21.348,28.373,30.241,37.471,43.222,45.391,49.672,53.314,49.015,49.973,46.906,44.663,54.363,58.726,52.102,52.741,51.053,50.019,71.079,51.760,72.863,59.167,55.320,48.925,50.474,47.269,51.890,61.500,61.887,43.840,43.682,48.580,52.472,40.805,50.960,60.290,60.811,50.024,46.219,43.011,41.897,37.925,42.135,28.854,34.072,38.777,40.348,45.786,37.217,54.444,66.743,67.409,69.775,52.495,57.481,67.942,70.690,71.085,76.999,52.697,49.229,52.847,41.793,31.008,32.242,34.939,41.364,40.419,43.447,50.006,42.645,41.134,32.679,21.521,32.655,23.940,19.676,16.523,26.602,32.717,35.954,36.886,43.476,48.067,28.515,29.403,32.462,26.219,10.062,22.391,34.308,37.756,38.041,32.867,45.900,49.409,60.680,46.868,44.317,61.392,59.121,19.531,42.005,15.439,15.183,62.321,39.853,46.047,83.247,19.264,29.195,13.987,51.835,56.762
