Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,-7.10543e-15
0,4,7.10543e-15
0,5,0
0,6,0
0,7,0
0,8,0
0,9,-7.10543e-15
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,-3.55271e-15
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,-3.55271e-15
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,7.10543e-15
0,55,7.10543e-15
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,7.10543e-15
0,71,0
0,72,0
0,73,7.10543e-15
0,74,0
0,75,7.10543e-15
0,76,0
0,77,0
0,78,0
0,79,7.10543e-15
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,7.10543e-15
0,90,0
0,91,0
0,92,7.10543e-15
0,93,0
0,94,0
0,95,0
0,96,7.10543e-15
0,97,0
0,98,0
0,99,0
0,100,0
0,101,0
0,102,0
0,103,0
0,104,0
0,105,0
0,106,0
0,107,7.10543e-15
0,108,0
0,109,0
0,110,-3.55271e-15
0,111,0
0,112,0
0,113,0
0,114,-7.10543e-15
0,115,0
0,116,0
0,117,0
0,118,0
0,119,0
0,120,0
0,121,-3.55271e-15
0,122,0
0,123,0
0,124,0
0,125,0
0,126,-7.10543e-15
0,127,0
0,128,0
0,129,7.10543e-15
0,130,0
0,131,3.55271e-15
0,132,0
0,133,0
0,134,0
0,135,7.10543e-15
0,136,0
0,137,0
0,138,0
0,139,0
0,140,0
0,141,0
0,142,-7.10543e-15
0,143,0
0,144,7.10543e-15
0,145,-7.10543e-15
0,146,0
0,147,0
0,148,0
0,149,0
0,150,0
0,151,-7.10543e-15
0,152,0
0,153,0
0,154,0
0,155,0
0,156,0
0,157,0
0,158,0
0,159,0
0,160,0
0,161,0
0,162,0
0,163,-7.10543e-15
0,164,0
0,165,0
0,166,3.55271e-15
0,167,0
0,168,0
0,169,0
0,170,-7.10543e-15
0,171,0
0,172,0
0,173,0
0,174,0
0,175,0
0,176,-7.10543e-15
0,177,0
0,178,0
0,179,-7.10543e-15
0,180,0
0,181,0
0,182,0
0,183,0
0,184,-3.55271e-15
0,185,0
0,186,0
0,187,0
0,188,0
0,189,0
0,190,0
0,191,7.10543e-15
0,192,0
0,193,0
0,194,0
0,195,0
0,196,0
0,197,-3.55271e-15
0,198,0
0,199,0
1,0,0
1,1,0
1,2,0.350043
1,3,2.06878
1,4,0.358074
1,5,7.68559
1,6,0.838392
1,7,1.29152
1,8,2.36889
1,9,9.44919
1,10,2.54568
1,11,1.08295
1,12,2.12602
1,13,0.0144681
1,14,1.48792
1,15,4.94508
1,16,1.97898
1,17,3.15114
1,18,0.871262
1,19,6.50775
1,20,4.91124
1,21,0.668706
1,22,2.31049
1,23,7.55425
1,24,4.01812
1,25,0.884197
1,26,1.37342
1,27,3.22655
1,28,3.31048
1,29,5.87885
1,30,2.46528
1,31,0.124398
1,32,0.0815256
1,33,4.58299
1,34,2.14206
1,35,0.868682
1,36,1.22584
1,37,1.03983
1,38,0.166017
1,39,3.89232
1,40,4.04716
1,41,0.279404
1,42,1.13736
1,43,6.97225
1,44,1.83354
1,45,0.110269
1,46,2.77981
1,47,7.12409
1,48,4.75081
1,49,3.83761
1,50,2.24876
1,51,1.70681
1,52,0.00416197
1,53,4.9452
1,54,0.00202446
1,55,1.13516
1,56,0.272021
1,57,1.55851
1,58,0.116755
1,59,0.000559477
1,60,0.669237
1,61,0.628068
1,62,3.05159
1,63,8.12385
1,64,0.283782
1,65,5.7302
1,66,0.185826
1,67,0.783221
1,68,10.2406
1,69,1.35965
1,70,5.3296
1,71,0
1,72,0.645493
1,73,3.13634
1,74,5.97272
1,75,3.19295
1,76,4.00721
1,77,0.297712
1,78,0.0422247
1,79,4.05167
1,80,2.80258
1,81,2.38354
1,82,6.68356
1,83,4.59319
1,84,0.0506215
1,85,1.29678
1,86,4.83132
1,87,1.36779
1,88,1.72173
1,89,6.42049
1,90,0.00610304
1,91,2.30339
1,92,0.884345
1,93,4.09
1,94,0.854301
1,95,1.08028
1,96,3.83955
1,97,3.2781
1,98,4.99483
1,99,2.36074
1,100,0.455917
1,101,3.3002
1,102,0.307961
1,103,0.339294
1,104,8.39231
1,105,7.56201
1,106,8.62078
1,107,8.35314
1,108,4.17508
1,109,1.2628
1,110,6.51093
1,111,0.659865
1,112,4.10412
1,113,0.356204
1,114,1.7746
1,115,3.53513
1,116,0.0791219
1,117,9.2265
1,118,0.965713
1,119,6.37661
1,120,0.787131
1,121,5.43703
1,122,0
1,123,1.92209
1,124,0.302105
1,125,10.2183
1,126,0.994023
1,127,5.50597
1,128,0.0036139
1,129,4.72323
1,130,0.633274
1,131,4.40891
1,132,0.0162798
1,133,3.28924
1,134,0.278149
1,135,0.0522834
1,136,1.87207
1,137,0.327919
1,138,6.59677
1,139,0.18296
1,140,0.0613262
1,141,0.909912
1,142,0.296082
1,143,10.3087
1,144,6.18113
1,145,5.5271
1,146,1.89984
1,147,0.233409
1,148,0.756666
1,149,1.41927
1,150,6.65966
1,151,5.55012
1,152,4.96598
1,153,0.0116373
1,154,0.130685
1,155,0.092941
1,156,0.27403
1,157,6.57139
1,158,1.66579
1,159,2.67021
1,160,0.987804
1,161,0.269289
1,162,0.190233
1,163,4.08284
1,164,2.45246
1,165,1.96012
1,166,3.95557
1,167,9.9017
1,168,0.138781
1,169,1.77142
1,170,0.0536835
1,171,5.07949
1,172,1.56674
1,173,0
1,174,2.79321
1,175,0.344838
1,176,1.05096
1,177,1.65117
1,178,0.115292
1,179,2.21225
1,180,0.861902
1,181,2.8071
1,182,1.63519
1,183,1.49628
1,184,2.644
1,185,0.0615798
1,186,5.19783
1,187,6.48082
1,188,2.15962
1,189,1.00365
1,190,0.0110962
1,191,3.13628
1,192,5.23853
1,193,3.8448
1,194,4.39737
1,195,1.67894
1,196,0.587311
1,197,2.89183
1,198,4.08905
1,199,1.2546
2,0,0
2,1,0.350043
2,2,0
2,3,3.07121
2,4,6.65185
2,5,17.8556
2,6,0.371644
2,7,2.50573
2,8,8.76557
2,9,15.882
2,10,3.95384
2,11,2.28199
2,12,3.6058
2,13,4.8866
2,14,1.55885
2,15,15.9267
2,16,4.64945
2,17,5.91899
2,18,0.84653
2,19,19.0223
2,20,14.6547
2,21,0.418684
2,22,8.3618
2,23,13.2834
2,24,7.72947
2,25,2.18829
2,26,2.90991
2,27,7.22053
2,28,6.70421
2,29,19.0508
2,30,4.18415
2,31,2.30152
2,32,1.07134
2,33,17.944
2,34,3.46982
2,35,3.40017
2,36,4.70792
2,37,1.03271
2,38,4.96142
2,39,11.918
2,40,10.1911
2,41,0.140164
2,42,0.44764
2,43,24.662
2,44,5.15514
2,45,3.8753
2,46,14.1017
2,47,25.3587
2,48,5.51419
2,49,8.6111
2,50,2.88852
2,51,3.04992
2,52,0.856928
2,53,10.0709
2,54,0.160438
2,55,4.02147
2,56,0.0602326
