,\string0,\string173,\string122,\string71,\string181,\string120,\string196,\string25,\string180,\string11,\string155,\string32,\string124,\string31,\string153,\string135,\string190,\string64,\string161,\string60,\string109,\string18,\string116,\string90,\string52,\string154,\string66,\string137,\string134,\string54,\string141,\string14,\string104,\string9,\string68,\string63,\string138,\string183,\string42,\string178,\string41,\string199,\string111,\string92,\string146,\string85,\string69,\string21,\string78,\string51,\string10,\string24,\string27,\string34,\string65,\string166,\string91,\string7,\string16,\string189,\string164,\string80,\string188,\string191,\string165,\string3,\string97,\string133,\string112,\string198,\string186,\string49,\string157,\string70,\string105,\string145,\string93,\string136,\string177,\string36,\string123,\string98,\string187,\string43,\string150,\string119,\string19,\string127,\string82,\string81,\string15,\string33,\string159,\string184,\string87,\string170,\string185,\string132,\string67,\string1,\string195,\string197,\string61,\string172,\string149,\string57,\string160,\string103,\string58,\string168,\string140,\string113,\string102,\string2,\string94,\string101,\string74,\string152,\string30,\string76,\string50,\string12,\string73,\string40,\string129,\string107,\string106,\string151,\string75,\string28,\string17,\string108,\string83,\string174,\string37,\string162,\string156,\string84,\string45,\string4,\string175,\string142,\string13,\string77,\string38,\string139,\string130,\string35,\string179,\string72,\string126,\string147,\string46,\string121,\string47,\string20,\string59,\string62,\string44,\string88,\string169,\string99,\string115,\string182,\string55,\string22,\string193,\string79,\string39,\string163,\string96,\string131,\string144,\string29,\string89,\string167,\string23,\string53,\string110,\string125,\string5,\string143,\string176,\string48,\string194,\string95,\string128,\string26,\string56,\string118,\string158,\string148,\string171,\string114,\string6,\string8,\string86,\string117,\string192,\string100
\string0,0,11.990,20.669,34.792,40.051,41.113,48.420,47.066,55.627,40.783,36.718,26.572,31.049,34.765,40.564,51.424,44.524,45.878,47.970,54.891,53.650,59.533,46.786,42.866,48.351,42.718,51.235,50.453,49.398,45.400,45.531,45.366,42.843,44.995,47.769,56.878,40.179,46.819,51.877,47.620,45.835,38.871,41.207,51.658,49.048,58.344,45.482,36.940,35.602,34.378,32.749,32.138,18.989,18.372,23.742,18.799,14.811,21.628,27.330,26.255,35.336,41.273,43.527,42.087,44.830,57.635,58.554,64.195,47.849,49.885,52.008,42.663,46.691,51.260,49.275,53.721,53.431,46.953,40.312,39.799,45.578,45.372,46.559,40.711,35.289,29.171,28.385,20.600,22.450,19.680,26.735,19.026,19.609,26.781,31.762,32.782,27.691,28.574,36.779,42.557,36.758,31.733,26.435,34.503,40.464,46.745,49.706,33.635,21.603,14.898,16.013,23.649,28.831,39.083,34.967,41.491,35.884,29.644,27.576,32.438,33.890,42.955,38.350,39.165,50.854,48.508,56.138,56.890,60.372,50.556,42.163,47.012,48.781,56.784,45.299,39.290,47.232,52.093,55.342,37.333,35.324,42.896,49.943,56.080,58.537,46.067,49.373,56.557,63.152,47.943,35.926,29.954,28.502,27.529,31.341,45.395,51.700,64.816,48.336,38.685,44.521,49.388,41.971,33.892,36.948,42.438,49.998,55.025,46.248,53.826,37.948,31.647,40.086,33.991,40.199,38.453,26.094,26.486,18.184,36.169,40.237,42.710,55.864,58.087,63.720,36.339,27.409,23.388,28.151,43.741,48.315,61.351,56.794,55.750,46.512,41.202,30.450,39.203,23.954,42.832
\string173,11.990,0,10.648,24.335,29.081,30.048,37.624,38.783,49.018,34.569,29.439,19.524,28.408,32.307,38.736,47.175,38.703,39.336,42.287,49.585,47.913,55.276,41.819,41.271,46.385,43.964,52.408,53.367,51.108,47.774,46.427,49.502,45.977,48.324,51.698,61.704,44.399,49.763,52.575,48.682,48.470,41.078,44.589,55.823,51.665,59.943,45.795,38.391,34.895,32.379,33.396,33.481,23.451,24.476,30.672,23.714,21.523,27.766,32.104,30.484,36.915,41.111,43.477,43.275,43.464,55.481,56.277,62.901,46.678,48.170,53.422,39.791,44.626,48.247,46.797,49.569,49.442,42.009,35.341,34.770,38.353,38.248,39.963,35.802,31.425,23.204,27.143,21.719,24.841,21.301,28.893,24.007,24.993,27.041,32.828,33.493,28.658,32.630,42.694,49.451,42.544,41.417,36.918,43.572,47.539,52.754,54.206,39.164,28.675,22.091,19.795,18.921,25.665,37.930,36.729,46.077,42.759,38.572,37.750,38.634,40.695,47.517,45.043,40.917,50.684,49.631,56.489,54.078,55.953,47.092,40.454,45.975,46.948,54.082,44.127,37.550,45.514,49.497,51.583,33.731,32.425,43.160,49.076,54.808,59.607,46.177,48.484,56.749,60.821,42.977,31.879,24.885,23.347,24.037,29.374,43.696,46.355,59.200,40.025,29.595,36.923,42.683,38.247,27.219,32.131,42.685,46.116,51.556,44.607,50.352,33.209,29.102,37.861,31.190,35.271,37.439,30.623,29.745,24.838,40.289,46.915,49.374,62.011,59.788,64.426,40.917,33.500,21.802,21.804,35.037,39.669,54.481,55.383,57.924,53.566,39.301,24.071,33.122,21.622,35.241
\string122,20.669,10.648,0,14.911,24.292,27.099,33.900,39.661,51.005,36.501,32.155,24.391,35.757,39.118,44.349,48.740,38.024,38.272,38.548,44.772,42.201,49.534,35.359,36.160,41.752,41.263,48.890,51.577,48.999,47.068,45.461,50.372,47.765,51.586,56.888,67.691,50.810,53.957,54.869,50.943,50.985,43.408,45.705,56.958,52.293,58.856,43.641,36.630,29.848,30.061,35.288,36.062,27.533,29.991,36.240,28.454,25.447,31.335,35.816,35.159,39.698,42.342,44.239,43.014,41.243,53.461,55.920,63.832,49.837,50.856,58.258,42.880,48.127,51.115,47.608,48.443,47.605,40.415,33.970,31.895,36.095,36.239,40.373,34.517,29.143,23.936,31.999,26.475,29.671,27.277,35.627,33.077,33.720,32.555,36.325,35.445,31.661,37.426,47.653,56.551,50.708,49.347,44.268,51.351,53.391,56.442,57.679,43.231,34.244,29.641,23.795,21.190,29.629,42.818,43.850,52.498,49.611,45.361,44.812,44.030,43.437,46.508,45.931,38.762,48.399,49.409,57.006,51.782,51.725,46.148,39.401,45.077,44.969,51.214,44.275,35.768,44.906,48.996,48.493,33.947,32.716,47.194,51.465,57.141,62.105,48.835,52.246,60.801,63.328,43.915,34.312,26.050,22.253,27.655,32.716,43.589,44.556,57.058,33.693,24.936,30.230,39.087,38.050,27.213,33.842,45.816,45.237,50.186,41.976,46.645,30.766,28.723,36.184,30.209,36.322,39.650,36.330,32.707,30.337,47.460,55.800,54.532,66.768,63.164,68.644,46.846,40.428,27.760,22.013,33.314,38.037,50.969,54.295,59.892,59.293,45.342,19.184,33.061,21.155,27.256
\string71,34.792,24.335,14.911,0,19.473,23.448,29.625,39.827,50.929,37.169,33.604,29.344,43.058,44.648,48.913,49.550,37.093,35.456,32.935,38.947,35.140,43.964,29.415,35.732,40.956,45.373,50.918,54.888,50.162,48.824,45.685,54.019,52.089,56.380,62.981,73.906,57.512,58.068,56.508,53.621,55.852,48.549,50.786,61.757,55.521,60.799,46.028,41.099,32.733,31.057,39.548,41.313,37.329,39.882,46.811,39.655,38.342,43.570,46.938,45.405,46.588,47.210,47.940,46.766,41.433,51.487,55.127,64.893,52.571,52.481,62.741,44.087,49.427,50.803,46.341,44.348,42.629,35.636,30.531,27.614,29.731,30.918,37.515,32.080,28.487,26.428,37.131,34.168,37.285,35.378,43.196,44.288,45.439,41.458,41.272,39.319,37.145,44.132,54.530,64.708,59.426,60.298,56.200,63.006,62.768,63.867,63.126,50.577,44.911,41.574,34.935,29.076,37.279,50.015,54.146,62.867,60.074,57.333,57.712,53.389,52.075,51.901,53.596,43.593,48.662,51.429,57.634,49.003,45.512,43.321,38.655,44.026,42.539,46.513,43.490,35.703,45.843,48.562,45.421,35.259,36.399,53.784,55.109,59.047,64.914,50.399,53.624,62.145,61.705,40.997,34.990,27.427,23.828,32.323,36.512,42.392,38.750,49.748,23.272,20.163,24.192,33.993,38.530,29.959,39.659,52.457,48.015,51.252,44.729,47.958,32.783,34.221,38.515,32.749,37.321,42.710,44.348,39.094,41.031,55.883,66.946,62.125,72.487,64.980,70.373,54.891,51.061,35.317,24.933,28.246,32.656,43.710,54.415,64.414,70.444,51.240,20.204,34.213,28.685,21.639
\string181,40.051,29.081,24.292,19.473,0,6.961,11.319,21.768,33.888,25.372,23.161,26.191,34.833,38.286,40.137,36.235,25.866,25.577,32.627,37.456,36.498,45.730,36.620,43.985,44.515,49.901,57.114,61.179,58.177,59.001,56.175,62.768,54.367,56.292,60.014,71.373,56.951,58.809,55.194,51.854,53.678,47.501,53.281,63.834,57.592,61.670,47.961,46.097,43.021,36.293,40.764,41.527,40.789,44.569,48.276,40.799,43.355,46.279,46.188,43.430,42.364,41.268,43.458,47.227,42.658,49.187,48.392,55.465,44.424,44.715,56.087,39.039,44.483,46.123,44.920,42.959,46.023,39.833,35.818,35.432,31.522,27.323,29.608,31.103,31.383,22.510,36.064,36.829,40.009,38.691,42.356,42.881,43.195,35.079,41.819,41.987,39.461,49.404,59.784,67.119,59.313,64.357,60.008,62.643,61.848,64.328,63.199,53.793,47.264,43.000,37.831,23.836,28.054,38.454,45.125,55.947,57.418,57.688,59.491,52.894,57.001,61.012,62.810,48.740,51.119,52.600,56.509,46.768,46.274,41.709,42.436,48.187,47.576,52.052,48.052,39.707,41.502,42.310,41.660,30.233,30.113,43.960,45.374,49.621,59.261,50.784,51.441,61.930,60.192,42.045,35.674,28.565,25.965,29.041,34.300,46.091,41.743,50.186,26.246,12.174,22.262,26.947,31.827,18.554,26.859,43.374,36.137,40.590,41.770,41.925,26.220,29.985,35.291,30.926,27.326,38.763,46.664,45.316,44.422,51.678,62.204,64.269,76.641,65.778,67.012,52.212,48.914,31.801,21.062,20.264,22.070,36.752,49.609,59.525,66.959,39.730,22.056,21.914,29.306,23.553
\string120,41.113,30.048,27.099,23.448,6.961,0,10.303,18.002,30.411,23.665,19.750,23.563,31.804,35.008,37.996,36.229,27.693,26.665,36.104,42.215,41.500,51.365,42.110,49.752,50.446,55.510,62.945,66.334,62.791,62.401,59.038,65.859,57.361,58.299,60.798,71.489,56.736,59.487,56.484,53.708,56.343,50.289,57.014,67.692,61.223,66.318,53.146,51.121,48.669,40.475,43.247,43.913,43.385,46.335,50.436,43.397,46.335,49.517,49.292,45.882,45.173,44.560,46.893,51.511,47.245,53.060,51.003,57.529,44.765,44.942,55.987,38.123,43.354,44.498,45.737,44.311,47.555,40.688,36.872,37.604,31.609,28.054,28.129,33.146,35.018,24.003,35.789,38.100,41.340,39.180,42.055,42.524,43.272,35.952,43.220,44.191,41.352,50.388,60.947,67.053,58.386,64.807,61.340,63.574,63.560,67.120,65.420,56.013,49.419,44.252,40.635,26.061,28.859,38.297,44.592,56.811,58.573,59.430,61.233,54.874,60.476,65.780,66.889,54.080,55.920,56.431,59.208,50.505,50.266,43.686,45.365,51.000,50.744,55.092,49.769,43.471,45.093,45.161,45.977,32.686,33.422,45.069,46.950,50.476,60.973,51.387,50.364,60.665,58.460,40.456,34.703,29.151,28.727,29.305,34.809,47.872,42.298,50.460,30.027,16.920,28.569,30.543,34.424,20.664,28.070,45.361,39.553,44.354,47.208,47.465,31.083,34.128,39.977,34.888,28.128,40.420,47.694,47.480,46.537,51.473,61.526,65.875,77.715,66.019,66.051,53.161,50.052,31.686,23.112,19.293,20.647,38.915,53.457,62.509,68.982,37.365,27.345,23.684,33.415,30.382
\string196,48.420,37.624,33.900,29.625,11.319,10.303,0,18.202,31.027,29.395,27.589,33.122,38.641,43.048,44.307,37.970,30.469,30.947,41.094,44.555,44.482,53.128,46.345,53.825,52.925,58.336,65.924,70.472,68.351,69.876,67.074,73.361,63.364,64.458,66.787,77.984,64.584,67.132,62.884,59.531,60.944,55.478,62.150,72.226,66.306,69.334,56.189,55.368,52.982,46.584,49.964,50.313,50.030,54.039,56.497,48.870,51.822,53.844,52.707,50.278,48.815,46.886,49.883,55.400,51.304,56.088,53.446,58.591,49.296,49.760,61.165,45.533,50.630,51.956,52.697,50.494,54.844,48.982,45.636,45.878,39.954,34.966,34.941,39.991,41.467,31.454,44.348,46.266,49.375,47.980,50.235,49.807,49.685,40.676,50.707,51.578,48.971,59.140,69.380,75.438,66.605,72.881,68.423,69.530,69.024,72.145,71.187,62.984,55.817,51.082,46.636,31.071,32.531,40.422,47.511,59.566,63.678,64.801,66.779,60.479,66.201,71.061,72.889,57.608,59.712,61.089,64.128,53.782,53.889,49.513,52.205,57.821,57.323,61.455,57.730,49.616,48.180,48.051,47.991,37.877,36.750,47.137,48.949,53.350,64.768,59.142,58.386,69.152,66.438,49.568,44.147,38.149,36.306,37.227,42.582,55.586,50.194,56.929,35.091,21.535,30.116,33.073,38.416,24.185,27.986,46.787,36.866,42.478,47.466,44.778,32.328,36.894,42.402,39.484,32.698,46.194,55.636,55.531,53.397,57.764,66.922,72.872,85.771,73.795,73.072,59.160,55.665,39.275,30.213,26.651,26.326,41.137,55.331,65.023,71.838,41.813,32.057,26.437,38.050,31.648
\string25,47.066,38.783,39.661,39.827,21.768,18.002,18.202,0,14.361,18.196,18.133,28.263,26.425,31.116,30.127,25.533,24.214,25.489,41.581,46.556,48.288,56.978,51.671,57.993,55.986,60.263,68.486,70.803,68.683,69.400,66.799,71.133,58.175,56.629,55.736,65.798,54.203,58.345,54.586,51.574,53.437,49.126,58.306,67.778,61.976,66.729,56.000,55.950,58.028,46.864,45.100,44.658,46.785,49.949,50.901,45.263,51.296,52.450,49.360,44.627,42.231,40.951,44.229,52.534,50.270,53.087,46.654,49.202,37.431,38.331,48.038,35.658,39.889,41.889,46.211,46.365,53.119,47.863,44.928,47.155,39.980,33.049,27.728,37.259,41.154,27.881,36.918,41.723,44.261,43.117,41.562,41.548,41.488,32.096,44.157,47.016,44.169,53.951,63.191,66.115,56.005,65.528,62.305,60.540,60.113,65.076,63.147,57.124,50.770,45.686,44.486,28.222,24.948,27.984,36.193,48.971,54.023,57.859,60.908,52.900,62.981,71.894,72.538,59.030,58.862,57.356,57.908,51.136,54.658,45.150,50.002,55.233,56.124,61.211,54.314,48.596,43.558,42.044,46.719,32.636,32.327,36.002,38.330,41.676,54.620,51.582,48.551,59.641,57.837,45.307,38.927,35.010,35.575,30.602,35.381,52.137,48.907,54.976,41.030,26.018,37.058,32.994,32.754,20.240,22.414,37.852,34.015,38.972,48.307,47.921,32.690,35.326,40.997,37.406,24.065,38.416,48.997,52.263,49.197,45.897,54.406,64.880,77.820,64.984,61.292,49.091,47.122,31.556,27.704,24.814,23.108,40.031,50.876,57.118,63.670,25.905,35.828,20.177,38.192,40.805
\string180,55.627,49.018,51.005,50.929,33.888,30.411,31.027,14.361,0,18.896,22.690,35.211,29.372,31.532,26.489,19.856,25.465,26.034,43.878,48.827,51.792,60.180,57.362,64.212,60.959,66.173,73.611,74.634,71.884,72.544,69.812,73.470,58.668,55.155,52.176,60.723,52.266,55.841,50.997,49.080,52.361,49.726,60.226,68.403,62.274,67.358,59.700,61.279,66.106,51.601,47.180,46.562,52.282,54.750,54.859,51.399,59.462,59.994,55.584,49.199,44.512,42.731,45.033,54.972,52.795,52.045,42.829,43.475,32.344,32.701,41.791,32.918,35.516,37.003,43.751,44.462,53.128,49.532,48.105,51.468,42.984,34.964,26.629,39.201,45.488,33.602,39.047,46.254,48.005,47.626,43.143,45.550,45.789,36.254,45.423,49.085,47.136,56.515,64.331,65.298,55.262,67.810,65.962,62.095,60.183,65.107,61.350,58.800,55.149,51.041,51.446,36.656,31.548,29.272,39.127,49.884,54.785,61.228,65.389,54.575,66.867,77.119,77.833,64.941,60.839,57.821,55.180,50.207,55.134,43.746,51.667,55.918,57.370,61.893,54.787,51.611,43.703,40.002,47.157,34.645,36.343,35.408,35.029,35.101,49.336,49.399,44.484,55.243,52.595,45.526,40.860,39.423,41.470,34.341,37.002,52.480,49.635,53.027,46.626,34.495,44.642,35.383,33.563,28.173,30.827,38.981,38.565,40.580,53.578,54.266,39.444,41.883,45.149,41.833,24.801,38.014,51.283,56.080,54.274,44.448,53.740,64.472,76.072,60.778,54.038,48.378,49.544,35.756,34.402,28.861,25.376,38.621,49.658,54.999,65.518,23.013,44.383,24.916,46.073,50.001
\string11,40.783,34.569,36.501,37.169,25.372,23.665,29.395,18.196,18.896,0,9.426,20.959,20.224,20.463,16.528,17.316,14.413,12.940,28.879,36.653,38.490,47.807,41.817,48.194,46.972,51.971,58.912,59.089,54.837,54.130,51.266,55.395,42.701,40.431,40.258,50.065,38.048,40.686,36.948,34.840,39.391,34.984,44.738,54.215,47.220,54.567,45.692,45.627,50.009,34.012,29.751,29.776,35.694,37.600,39.908,36.801,44.731,46.614,43.790,36.517,32.379,32.267,33.226,40.649,37.760,40.101,34.147,39.577,22.503,22.477,33.208,17.663,22.243,25.046,28.483,30.216,37.337,32.942,30.432,33.605,27.591,19.693,12.941,21.813,27.774,15.622,21.348,28.373,30.241,30.003,27.035,31.931,33.135,24.551,27.903,31.070,29.048,38.650,47.216,50.674,41.911,52.741,51.053,50.019,47.697,51.760,47.551,42.259,39.636,36.035,35.867,23.226,21.632,25.427,34.541,43.840,43.682,48.580,52.472,40.805,50.960,60.290,60.811,50.024,46.219,43.011,41.897,37.925,42.135,28.854,34.072,38.777,40.348,45.786,37.217,34.182,31.386,29.302,36.030,18.530,23.309,29.758,28.968,29.344,40.441,33.445,30.961,42.431,41.793,31.008,23.563,20.742,23.229,16.166,18.855,35.079,34.277,41.134,32.679,21.521,32.655,23.940,19.676,16.523,26.602,32.717,35.954,36.886,43.476,48.067,28.515,29.403,32.462,26.219,10.062,22.391,34.308,37.756,38.041,32.867,45.900,49.409,60.680,46.868,44.317,35.361,36.895,19.531,17.160,15.439,15.183,30.530,39.853,46.047,57.395,19.264,29.195,13.987,31.225,37.907
