,\string0,\string173,\string122,\string71,\string181,\string120,\string196,\string25,\string180,\string11,\string155,\string32,\string124,\string31,\string153,\string135,\string190,\string64,\string161,\string60,\string109,\string18,\string116,\string90,\string52,\string154,\string66,\string137,\string134,\string54,\string141,\string14,\string104,\string9,\string68,\string63,\string138,\string183,\string42,\string178,\string41,\string199,\string111,\string92,\string146,\string85,\string69,\string21,\string78,\string51,\string10,\string24,\string27,\string34,\string65,\string166,\string91,\string7,\string16,\string189,\string164,\string80,\string188,\string191,\string165,\string3,\string97,\string133,\string112,\string198,\string186,\string49,\string157,\string70,\string105,\string145,\string93,\string136,\string177,\string36,\string123,\string98,\string187,\string43,\string150,\string119,\string19,\string127,\string82,\string81,\string15,\string33,\string159,\string184,\string87,\string170,\string185,\string132,\string67,\string1,\string195,\string197,\string61,\string172,\string149,\string57,\string160,\string103,\string58,\string168,\string140,\string113,\string102,\string2,\string94,\string101,\string74,\string152,\string30,\string76,\string50,\string12,\string73,\string40,\string129,\string107,\string106,\string151,\string75,\string28,\string17,\string108,\string83,\string174,\string37,\string162,\string156,\string84,\string45,\string4,\string175,\string142,\string13,\string77,\string38,\string139,\string130,\string35,\string179,\string72,\string126,\string147,\string46,\string121,\string47,\string20,\string59,\string62,\string44,\string88,\string169,\string99,\string115,\string182,\string55,\string22,\string193,\string79,\string39,\string163,\string96,\string131,\string144,\string29,\string89,\string167,\string23,\string53,\string110,\string125,\string5,\string143,\string176,\string48,\string194,\string95,\string128,\string26,\string56,\string118,\string158,\string148,\string171,\string114,\string6,\string8,\string86,\string117,\string192,\string100
\string0,0,11.990,20.669,34.792,40.051,41.113,48.420,47.066,55.627,40.783,36.718,26.572,31.049,34.765,40.564,51.424,44.524,45.878,47.970,54.891,53.650,59.533,46.786,42.866,48.351,42.718,51.235,50.453,49.398,45.400,45.531,45.366,42.843,44.995,47.769,56.878,40.179,46.819,51.877,47.620,45.835,38.871,41.207,51.658,49.048,58.344,45.482,36.940,35.602,34.378,32.749,32.138,18.989,18.372,23.742,18.799,14.811,21.628,27.330,26.255,35.336,41.273,43.527,42.087,44.830,57.635,58.554,64.195,47.849,49.885,52.008,42.663,46.691,51.260,49.275,53.721,53.431,46.953,40.312,39.799,45.578,45.372,46.559,40.711,35.289,29.171,28.385,20.600,22.450,19.680,26.735,19.026,19.609,26.781,31.762,32.782,27.691,28.574,36.779,42.557,36.758,31.733,26.435,34.503,40.464,46.745,49.706,33.635,21.603,14.898,16.013,23.649,28.831,39.083,34.967,41.491,35.884,29.644,27.576,32.438,33.890,42.955,38.350,39.165,50.854,48.508,56.138,56.890,60.372,50.556,42.163,47.012,48.781,56.784,45.299,39.290,47.232,52.093,55.342,37.333,35.324,42.896,49.943,56.080,58.537,46.067,49.373,56.557,63.152,47.943,35.926,29.954,28.502,27.529,31.341,45.395,51.700,64.816,48.336,38.685,44.521,49.388,41.971,33.892,36.948,42.438,49.998,55.025,46.248,53.826,37.948,31.647,40.086,33.991,40.199,38.453,26.094,26.486,18.184,36.169,40.237,42.710,55.864,58.087,63.720,36.339,27.409,23.388,28.151,43.741,48.315,61.351,56.794,55.750,46.512,41.202,30.450,39.203,23.954,42.832
\string173,11.990,0,10.648,24.335,29.081,30.048,37.624,38.783,49.018,34.569,29.439,19.524,28.408,32.307,38.736,47.175,38.703,39.336,42.287,49.585,47.913,55.276,41.819,41.271,46.385,43.964,52.408,53.367,51.108,47.774,46.427,49.502,45.977,48.324,51.698,61.704,44.399,49.763,52.575,48.682,48.470,41.078,44.589,55.823,51.665,59.943,45.795,38.391,34.895,32.379,33.396,33.481,23.451,24.476,30.672,23.714,21.523,27.766,32.104,30.484,36.915,41.111,43.477,43.275,43.464,55.481,56.277,62.901,46.678,48.170,53.422,39.791,44.626,48.247,46.797,49.569,49.442,42.009,35.341,34.770,38.353,38.248,39.963,35.802,31.425,23.204,27.143,21.719,24.841,21.301,28.893,24.007,24.993,27.041,32.828,33.493,28.658,32.630,42.694,49.451,42.544,41.417,36.918,43.572,47.539,52.754,54.206,39.164,28.675,22.091,19.795,18.921,25.665,37.930,36.729,46.077,42.759,38.572,37.750,38.634,40.695,47.517,45.043,40.917,50.684,49.631,56.489,54.078,55.953,47.092,40.454,45.975,46.948,54.082,44.127,37.550,45.514,49.497,51.583,33.731,32.425,43.160,49.076,54.808,59.607,46.177,48.484,56.749,60.821,42.977,31.879,24.885,23.347,24.037,29.374,43.696,46.355,59.200,40.025,29.595,36.923,42.683,38.247,27.219,32.131,42.685,46.116,51.556,44.607,50.352,33.209,29.102,37.861,31.190,35.271,37.439,30.623,29.745,24.838,40.289,46.915,49.374,62.011,59.788,64.426,40.917,33.500,21.802,21.804,35.037,39.669,54.481,55.383,57.924,53.566,39.301,24.071,33.122,21.622,35.241
\string122,20.669,10.648,0,14.139,28.527,29.158,36.865,42.074,53.675,40.272,34.509,25.951,36.928,40.715,47.207,53.879,44.517,44.470,32.520,39.874,38.027,46.009,32.439,34.158,38.775,38.948,46.938,49.303,46.126,43.499,40.993,46.682,42.453,44.847,61.994,72.126,54.802,59.840,61.874,58.179,44.384,37.056,41.362,52.761,47.419,54.562,39.925,33.921,28.909,25.564,28.690,29.364,23.669,25.902,31.909,24.267,24.086,28.666,31.189,41.010,32.673,35.118,37.438,38.251,36.413,47.472,48.169,71.111,55.255,56.429,62.981,47.653,52.789,55.752,54.666,56.269,40.434,32.636,26.174,25.590,42.863,42.869,45.014,26.653,23.238,30.055,36.368,31.923,35.192,31.621,39.098,34.643,35.638,36.805,42.649,28.832,24.821,43.112,53.311,60.098,53.152,51.679,46.840,54.005,58.187,51.537,51.512,38.265,30.296,32.652,20.397,27.121,34.093,46.755,46.664,56.530,53.407,49.015,47.817,49.274,40.906,45.186,44.873,36.516,44.231,44.233,50.235,45.678,46.591,38.460,33.298,39.057,39.411,45.751,37.191,30.543,38.114,41.353,42.663,41.417,24.894,52.454,57.748,63.162,68.964,55.346,57.156,65.777,68.469,49.294,39.386,32.226,14.955,32.416,38.170,36.387,52.241,64.477,29.409,18.947,26.471,32.465,45.644,33.069,39.100,51.981,53.114,42.808,37.302,41.630,24.291,22.173,30.465,23.841,41.976,46.343,41.180,27.778,26.677,50.708,57.560,60.017,72.609,69.380,73.581,51.401,44.144,31.216,28.515,38.024,42.448,44.112,47.879,53.074,64.214,47.716,14.642,39.034,16.139,24.808
\string71,34.792,24.335,14.139,0,28.506,28.556,35.171,45.061,57.611,46.398,40.417,34.415,46.709,50.158,56.461,60.494,50.474,49.577,25.603,32.482,30.154,39.578,26.840,33.799,36.889,41.610,48.226,52.537,48.233,46.842,42.816,51.733,46.902,49.177,73.949,84.326,67.079,71.350,71.978,68.674,47.922,41.326,46.285,57.148,50.516,55.525,41.142,37.925,31.347,27.213,33.098,34.466,34.012,36.861,42.180,34.783,35.954,38.960,39.650,53.757,37.150,36.651,38.628,40.970,35.899,44.028,44.463,79.347,64.400,65.086,73.501,56.069,61.421,63.375,62.829,62.783,35.101,27.034,22.251,21.755,47.311,47.455,49.980,22.690,22.621,38.450,47.075,44.177,47.624,44.077,51.178,47.875,48.930,48.236,54.001,33.280,31.041,55.712,66.301,73.340,66.099,65.701,60.960,67.907,71.512,58.211,56.434,46.100,40.990,46.402,31.486,37.242,43.927,56.516,58.113,68.923,66.724,62.907,61.909,62.437,49.648,50.933,53.008,40.323,44.070,45.839,50.002,41.475,39.855,34.278,32.970,38.510,37.612,41.701,36.807,30.908,36.727,38.070,37.390,49.909,25.307,62.741,66.969,71.783,79.051,65.374,66.393,75.375,75.932,55.614,47.774,40.949,16.983,42.303,48.235,35.373,57.853,68.768,18.050,7.753,16.996,23.678,53.544,40.030,46.850,62.285,60.151,37.967,36.191,36.944,21.525,24.434,30.079,24.872,49.210,56.228,54.019,35.608,37.843,63.063,70.756,73.178,85.421,79.868,83.265,63.925,57.381,42.405,36.936,41.035,44.755,33.867,45.464,54.938,77.471,56.874,14.037,45.511,22.599,15.731
\string181,40.051,29.081,28.527,28.506,0,1.231,8.578,17.108,29.759,21.750,16.732,18.575,29.049,30.934,35.767,35.008,25.024,23.178,54.102,60.871,58.479,68.044,55.308,60.856,64.654,67.006,74.613,77.602,74.091,71.781,68.801,75.204,70.916,73.306,58.133,68.557,53.014,54.413,51.475,49.335,72.713,65.461,69.866,81.253,75.674,82.175,67.483,62.249,56.717,52.969,57.028,57.819,51.253,52.892,59.118,51.703,50.279,56.014,59.362,43.386,61.072,62.724,64.945,66.317,63.074,72.323,72.812,55.043,42.584,42.313,53.819,33.794,38.939,39.066,39.406,37.026,63.593,55.504,50.319,49.782,20.416,20.690,23.388,50.783,49.427,20.392,31.645,34.217,37.362,34.862,38.864,40.879,41.997,34.546,38.851,57.180,53.337,44.412,55.151,62.680,54.777,61.629,59.335,62.223,61.458,79.927,80.034,66.502,57.246,42.722,47.689,23.772,27.175,36.900,42.560,55.075,57.117,57.679,59.429,52.565,68.752,73.706,72.909,64.833,71.206,72.001,77.241,69.885,68.283,62.629,59.993,65.747,65.357,70.090,63.938,57.524,64.299,66.274,65.885,28.734,51.706,43.520,45.070,48.469,58.034,45.283,44.574,53.594,50.708,30.128,26.824,22.623,41.862,26.204,30.884,62.764,31.378,40.871,45.301,36.113,45.273,51.913,30.682,18.390,24.863,43.155,35.249,66.433,63.639,65.389,49.196,49.689,57.056,50.905,25.860,36.935,43.985,56.177,53.424,49.754,60.109,62.127,71.862,59.678,61.214,51.128,48.598,29.695,19.632,13.386,16.458,60.969,73.510,81.017,66.539,35.926,40.095,21.573,44.563,44.141
\string120,41.113,30.048,29.158,28.556,1.231,0,7.752,17.515,30.124,22.631,17.747,19.804,30.211,32.043,36.798,35.721,25.799,23.852,54.119,60.825,58.416,68.028,55.389,61.177,64.898,67.474,75.017,78.111,74.537,72.289,69.230,75.806,71.480,73.868,59.262,69.672,54.186,55.520,52.465,50.377,73.233,66.006,70.452,81.829,76.174,82.563,67.880,62.775,57.162,53.377,57.561,58.386,52.048,53.735,59.956,52.511,51.164,56.837,60.099,44.611,61.618,63.134,65.340,66.787,63.387,72.472,72.946,55.800,43.535,43.211,54.837,34.757,39.867,39.870,40.273,37.703,63.657,55.584,50.499,49.968,21.037,21.330,24.033,50.959,49.744,21.591,32.841,35.448,38.592,36.092,40.081,42.107,43.226,35.757,40.032,57.715,53.939,45.630,56.360,63.888,55.984,62.857,60.549,63.454,62.671,80.626,80.637,67.232,58.100,43.933,48.500,25.003,28.364,37.970,43.725,56.248,58.337,58.909,60.649,53.787,69.540,74.343,73.675,65.354,71.533,72.420,77.564,69.996,68.247,62.759,60.316,66.057,65.604,70.210,64.257,57.878,64.568,66.444,65.946,29.780,52.063,44.582,46.010,49.314,58.985,46.306,45.519,54.517,51.397,30.866,27.892,23.803,42.270,27.408,32.045,63.052,31.991,41.194,45.115,36.099,45.217,51.837,31.627,19.498,25.896,44.221,36.018,66.517,63.922,65.484,49.428,50.117,57.378,51.286,26.805,38.017,45.211,56.867,54.284,50.944,61.319,63.330,73.021,60.664,62.106,52.323,49.827,30.922,20.846,13.930,16.725,60.721,73.716,81.455,67.741,36.946,40.421,22.514,45.133,44.120
\string196,48.420,37.624,36.865,35.171,8.578,7.752,0,15.207,26.729,23.352,20.037,25.194,33.664,34.704,38.428,34.542,25.468,22.859,60.464,66.919,64.454,74.212,61.940,68.374,71.900,74.958,82.377,85.654,81.978,79.833,76.641,83.470,79.101,81.485,61.796,71.947,57.457,57.782,53.395,51.895,80.793,73.605,78.099,89.461,83.703,89.886,75.233,70.350,64.615,60.765,65.149,66.015,59.797,61.463,67.687,60.256,58.857,64.576,67.848,49.303,69.221,70.516,72.690,74.275,70.561,79.197,79.621,54.624,44.218,43.401,56.044,35.732,40.394,39.303,40.241,36.194,70.129,62.131,57.361,56.847,19.856,20.263,22.812,57.810,56.951,25.951,36.836,40.745,43.624,41.516,44.502,47.675,48.756,40.065,43.613,65.305,61.609,50.038,60.396,67.838,59.986,68.332,66.518,68.590,66.811,88.363,88.301,74.981,65.820,50.038,56.244,30.345,32.331,40.010,46.967,59.514,62.711,64.250,66.468,58.238,77.290,82.039,81.427,72.921,78.733,79.812,84.746,76.606,74.356,69.442,67.519,73.222,72.615,76.846,71.444,65.155,71.635,73.236,72.400,31.756,59.352,46.409,46.532,48.936,59.467,47.675,46.105,54.771,49.742,30.025,30.175,27.739,49.675,31.699,35.445,70.171,30.182,37.273,50.741,42.444,51.350,57.855,32.521,22.641,27.876,46.105,35.263,73.045,71.026,72.052,56.432,57.548,64.582,58.626,27.882,40.192,49.958,64.601,62.000,54.564,65.341,67.191,75.934,61.470,62.006,56.040,54.682,35.878,25.596,13.069,13.608,65.981,80.601,88.876,71.524,38.444,47.672,23.766,52.773,50.384
\string25,47.066,38.783,42.074,45.061,17.108,17.515,15.207,0,12.661,10.186,10.745,20.527,23.220,22.830,24.927,19.343,10.822,7.895,70.603,77.542,75.203,84.612,71.582,75.914,80.130,80.980,89.011,91.142,88.172,85.381,83.066,87.903,84.034,86.419,48.627,58.356,45.330,44.385,38.887,37.875,86.208,78.811,82.784,94.156,89.310,96.635,81.983,75.804,70.981,67.549,70.596,71.083,62.231,63.174,69.309,62.496,60.047,66.498,70.847,39.947,74.472,77.176,79.484,80.282,78.165,88.237,88.796,39.420,29.675,28.567,41.704,21.676,25.820,24.198,25.336,20.996,79.898,71.781,66.211,65.652,4.987,5.447,7.728,66.686,64.622,18.723,27.040,33.334,35.360,34.342,34.892,40.395,41.312,30.569,32.536,70.726,66.357,40.082,49.374,56.488,48.918,59.944,59.438,59.433,55.797,91.527,92.677,77.935,67.256,44.050,58.574,24.395,23.028,26.911,35.174,47.328,52.212,55.674,58.989,48.024,79.423,86.074,83.799,78.397,86.146,86.306,92.178,85.979,84.910,78.673,75.047,80.836,80.810,86.148,78.986,72.401,79.637,82.123,82.197,19.164,66.634,32.821,31.848,33.830,44.638,33.607,31.466,39.864,34.596,14.928,18.220,19.189,56.614,23.147,24.709,78.000,15.009,23.804,62.291,52.781,62.010,68.684,18.551,13.930,15.781,32.586,20.135,82.654,78.900,81.568,64.849,64.173,72.144,65.687,14.506,27.253,40.680,68.256,63.450,43.051,54.164,55.711,62.998,46.805,46.933,44.632,45.403,28.186,19.319,4.095,2.136,78.023,89.145,95.116,59.839,24.799,55.362,11.313,58.061,60.791
\string180,55.627,49.018,53.675,57.611,29.759,30.124,26.729,12.661,0,14.845,19.586,29.618,26.850,24.599,23.263,11.619,11.355,9.776,83.088,90.084,87.765,97.107,83.978,87.771,92.161,92.294,100.489,102.173,99.496,96.479,94.509,98.516,94.895,97.260,45.258,53.769,43.925,40.814,32.975,33.375,97.247,89.832,93.554,104.831,100.401,108.111,93.547,86.951,82.503,79.239,81.795,82.132,72.293,72.867,78.832,72.461,69.549,76.226,81.017,42.576,85.555,88.745,91.081,91.596,90.027,100.445,101.035,29.403,24.452,22.346,36.107,19.339,21.013,16.930,19.195,11.943,92.291,84.177,78.467,77.901,10.821,10.849,9.113,78.946,76.598,26.491,30.714,38.552,39.562,39.663,37.723,45.068,45.764,34.053,33.825,81.915,77.342,42.012,49.309,55.622,48.819,62.424,63.208,61.120,55.415,101.517,103.224,87.981,76.723,49.574,68.667,31.989,27.982,25.736,35.129,45.706,52.668,58.146,62.404,49.068,89.042,96.527,93.480,89.528,97.903,97.752,103.910,98.272,97.429,90.959,86.907,92.686,92.827,98.424,90.825,84.194,91.606,94.315,94.589,20.719,78.484,29.801,25.890,25.650,37.333,29.361,25.713,32.451,23.999,10.284,21.111,25.751,68.466,28.820,27.670,89.929,6.989,11.163,74.940,65.349,74.588,81.267,17.337,21.942,19.320,29.745,13.397,95.008,90.837,93.905,77.014,75.848,84.034,77.479,16.315,26.332,43.334,78.762,73.005,42.720,53.642,54.700,59.469,39.992,38.421,44.336,47.700,33.801,27.635,16.593,13.481,90.682,101.222,106.413,58.367,22.827,67.426,16.428,69.370,73.341
\string11,40.783,34.569,40.272,46.398,21.750,22.631,23.352,10.186,14.845,0,5.988,15.046,13.415,12.657,15.154,14.096,4.245,5.137,71.221,78.428,76.241,85.186,71.773,74.396,79.042,78.282,86.604,87.914,85.470,82.282,80.609,84.026,80.546,82.893,38.771,48.732,35.188,34.627,30.138,28.545,83.005,75.600,79.155,90.359,86.188,94.201,79.775,72.821,68.736,65.688,67.728,67.948,57.645,58.118,64.042,57.783,54.770,61.480,66.383,30.108,71.382,74.999,77.355,77.587,76.648,87.638,88.296,33.564,21.042,20.584,32.718,12.402,17.296,17.467,17.657,16.392,80.024,71.974,65.911,65.333,5.917,5.515,5.831,66.395,63.484,11.672,17.339,24.433,25.998,25.510,25.055,31.297,32.122,20.868,22.397,67.839,63.134,30.089,39.197,46.303,38.739,50.184,50.087,49.489,45.616,86.798,88.694,73.295,61.928,35.424,54.041,17.148,13.789,16.939,24.990,37.198,42.072,45.894,49.509,37.934,74.257,81.969,78.703,75.376,84.344,83.844,90.298,85.681,85.612,78.388,73.540,79.275,79.682,85.790,77.407,70.748,78.386,81.502,82.305,8.991,65.156,23.141,23.460,26.736,36.453,24.323,22.991,31.915,29.662,9.230,8.089,10.961,55.223,14.337,14.748,76.653,11.975,24.631,64.328,54.101,63.283,69.929,9.196,7.363,5.687,22.861,13.880,82.601,77.569,81.457,64.259,62.298,70.728,64.075,4.554,17.223,30.854,64.270,58.229,32.865,43.980,45.529,53.080,38.282,39.475,34.446,35.523,19.438,12.887,10.372,12.303,80.194,88.144,92.345,49.670,15.127,54.560,1.600,55.470,61.887
