,\string0,\string173,\string122,\string71,\string181,\string120,\string196,\string25,\string180,\string11,\string155,\string32,\string124,\string31,\string153,\string135,\string190,\string64,\string161,\string60,\string109,\string18,\string116,\string90,\string52,\string154,\string66,\string137,\string134,\string54,\string141,\string14,\string104,\string9,\string68,\string63,\string138,\string183,\string42,\string178,\string41,\string199,\string111,\string92,\string146,\string85,\string69,\string21,\string78,\string51,\string10,\string24,\string27,\string34,\string65,\string166,\string91,\string7,\string16,\string189,\string164,\string80,\string188,\string191,\string165,\string3,\string97,\string133,\string112,\string198,\string186,\string49,\string157,\string70,\string105,\string145,\string93,\string136,\string177,\string36,\string123,\string98,\string187,\string43,\string150,\string119,\string19,\string127,\string82,\string81,\string15,\string33,\string159,\string184,\string87,\string170,\string185,\string132,\string67,\string1,\string195,\string197,\string61,\string172,\string149,\string57,\string160,\string103,\string58,\string168,\string140,\string113,\string102,\string2,\string94,\string101,\string74,\string152,\string30,\string76,\string50,\string12,\string73,\string40,\string129,\string107,\string106,\string151,\string75,\string28,\string17,\string108,\string83,\string174,\string37,\string162,\string156,\string84,\string45,\string4,\string175,\string142,\string13,\string77,\string38,\string139,\string130,\string35,\string179,\string72,\string126,\string147,\string46,\string121,\string47,\string20,\string59,\string62,\string44,\string88,\string169,\string99,\string115,\string182,\string55,\string22,\string193,\string79,\string39,\string163,\string96,\string131,\string144,\string29,\string89,\string167,\string23,\string53,\string110,\string125,\string5,\string143,\string176,\string48,\string194,\string95,\string128,\string26,\string56,\string118,\string158,\string148,\string171,\string114,\string6,\string8,\string86,\string117,\string192,\string100
\string0,0,11.990,20.669,34.792,40.051,41.113,48.420,47.066,55.627,40.783,36.718,26.572,31.049,34.765,40.564,51.424,44.524,45.878,47.970,54.891,53.650,59.533,46.786,42.866,48.351,42.718,51.235,50.453,49.398,45.400,45.531,45.366,42.843,44.995,47.769,56.878,40.179,46.819,51.877,47.620,45.835,38.871,41.207,51.658,49.048,58.344,45.482,36.940,35.602,34.378,32.749,32.138,18.989,18.372,23.742,18.799,14.811,21.628,27.330,26.255,35.336,41.273,43.527,42.087,44.830,57.635,58.554,64.195,47.849,49.885,52.008,42.663,46.691,51.260,49.275,53.721,53.431,46.953,40.312,39.799,45.578,45.372,46.559,40.711,35.289,29.171,28.385,20.600,22.450,19.680,26.735,19.026,19.609,26.781,31.762,32.782,27.691,28.574,36.779,42.557,36.758,31.733,26.435,34.503,40.464,46.745,49.706,33.635,21.603,14.898,16.013,23.649,28.831,39.083,34.967,41.491,35.884,29.644,27.576,32.438,33.890,42.955,38.350,39.165,50.854,48.508,56.138,56.890,60.372,50.556,42.163,47.012,48.781,56.784,45.299,39.290,47.232,52.093,55.342,37.333,35.324,42.896,49.943,56.080,58.537,46.067,49.373,56.557,63.152,47.943,35.926,29.954,28.502,27.529,31.341,45.395,51.700,64.816,48.336,38.685,44.521,49.388,41.971,33.892,36.948,42.438,49.998,55.025,46.248,53.826,37.948,31.647,40.086,33.991,40.199,38.453,26.094,26.486,18.184,36.169,40.237,42.710,55.864,58.087,63.720,36.339,27.409,23.388,28.151,43.741,48.315,61.351,56.794,55.750,46.512,41.202,30.450,39.203,23.954,42.832
\string173,11.990,0,10.648,24.335,29.081,30.048,37.624,38.783,49.018,34.569,29.439,19.524,28.408,32.307,38.736,47.175,38.703,39.336,42.287,49.585,47.913,55.276,41.819,41.271,46.385,43.964,52.408,53.367,51.108,47.774,46.427,49.502,45.977,48.324,51.698,61.704,44.399,49.763,52.575,48.682,48.470,41.078,44.589,55.823,51.665,59.943,45.795,38.391,34.895,32.379,33.396,33.481,23.451,24.476,30.672,23.714,21.523,27.766,32.104,30.484,36.915,41.111,43.477,43.275,43.464,55.481,56.277,62.901,46.678,48.170,53.422,39.791,44.626,48.247,46.797,49.569,49.442,42.009,35.341,34.770,38.353,38.248,39.963,35.802,31.425,23.204,27.143,21.719,24.841,21.301,28.893,24.007,24.993,27.041,32.828,33.493,28.658,32.630,42.694,49.451,42.544,41.417,36.918,43.572,47.539,52.754,54.206,39.164,28.675,22.091,19.795,18.921,25.665,37.930,36.729,46.077,42.759,38.572,37.750,38.634,40.695,47.517,45.043,40.917,50.684,49.631,56.489,54.078,55.953,47.092,40.454,45.975,46.948,54.082,44.127,37.550,45.514,49.497,51.583,33.731,32.425,43.160,49.076,54.808,59.607,46.177,48.484,56.749,60.821,42.977,31.879,24.885,23.347,24.037,29.374,43.696,46.355,59.200,40.025,29.595,36.923,42.683,38.247,27.219,32.131,42.685,46.116,51.556,44.607,50.352,33.209,29.102,37.861,31.190,35.271,37.439,30.623,29.745,24.838,40.289,46.915,49.374,62.011,59.788,64.426,40.917,33.500,21.802,21.804,35.037,39.669,54.481,55.383,57.924,53.566,39.301,24.071,33.122,21.622,35.241
\string122,20.669,10.648,0,14.139,19.424,20.518,27.751,28.174,38.770,24.721,19.224,10.072,21.478,25.132,31.588,38.068,28.947,29.230,32.520,39.874,38.027,46.009,32.439,34.158,38.775,38.948,46.938,49.303,46.126,43.499,40.993,46.682,42.453,44.847,48.593,59.047,41.932,45.880,46.721,43.276,44.384,37.056,41.362,52.761,47.419,54.562,39.925,33.921,28.909,25.564,28.690,29.364,23.669,25.902,31.909,24.267,24.086,28.666,31.189,29.282,32.673,35.118,37.438,38.251,36.413,47.472,48.169,55.304,39.631,40.671,48.107,31.821,37.014,39.867,38.818,40.464,40.434,32.636,26.174,25.590,28.002,27.933,29.825,26.653,23.238,14.169,21.587,19.421,22.942,19.572,26.074,24.555,25.695,22.831,28.543,28.832,24.821,31.006,41.909,49.256,41.646,44.664,41.403,45.987,47.620,51.537,51.512,38.265,30.296,24.929,20.397,11.800,18.650,31.355,32.661,43.845,42.905,41.114,41.792,38.408,40.906,45.186,44.873,36.516,44.231,44.233,50.235,45.678,46.591,38.460,33.298,39.057,39.411,45.751,37.191,30.543,38.114,41.353,42.663,25.575,24.894,37.389,42.161,47.415,53.818,40.128,41.572,50.368,52.585,33.567,23.524,16.373,14.955,16.988,22.896,36.387,36.678,49.243,29.409,18.947,26.471,32.465,29.760,17.397,23.219,36.927,37.253,42.808,37.302,41.630,24.291,22.173,30.465,23.841,26.133,31.007,29.671,27.778,26.677,38.010,46.628,48.952,60.603,54.494,58.232,39.007,33.639,16.980,12.629,24.395,29.025,44.112,47.879,53.074,53.358,32.066,14.642,23.390,16.139,24.808
\string71,34.792,24.335,14.139,0,5.857,7.081,13.670,17.015,29.365,18.727,13.005,12.826,23.932,26.198,31.520,32.671,22.542,21.339,25.603,32.482,30.154,39.578,26.840,33.799,36.889,41.610,48.226,52.537,48.233,46.842,42.816,51.733,46.902,49.177,53.160,63.655,47.748,49.592,47.400,44.947,47.922,41.326,46.285,57.148,50.516,55.525,41.142,37.925,31.347,27.213,33.098,34.466,34.012,36.861,42.180,34.783,35.954,38.960,39.650,37.681,37.150,36.651,38.628,40.970,35.899,44.028,44.463,52.278,38.784,38.833,49.561,30.005,35.310,36.169,36.135,34.865,35.101,27.034,22.251,21.755,18.990,19.145,21.707,22.690,22.621,15.027,26.242,28.409,31.596,29.034,33.253,35.031,36.151,28.998,33.549,33.280,31.041,38.782,49.600,57.137,49.237,55.781,53.486,56.408,55.860,58.211,56.434,46.100,40.990,36.880,31.486,17.992,21.846,32.392,37.372,49.801,51.463,51.842,53.573,46.900,49.648,50.933,53.008,40.323,44.070,45.839,50.002,41.475,39.855,34.278,32.970,38.510,37.612,41.701,36.807,30.908,36.727,38.070,37.390,24.465,25.307,39.029,41.328,45.255,54.159,41.028,40.801,49.904,48.346,27.739,22.429,17.411,16.983,20.749,25.760,35.373,29.656,40.497,18.050,7.753,16.996,23.678,27.045,13.864,20.745,38.638,32.596,37.967,36.191,36.944,21.525,24.434,30.079,24.872,22.307,32.350,38.265,35.608,37.843,44.367,54.550,56.614,66.671,55.598,57.668,45.699,42.845,23.977,14.103,12.923,17.098,33.867,45.464,54.938,61.041,31.755,14.037,18.169,22.599,15.731
\string181,40.051,29.081,19.424,5.857,0,1.231,8.578,17.108,29.759,21.750,16.732,18.575,29.049,30.934,35.767,35.008,25.024,23.178,27.614,33.881,31.408,41.195,29.383,37.888,40.408,46.300,52.459,57.214,52.683,51.613,47.280,56.819,51.913,54.138,58.133,68.557,53.014,54.413,51.475,49.335,52.724,46.371,51.397,62.048,55.183,59.566,45.480,42.970,36.211,32.039,38.307,39.768,39.857,42.716,48.008,40.632,41.798,44.795,45.349,43.386,42.298,41.169,43.012,45.685,39.879,46.799,47.123,55.043,42.584,42.313,53.819,33.794,38.939,39.066,39.406,37.026,37.370,29.565,25.773,25.346,20.416,20.690,23.388,26.164,27.129,20.392,31.645,34.217,37.362,34.862,38.864,40.879,41.997,34.546,38.851,38.492,36.563,44.412,55.151,62.680,54.777,61.629,59.335,62.223,61.458,63.557,61.455,51.689,46.837,42.722,37.342,23.772,27.175,36.900,42.560,55.075,57.117,57.679,59.429,52.565,55.330,56.159,58.603,45.288,47.959,50.195,53.763,44.013,41.316,37.055,37.095,42.409,41.140,44.295,40.800,35.292,40.415,41.062,39.604,28.734,29.928,43.520,45.070,48.469,58.034,45.283,44.574,53.594,50.708,30.128,26.824,22.623,22.384,26.204,30.884,39.218,31.378,40.871,17.841,9.990,18.366,24.809,30.682,18.390,24.863,43.155,35.249,40.347,39.981,39.422,25.493,29.494,34.291,29.658,25.860,36.935,43.985,41.269,43.700,49.754,60.109,62.127,71.862,59.678,61.214,51.128,48.598,29.695,19.632,13.386,16.458,33.508,48.583,59.239,66.539,35.926,19.241,21.573,28.298,17.538
\string120,41.113,30.048,20.518,7.081,1.231,0,7.752,17.515,30.124,22.631,17.747,19.804,30.211,32.043,36.798,35.721,25.799,23.852,28.295,34.425,31.933,41.760,30.150,38.892,41.316,47.391,53.474,58.297,53.733,52.713,48.335,57.965,53.050,55.266,59.262,69.672,54.186,55.520,52.465,50.377,53.828,47.514,52.549,63.165,56.266,60.545,46.516,44.114,37.334,33.160,39.476,40.948,41.086,43.941,49.239,41.860,43.010,46.025,46.573,44.611,43.457,42.237,44.057,46.780,40.863,47.568,47.872,55.800,43.535,43.211,54.837,34.757,39.867,39.870,40.273,37.703,38.065,30.329,26.713,26.299,21.037,21.330,24.033,27.096,28.212,21.591,32.841,35.448,38.592,36.092,40.081,42.107,43.226,35.757,40.032,39.661,37.771,45.630,56.360,63.888,55.984,62.857,60.549,63.454,62.671,64.739,62.590,52.903,48.065,43.933,38.564,25.003,28.364,37.970,43.725,56.248,58.337,58.909,60.649,53.787,56.553,57.326,59.817,46.420,48.920,51.231,54.697,44.743,41.852,37.841,38.106,43.377,42.048,45.035,41.786,36.345,41.350,41.879,40.284,29.780,31.023,44.582,46.010,49.314,58.985,46.306,45.519,54.517,51.397,30.866,27.892,23.803,23.584,27.408,32.045,40.181,31.991,41.194,18.177,10.907,18.998,25.344,31.627,19.498,25.896,44.221,36.018,41.055,40.935,40.150,26.502,30.649,35.319,30.776,26.805,38.017,45.211,42.490,44.924,50.944,61.319,63.330,73.021,60.664,62.106,52.323,49.827,30.922,20.846,13.930,16.725,33.703,49.412,60.261,67.741,36.946,20.425,22.514,29.524,18.254
\string196,48.420,37.624,27.751,13.670,8.578,7.752,0,15.207,26.729,23.352,20.037,25.194,33.664,34.704,38.428,34.542,25.468,22.859,27.122,32.059,29.515,39.372,29.567,40.187,41.626,49.530,54.659,60.233,55.306,54.915,50.032,60.765,55.746,57.825,61.796,71.947,57.457,57.782,53.395,51.895,56.075,50.372,55.478,65.498,58.210,61.285,48.026,47.034,40.051,35.942,42.852,44.511,46.634,49.649,54.550,47.450,49.096,51.420,51.222,49.303,46.616,44.171,45.707,48.979,41.916,46.583,46.720,54.624,44.218,43.401,56.044,35.732,40.394,39.303,40.241,36.194,36.688,29.716,27.753,27.471,19.856,20.263,22.812,28.038,30.662,25.951,36.836,40.745,43.624,41.516,44.502,47.675,48.756,40.065,43.613,43.041,41.965,50.038,60.396,67.838,59.986,68.332,66.518,68.590,66.811,68.111,65.193,57.095,53.577,50.038,44.455,30.345,32.331,40.010,46.967,59.514,62.711,64.250,66.468,58.238,61.047,60.464,63.968,49.127,49.611,52.676,55.063,43.505,39.259,37.182,39.488,44.223,42.347,43.867,42.831,38.223,41.920,41.380,38.746,31.756,33.525,46.409,46.532,48.936,59.467,47.675,46.105,54.771,49.742,30.025,30.175,27.739,27.913,31.699,35.445,41.038,30.182,37.273,15.336,13.288,18.070,23.269,32.521,22.641,27.876,46.105,35.263,39.716,41.680,38.980,28.212,33.973,36.946,33.579,27.882,40.192,49.958,47.045,50.692,54.564,65.341,67.191,75.934,61.470,62.006,56.040,54.682,35.878,25.596,13.069,13.608,29.206,48.890,61.462,71.524,38.444,24.557,23.766,34.438,18.021
\string25,47.066,38.783,28.174,17.015,17.108,17.515,15.207,0,12.661,10.186,10.745,20.527,23.220,22.830,24.927,19.343,10.822,7.895,11.965,17.100,14.567,24.462,14.586,26.263,26.887,36.190,40.320,46.459,41.275,41.511,36.216,47.933,42.900,44.763,48.627,58.356,45.330,44.385,38.887,37.875,42.696,37.891,42.938,52.048,44.478,46.582,34.078,34.766,27.853,24.143,31.485,33.352,39.371,42.599,46.276,40.239,43.113,43.496,41.679,39.947,34.712,30.772,31.955,35.722,27.715,31.381,31.513,39.420,29.675,28.567,41.704,21.676,25.820,24.198,25.336,20.996,21.483,14.718,14.345,14.268,4.987,5.447,7.728,14.478,18.906,18.723,27.040,33.334,35.360,34.342,34.892,40.395,41.312,30.569,32.536,31.669,32.095,40.082,49.374,56.488,48.918,59.944,59.438,59.433,55.797,55.887,52.046,46.449,45.824,44.050,38.247,24.395,23.028,26.911,35.174,47.328,52.212,55.674,58.989,48.024,50.820,48.078,53.044,36.491,34.991,38.577,40.206,28.299,24.467,22.066,25.675,29.800,27.590,28.660,28.600,25.023,27.343,26.280,23.556,19.164,21.524,32.821,31.848,33.830,44.638,33.607,31.466,39.864,34.596,14.928,18.220,19.189,20.146,23.147,24.709,26.696,15.009,23.804,1.270,9.589,3.871,8.112,18.551,13.930,15.781,32.586,20.135,24.511,27.235,23.775,15.661,23.263,23.518,22.041,14.506,27.253,40.680,37.541,43.741,43.051,54.164,55.711,62.998,46.805,46.933,44.632,45.403,28.186,19.319,4.095,2.136,16.853,33.749,47.056,59.839,24.799,17.233,11.313,26.835,5.015
\string180,55.627,49.018,38.770,29.365,29.759,30.124,26.729,12.661,0,14.845,19.586,29.618,26.850,24.599,23.263,11.619,11.355,9.776,8.451,6.542,4.635,13.099,11.034,23.341,21.285,33.354,34.811,41.988,36.509,38.115,32.344,45.209,40.462,41.812,45.258,53.769,43.925,40.814,32.975,33.375,39.269,36.483,41.026,47.980,40.203,39.653,30.089,34.020,28.139,25.741,32.505,34.427,44.144,47.313,49.574,44.988,48.703,47.331,43.956,42.576,34.549,28.406,28.662,33.098,23.813,22.182,21.975,29.403,24.452,22.346,36.107,19.339,21.013,16.930,19.195,11.943,12.676,10.979,16.161,16.541,10.821,10.849,9.113,15.899,21.880,26.491,30.714,38.552,39.562,39.663,37.723,45.068,45.764,34.053,33.825,32.657,34.955,42.012,49.309,55.622,48.819,62.424,63.208,61.120,55.415,53.776,48.551,47.055,49.664,49.574,44.023,31.989,27.982,25.736,35.129,45.706,52.668,58.146,62.404,49.068,51.686,46.094,52.912,34.946,28.993,33.828,32.990,18.861,12.776,15.045,23.137,24.953,21.817,19.333,24.486,23.983,22.299,18.787,14.004,20.719,23.408,29.801,25.890,25.650,37.333,29.361,25.713,32.451,23.999,10.284,21.111,25.751,27.154,28.820,27.670,22.531,6.989,11.163,11.950,21.656,12.581,6.337,17.337,21.942,19.320,29.745,13.397,15.289,22.660,15.069,18.517,26.555,22.304,24.493,16.315,26.332,43.334,40.222,48.462,42.720,53.642,54.700,59.469,39.992,38.421,44.336,47.700,33.801,27.635,16.593,13.481,5.799,25.280,41.010,58.367,22.827,25.305,16.428,32.729,14.127
\string11,40.783,34.569,24.721,18.727,21.750,22.631,23.352,10.186,14.845,0,5.988,15.046,13.415,12.657,15.154,14.096,4.245,5.137,7.800,15.155,13.351,21.576,8.225,16.836,18.699,26.377,31.334,36.938,31.957,31.749,26.709,37.951,32.909,34.853,38.771,48.732,35.188,34.627,30.138,28.545,32.924,27.789,32.864,42.335,34.924,38.127,24.679,24.618,17.677,13.970,21.319,23.199,30.311,33.541,36.682,31.176,34.518,34.071,31.769,30.108,24.531,20.968,22.389,25.866,18.591,25.309,25.737,33.564,21.042,20.584,32.718,12.402,17.296,17.467,17.657,16.392,16.541,8.424,4.416,4.201,5.917,5.515,5.831,4.686,8.807,11.672,17.339,24.433,25.998,25.510,25.055,31.297,32.122,20.868,22.397,21.502,22.232,30.089,39.197,46.303,38.739,50.184,50.087,49.489,45.616,45.777,42.188,36.308,36.420,35.424,29.721,17.148,13.789,16.939,24.990,37.198,42.072,45.894,49.509,37.934,40.718,37.983,42.869,26.419,26.449,29.324,32.121,22.761,22.051,15.553,16.143,20.970,19.431,22.979,19.511,15.082,18.801,19.405,18.839,8.991,11.348,23.141,23.460,26.736,36.453,24.323,22.991,31.915,29.662,9.230,8.089,10.961,12.325,14.337,14.748,17.768,11.975,24.631,11.102,11.765,6.315,8.661,9.196,7.363,5.687,22.861,13.880,19.317,18.462,18.260,5.478,13.356,13.689,11.927,4.554,17.223,30.854,27.693,34.696,32.865,43.980,45.529,53.080,38.282,39.475,34.446,35.523,19.438,12.887,10.372,12.303,20.585,26.880,38.144,49.670,15.127,10.564,1.600,18.242,5.546
