Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,-7.10543e-15
0,14,0
0,15,0
0,16,3.55271e-15
0,17,-7.10543e-15
0,18,0
0,19,-3.55271e-15
0,20,0
0,21,0
0,22,0
0,23,-3.55271e-15
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,3.55271e-15
0,35,0
0,36,0
0,37,0
0,38,0
0,39,-7.10543e-15
0,40,0
0,41,-7.10543e-15
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,-7.10543e-15
0,53,3.55271e-15
0,54,0
0,55,0
0,56,0
0,57,7.10543e-15
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,7.10543e-15
0,74,0
0,75,7.10543e-15
0,76,0
0,77,-7.10543e-15
0,78,0
0,79,7.10543e-15
0,80,0
0,81,0
0,82,0
0,83,0
0,84,-7.10543e-15
0,85,-7.10543e-15
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,7.10543e-15
0,93,7.10543e-15
0,94,0
0,95,0
0,96,7.10543e-15
0,97,0
0,98,0
0,99,0
0,100,0
0,101,0
0,102,0
0,103,0
0,104,0
0,105,0
0,106,0
0,107,0
0,108,0
0,109,0
0,110,-3.55271e-15
0,111,0
0,112,0
0,113,0
0,114,-7.10543e-15
0,115,0
0,116,0
0,117,0
0,118,0
0,119,0
0,120,0
0,121,-3.55271e-15
0,122,0
0,123,0
0,124,3.55271e-15
0,125,0
0,126,-7.10543e-15
0,127,0
0,128,0
0,129,7.10543e-15
0,130,7.10543e-15
0,131,0
0,132,0
0,133,0
0,134,7.10543e-15
0,135,7.10543e-15
0,136,0
0,137,0
0,138,0
0,139,-7.10543e-15
0,140,0
0,141,0
0,142,-7.10543e-15
0,143,0
0,144,0
0,145,-7.10543e-15
0,146,0
0,147,-3.55271e-15
0,148,7.10543e-15
0,149,0
0,150,0
0,151,0
0,152,0
0,153,0
0,154,0
0,155,0
0,156,-7.10543e-15
0,157,0
0,158,0
0,159,0
0,160,0
0,161,-7.10543e-15
0,162,0
0,163,0
0,164,0
0,165,-7.10543e-15
0,166,3.55271e-15
0,167,0
0,168,-1.77636e-15
0,169,0
0,170,-7.10543e-15
0,171,0
0,172,0
0,173,0
0,174,0
0,175,7.10543e-15
0,176,0
0,177,0
0,178,0
0,179,0
0,180,0
0,181,0
0,182,0
0,183,-7.10543e-15
0,184,-3.55271e-15
0,185,0
0,186,0
0,187,0
0,188,0
0,189,0
0,190,0
0,191,-7.10543e-15
0,192,3.55271e-15
0,193,0
0,194,0
0,195,0
0,196,0
0,197,-3.55271e-15
0,198,0
0,199,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,25.801
1,6,39.7643
1,7,17.6648
1,8,0
1,9,15.7465
1,10,0
1,11,0
1,12,0
1,13,0
1,14,1.48913
1,15,6.10778
1,16,24.5619
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,8.71224
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,16.8324
1,31,0
1,32,0
1,33,8.08501
1,34,2.84321
1,35,1.02146
1,36,0
1,37,0
1,38,11.635
1,39,0
1,40,0
1,41,12.0644
1,42,0
1,43,0
1,44,0
1,45,0
1,46,0
1,47,0
1,48,4.9098
1,49,0
1,50,8.07296
1,51,0
1,52,0
1,53,0
1,54,0
1,55,0
1,56,0
1,57,14.5814
1,58,6.37503
1,59,0
1,60,0
1,61,2.85344
1,62,0
1,63,15.0934
1,64,0
1,65,14.4814
1,66,0
1,67,0.847202
1,68,20.9879
1,69,0
1,70,0
1,71,0
1,72,0
1,73,4.34163
1,74,30.2799
1,75,0
1,76,18.0735
1,77,0
1,78,0
1,79,0
1,80,0
1,81,0
1,82,0
1,83,0
1,84,0
1,85,0
1,86,0
1,87,0
1,88,0
1,89,0
1,90,0
1,91,10.7123
1,92,9.55887
1,93,0
1,94,26.7064
1,95,14.3179
1,96,0
1,97,0
1,98,0
1,99,0
1,100,0
1,101,40.0232
1,102,0
1,103,3.7505
1,104,13.0386
1,105,0
1,106,0
1,107,0
1,108,0
1,109,0
1,110,9.9528
1,111,0
1,112,0
1,113,0
1,114,20.079
1,115,0
1,116,0
1,117,0
1,118,0
1,119,0
1,120,0
1,121,0
1,122,0
1,123,0
1,124,0
1,125,21.2738
1,126,0
1,127,0
1,128,15.2747
1,129,0
1,130,0
1,131,0
1,132,0.163835
1,133,0
1,134,0
1,135,0
1,136,0
1,137,0
1,138,8.81902
1,139,0
1,140,0
1,141,0
1,142,0
1,143,15.4339
1,144,0
1,145,0
1,146,0
1,147,0
1,148,0
1,149,20.0817
1,150,0
1,151,0
1,152,22.0844
1,153,0
1,154,0
1,155,0
1,156,0
1,157,0
1,158,0
1,159,10.9477
1,160,9.1998
1,161,0
1,162,0
1,163,0
1,164,0
1,165,0
1,166,13.9682
1,167,0
1,168,4.79877
1,169,0
1,170,0
1,171,0
1,172,16.8158
1,173,0
1,174,0
1,175,0
1,176,1.07253
1,177,0
1,178,0
1,179,0
1,180,0
1,181,0
1,182,0
1,183,2.76627
1,184,0
1,185,0
1,186,14.8647
1,187,0
1,188,0
1,189,18.529
1,190,0
1,191,0
1,192,0
1,193,0
1,194,5.30378
1,195,2.06278
1,196,0
1,197,2.91251
1,198,0
1,199,0
2,0,0
2,1,0
2,2,0
2,3,11.7087
2,4,15.4022
2,5,0
2,6,0
2,7,0
2,8,13.5114
2,9,0
2,10,16.2937
2,11,10.7619
2,12,7.56032
2,13,8.96518
2,14,0
2,15,0
2,16,0
2,17,23.4378
2,18,5.94062
2,19,39.4461
2,20,39.7995
2,21,2.60141
2,22,8.41588
2,23,0
2,24,18.2153
2,25,2.30885
2,26,10.5852
2,27,10.7388
2,28,25.0882
2,29,23.333
2,30,0
2,31,16.689
2,32,10.904
2,33,0
2,34,0
2,35,0
2,36,26.9612
2,37,27.5629
2,38,0
2,39,11.9226
2,40,10.9971
2,41,0
2,42,21.2484
2,43,40.651
2,44,15.6735
2,45,9.91539
2,46,23.5641
2,47,43.3965
2,48,0
2,49,35.4564
2,50,0
2,51,11.8845
2,52,3.24046
2,53,25.2893
2,54,19.1573
2,55,6.44118
2,56,5.24404
2,57,0
2,58,0
2,59,28.5915
2,60,7.22341
2,61,0
2,62,34.7944
2,63,0
2,64,8.90049
2,65,0
2,66,1.67741
2,67,0
2,68,0
2,69,4.07055
2,70,42.3985
2,71,4.23102
2,72,37.5734
2,73,0
2,74,0
2,75,18.9951
2,76,0
2,77,17.0296
2,78,1.34315
2,79,14.4084
2,80,9.09259
2,81,23.3502
2,82,30.4236
2,83,28.7836
2,84,8.94904
2,85,5.45357
2,86,19.8753
2,87,24.747
2,88,7.89918
2,89,32.6019
2,90,4.25115
2,91,0
2,92,0
2,93,36.4435
2,94,0
2,95,0
2,96,14.5728
2,97,15.2352
2,98,33.0318
2,99,12.3202
2,100,5.80624
2,101,0
2,102,0.0376509
2,103,0
2,104,0
2,105,42.7776
2,106,32.2198
2,107,27.9087
2,108,27.5044
