Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,-7.10543e-15
0,14,0
0,15,0
0,16,3.55271e-15
0,17,-7.10543e-15
0,18,0
0,19,-3.55271e-15
0,20,0
0,21,0
0,22,0
0,23,-3.55271e-15
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,3.55271e-15
0,35,0
0,36,0
0,37,0
0,38,0
0,39,-7.10543e-15
0,40,0
0,41,-7.10543e-15
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,-7.10543e-15
0,53,3.55271e-15
0,54,0
0,55,0
0,56,0
0,57,7.10543e-15
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,7.10543e-15
0,74,0
0,75,7.10543e-15
0,76,0
0,77,-7.10543e-15
0,78,0
0,79,7.10543e-15
0,80,0
0,81,0
0,82,0
0,83,0
0,84,-7.10543e-15
0,85,-7.10543e-15
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,7.10543e-15
0,93,7.10543e-15
0,94,0
0,95,0
0,96,7.10543e-15
0,97,0
0,98,0
0,99,0
0,100,0
0,101,0
0,102,0
0,103,0
0,104,0
0,105,0
0,106,0
0,107,0
0,108,0
0,109,0
0,110,-3.55271e-15
0,111,0
0,112,0
0,113,0
0,114,-7.10543e-15
0,115,0
0,116,0
0,117,0
0,118,0
0,119,0
0,120,0
0,121,-3.55271e-15
0,122,0
0,123,0
0,124,3.55271e-15
0,125,0
0,126,-7.10543e-15
0,127,0
0,128,0
0,129,7.10543e-15
0,130,7.10543e-15
0,131,0
0,132,0
0,133,0
0,134,7.10543e-15
0,135,7.10543e-15
0,136,0
0,137,0
0,138,0
0,139,-7.10543e-15
0,140,0
0,141,0
0,142,-7.10543e-15
0,143,0
0,144,0
0,145,-7.10543e-15
0,146,0
0,147,-3.55271e-15
0,148,7.10543e-15
0,149,0
0,150,0
0,151,0
0,152,0
0,153,0
0,154,0
0,155,0
0,156,-7.10543e-15
0,157,0
0,158,0
0,159,0
0,160,0
0,161,-7.10543e-15
0,162,0
0,163,0
0,164,0
0,165,-7.10543e-15
0,166,3.55271e-15
0,167,0
0,168,-1.77636e-15
0,169,0
0,170,-7.10543e-15
0,171,0
0,172,0
0,173,0
0,174,0
0,175,7.10543e-15
0,176,0
0,177,0
0,178,0
0,179,0
0,180,0
0,181,0
0,182,0
0,183,-7.10543e-15
0,184,-3.55271e-15
0,185,0
0,186,0
0,187,0
0,188,0
0,189,0
0,190,0
0,191,-7.10543e-15
0,192,3.55271e-15
0,193,0
0,194,0
0,195,0
0,196,0
0,197,-3.55271e-15
0,198,0
0,199,0
1,0,0
1,1,0
1,2,20.9228
1,3,8.3221
1,4,5.95458
1,5,25.801
1,6,0
1,7,0
1,8,12.1365
1,9,15.7465
1,10,5.73208
1,11,5.22329
1,12,4.23458
1,13,17.0859
1,14,1.48913
1,15,6.10778
1,16,0
1,17,3.89366
1,18,5.22294
1,19,7.08595
1,20,4.9703
1,21,7.00589
1,22,26.9114
1,23,8.71224
1,24,8.85184
1,25,9.41464
1,26,4.454
1,27,6.95184
1,28,5.0055
1,29,12.5322
1,30,16.8324
1,31,0.753523
1,32,0.0821955
1,33,8.08501
1,34,2.84321
1,35,1.02146
1,36,1.44897
1,37,1.04021
1,38,11.635
1,39,20.929
1,40,12.2991
1,41,12.0644
1,42,4.05468
1,43,8.12185
1,44,2.14111
1,45,7.06175
1,46,3.84661
1,47,8.93116
1,48,4.9098
1,49,5.21547
1,50,8.07296
1,51,3.41026
1,52,6.4497
1,53,5.03587
1,54,0.110944
1,55,0
1,56,3.33288
1,57,14.5814
1,58,6.37503
1,59,0.18954
1,60,4.74224
1,61,2.85344
1,62,3.07528
1,63,15.0934
1,64,4.46511
1,65,14.4814
1,66,6.77025
1,67,0.847202
1,68,20.9879
1,69,10.3699
1,70,5.72384
1,71,0.127782
1,72,1.49139
1,73,4.34163
1,74,30.2799
1,75,5.25084
1,76,18.0735
1,77,12.0724
1,78,2.56582
1,79,23.6599
1,80,20.0584
1,81,2.38726
1,82,7.52185
1,83,4.95171
1,84,8.63887
1,85,10.7632
1,86,9.04621
1,87,3.50146
1,88,5.13398
1,89,12.9855
1,90,2.58915
1,91,0
1,92,9.55887
1,93,4.09214
1,94,0
1,95,14.3179
1,96,16.3765
1,97,12.3428
1,98,5.55437
1,99,7.0505
1,100,5.73777
1,101,0
1,102,0
1,103,3.7505
1,104,13.0386
1,105,8.43954
1,106,13.6604
1,107,14.4194
1,108,4.69694
1,109,3.72689
1,110,9.9528
1,111,7.66383
1,112,12.9205
1,113,9.4883
1,114,20.079
1,115,10.7746
1,116,1.23304
1,117,18.479
1,118,1.6933
1,119,8.87523
1,120,3.83671
1,121,7.44674
1,122,0
1,123,2.0596
1,124,3.85382
1,125,21.2738
1,126,1.13325
1,127,6.17761
1,128,15.2747
1,129,10.3081
1,130,0.79873
1,131,17.7008
1,132,0.163835
1,133,18.1638
1,134,1.48459
1,135,10.9078
1,136,2.10462
1,137,5.45197
1,138,8.81902
1,139,0.687523
1,140,6.10709
1,141,1.60463
1,142,22.9808
1,143,15.4339
1,144,17.53
1,145,6.29267
1,146,7.74982
1,147,0.321511
1,148,3.78246
1,149,20.0817
1,150,8.18008
1,151,10.6901
1,152,22.0844
1,153,4.48272
1,154,9.88329
1,155,1.83966
1,156,9.82241
1,157,7.84575
1,158,3.02264
1,159,10.9477
1,160,9.1998
1,161,1.87611
1,162,1.82797
1,163,0
1,164,19.1715
1,165,7.4444
1,166,13.9682
1,167,15.834
1,168,4.79877
1,169,6.77037
1,170,1.4741
1,171,16.3598
1,172,16.8158
1,173,0
1,174,2.86219
1,175,11.5172
1,176,1.07253
1,177,1.92061
1,178,5.48528
1,179,2.37072
1,180,8.99297
1,181,6.80138
1,182,10.7729
1,183,2.76627
1,184,16.4954
1,185,1.52711
1,186,14.8647
1,187,7.52354
1,188,15.8539
1,189,18.529
1,190,7.60344
1,191,12.6402
1,192,13.3824
1,193,0
1,194,5.30378
1,195,2.06278
1,196,0
1,197,2.91251
1,198,10.819
1,199,10.4228
2,0,0
2,1,20.9228
2,2,0
2,3,11.7087
2,4,15.4022
2,5,18.9446
2,6,0
2,7,0
2,8,13.5114
2,9,29.4434
2,10,16.2937
2,11,10.7619
2,12,7.56032
2,13,8.96518
2,14,19.3986
2,15,32.908
2,16,0
2,17,23.4378
2,18,5.94062
2,19,39.4461
2,20,39.7995
2,21,2.60141
2,22,8.41588
2,23,27.6843
2,24,18.2153
2,25,2.30885
2,26,10.5852
2,27,10.7388
2,28,25.0882
2,29,23.333
2,30,4.1852
2,31,16.689
2,32,10.904
2,33,21.3614
2,34,11.6241
2,35,39.9568
2,36,26.9612
2,37,27.5629
2,38,14.8932
2,39,11.9226
2,40,10.9971
2,41,7.58817
2,42,21.2484
2,43,40.651
2,44,15.6735
2,45,9.91539
2,46,23.5641
2,47,43.3965
2,48,34.6436
2,49,35.4564
2,50,6.1215
2,51,11.8845
2,52,3.24046
2,53,25.2893
2,54,19.1573
2,55,0
