id,v0,v1,v2,v3,v4
\string0,6.995,2.131,-4.202,23.912,-13.275
\string1,22.911,-20.432,4.321,-6.876,-18.579
\string2,-19.921,-22.153,-5.735,14.216,-2.461
\string3,-17.116,6.531,12.891,-20.067,8.968
\string4,-10.196,-1.697,-19.79,-5.075,-12.692
\string5,21.21,-23.965,17.747,24.761,2.645
\string6,-16.294,-23.625,24.15,17.43,-23.847
\string7,-5.354,3.656,13.385,23.648,-15.169
\string8,-3.438,-23.37,-3.203,13.444,15.498
\string9,19.17,0.412,21.572,-4.237,7.138
\string10,1.683,1.301,7.495,-3.065,0.105
\string11,-8.485,-9.352,-12.826,4.074,15.427
\string12,3.03,22.109,24.764,0.261,-18.924
\string13,-24.478,-19.763,-12.231,-6.989,-15.517
\string14,14.97,11.855,14.995,-15.16,-15.466
\string15,20.523,-5.97,-17.611,6.996,-13.669
\string16,-9.531,-1.271,17,22.376,-10.053
\string17,6.737,12.069,4.699,-11.026,6.193
\string18,-24.976,23.806,4.725,-17.398,3.036
\string19,23.748,2.219,-13.334,8.673,1.196
\string20,23.65,13.867,-19.237,-13.392,-7.987
\string21,-12.597,13.07,12.461,-0.183,-14.952
\string22,-20.419,-13.806,14.189,12.449,4.775
\string23,22.4,0.338,4.373,7.544,-3.329
\string24,3.979,0.803,10.934,0.604,2.525
\string25,-17.909,-9.573,-19.411,17.002,21.061
\string26,1.598,-7.371,-4.209,10.5,2.464
\string27,6.786,4.686,8.941,12.694,-5.829
\string28,2.243,6.43,2.132,-15.352,17.271
\string29,5.408,14.648,8.171,10.135,12.285
\string30,7.06,-8.987,20.556,22.558,-17.969
\string31,7.331,-18.802,-22.149,8.044,0.741
\string32,5.073,-3.828,-21.581,13.701,2.867
\string33,19.419,-7.021,-14.317,19.954,-15.703
\string34,10.802,0.941,5.789,9.468,-9.645
\string35,24.171,-15.959,-18.795,-23.593,-2.943
\string36,10.486,17.652,-17.577,-7.612,-0.698
\string37,9.673,5.952,-2.063,-18.61,1.473
\string38,-14.932,-20.681,-10.133,-23.956,-23.217
\string39,-17.638,16.445,22.432,13.347,9.224
\string40,-1.922,23.183,23.09,10.14,-4.517
\string41,-12.923,-11.862,7.814,-12.896,-16.297
\string42,0.383,-11.042,4.689,-23.313,-0.44
\string43,23.66,19.273,-22.114,1.512,2.95
\string44,-3.049,24.62,-13.099,-3.62,16.601
\string45,-24.663,6.464,-16.816,-19.452,-14.741
\string46,8.353,12.605,-22.509,5.015,-10.347
\string47,23.979,5.938,-22.528,6.54,-6.817
\string48,24.308,-9.537,8.024,-24.378,8.098
\string49,10.131,-7.161,-4.36,-3.865,17.585
\string50,2.512,4.101,22.746,4.313,-17.051
\string51,-2.363,14.041,4.576,-2.781,-0.513
\string52,-23.441,18.927,-0.696,-9.049,-18.815
\string53,19.954,9.429,1.978,3.605,-7.821
\string54,10.798,16.446,5.562,-17.531,-18.651
\string55,-22.173,-7.023,-3.45,23.137,7.447
\string56,-8.096,1.492,-10.878,6.224,1.108
\string57,-5.447,-11.508,24.945,-7.249,-18.148
\string58,0.251,-5.528,5.339,8.678,-19.556
\string59,6.697,9.097,-20.859,-19.747,7.718
\string60,-22.507,15.089,-3.112,-15.928,6.38
\string61,12.1,-10.236,13.035,12.301,-22.65
\string62,17.308,15.491,-18.316,-23.709,24.795
\string63,21.196,-24.186,23.837,-10.364,6.214
\string64,-16.211,-2.921,-15.755,-6.195,9.105
\string65,11.971,0.36,16.143,16.103,-5.471
\string66,-20.679,21.853,14.769,-7.529,-24.312
\string67,19.831,-5.67,1.159,-8.315,-21.006
\string68,19.879,-12.131,22.425,-1.427,10.419
\string69,-18.404,11.979,17.297,-4.998,-7.932
\string70,21.678,-5.94,-9.449,-7.822,22.951
\string71,-5.615,23.427,-19.585,13.695,2.755
\string72,16.338,1.282,-22.772,-11.001,12.157
\string73,13.116,19.209,23.408,6.394,-21.784
\string74,8.175,-15.084,24.081,15.618,-2.267
\string75,-5.094,22.396,6.406,-19.667,19.532
\string76,3.077,-9.158,20.296,7.67,-6.533
\string77,-17.881,-21.486,-21.59,-16.739,-16.959
\string78,-10.767,24.818,3.106,5.036,-18.531
\string79,-24.432,4.289,18.803,11.261,23.415
\string80,-16.781,-3.616,16.486,5.59,5.203
\string81,16.113,0.654,-11.398,8.411,-10.127
\string82,22.983,6.399,-7.056,10.042,-7.829
\string83,14.438,20.161,4.618,-14.234,8.317
\string84,-22.783,-6.222,-8.19,-17.322,-6.868
\string85,-20.861,6.084,24.511,-18.32,-11.171
\string86,6.949,23.969,-4.775,17.371,6.904
\string87,6.831,-3.689,-14.383,-5.236,-17.928
\string88,-10.296,13.089,-9.815,8.939,15.392
\string89,8.156,4.894,-0.087,11.161,24.507
\string90,-13.877,23.809,0.46,-5.918,-17.786
\string91,4.756,9.094,8.615,24.961,-12.573
\string92,-11.173,-1.149,23.135,-15.282,-19.925
\string93,20.086,18.162,-11.002,-17.062,13.209
\string94,-12.623,-24.39,1.497,24.485,-3.191
\string95,-1.569,-19.239,8.422,-1.052,-10.452
\string96,-10.973,12.673,8.416,15.789,14.669
\string97,-15.408,-2.864,14.62,-14.932,18.953
\string98,15.355,15.979,-17.307,0.684,19.674
\string99,-13.929,10.955,-2.139,-3.804,20.652
\string100,-18.924,24.149,-23.102,6.043,-12.066
\string101,-8.624,-22.692,22.02,22.452,-0.173
\string102,-15.272,-10.004,-7.504,16.279,-2.366
\string103,4.037,-5.757,8.695,-5.567,-18.278
\string104,18.133,9.591,21.379,-3.022,3.338
\string105,24.714,8.961,-3.141,-8.854,18.232
\string106,17.24,10.262,21.852,-11.983,18.555
\string107,15.099,17.547,23.298,-3.148,10.414
\string108,12.22,14.037,6.891,-14.781,7.241
\string109,-16.235,21.839,-1.175,-13.122,10.592
\string110,19.868,7.075,5.077,17.798,-9.149
\string111,-8.51,0.829,14.36,-9.239,-16.789
\string112,-2.819,-13.961,8.845,-4.119,18.002
\string113,-11.925,-1.229,-6.731,15.503,-2.65
\string114,-22.363,-14.075,23.188,-10.225,-5.031
\string115,-7.262,2.223,6.092,0.148,16.518
\string116,-13.783,24.622,-6.976,-10.359,-4.961
\string117,23.628,18.688,-16.491,24.555,15.615
\string118,-4.721,4.029,-18.927,0.698,18.61
\string119,18.682,13.682,-17.126,15.056,5.041
\string120,-11.169,7.205,-22.564,18.247,17.795
\string121,18.548,5.015,-24.251,10.78,-6.82
\string122,-2.073,15.365,-13.269,21.065,-4.357
\string123,11.856,13.853,-23.501,-5.673,12.582
\string124,2.115,-18.225,-23.253,15.343,-3.814
\string125,22.78,-12.439,11.987,13.482,8.539
\string126,13.598,-0.307,-21.653,-3.17,0.979
\string127,19.441,6.355,-5.382,11.359,-3.65
\string128,-3.335,-16.688,1.001,9.497,-20.726
\string129,-1.517,20.022,23.491,-7.863,7.146
\string130,11.212,-15.493,-9.288,-17.256,6.44
\string131,-4.842,10.311,10.831,18.386,9.919
\string132,14.758,-2.845,-1.256,-2.958,-12.38
\string133,-22.776,-13.633,20.337,-11.892,19.923
\string134,-4.109,18.149,12.356,-17.997,-18.728
\string135,-23.899,-18.434,-17.711,-5.385,1.768
\string136,14.024,13.253,-15.073,-12.742,10.596
\string137,-13.419,16.266,19.197,-11.371,-24.96
\string138,19.123,-16.515,8.528,-3.772,0.55
\string139,8.459,-8.154,-11.95,-20.109,-9.23
\string140,-4.086,1.452,0.091,13.527,-15.901
\string141,16.679,18.472,2.331,-16.794,-9.721
\string142,-19.667,-20.839,-16.794,5.165,-22.843
\string143,24.742,-5.033,23.339,-1.249,-5.132
\string144,0.155,17.034,15.878,12.227,14.979
\string145,16.057,12.949,-3.518,-13.179,22.927
\string146,-6.034,2.086,20.662,-16.013,-8.406
\string147,3.987,2.563,-18.488,-0.12,-2.96
\string148,-20.509,6.381,-12.889,-19.221,19.182
\string149,-1.576,-19.136,19.484,0.884,-17.774
\string150,19.138,23.094,-8.139,5.608,4.271
\string151,0.177,16.464,16.015,-11.849,22.739
\string152,10.213,-7.975,23.164,21.057,-10.238
\string153,-2.11,-23.246,-19.233,0.236,-1.783
\string154,-20.959,15.742,10.649,0.773,-23.382
\string155,-4.878,-8.938,-22.268,8,9.2
\string156,-22.027,-2.741,-0.166,-12.277,-7.035
\string157,20.97,-6,-3.916,-3.559,20.841
\string158,-5.2,3.312,-17.942,0.753,24.923
\string159,10.983,-10.072,-15.299,19.485,-22.047
\string160,-2.439,-13.738,16.531,-17.262,-15.435
\string161,-12.411,10.928,-10.756,-14.604,4.632
\string162,-6.196,9.243,-1.815,-11.86,-7.459
\string163,-24.303,20.743,21.312,21.947,16.997
\string164,-12.037,-6.224,14.968,6.969,-0.544
