Head,Tail,Difference
0,0,0
0,1,0
0,2,1.06364
0,3,0
0,4,0
0,5,0
0,6,0.295255
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0.526975
0,14,2.29101
0,15,0.908992
0,16,0
0,17,1.2292
0,18,0
0,19,3.64646
0,20,0
0,21,1.41908
0,22,0.71129
0,23,1.66611
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0.0193955
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,1.21991
1,20,0
1,21,0.0615538
1,22,0
1,23,0.207045
2,0,1.06364
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0.00376305
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,1.59057
2,13,0.68166
2,14,0
2,15,0.433685
2,16,0.424002
2,17,0
2,18,0.344613
2,19,1.99295
2,20,0
2,21,1.45561
2,22,0
2,23,0
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0.18253
3,7,0
3,8,0.133071
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0.308928
3,20,0
3,21,0.406855
3,22,0
3,23,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0.143897
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
5,0,0
5,1,0.0193955
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0.365973
5,13,0
5,14,0.995652
5,15,0
5,16,0
5,17,0
5,18,0
5,19,2.35955
5,20,0.0102431
5,21,0.40645
5,22,0
5,23,0.429573
6,0,0.295255
6,1,0
6,2,0.00376305
6,3,0.18253
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0.247215
6,9,0
6,10,0
6,11,0
6,12,0.158598
6,13,0.553125
6,14,0
6,15,0.42902
6,16,0.285486
6,17,0
6,18,0.29946
6,19,0
6,20,0
6,21,0.65299
6,22,0
6,23,0
7,0,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
7,13,0
7,14,0
7,15,0
7,16,0
7,17,0
7,18,0
7,19,0
7,20,0
7,21,0
7,22,0
7,23,0
8,0,0
8,1,0
8,2,0
8,3,0.133071
8,4,0
8,5,0
8,6,0.247215
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0.177384
8,13,0
8,14,0
8,15,0
8,16,0.281534
8,17,0
8,18,0
8,19,0.28536
8,20,0
8,21,0.903157
8,22,0
8,23,0
9,0,0
9,1,0
9,2,0
9,3,0
9,4,0.143897
9,5,0
9,6,0
9,7,0
9,8,0
9,9,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,0
9,16,0
9,17,0
9,18,0
9,19,0
9,20,0
9,21,0
9,22,0
9,23,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,0.577099
10,13,0
10,14,0
10,15,0
10,16,0
10,17,0
10,18,0
10,19,0
10,20,0
10,21,0
10,22,0
10,23,0
11,0,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,0
11,6,0
11,7,0
11,8,0
11,9,0
11,10,0
11,11,0
11,12,0
11,13,0
11,14,0
11,15,0
11,16,0
11,17,0
11,18,0
11,19,0
11,20,0
11,21,0
11,22,0
11,23,0
12,0,0
12,1,0
12,2,1.59057
12,3,0
12,4,0
12,5,0.365973
12,6,0.158598
12,7,0
12,8,0.177384
12,9,0
12,10,0.577099
12,11,0
12,12,0
12,13,0.791071
12,14,2.71568
12,15,1.56351
12,16,0
12,17,1.86118
12,18,0
12,19,2.81539
12,20,0
12,21,0.313143
12,22,1.19032
12,23,2.19877
13,0,0.526975
13,1,0
13,2,0.68166
13,3,0
13,4,0
13,5,0
13,6,0.553125
13,7,0
13,8,0
13,9,0
13,10,0
13,11,0
13,12,0.791071
13,13,0
13,14,1.7245
13,15,0.292223
13,16,0
13,17,0.653614
13,18,0
13,19,3.63724
13,20,0
13,21,2.06388
13,22,0.216526
13,23,1.11154
14,0,2.29101
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0.995652
14,6,0
14,7,0
14,8,0
14,9,0
14,10,0
14,11,0
14,12,2.71568
14,13,1.7245
14,14,0
14,15,1.31489
14,16,0
14,17,0.884994
14,18,0.614183
14,19,0
14,20,0
14,21,0
14,22,1.32325
14,23,0.557945
15,0,0.908992
15,1,0
15,2,0.433685
15,3,0
15,4,0
15,5,0
15,6,0.42902
15,7,0
15,8,0
15,9,0
15,10,0
15,11,0
15,12,1.56351
15,13,0.292223
15,14,1.31489
15,15,0
15,16,0
15,17,0.335025
15,18,0
15,19,3.30077
15,20,0
15,21,1.93557
15,22,0
15,23,0.711017
16,0,0
16,1,0
16,2,0.424002
16,3,0
16,4,0
16,5,0
16,6,0.285486
16,7,0
16,8,0.281534
16,9,0
16,10,0
16,11,0
16,12,0
16,13,0
16,14,0
16,15,0
16,16,0
16,17,0
16,18,0
16,19,0.90295
16,20,0
16,21,0.455803
16,22,0
16,23,0.058185
17,0,1.2292
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
17,11,0
17,12,1.86118
17,13,0.653614
17,14,0.884994
17,15,0.335025
17,16,0
17,17,0
17,18,0.431186
17,19,3.01926
17,20,0
17,21,1.56992
17,22,0
17,23,0.336774
18,0,0
18,1,0
18,2,0.344613
18,3,0
18,4,0
18,5,0
18,6,0.29946
18,7,0
18,8,0
18,9,0
18,10,0
18,11,0
18,12,0
18,13,0
18,14,0.614183
18,15,0
18,16,0
18,17,0.431186
18,18,0
18,19,3.34016
18,20,0
18,21,1.99924
18,22,0.384735
18,23,0.997039
19,0,3.64646
19,1,1.21991
19,2,1.99295
19,3,0.308928
19,4,0
19,5,2.35955
19,6,0
19,7,0
19,8,0.28536
19,9,0
19,10,0
19,11,0
19,12,2.81539
19,13,3.63724
19,14,0
19,15,3.30077
19,16,0.90295
19,17,3.01926
19,18,3.34016
19,19,0
19,20,0
19,21,0
19,22,3.09041
19,23,2.25373
20,0,0
20,1,0
20,2,0
20,3,0
20,4,0
20,5,0.0102431
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
20,11,0
20,12,0
20,13,0
20,14,0
20,15,0
20,16,0
20,17,0
20,18,0
20,19,0
20,20,0
20,21,0
20,22,0
20,23,0
21,0,1.41908
21,1,0.0615538
21,2,1.45561
21,3,0.406855
21,4,0
21,5,0.40645
21,6,0.65299
21,7,0
21,8,0.903157
21,9,0
21,10,0
21,11,0
21,12,0.313143
21,13,2.06388
21,14,0
21,15,1.93557
21,16,0.455803
21,17,1.56992
21,18,1.99924
21,19,0
21,20,0
21,21,0
21,22,1.25224
21,23,0
22,0,0.71129
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,0
22,11,0
22,12,1.19032
22,13,0.216526
22,14,1.32325
22,15,0
