24,2
Barcelona,1197.54397915148,-576.904003941522
Belgrade,-332.1114229887598,-619.8554158860625
Berlin,1.607881340285825,322.7558494895117
Brussels,653.126279462484,338.8259540804096
Bucharest,-769.6839991414826,-717.3107871204423
Budapest,-277.0074538156353,-308.3003369408111
Copenhagen,-35.80377162845276,674.79980224454
Dublin,1183.581195260401,904.3710495982127
Hamburg,189.2593254493088,495.5485718913
Istanbul,-975.2734507010859,-1112.509389828268
Kiev,-1139.168577970199,-68.99807219299713
London,908.9149509535234,529.9517894320488
Madrid,1691.466900102103,-468.8902623314014
Milan,510.9879534044518,-345.2234576940569
Moscow,-1592.761635569505,537.5689747371944
Munich,252.1563790772899,-111.7140869902522
Paris,868.0467265952442,190.0943156171567
Prague,-5.031708132553884,42.39400331120633
Rome,367.8939530635885,-800.3488582687361
Saint Petersburg,-1136.657102596004,986.4529661112501
Sofia,-524.9262483818882,-887.0553020294468
Stockholm,-445.1881807510713,997.094001922427
Vienna,-93.1669117960333,-192.5647275947063
Warsaw,-497.8050603874882,189.8174223834452
