Head,Tail,Difference
0,0,0
0,1,0.0162008
0,2,0.49578
0,3,0.0782435
0,4,0.190545
0,5,0.100787
0,6,0.00875278
0,7,0.364542
0,8,0.272478
0,9,0.25665
0,10,0.0291386
0,11,0.0171091
0,12,0.0168777
0,13,1.34261
0,14,0.0281612
0,15,0
0,16,0.0838035
0,17,0.488694
0,18,0.0507863
0,19,0.02193
0,20,0
0,21,0.641279
0,22,0
0,23,0.212437
0,24,0.37844
0,25,0.181169
0,26,0.183231
0,27,0.253431
0,28,0.248728
0,29,0.104634
0,30,0.381994
0,31,0.259441
0,32,0.100228
0,33,0.0201138
0,34,0.211231
0,35,0.2639
0,36,0.24774
0,37,0.000577758
0,38,0.222171
0,39,0.0869727
0,40,0.199838
0,41,0.241177
0,42,0.0890032
0,43,0.0698967
0,44,1.32812
0,45,0.2649
0,46,0.0729426
0,47,0.0361576
0,48,0.37195
0,49,0.0142781
0,50,0.023494
0,51,0.0638194
0,52,0.0325145
0,53,0.226774
0,54,1.9724
0,55,-4.13386e-05
0,56,0
0,57,0.546858
0,58,0.23339
0,59,0.228351
0,60,0
0,61,0.0622395
0,62,0.0813208
0,63,0.132781
0,64,0.00482106
0,65,0.0117353
0,66,0.486419
0,67,0.192898
0,68,0.103666
0,69,0.0822619
0,70,0.13168
0,71,0.0346909
0,72,0.0200109
0,73,0.363698
0,74,0.0691155
0,75,0.248458
0,76,1.05025
0,77,0.0840476
0,78,0.295109
0,79,0.551595
0,80,0.106379
0,81,0.0294649
0,82,0.15842
0,83,0.442286
0,84,0.0593126
0,85,0.044073
0,86,0.03696
0,87,0.0338567
0,88,0.433825
0,89,0.00755324
0,90,0.0418762
0,91,0.0077571
0,92,0.705749
0,93,0.015369
0,94,0.755656
0,95,0.09298
0,96,0.0348969
0,97,0.0545351
0,98,0.171285
0,99,0.269947
0,100,0.0955268
0,101,0.0614863
0,102,0.083081
0,103,0.580683
0,104,4.43192
0,105,0.116014
0,106,0
0,107,0
0,108,0.0207577
0,109,0.0884943
0,110,1.19016
0,111,0.0722029
0,112,0.11766
0,113,0.262679
0,114,0.0257388
0,115,0.98368
0,116,0.0371277
0,117,0.0360594
0,118,0.133934
0,119,0.137673
0,120,0.109656
0,121,0
0,122,0
0,123,1.5101
0,124,0.533894
0,125,0.39708
0,126,2.35092
0,127,0.0842159
0,128,0.0226118
0,129,1.75342
0,130,0.141134
0,131,0.00242284
0,132,0.0618936
0,133,1.54146
0,134,0.0072086
0,135,0
0,136,0
0,137,0.832749
0,138,0
0,139,0.0462818
0,140,0.109196
0,141,0
0,142,0
0,143,0
0,144,0
0,145,1.28469
0,146,0.0456888
0,147,0.0578261
0,148,0.347561
0,149,0
0,150,0
0,151,1.0532
0,152,0.142508
0,153,0.158105
0,154,0
0,155,0
0,156,0.372359
0,157,0
0,158,0.00655194
0,159,0.103449
0,160,0.503075
0,161,0.0906131
0,162,0.339497
0,163,0.0435778
0,164,0.00218318
0,165,1.04716
0,166,1.8224
0,167,0
0,168,0
0,169,0.0911894
0,170,0.00306864
0,171,0.017438
0,172,0.38503
0,173,0
0,174,0.0282162
0,175,0.275835
0,176,0.0335942
0,177,0.236584
0,178,0.025673
0,179,0.251682
0,180,0.145819
0,181,0.0458959
0,182,0.351987
0,183,0.0411612
0,184,0.226679
0,185,0.0256061
0,186,0.112747
0,187,0.304191
0,188,0.103281
0,189,0.0658167
0,190,0.00810072
0,191,0
0,192,0
0,193,0.0638137
0,194,0.00451406
0,195,0.141543
0,196,0.175275
0,197,0
0,198,0.0163965
0,199,0.123295
1,0,0.0162008
1,1,0
1,2,0.215743
1,3,0.211977
1,4,0.376386
1,5,1.29261
1,6,0.155484
1,7,0.678807
1,8,0.91847
1,9,0.421972
1,10,0
1,11,0.382766
1,12,0.00127943
1,13,0.260636
1,14,0.123827
1,15,0.00810219
1,16,0.0791273
1,17,0.709565
1,18,0.0371245
1,19,0.858599
1,20,0.00350648
1,21,0.0612813
1,22,0.0309125
1,23,0.0348791
1,24,0.655118
1,25,0.563653
1,26,0.500003
1,27,0.376348
1,28,0.530821
1,29,0.415057
1,30,0.869557
1,31,0.0766926
1,32,0.294386
1,33,0.152575
1,34,0.553044
1,35,0.495282
1,36,0.00184896
1,37,0.20063
1,38,0.441396
1,39,0.853185
1,40,0.757779
1,41,0.621583
1,42,0.258808
1,43,0.0756276
1,44,0.133172
1,45,0.69255
1,46,0.0777361
1,47,0.0361183
1,48,0
1,49,0.0981026
1,50,0
1,51,0.141431
1,52,0.00709416
1,53,0.687089
1,54,1.80816
1,55,0.0111392
1,56,0.0278425
1,57,0.914542
1,58,0.664808
1,59,0.644602
1,60,0.427066
1,61,0.49973
1,62,0.088389
1,63,0.0427785
1,64,0.00813177
1,65,0.024004
1,66,0.0310378
1,67,0.410898
1,68,0.203069
1,69,0.228023
1,70,0.278364
1,71,0.228505
1,72,0.170227
1,73,1.03866
1,74,0
1,75,0
1,76,2.51703
1,77,0.551277
1,78,0.0791149
1,79,1.38453
1,80,0.174872
1,81,0.00373367
1,82,0.234068
1,83,1.91019
1,84,0.305094
1,85,0.199419
1,86,0.14272
1,87,0.228919
1,88,0.0659872
1,89,0.0104557
1,90,0.732084
1,91,0.110108
1,92,0.0295866
1,93,0.193318
1,94,0.991499
1,95,0.255741
1,96,0.0143488
1,97,0.199938
1,98,0.65266
1,99,0.589372
1,100,0.0702554
1,101,0.0403769
1,102,0.0619746
1,103,0.72464
1,104,3.33738
1,105,0.107465
1,106,0.00217776
1,107,0.00559778
1,108,0.00861849
1,109,0.0671723
1,110,1.54042
1,111,0.0509706
1,112,0.105034
1,113,0.17804
1,114,0.014146
1,115,1.19381
1,116,0.0234774
1,117,0.021896
1,118,0.109726
1,119,0.0980779
1,120,0.0971191
1,121,0.00146638
1,122,0
1,123,1.66524
1,124,0.419527
1,125,0.461754
1,126,2.9174
1,127,0.0646754
1,128,0.0150498
1,129,2.10739
1,130,0.108692
1,131,0
1,132,0.0424037
1,133,1.59757
1,134,0
1,135,0
1,136,0.0130876
1,137,0.919801
1,138,0
1,139,0.0301577
1,140,0.0908286
1,141,0.00797003
1,142,0
1,143,0.0112988
1,144,0.0154473
1,145,0.833885
1,146,0.0303267
1,147,0.039911
1,148,0.391196
1,149,0.00169123
1,150,0.0216253
1,151,0.742898
1,152,0.132961
1,153,0.116352
1,154,0
1,155,0
1,156,0.411677
1,157,0
1,158,0.00945231
1,159,0.0879603
1,160,0.612051
1,161,0.0628423
1,162,0.250747
1,163,0.0287622
1,164,0.0260795
1,165,1.27138
1,166,1.22286
1,167,0
1,168,0
1,169,0.0687862
1,170,0.00596469
1,171,0.0131742
1,172,0.45839
1,173,0
1,174,0.0182272
1,175,0.240734
1,176,0.0214604
1,177,0.244836
1,178,0.0130146
1,179,0.244711
1,180,0.117745
1,181,0.0305633
1,182,0.411191
1,183,0.0261325
1,184,0.243334
1,185,0.0111828
1,186,0.0859594
1,187,0.348713
1,188,0.0852421
1,189,0.0498434
1,190,0.00869292
1,191,0.000711372
1,192,0
1,193,0.0464341
1,194,0
1,195,0.109325
1,196,0.174274
1,197,0.00902464
1,198,0.0100126
1,199,0.100017
2,0,0.49578
2,1,0.215743
2,2,0
2,3,0
2,4,0.0290509
2,5,0
2,6,0.026154
2,7,0.112928
2,8,0.0355761
2,9,0.0671981
2,10,0.314365
2,11,0.0307201
2,12,0.276481
2,13,2.8674
2,14,0
2,15,0.060412
2,16,0.301326
2,17,0.02011
2,18,0.481584
2,19,0.0383622
2,20,0.104468
2,21,2.08215
2,22,0.0369559
2,23,1.05591
2,24,0.126877
2,25,0.0101679
2,26,0.0141887
2,27,0.0682491
2,28,0.0483588
2,29,0
2,30,0.103912
2,31,0.706795
2,32,0
2,33,0.0836222
2,34,0.0245094
2,35,0.0628769
2,36,1.4685
2,37,0.156737
2,38,0.0413119
2,39,0
2,40,0.0107006
2,41,0.0357342
2,42,0
2,43,0.353861
2,44,1.73248
2,45,0.0439581
2,46,0.0561518
2,47,0.252753
2,48,0.824414
2,49,0.000581856
2,50,0.261983
2,51,0
2,52,0.210741
2,53,0.0244104
2,54,0.674939
2,55,0.628875
2,56,0.225353
2,57,0.228031
2,58,0.0288186
2,59,0.0274574
2,60,0.103032
2,61,0
2,62,0.311784
2,63,0.492252
2,64,0.116422
2,65,0.0547727
2,66,1.85036
2,67,0.0264938
2,68,0.00286906
2,69,0
2,70,0.0216404
2,71,0.00100956
2,72,0.00864183
2,73,0.0787696
2,74,1.04026
2,75,0.754278
2,76,0.467744
2,77,0.0128706
2,78,1.0518
2,79,0.178707
2,80,0.0081474
2,81,0.779888
2,82,0.0223683
2,83,0.08421
2,84,0
2,85,0
2,86,0
2,87,0.0571254
2,88,1.81111
2,89,0.215564
2,90,0.0253438
2,91,0.0169827
2,92,1.14032
2,93,0.0766353
2,94,0.393095
2,95,0.365226
2,96,0.277324
2,97,0
2,98,0.00395597
2,99,0.055973
2,100,0.243136
2,101,0.188333
2,102,0.224431
2,103,0.908156
2,104,5.26728
2,105,0.304127
2,106,0.0308723
2,107,0.0328096
2,108,0.125468
2,109,0.233349
2,110,1.58469
2,111,0.205397
2,112,0.292629
2,113,0.532226
2,114,0.129084
2,115,1.40922
2,116,0.147813
2,117,0.149716
2,118,0.301154
2,119,0.315489
2,120,0.283128
2,121,0.0197729
2,122,0.0526423
2,123,2.01199
2,124,0.874086
2,125,0.672993
2,126,2.85845
2,127,0.229432
2,128,0.112582
2,129,2.24765
2,130,0.312867
2,131,0.0904239
2,132,0.187728
2,133,2.06189
2,134,0.100231
2,135,0.0445525
2,136,0.00840688
2,137,1.25862
2,138,0.0816509
2,139,0.171277
2,140,0.270434
2,141,0.0253974
2,142,0.0418094
2,143,0.0113381
2,144,-5.59136e-05
2,145,1.99834
2,146,0.162435
2,147,0.181545
2,148,0.606929
2,149,0.0455735
2,150,0.00299802
2,151,1.64886
2,152,0.328519
2,153,0.344448
2,154,0.0727333
2,155,0.0522875
2,156,0.631241
2,157,0.0402475
2,158,0.0673391
2,159,0.268081
2,160,0.808625
2,161,0.237838
2,162,0.622938
