Head,Tail,Difference
0,0,0
0,1,0.011501
0,2,0.306441
0,3,0.0512711
0,4,0.0882852
0,5,0.355202
0,6,0.0801955
0,7,0.69481
0,8,1.11862
0,9,0.00351095
0,10,0.0106378
0,11,0.112304
0,12,0.00307171
0,13,1.42651
0,14,1.77636e-15
0,15,0
0,16,0
0,17,0.899495
0,18,0.0267655
0,19,0.118825
0,20,0
0,21,0.741119
0,22,0
0,23,0.333839
0,24,0.355723
0,25,0.895769
0,26,0.910198
0,27,0.00497565
0,28,0.75941
0,29,0.554392
0,30,1.48603
0,31,0.245427
0,32,0.515673
0,33,0.0880666
0,34,1.00399
0,35,0.251751
0,36,0.31959
0,37,5.47556e-05
0,38,0.269099
0,39,0.342874
0,40,0.860561
0,41,1.10977
0,42,0.393967
0,43,0.0702067
0,44,1.46578
0,45,1.19641
0,46,0.00269354
0,47,0.0587506
0,48,0.410192
0,49,0
0,50,0.0106158
0,51,0.116576
0,52,0.231088
0,53,1.04851
0,54,3.16222
0,55,0.0158553
0,56,0.00889478
0,57,0.732698
0,58,1.08995
0,59,1.07572
0,60,0.0175163
0,61,0.290087
0,62,0
0,63,0.340387
0,64,0.101469
0,65,0.108108
0,66,0.579387
0,67,0.375172
0,68,0.0548128
0,69,0.174681
0,70,0.292469
0,71,0.211095
0,72,0.135505
0,73,1.45409
0,74,0.140217
0,75,0.29991
0,76,3.00088
0,77,0.258233
0,78,0.441306
0,79,1.97112
0,80,0.0658758
0,81,0.0512916
0,82,0.0315454
0,83,1.34732
0,84,0.33341
0,85,0.278636
0,86,0.0455742
0,87,0.126051
0,88,0.540768
0,89,0.000293545
0,90,0.172366
0,91,0.0619639
0,92,0.694253
0,93,0.0821399
0,94,0.127755
0,95,0.169931
0,96,0.0270084
0,97,0.3063
0,98,0.777575
0,99,0.957083
0,100,0
0,101,0
0,102,0
0,103,0
0,104,0
0,105,0
0,106,0
0,107,0
0,108,0
0,109,0
0,110,0
0,111,0
0,112,0
0,113,0
0,114,0
0,115,0
0,116,0
0,117,0
0,118,0
0,119,0
0,120,0
0,121,0
0,122,0
0,123,0
0,124,0
0,125,0
0,126,0
0,127,0
0,128,0
0,129,0
0,130,0
0,131,0
0,132,0
0,133,0
0,134,0
0,135,0
0,136,0
0,137,0
0,138,0
0,139,0
0,140,0
0,141,0
0,142,0
0,143,0
0,144,0
0,145,0
0,146,0
0,147,0
0,148,0
0,149,0
0,150,0
0,151,0
0,152,0
0,153,0
0,154,0
0,155,0
0,156,0
0,157,0
0,158,0
0,159,0
0,160,0
0,161,0
0,162,0
0,163,0
0,164,0
0,165,0
0,166,0
0,167,0
0,168,0
0,169,0
0,170,0
0,171,0
0,172,0
0,173,0
0,174,0
0,175,0
0,176,0
0,177,0
0,178,0
0,179,0
0,180,0
0,181,0
0,182,0
0,183,0
0,184,0
0,185,0
0,186,0
0,187,0
0,188,0
0,189,0
0,190,0
0,191,0
0,192,0
0,193,0
0,194,0
0,195,0
0,196,0
0,197,0
0,198,0
0,199,0
1,0,0.011501
1,1,0
1,2,0.0794868
1,3,0.0363896
1,4,0.0618122
1,5,1.13011
1,6,0.136991
1,7,0.433912
1,8,1.17082
1,9,0.00751227
1,10,0.00302862
1,11,0.374628
1,12,0.00826062
1,13,0.101578
1,14,0
1,15,0
1,16,0
1,17,0.442073
1,18,0.0189345
1,19,0.735335
1,20,0
1,21,0.0251123
1,22,0
1,23,0.02172
1,24,0.22178
1,25,0.798849
1,26,0.709801
1,27,0.000185387
1,28,0.499686
1,29,0.562058
1,30,1.08373
1,31,0.0296192
1,32,0.376661
1,33,0.130616
1,34,0.771546
1,35,0.161832
1,36,0.00189234
1,37,0.177712
1,38,0.173699
1,39,0.871461
1,40,0.968049
1,41,0.858914
1,42,0.277003
1,43,0.043455
1,44,0.0518017
1,45,0.953806
1,46,0.0145596
1,47,0.0745532
1,48,0.0002486
1,49,0
1,50,0.00169498
1,51,0.0362543
1,52,0.0314096
1,53,0.949794
1,54,0.876077
1,55,0.00325598
1,56,0.0286253
1,57,0.440478
1,58,0.929803
1,59,0.905509
1,60,0.382618
1,61,0.544323
1,62,0
1,63,0.0469834
1,64,0.00574353
1,65,0.00895598
1,66,0.0132282
1,67,0.243241
1,68,0.0138624
1,69,0.118188
1,70,0.196283
1,71,0.253815
1,72,0.165765
1,73,1.32827
1,74,0.00113547
1,75,0.00156113
1,76,2.33241
1,77,0.452774
1,78,0.0441537
1,79,1.63352
1,80,0.00880421
1,81,0.00409656
1,82,0.00147011
1,83,1.83842
1,84,0.376188
1,85,0.241403
1,86,0.0315968
1,87,0.192966
1,88,0.0298225
1,89,0.0196398
1,90,0.642348
1,91,0.0735243
1,92,0.0104397
1,93,0.173313
1,94,0.0887364
1,95,0.36649
1,96,0.0054025
1,97,0.230126
1,98,0.852137
1,99,0.646041
1,100,0
1,101,0
1,102,0
1,103,0
1,104,0
1,105,0
1,106,0
1,107,0
1,108,0
1,109,0
1,110,0
1,111,0
1,112,0
1,113,0
1,114,0
1,115,0
1,116,0
1,117,0
1,118,0
1,119,0
1,120,0
1,121,0
1,122,0
1,123,0
1,124,0
1,125,0
1,126,0
1,127,0
1,128,0
1,129,0
1,130,0
1,131,0
1,132,0
1,133,0
1,134,0
1,135,0
1,136,0
1,137,0
1,138,0
1,139,0
1,140,0
1,141,0
1,142,0
1,143,0
1,144,0
1,145,0
1,146,0
1,147,0
1,148,0
1,149,0
1,150,0
1,151,0
1,152,0
1,153,0
1,154,0
1,155,0
1,156,0
1,157,0
1,158,0
1,159,0
1,160,0
1,161,0
1,162,0
1,163,0
1,164,0
1,165,0
1,166,0
1,167,0
1,168,0
1,169,0
1,170,0
1,171,0
1,172,0
1,173,0
1,174,0
1,175,0
1,176,0
1,177,0
1,178,0
1,179,0
1,180,0
1,181,0
1,182,0
1,183,0
1,184,0
1,185,0
1,186,0
1,187,0
1,188,0
1,189,0
1,190,0
1,191,0
1,192,0
1,193,0
1,194,0
1,195,0
1,196,0
1,197,0
1,198,0
1,199,0
2,0,0.306441
2,1,0.0794868
2,2,0
2,3,0.0396668
2,4,0.0586955
2,5,0.157835
2,6,0.0312693
2,7,0.638194
2,8,0.910713
2,9,0.00330468
2,10,0.131778
2,11,0.0312389
2,12,0.100866
2,13,3.18714
2,14,0
2,15,0
2,16,0
2,17,0.286201
2,18,0.31667
2,19,0.0208276
2,20,0
2,21,2.09469
2,22,0
2,23,1.50443
2,24,0.295553
2,25,0.771615
2,26,0.825745
2,27,0.0616259
2,28,0.711723
2,29,0.442584
2,30,1.37604
2,31,0.513318
2,32,0.477565
2,33,1.98533e-05
2,34,0.915749
2,35,0.206175
2,36,1.321
2,37,0.0294981
2,38,0.228961
2,39,0.171799
2,40,0.674208
2,41,1.01011
2,42,0.368193
2,43,0.205625
2,44,1.55972
2,45,1.07847
2,46,0.235312
2,47,0.151858
2,48,0.604604
2,49,0
2,50,0.100255
2,51,0.240941
2,52,0.755988
2,53,0.900742
2,54,1.76867
2,55,0.920115
2,56,0.0634556
2,57,0.65952
2,58,0.958432
2,59,0.950458
2,60,0.0026664
2,61,0.159136
2,62,0
2,63,1.05139
2,64,0.530731
2,65,0.480586
2,66,1.78159
2,67,0.338717
2,68,0.138513
2,69,0.158692
2,70,0.0254962
2,71,0.139013
2,72,0.0819893
2,73,1.25018
2,74,1.42532
2,75,0.540405
2,76,2.6555
2,77,0.0590531
2,78,1.54019
2,79,1.74863
2,80,0.239936
2,81,0.581505
2,82,0.174837
2,83,0.975217
2,84,0.241641
2,85,0.233753
2,86,0.0420663
2,87,0.00433471
2,88,2.31157
2,89,0.0597854
2,90,0.0378909
2,91,0.0332426
2,92,0.916075
2,93,0.000330928
2,94,0.048246
2,95,0.31059
2,96,0.126269
2,97,0.280233
2,98,0.612225
2,99,0.899652
2,100,0
2,101,0
2,102,0
2,103,0
2,104,0
2,105,0
2,106,0
2,107,0
2,108,0
2,109,0
2,110,0
2,111,0
2,112,0
2,113,0
2,114,0
2,115,0
2,116,0
2,117,0
2,118,0
2,119,0
2,120,0
2,121,0
2,122,0
2,123,0
2,124,0
2,125,0
2,126,0
2,127,0
2,128,0
2,129,0
2,130,0
2,131,0
2,132,0
2,133,0
2,134,0
2,135,0
2,136,0
2,137,0
2,138,0
2,139,0
2,140,0
2,141,0
2,142,0
2,143,0
2,144,0
2,145,0
2,146,0
2,147,0
2,148,0
2,149,0
2,150,0
2,151,0
2,152,0
2,153,0
2,154,0
2,155,0
2,156,0
2,157,0
2,158,0
2,159,0
2,160,0
2,161,0
2,162,0
2,163,0
2,164,0
2,165,0
2,166,0
2,167,0
2,168,0
2,169,0
2,170,0
2,171,0
2,172,0
2,173,-3.50538e-06
2,174,0
2,175,0
2,176,0
2,177,0
2,178,0
2,179,0
2,180,0
2,181,0
2,182,0
2,183,0
2,184,0
2,185,0
2,186,0
2,187,0
2,188,0
2,189,0
2,190,0
2,191,0
2,192,0
2,193,0
2,194,0
2,195,0
2,196,0
2,197,0
2,198,0
2,199,0
3,0,0.0512711
3,1,0.0363896
3,2,0.0396668
3,3,0
3,4,0.00404591
3,5,0.0078492
3,6,0.00667232
3,7,0.0359723
3,8,0.00531908
3,9,0.0425925
3,10,0.0445346
3,11,0.0118905
3,12,0.042255
3,13,0.100796
3,14,0
3,15,0
3,16,0
3,17,0.0145944
3,18,0.0500842
3,19,0.0166928
3,20,0
3,21,0.0811488
3,22,0
3,23,0.0914338
3,24,0.00102484
3,25,0.0115367
3,26,0.0271591
3,27,0.072433
3,28,0.0725583
3,29,0.00199638
3,30,0.049909
3,31,0.062656
3,32,0.0278049
3,33,0.0287237
3,34,0.0317512
3,35,0.000677151
3,36,0.0682045
3,37,0.0303034
3,38,0.00455976
3,39,0.00547996
3,40,0.00199601
3,41,0.0322977
3,42,0.031018
3,43,0.0477509
3,44,0.0819826
3,45,0.0284499
3,46,0.0595474
3,47,0.0414189
3,48,0.0591517
3,49,0
3,50,0.0405704
3,51,0.108257
3,52,0.116916
3,53,0.0122806
3,54,0.00365229
3,55,0.0623892
3,56,0.0407759
3,57,0.0145673
3,58,0.0181196
3,59,0.0193865
3,60,0.0243137
3,61,0.0036165
3,62,0
3,63,0.118787
3,64,0.0960806
3,65,0.103225
3,66,0.0760443
3,67,0.0367111
3,68,0.0880816
3,69,0.0257085
3,70,0.0250069
3,71,0.00066083
3,72,0.00158069
3,73,0.0151044
3,74,0.0724415
3,75,0.0572855
3,76,0.0280472
3,77,0.0170905
3,78,0.104722
3,79,0.0273674
3,80,0.103341
3,81,0.0564236
3,82,0.0937803
3,83,0.000288892
3,84,4.12764e-08
3,85,0.00292216
3,86,0.00429849
3,87,0.0252445
3,88,0.0884112
3,89,0.0371956
3,90,0.0161476
3,91,0.00235075
3,92,0.0684289
3,93,0.026315
3,94,0.0245554
3,95,0.0533575
3,96,0.0417982
3,97,0.0136623
3,98,0.0020251
3,99,0.0683785
3,100,0
3,101,0
3,102,0
3,103,0
3,104,0
3,105,0
3,106,0
3,107,0
3,108,0
3,109,0
3,110,0
3,111,0
3,112,0
3,113,0
3,114,0
3,115,0
3,116,0
3,117,0
3,118,0
3,119,0
3,120,0
3,121,-4.3656e-06
3,122,0
3,123,0
3,124,0
3,125,0
3,126,0
3,127,0
3,128,0
3,129,0
3,130,0
3,131,0
3,132,0
3,133,0
3,134,0
3,135,0
3,136,0
3,137,0
3,138,0
3,139,0
3,140,0
3,141,0
3,142,0
3,143,0
3,144,0
3,145,0
3,146,0
3,147,0
3,148,0
3,149,0
3,150,0
3,151,0
3,152,0
3,153,0
3,154,0
3,155,0
3,156,0
3,157,0
3,158,0
3,159,0
3,160,0
3,161,0
3,162,0
3,163,0
3,164,0
3,165,0
3,166,0
3,167,0
3,168,0
3,169,0
3,170,0
3,171,0
3,172,0
3,173,0
3,174,0
3,175,0
3,176,0
3,177,0
3,178,0
3,179,0
3,180,0
3,181,0
3,182,0
3,183,0
3,184,0
3,185,0
3,186,0
3,187,0
3,188,0
3,189,0
3,190,0
3,191,-8.33164e-05
3,192,0
3,193,0
3,194,-1.06974e-05
3,195,0
3,196,0
3,197,0
3,198,0
3,199,0
4,0,0.0882852
4,1,0.0618122
4,2,0.0586955
4,3,0.00404591
4,4,0
4,5,0.00388409
4,6,0.00460735
4,7,0.32575
4,8,0.0446594
4,9,0.112289
4,10,0.0767962
4,11,0.0110539
4,12,0.0714308
4,13,0.218645
4,14,0
4,15,0
4,16,0
4,17,0.0114128
4,18,0.0846562
4,19,0.0183612
4,20,0
4,21,0.16455
4,22,0
4,23,0.189697
4,24,0.107887
4,25,0.064585
4,26,0.112437
4,27,0.175378
4,28,0.225515
4,29,0.0215879
4,30,0.208934
4,31,0.121256
4,32,0.0907987
4,33,0.0401936
4,34,0.129632
4,35,0.16961
4,36,0.130275
4,37,0.0476865
4,38,0.133196
4,39,0.00159559
4,40,0.0255902
4,41,0.136075
4,42,0.0852557
4,43,0.0877849
4,44,0.168613
4,45,0.127923
4,46,0.104603
4,47,0.0756465
4,48,0.10813
4,49,0
4,50,0.0694132
4,51,0.367664
4,52,0.262335
4,53,0.0707205
4,54,9.74118e-05
4,55,0.113494
4,56,0.0661038
4,57,0.267964
4,58,0.0916246
4,59,0.0953382
4,60,0.0343658
4,61,0.00043705
4,62,0
4,63,0.266215
4,64,0.200714
4,65,0.222678
4,66,0.150915
4,67,0.14207
4,68,0.294021
