Head,Tail,Difference
0,0,0
0,1,0.00885143
0,2,0.323841
0,3,0.294332
0,4,0.434331
0,5,0.31669
0,6,0.15307
0,7,0.710831
0,8,0.64039
0,9,0.411888
0,10,5.50196e-05
0,11,0.158461
0,12,0.00240009
0,13,1.6393
0,14,0.209498
0,15,0.0699196
0,16,0.000442732
0,17,0.767985
0,18,0.0221951
0,19,0.15422
0,20,0.0479683
0,21,0.837595
0,22,0.102634
0,23,0.424571
0,24,0.681187
0,25,0.504302
0,26,0.505845
0,27,0.284603
0,28,0.578192
0,29,0.371621
0,30,0.800584
0,31,0.118367
0,32,0.360248
0,33,0.112098
0,34,0.549693
0,35,0.544448
0,36,0.359287
0,37,0.0291693
0,38,0.500537
0,39,0.304545
0,40,0.525904
0,41,0.596778
0,42,0.335086
0,43,0.00247778
0,44,1.16966
0,45,0.63442
0,46,0.00480995
0,47,0.00213911
0,48,0.347511
0,49,0.18101
0,50,0.00252678
0,51,0.142182
0,52,0.178177
0,53,0.576266
0,54,2.51149
0,55,0.0219993
0,56,0.0215194
0,57,0.912002
0,58,0.587173
0,59,0.579318
0,60,0.0644263
0,61,0.270128
0,62,0.000565881
0,63,0.375463
0,64,0.073783
0,65,0.042975
0,66,0.651022
0,67,0.476586
0,68,0.205195
0,69,0.310739
0,70,0.285238
0,71,0.228453
0,72,0.19312
0,73,0.77973
0,74,0.174716
0,75,0.273084
0,76,1.69412
0,77,0.255052
0,78,0.56989
0,79,1.04406
0,80,0.0794757
0,81,0.0590834
0,82,0.111358
0,83,0.855366
0,84,0.282631
0,85,0.256118
0,86,0.2285
0,87,0.147643
0,88,0.661587
0,89,0.0117064
0,90,0.192374
0,91,0.161005
0,92,0.568966
0,93,0.111053
0,94,0.839368
0,95,0.00440011
0,96,0.000794669
0,97,0.275075
0,98,0.481692
0,99,0.620079
0,100,0.0473275
0,101,0.065635
0,102,0.0126346
0,103,0.140915
0,104,3.9375
0,105,0.00209108
0,106,0.0387038
0,107,0.0250656
0,108,0.0153731
0,109,0.0110893
0,110,0.473567
0,111,0.0317585
0,112,0.00100745
0,113,0.451361
0,114,0.00216609
0,115,0.444343
0,116,0.000214469
0,117,0.00166657
0,118,0.0256324
0,119,0.161193
0,120,0.00238388
0,121,0.0751361
0,122,0.0192517
0,123,0.893733
0,124,0.707638
0,125,0.0537418
0,126,1.44622
0,127,0.00144411
0,128,0.00387057
0,129,1.02032
0,130,0.0906275
0,131,0.0449949
0,132,0.0330879
0,133,0.957413
0,134,0.0347559
0,135,0.12003
0,136,0.0789087
0,137,0.380724
0,138,0.0662901
0,139,0.00447287
0,140,0.000504424
0,141,0.033199
0,142,0.0916521
0,143,0.0701019
