Head,Tail,Difference
0,0,0
0,1,0.0197522
0,2,0.496335
0,3,0.0877017
0,4,0.198844
0,5,0.10448
0,6,0.0150138
0,7,0.373497
0,8,0.279281
0,9,0.2605
0,10,0.0307293
0,11,0.0216599
0,12,0.0185195
0,13,1.342
0,14,0.037812
0,15,0.00014944
0,16,0.0915365
0,17,0.489582
0,18,0.0509501
0,19,0.0253511
0,20,0.00326207
0,21,0.640974
0,22,0.00185771
0,23,0.211546
0,24,0.386312
0,25,0.189163
0,26,0.192054
0,27,0.251271
0,28,0.258138
0,29,0.112107
0,30,0.390894
0,31,0.260722
0,32,0.109554
0,33,0.0217054
0,34,0.220093
0,35,0.272313
0,36,0.247641
0,37,0.00415777
0,38,0.231006
0,39,0.0913688
0,40,0.206464
0,41,0.249941
0,42,0.0985028
0,43,0.0727504
0,44,1.32826
0,45,0.273431
0,46,0.0727805
0,47,0.0404669
0,48,0.371923
0,49,0.023745
0,50,0.0259934
0,51,0.0667317
0,52,0.02497
0,53,0.234562
0,54,1.97249
0,55,2.5003e-05
0,56,4.42138e-05
0,57,0.554984
0,58,0.241545
0,59,0.236603
0,60,0.000320003
0,61,0.0675302
0,62,0.0877044
0,63,0.127674
0,64,6.7241e-05
0,65,0.00385518
0,66,0.486194
0,67,0.202158
0,68,0.107062
0,69,0.0918311
0,70,0.1327
0,71,0.0417524
0,72,0.0272078
0,73,0.371102
0,74,0.0689552
0,75,0.248387
0,76,1.05697
0,77,0.0863462
0,78,0.293407
0,79,0.559238
0,80,0.100756
0,81,0.0295006
0,82,0.152126
0,83,0.446965
0,84,0.0664606
0,85,0.0526549
0,86,0.0466015
0,87,0.035661
0,88,0.433356
0,89,0.00989538
0,90,0.0449142
0,91,0.015472
0,92,0.70606
0,93,0.0173985
0,94,0.754669
0,95,0.0971315
0,96,0.0378702
0,97,0.063813
0,98,0.178132
0,99,0.279336
0,100,0.0951923
0,101,0.0532258
0,102,0.0901887
0,103,0.585452
0,104,4.42803
0,105,0.124034
0,106,0.000227906
0,107,0.000162705
0,108,0.035897
0,109,0.0969497
0,110,1.19696
0,111,0.0718231
0,112,0.132337
0,113,0.249149
0,114,0.0365301
0,115,0.981152
0,116,0.0450318
0,117,0.0483578
0,118,0.14324
0,119,0.128283
0,120,0.123325
0,121,3.93551e-05
0,122,0.00388826
0,123,1.50545
0,124,0.521104
0,125,0.406495
0,126,2.34825
0,127,0.0972979
0,128,0.0221139
0,129,1.75001
0,130,0.139323
0,131,0.018519
0,132,0.0594731
0,133,1.53625
0,134,0.0231534
0,135,0.00168183
0,136,0.00218756
0,137,0.828639
0,138,0.0136479
0,139,0.0614915
0,140,0.125043
0,141,3.26249e-05
0,142,0.00223229
0,143,0.00145836
0,144,0.00456461
0,145,1.28236
0,146,0.0524998
0,147,0.0601891
0,148,0.358724
0,149,0.00200058
0,150,0.00509753
0,151,1.04207
0,152,0.157121
0,153,0.149725
0,154,0.0103845
0,155,0.00320224
0,156,0.385921
0,157,0.00178805
0,158,0.00474214
0,159,0.119372
0,160,0.510038
0,161,0.083591
0,162,0.326443
0,163,0.0385915
0,164,0.0042418
0,165,1.04453
0,166,1.81445
0,167,0.00559678
0,168,0.00128035
0,169,0.0970993
0,170,0.00507563
0,171,0.014323
0,172,0.388751
0,173,4.47868e-05
0,174,0.0289477
0,175,0.27978
0,176,0.0370588
0,177,0.250385
0,178,0.0397185
0,179,0.268163
0,180,0.150562
0,181,0.0439083
0,182,0.358325
0,183,0.0533769
0,184,0.235564
0,185,0.041508
0,186,0.114294
0,187,0.307169
0,188,0.119353
0,189,0.0790309
0,190,0.00748456
0,191,1.16515e-05
0,192,0.00215468
0,193,0.0799023
0,194,0.0183077
0,195,0.140079
0,196,0.187835
0,197,2.03175e-05
0,198,0.0204815
0,199,0.13321
1,0,0.0197522
1,1,0
1,2,0.219886
1,3,0.21484
1,4,0.377345
1,5,1.29275
1,6,0.157733
1,7,0.68086
1,8,0.921075
1,9,0.417883
1,10,0.000132643
1,11,0.383663
1,12,0.00307467
1,13,0.263795
1,14,0.127472
1,15,0.0121218
1,16,0.0824405
1,17,0.71192
1,18,0.0408643
1,19,0.858618
1,20,0.00644155
1,21,0.0647031
1,22,0.0348552
1,23,0.0378656
1,24,0.655527
1,25,0.566977
1,26,0.503653
1,27,0.367266
1,28,0.533925
1,29,0.418111
1,30,0.873099
1,31,0.0789108
1,32,0.298131
1,33,0.154363
1,34,0.556683
1,35,0.496423
1,36,0.00542678
1,37,0.200658
1,38,0.443173
1,39,0.853962
1,40,0.760272
1,41,0.625185
1,42,0.262467
1,43,0.0762822
1,44,0.136315
1,45,0.696074
1,46,0.0814031
1,47,0.0367763
1,48,1.64733e-06
1,49,0.101985
1,50,2.94549e-05
1,51,0.13644
1,52,0.00254658
1,53,0.690293
1,54,1.81106
1,55,0.0149443
1,56,0.0303615
1,57,0.915327
1,58,0.668194
1,59,0.648033
1,60,0.427117
1,61,0.501238
1,62,0.0907338
1,63,0.0412078
1,64,0.00701535
1,65,0.0190714
1,66,0.034521
1,67,0.413447
1,68,0.198539
1,69,0.231275
1,70,0.28068
1,71,0.231314
1,72,0.173129
1,73,1.04162
1,74,0.000790198
1,75,0.00150447
1,76,2.51953
1,77,0.552342
1,78,0.0813059
1,79,1.38759
1,80,0.164136
1,81,0.00737154
1,82,0.223411
1,83,1.91122
1,84,0.307954
1,85,0.203082
1,86,0.146318
1,87,0.230487
1,88,0.0693277
1,89,0.0115642
1,90,0.732474
1,91,0.113345
1,92,0.0328081
1,93,0.194679
1,94,0.983282
1,95,0.256246
1,96,0.0148819
1,97,0.20376
1,98,0.655305
1,99,0.592736
1,100,0.0621089
1,101,0.0258859
1,102,0.0611478
1,103,0.72557
1,104,3.34087
1,105,0.111861
1,106,0.00350545
1,107,0.0036954
1,108,0.0174704
1,109,0.0677954
1,110,1.54353
1,111,0.0427841
1,112,0.115741
1,113,0.162683
1,114,0.0174054
1,115,1.18863
1,116,0.0235046
1,117,0.0269484
1,118,0.111283
1,119,0.0828629
1,120,0.107022
1,121,0.00717939
1,122,6.32566e-05
1,123,1.66059
1,124,0.403068
1,125,0.467601
1,126,2.91231
1,127,0.0706849
1,128,0.00675997
1,129,2.10221
1,130,0.0992268
1,131,0.00518278
1,132,0.0324159
1,133,1.59367
1,134,0.0081743
1,135,0.00182755
1,136,0.0162241
1,137,0.914611
1,138,0.00237198
1,139,0.039087
1,140,0.100724
1,141,0.00650913
1,142,0.000894516
1,143,0.0138343
1,144,0.0251707
1,145,0.835493
1,146,0.0291871
1,147,0.0342886
1,148,0.398801
1,149,0.000714632
1,150,0.0234856
1,151,0.732858
1,152,0.143627
1,153,0.10176
1,154,0.000983549
1,155,0.000594687
1,156,0.421516
1,157,0.000937296
1,158,1.67989e-06
1,159,0.0993944
1,160,0.615323
1,161,0.0491951
1,162,0.234388
1,163,0.0166604
1,164,0.020168
1,165,1.26618
1,166,1.21741
1,167,2.49262e-05
1,168,0.0013837
1,169,0.0667045
1,170,2.60466e-06
1,171,0.00260343
1,172,0.458215
1,173,0.0091574
1,174,0.0110626
1,175,0.236659
1,176,0.0169108
1,177,0.254867
1,178,0.0203055
1,179,0.255736
1,180,0.11447
1,181,0.0209514
1,182,0.413797
1,183,0.0310822
1,184,0.248635
1,185,0.0225034
1,186,0.0795577
1,187,0.347768
1,188,0.0955648
1,189,0.0593493
1,190,0.000298567
1,191,0.00668391
1,192,0.00100279
1,193,0.0568646
1,194,0.00510929
1,195,0.100164
1,196,0.183203
1,197,0.00476285
1,198,0.006078
1,199,0.102258
2,0,0.496335
2,1,0.219886
2,2,0
2,3,0.00195429
2,4,0.0390269
2,5,0.00242758
2,6,0.0331192
2,7,0.123388
2,8,0.0431247
2,9,0.0731354
2,10,0.316515
2,11,0.0358916
2,12,0.278681
