Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,-1.77636e-15
0,10,0
0,11,0
0,12,0
0,13,0
0,14,1.77636e-15
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,1.77636e-15
0,28,0
0,29,0
0,30,0
0,31,0
0,32,-1.77636e-15
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,-1.77636e-15
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,-8.88178e-16
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,-4.44089e-16
0,57,1.77636e-15
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,-1.77636e-15
0,65,1.77636e-15
0,66,0
0,67,0
0,68,0
0,69,-1.77636e-15
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,8.88178e-16
0,78,0
0,79,1.77636e-15
0,80,0
0,81,5.55112e-17
0,82,0
0,83,0
0,84,1.77636e-15
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,-8.88178e-16
0,91,0
0,92,0
0,93,0
0,94,-1.77636e-15
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
0,100,0
0,101,0
0,102,0
0,103,0
0,104,-1.77636e-15
0,105,0
0,106,0
0,107,0
0,108,0
0,109,-3.55271e-15
0,110,0
0,111,0
0,112,0
0,113,0
0,114,0
0,115,0
0,116,0
0,117,0
0,118,3.55271e-15
0,119,3.55271e-15
0,120,3.55271e-15
0,121,0
0,122,0
0,123,0
0,124,0
0,125,0
0,126,-1.77636e-15
0,127,0
0,128,0
0,129,0
0,130,0
0,131,0
0,132,0
0,133,1.77636e-15
0,134,0
0,135,0
0,136,0
0,137,0
0,138,0
0,139,3.55271e-15
0,140,0
0,141,3.55271e-15
0,142,0
0,143,0
0,144,0
0,145,0
0,146,0
0,147,0
0,148,0
0,149,0
0,150,0
0,151,0
0,152,0
0,153,3.55271e-15
0,154,0
0,155,3.55271e-15
0,156,0
0,157,0
0,158,0
0,159,0
0,160,0
0,161,0
0,162,0
0,163,0
0,164,0
0,165,0
0,166,0
0,167,0
0,168,0
0,169,0
0,170,0
0,171,-3.55271e-15
0,172,0
0,173,0
0,174,0
0,175,0
0,176,-3.55271e-15
0,177,0
0,178,0
0,179,0
0,180,0
0,181,3.55271e-15
0,182,0
0,183,3.55271e-15
0,184,0
0,185,0
0,186,0
0,187,0
0,188,0
0,189,0
0,190,0
0,191,3.55271e-15
0,192,0
0,193,3.55271e-15
0,194,0
0,195,0
0,196,0
0,197,0
0,198,0
0,199,0
1,0,0
1,1,0
1,2,2.91643
1,3,1.44428
1,4,1.9891
1,5,0.0343845
1,6,0.252084
1,7,1.71032
1,8,0.395118
1,9,3.0932
1,10,0.0590737
1,11,0.0945645
1,12,0.0555546
1,13,0
1,14,1.10726
1,15,0.745276
1,16,0
1,17,0.0122189
1,18,0.997232
1,19,0.00924934
1,20,0.306957
1,21,0
1,22,0.703674
1,23,0
1,24,2.14013
1,25,0.585944
1,26,0.801076
1,27,4.35622
1,28,1.34656
1,29,0.463606
1,30,0.911288
1,31,0
1,32,0.954898
1,33,0.0325117
1,34,0.82758
1,35,1.95428
1,36,0
1,37,0.00557775
1,38,1.78545
1,39,0.0906266
1,40,0.358185
1,41,0.807057
1,42,1.06873
1,43,0
1,44,0
1,45,0.743233
1,46,0
1,47,0.0262684
1,48,0
1,49,0.90273
1,50,0.0416392
1,51,0
1,52,0
1,53,0.556926
1,54,0.000137528
1,55,0
1,56,0.0485732
1,57,2.05093
1,58,0.63705
1,59,0.658355
1,60,0.0112774
1,61,0.174092
1,62,0
1,63,0
1,64,0
1,65,0
1,66,0
1,67,1.5564
1,68,3.11874
1,69,1.29727
1,70,0.0279769
1,71,0.368691
1,72,0.376468
1,73,0.509011
1,74,0
1,75,8.88178e-16
1,76,0.443209
1,77,0.00468455
1,78,0
1,79,0.58067
1,80,0
1,81,0
1,82,0
1,83,0.141382
1,84,0.394365
1,85,0.645264
1,86,1.13288
1,87,0.0239746
1,88,0
1,89,0.0384562
1,90,0.000826793
1,91,0.439488
1,92,0
1,93,0.0227919
1,94,4.17059
1,95,0
1,96,0.0310751
1,97,0.878249
1,98,0.384976
1,99,1.20788
1,100,0
1,101,0
1,102,0
1,103,0
1,104,0
1,105,0.0463476
1,106,0
1,107,0
1,108,0
1,109,0
1,110,0
1,111,0
1,112,0
1,113,0
1,114,0
1,115,0
1,116,0
1,117,0
1,118,0
1,119,0
1,120,0
1,121,0
1,122,0
1,123,0
1,124,0
1,125,0
1,126,0
1,127,0
1,128,0
1,129,0
1,130,0
1,131,0
1,132,0
1,133,0
1,134,0
1,135,0.222274
1,136,0
1,137,0
1,138,0.403684
1,139,0
1,140,0
1,141,0
1,142,0.696132
1,143,0
1,144,0.950506
1,145,0
1,146,0
1,147,0
1,148,0
1,149,0
1,150,0
1,151,0
1,152,0
1,153,0
1,154,0.416762
1,155,0.211362
1,156,0
1,157,0
1,158,0
1,159,0
1,160,0
1,161,0
1,162,0
1,163,0
1,164,0
1,165,0
1,166,0
1,167,0
1,168,0
1,169,0
1,170,0
1,171,0
1,172,0
1,173,0.420118
1,174,0
1,175,0
1,176,0
1,177,0
1,178,0
1,179,0
1,180,0
1,181,0
1,182,0
1,183,0
1,184,0
1,185,0
1,186,0
1,187,0
1,188,0
1,189,0.0595119
1,190,0
1,191,0
1,192,0.598374
1,193,0
1,194,0
1,195,0
1,196,0
1,197,0
1,198,0
1,199,0
2,0,0
2,1,2.91643
2,2,0
2,3,2.43469
2,4,2.26237
2,5,2.889
2,6,2.84268
2,7,2.32254
2,8,2.70695
2,9,1.93634
2,10,2.82073
2,11,2.90293
2,12,2.85947
2,13,0
2,14,2.54293
2,15,2.65278
2,16,0
2,17,2.55662
2,18,0.000218405
2,19,2.93737
2,20,2.81116
2,21,0
2,22,2.67341
2,23,0
2,24,2.1994
2,25,2.68298
2,26,2.61824
2,27,1.57954
2,28,2.44492
2,29,2.74287
2,30,2.53848
2,31,0
2,32,2.5869
2,33,2.98507
2,34,2.60385
2,35,2.26599
2,36,0
2,37,2.93057
2,38,2.31985
2,39,2.87406
2,40,2.74359
2,41,2.60255
2,42,2.55234
2,43,0
2,44,0
2,45,2.61453
2,46,0
2,47,2.89223
2,48,-5.30247e-05
2,49,2.61027
2,50,2.90505
2,51,0
2,52,0
2,53,2.67795
2,54,1.19739
2,55,0
2,56,2.75872
2,57,2.20033
2,58,2.65321
2,59,2.64854
2,60,2.93802
2,61,2.85542
2,62,0
2,63,0
2,64,0
2,65,0
2,66,0
2,67,2.39097
2,68,1.92504
2,69,2.48075
2,70,2.96449
2,71,2.7939
2,72,2.79396
2,73,2.64647
2,74,0
2,75,2.22045e-16
2,76,2.42288
2,77,2.9425
2,78,0
2,79,2.56856
2,80,0
2,81,0
2,82,0
2,83,2.68937
2,84,2.7787
2,85,2.69599
2,86,2.53478
2,87,2.98159
2,88,0
2,89,2.92635
2,90,2.94052
2,91,2.77209
2,92,0
2,93,2.97741
2,94,1.59983
2,95,0
2,96,2.90063
2,97,2.61727
2,98,2.746
2,99,2.48128
2,100,0
2,101,0
