Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,-1.77636e-15
0,10,0
0,11,0
0,12,0
0,13,0
0,14,1.77636e-15
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,1.77636e-15
0,28,0
0,29,0
0,30,0
0,31,0
0,32,-1.77636e-15
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,-1.77636e-15
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,-8.88178e-16
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,-4.44089e-16
0,57,1.77636e-15
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,-1.77636e-15
0,65,1.77636e-15
0,66,0
0,67,0
0,68,0
0,69,-1.77636e-15
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,8.88178e-16
0,78,0
0,79,1.77636e-15
0,80,0
0,81,5.55112e-17
0,82,0
0,83,0
0,84,1.77636e-15
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,-8.88178e-16
0,91,0
0,92,0
0,93,0
0,94,-1.77636e-15
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
0,100,0
0,101,0
0,102,0
0,103,0
0,104,-1.77636e-15
0,105,0
0,106,0
0,107,0
0,108,0
0,109,-3.55271e-15
0,110,0
0,111,0
0,112,0
0,113,0
0,114,0
0,115,0
0,116,0
0,117,0
0,118,3.55271e-15
0,119,3.55271e-15
0,120,3.55271e-15
0,121,0
0,122,0
0,123,0
0,124,0
0,125,0
0,126,-1.77636e-15
0,127,0
0,128,0
0,129,0
0,130,0
0,131,0
0,132,0
0,133,1.77636e-15
0,134,0
0,135,0
0,136,0
0,137,0
0,138,0
0,139,3.55271e-15
0,140,0
0,141,3.55271e-15
0,142,0
0,143,0
0,144,0
0,145,0
0,146,0
0,147,0
0,148,0
0,149,0
0,150,0
0,151,0
0,152,0
0,153,3.55271e-15
0,154,0
0,155,3.55271e-15
0,156,0
0,157,0
0,158,0
0,159,0
0,160,0
0,161,0
0,162,0
0,163,0
0,164,0
0,165,0
0,166,0
0,167,0
0,168,0
0,169,0
0,170,0
0,171,-3.55271e-15
0,172,0
0,173,0
0,174,0
0,175,0
0,176,-3.55271e-15
0,177,0
0,178,0
0,179,0
0,180,0
0,181,3.55271e-15
0,182,0
0,183,3.55271e-15
0,184,0
0,185,0
0,186,0
0,187,0
0,188,0
0,189,0
0,190,0
0,191,3.55271e-15
0,192,0
0,193,3.55271e-15
0,194,0
0,195,0
0,196,0
0,197,0
0,198,0
0,199,0
1,0,0
1,1,0
1,2,0
1,3,1.44428
1,4,1.9891
1,5,0.0343845
1,6,0.252084
1,7,1.71032
1,8,0.395118
1,9,3.0932
1,10,0.0590737
1,11,0.0945645
1,12,0.0555546
1,13,0
1,14,1.10726
1,15,0.745276
1,16,0.277148
1,17,0.0122189
1,18,0
1,19,0.00924934
1,20,0.306957
1,21,0
1,22,0.703674
1,23,0
1,24,2.14013
1,25,0.585944
1,26,0.801076
1,27,4.35622
1,28,1.34656
1,29,0.463606
1,30,0.911288
1,31,0.0758154
1,32,0.954898
1,33,0.0325117
1,34,0.82758
1,35,1.95428
1,36,0
1,37,0.00557775
1,38,1.78545
1,39,0.0906266
1,40,0.358185
1,41,0.807057
1,42,1.06873
1,43,0.0430484
1,44,0.0197657
1,45,0.743233
1,46,0
1,47,0.0262684
1,48,0.00378694
1,49,0.90273
1,50,0.0416392
1,51,3.1827
1,52,0
1,53,0.556926
1,54,0.000137528
1,55,0
1,56,0.0485732
1,57,2.05093
1,58,0.63705
1,59,0.658355
1,60,0.0112774
1,61,0.174092
1,62,0.143436
1,63,0
1,64,0
1,65,0
1,66,0
1,67,1.5564
1,68,3.11874
1,69,1.29727
1,70,0.0279769
1,71,0.368691
1,72,0.376468
1,73,0.509011
1,74,0
1,75,8.88178e-16
1,76,0.443209
1,77,0.00468455
1,78,0
1,79,0.58067
1,80,0
1,81,0
1,82,0
1,83,0.141382
1,84,0.394365
1,85,0.645264
1,86,1.13288
1,87,0.0239746
1,88,0
1,89,0.0384562
1,90,0.000826793
1,91,0.439488
1,92,0.0232925
1,93,0.0227919
1,94,4.17059
1,95,0.0042604
1,96,0.0310751
1,97,0.878249
1,98,0.384976
1,99,1.20788
1,100,3.16549
1,101,0
1,102,2.26218
1,103,0.290521
1,104,3.34794
1,105,0.0463476
1,106,2.13135
1,107,2.53011
1,108,1.07803
1,109,2.08861
1,110,0.168938
1,111,3.19874
1,112,0.143737
1,113,0
1,114,1.82822
1,115,1.6039
1,116,2.20443
1,117,1.59746
1,118,1.95025
1,119,0
1,120,0.074441
1,121,1.57941
1,122,2.22142
1,123,2.39039
1,124,0
1,125,0.0226635
1,126,1.4912
1,127,1.44714
1,128,3.29229
1,129,1.79813
1,130,3.3058
1,131,0.711359
1,132,3.47899
1,133,2.75379
1,134,0.816432
1,135,0.222274
1,136,1.92764
1,137,2.25877
1,138,0.403684
1,139,1.05503
1,140,0.874738
1,141,2.48361
1,142,0.696132
1,143,2.00068
1,144,0.950506
1,145,0
1,146,2.33436
1,147,2.87251
1,148,1.14832e-05
1,149,2.40149
1,150,2.09707
1,151,0
1,152,0.131855
1,153,0
1,154,0.416762
1,155,0.211362
1,156,0.0399828
1,157,1.74417
1,158,3.51606
1,159,0.32556
1,160,0.126292
1,161,0
1,162,0
1,163,3.86892
1,164,3.08555
1,165,1.63184
1,166,0
1,167,1.70969
1,168,1.95111
1,169,2.40306
1,170,3.01873
1,171,3.65981
1,172,0.378026
1,173,0.420118
1,174,3.12176
1,175,2.5093
1,176,2.76779
1,177,0.0629684
1,178,1.30906
1,179,0.629974
1,180,2.50076
1,181,3.44594
1,182,0.152383
1,183,1.60659
1,184,0.0280286
1,185,0.386558
1,186,2.914
1,187,0.45547
1,188,0.794001
1,189,0.0595119
1,190,3.34688
1,191,1.54335
1,192,0.598374
1,193,0.775829
1,194,1.36971
1,195,3.26112
1,196,0.0222955
1,197,2.83197
1,198,2.71807
1,199,1.87791
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0.00199249
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0.000218405
2,19,0
2,20,0
2,21,0.000709975
2,22,0
2,23,0.0257093
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0.000121756
2,37,0
2,38,0
2,39,0
2,40,0
2,41,0
2,42,0
2,43,0
2,44,0
2,45,0
2,46,0.0242062
2,47,0
2,48,-5.30247e-05
2,49,0
2,50,0
2,51,0
2,52,0.271981
2,53,0
2,54,0
2,55,0.00552998
2,56,0
2,57,0
2,58,0
2,59,0
2,60,0
2,61,0
2,62,0
2,63,0.171724
2,64,0.169031
2,65,0.289648
2,66,0.000413004
2,67,0
2,68,0
2,69,0
2,70,0
2,71,0
2,72,0
2,73,0
2,74,0.00662519
2,75,2.22045e-16
2,76,0
2,77,0
2,78,0.0492732
2,79,0
2,80,1.32539
2,81,7.68681e-05
