,BCN,BEG,BER,BRU,BBU,BUD,CPH,DUB,HAM,IST,IEV,LTN,MAD,MXP,MOW,MUC,LBG,PRG,FCO,SPG,SOF,SMP,VIE,WAW
BCN,0,1528,1498,1063,1968,1499,1758,1469,1472,2230,2391,1138,505,725,3007,1055,832,1354,857,2813,1746,2277,1347,1862
BEG,1528,0,999,1373,447,316,1327,2145,1230,809,976,1689,2027,885,1711,773,1446,738,722,1798,329,1621,489,827
BER,1498,999,0,652,1293,689,354,1315,255,1735,1204,930,1868,841,1608,502,877,280,1182,1320,1319,810,524,516
BRU,1063,1373,652,0,1770,1132,767,773,490,2179,1836,319,1314,697,2253,602,261,721,1171,1904,1698,1281,915,1160
BBU,1968,447,1293,1770,0,640,1572,2535,1544,446,744,2088,2470,1331,1498,1186,1870,1077,1137,1740,297,1742,855,946
BUD,1499,316,689,1132,640,0,1011,1895,928,1065,894,1450,1975,789,1565,564,1248,443,811,1557,630,1317,217,545
CPH,1758,1327,354,767,1572,1011,0,1238,288,2017,1326,955,2072,1158,1559,838,1026,633,1530,1143,1636,522,869,668
DUB,1469,2145,1315,773,2535,1895,1238,0,1073,2950,2514,463,1450,1413,2792,1375,777,1466,1882,2314,2471,1627,1680,1824
HAM,1472,1230,255,490,1544,928,288,1073,0,1984,1440,720,1785,900,1780,610,745,492,1308,1414,1555,810,743,750
IST,2230,809,1735,2179,446,1065,2017,2950,1984,0,1053,2496,2735,1669,1754,1582,2254,1508,1374,2099,503,2172,1274,1386
IEV,2391,976,1204,1836,744,894,1326,2514,1440,1053,0,2131,2859,1673,757,1391,2023,1139,1674,1051,1021,1266,1053,690
LTN,1138,1689,930,319,2088,1450,955,463,720,2496,2131,0,1263,958,2498,916,341,1035,1431,2094,2013,1431,1233,1446
MAD,505,2027,1868,1314,2470,1975,2072,1450,1785,2735,2859,1263,0,1188,3438,1485,1053,1774,1361,3183,2250,2592,1807,2288
MXP,725,885,841,697,1331,789,1158,1413,900,1669,1673,958,1188,0,2283,349,641,646,476,2122,1167,1650,623,1143
MOW,3007,1711,1608,2253,1498,1565,1559,2792,1780,1754,757,2498,3438,2283,0,1957,2485,1664,2374,633,1777,1227,1669,1149
MUC,1055,773,502,602,1186,564,838,1375,610,1582,1391,916,1485,349,1957,0,685,300,698,1774,1097,1312,354,809
LBG,832,1446,877,261,1870,1248,1026,777,745,2254,2023,341,1053,641,2485,685,0,885,1106,2158,1758,1542,1034,1366
PRG,1354,738,280,721,1077,443,633,1466,492,1508,1139,1035,1774,646,1664,300,885,0,922,1477,1064,1053,251,515
FCO,857,722,1182,1171,1137,811,1530,1882,1308,1374,1674,1431,1361,476,2374,698,1106,922,0,2339,894,1975,763,1316
SPG,2813,1798,1320,1904,1740,1557,1143,2314,1414,2099,1051,2094,3183,2122,633,1774,2158,1477,2339,0,1970,688,1578,1023
SOF,1746,329,1319,1698,297,630,1636,2471,1555,503,1021,2013,2250,1167,1777,1097,1758,1064,894,1970,0,1885,817,1077
SMP,2277,1621,810,1281,1742,1317,522,1627,810,2172,1266,1431,2592,1650,1227,1312,1542,1053,1975,688,1885,0,1242,808
VIE,1347,489,524,915,855,217,869,1680,743,1274,1053,1233,1807,623,1669,354,1034,251,763,1578,817,1242,0,557
WAW,1862,827,516,1160,946,545,668,1824,750,1386,690,1446,2288,1143,1149,809,1366,515,1316,1023,1077,808,557,0
