,Barcelona,Madrid,Paris,Brussels,London,Dublin,Hamburg,Berlin,Prague,Vienna,Budapest,Belgrade,Sofia,Bucharest,Istanbul,Kiev,Warsaw,Copenhagen,Stockholm,Saint Petersburg,Moscow,Munich,Milan,Rome
Barcelona,0,505,832,1063,1138,1469,1472,1498,1354,1347,1499,1528,1746,1968,2230,2391,1862,1758,2277,2813,3007,1055,725,857
Madrid,505,0,1053,1314,1263,1450,1785,1868,1774,1807,1975,2027,2250,2470,2735,2859,2288,2072,2592,3183,3438,1485,1188,1361
Paris,832,1053,0,261,341,2301,745,878,888,1037,1252,1451,1764,1876,2185,2028,1369,1026,1542,2160,2489,687,643,1033
Brussels,1063,1314,261,0,320,2528,490,654,725,920,1138,1380,1707,1780,2092,1844,1164,767,1281,1906,2259,605,699,1088
London,1138,1263,341,320,0,2598,724,935,1040,1240,1458,1698,2023,2100,2413,2143,1454,959,1435,2101,2510,921,961,1355
Dublin,1469,1450,2301,2528,2598,0,2901,2873,2664,2559,2624,2488,2528,2822,2968,3467,3118,3177,3682,4136,4189,2378,2032,1887
Hamburg,1472,1785,745,490,724,2901,0,257,497,750,938,1242,1571,1561,1868,1453,757,288,810,1416,1787,613,902,1215
Berlin,1498,1868,878,654,935,2873,257,0,283,529,697,1010,1334,1308,1614,1212,519,357,812,1319,1611,503,842,1089
Prague,1354,1774,888,725,1040,2664,497,283,0,253,447,745,1075,1086,1398,1141,515,638,1058,1478,1664,300,646,830
Vienna,1347,1807,1037,920,1240,2559,750,529,253,0,218,494,825,861,1174,1053,559,877,1251,1583,1670,355,623,678
Budapest,1499,1975,1252,1138,1458,2624,938,697,447,218,0,320,637,644,957,894,550,1024,1332,1567,1569,565,789,742
Belgrade,1528,2027,1451,1380,1698,2488,1242,1010,745,494,320,0,332,448,741,981,837,1343,1642,1817,1722,777,886,685
Sofia,1746,2250,1764,1707,2023,2528,1571,1334,1075,825,637,332,0,299,488,1034,1094,1657,1914,2002,1801,1102,1169,890
Bucharest,1968,2470,1876,1780,2100,2822,1561,1308,1086,861,644,448,299,0,313,757,963,1594,1775,1775,1521,1191,1333,1116
Istanbul,2230,2735,2185,2092,2413,2968,1868,1614,1398,1174,957,741,488,313,0,870,1236,1888,2028,1944,1591,1501,1625,1374
Kiev,2391,2859,2028,1844,2143,3467,1453,1212,1141,1053,894,981,1034,757,870,0,696,1345,1297,1081,767,1392,1673,1619
Warsaw,1862,2288,1369,1164,1454,3118,757,519,515,559,550,837,1094,963,1236,696,0,678,821,1028,1149,809,1143,1236
Copenhagen,1758,2072,1026,767,959,3177,288,357,638,877,1024,1343,1657,1594,1888,1345,678,0,522,1146,1570,841,1160,1438
Stockholm,2277,2592,1542,1281,1435,3682,810,812,1058,1251,1332,1642,1914,1775,2028,1297,821,522,0,695,1250,1315,1653,1887
Saint Petersburg,2813,3183,2160,1906,2101,4136,1416,1319,1478,1583,1567,1817,2002,1775,1944,1081,1028,1146,695,0,655,1775,2124,2261
Moscow,3007,3438,2489,2259,2510,4189,1787,1611,1664,1670,1569,1722,1801,1521,1591,767,1149,1570,1250,655,0,1957,2283,2310
Munich,1055,1485,687,605,921,2378,613,503,300,355,565,777,1102,1191,1501,1392,809,841,1315,1775,1957,0,349,602
Milan,725,1188,643,699,961,2032,902,842,646,623,789,886,1169,1333,1625,1673,1143,1160,1653,2124,2283,349,0,394
Rome,857,1361,1033,1088,1355,1887,1215,1089,830,678,742,685,890,1116,1374,1619,1236,1438,1887,2261,2310,602,394,0
