24,2
Barcelona,0,0
Madrid,504.64,0
Paris,-161.9452503765063,815.6688445567175
Brussels,-339.8341474120162,1007.098756007944
London,-46.71567691819853,1136.71046200432
Dublin,308.2302553305327,-1436.595702972438
Hamburg,-759.5566254161382,1260.638767128176
Berlin,-981.6588998097658,1131.009070045099
Prague,-1048.679626367311,856.3388647271108
Vienna,-1184.354325459733,642.5515050677425
Budapest,-1388.210556733514,565.0158531170858
Belgrade,-1504.679511235732,266.6849552700688
Sofia,-1745.14869798272,37.42758914511323
Bucharest,-1952.013968472574,253.611441555685
Istanbul,-2227.927090599238,105.4241688324613
Kiev,-2183.617439362716,974.1574832187123
Warsaw,-1500.011431812778,1103.738525798108
Copenhagen,-939.8181686945152,1485.15610674154
Stockholm,-1267.109653614458,1891.277585606367
Saint Petersburg,-1948.402341173906,2028.992320662659
Moscow,-2498.307442434211,1673.346332346603
Munich,-829.3953004121748,651.2903639347032
Milan,-624.4471394459417,368.5984053652167
Rome,-855.2605365210842,49.46888688526728
