,Barcelona,Madrid,Paris,Brussels,London,Dublin,Hamburg,Berlin,Prague,Vienna,Budapest,Belgrade,Sofia,Bucharest,Istanbul,Kiev,Warsaw,Copenhagen,Stockholm,Saint Petersburg,Moscow,Munich,Milan,Rome
Barcelona,0,505,832,1063,1138,1469,1472,1498,1354,1347,1499,1528,1746,1968,2230,2391,1862,1758,2277,2813,3007,1055,725,857
Madrid,505,0,1053,1314,1263,1450,1785,1868,1774,1807,1975,2027,2250,2470,2735,2859,2288,2072,2592,3183,3438,1485,1188,1361
Paris,832,1053,0,261,341,779,745,878,888,1037,1252,1451,1764,1876,2262,2028,1369,1026,1542,2160,2489,687,643,1109
Brussels,1063,1314,261,0,320,777,490,654,725,920,1138,1380,1707,1780,2191,1844,1164,767,1281,1906,2259,605,699,1176
London,1138,1263,341,320,0,465,724,935,1040,1240,1458,1698,2023,2100,2510,2143,1454,959,1435,2101,2510,921,961,1436
Dublin,1469,1450,779,777,465,0,1082,1326,1476,1691,1907,2158,2485,2551,2968,2534,1839,1249,1640,2333,2817,1382,1418,1887
Hamburg,1472,1785,745,490,724,1082,0,257,497,750,938,1242,1571,1561,2006,1453,757,288,810,1416,1787,613,902,1314
Berlin,1498,1868,878,654,935,1326,257,0,283,529,697,1010,1334,1308,1756,1212,519,357,812,1319,1611,503,842,1187
Prague,1354,1774,888,725,1040,1476,497,283,0,253,447,745,1075,1086,1522,1141,515,638,1058,1478,1664,300,646,926
Vienna,1347,1807,1037,920,1240,1691,750,529,253,0,218,494,825,861,1284,1053,559,877,1251,1583,1670,355,623,766
Budapest,1499,1975,1252,1138,1458,1907,938,697,447,218,0,320,637,644,1075,894,550,1024,1332,1567,1569,565,789,813
Belgrade,1528,2027,1451,1380,1698,2158,1242,1010,745,494,320,0,332,448,813,981,837,1343,1642,1817,1722,777,886,722
Sofia,1746,2250,1764,1707,2023,2485,1571,1334,1075,825,637,332,0,299,503,1034,1094,1657,1914,2002,1801,1102,1169,894
Bucharest,1968,2470,1876,1780,2100,2551,1561,1308,1086,861,644,448,299,0,453,757,963,1594,1775,1775,1521,1191,1333,1138
Istanbul,2230,2735,2262,2191,2510,2968,2006,1756,1522,1284,1075,813,503,453,0,1080,1411,2047,2216,2153,1799,1590,1672,1374
Kiev,2391,2859,2028,1844,2143,2534,1453,1212,1141,1053,894,981,1034,757,1080,0,696,1345,1297,1081,767,1392,1673,1677
Warsaw,1862,2288,1369,1164,1454,1839,757,519,515,559,550,837,1094,963,1411,696,0,678,821,1028,1149,809,1143,1321
Copenhagen,1758,2072,1026,767,959,1249,288,357,638,877,1024,1343,1657,1594,2047,1345,678,0,522,1146,1570,841,1160,1537
Stockholm,2277,2592,1542,1281,1435,1640,810,812,1058,1251,1332,1642,1914,1775,2216,1297,821,522,0,695,1250,1315,1653,1984
Saint Petersburg,2813,3183,2160,1906,2101,2333,1416,1319,1478,1583,1567,1817,2002,1775,2153,1081,1028,1146,695,0,655,1775,2124,2348
Moscow,3007,3438,2489,2259,2510,2817,1787,1611,1664,1670,1569,1722,1801,1521,1799,767,1149,1570,1250,655,0,1957,2283,2381
Munich,1055,1485,687,605,921,1382,613,503,300,355,565,777,1102,1191,1590,1392,809,841,1315,1775,1957,0,349,701
Milan,725,1188,643,699,961,1418,902,842,646,623,789,886,1169,1333,1672,1673,1143,1160,1653,2124,2283,349,0,478
Rome,857,1361,1109,1176,1436,1887,1314,1187,926,766,813,722,894,1138,1374,1677,1321,1537,1984,2348,2381,701,478,0
