Head,Tail,Difference
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
1,0,0
1,1,0
1,2,-11.0008
1,3,-7.65538
1,4,-0.185456
1,5,-3.8498
1,6,-15.794
1,7,-12.2321
1,8,-12.3068
1,9,68.4725
1,10,-4.52785
1,11,-8.853
1,12,0
1,13,-0.79251
1,14,-11.2158
1,15,-3.79939
1,16,-4.92697
1,17,-7.30434
1,18,36.767
1,19,-19.5604
1,20,-2.78143
1,21,-20.9111
1,22,-4.56602
1,23,-10.4066
2,0,0
2,1,-11.0008
2,2,0
2,3,-2.05636
2,4,-14.8108
2,5,-7.81343
2,6,-2.58011
2,7,-10.4332
2,8,-2.65391
2,9,121.006
2,10,-8.14964
2,11,-4.99061
2,12,0
2,13,-1.22434
2,14,-2.70938
2,15,-1.33333
2,16,-1.31668
2,17,-2.38867
2,18,92.7689
2,19,0.162991
2,20,-15.0605
2,21,-1.71011
2,22,-5.23424
2,23,-3.00939
3,0,0
3,1,-7.65538
3,2,-2.05636
3,3,0
3,4,-9.8793
3,5,-6.25431
3,6,-0.480348
3,7,-4.2671
3,8,-0.596499
3,9,86.5039
3,10,-7.87754
3,11,-1.77592
3,12,0
3,13,-2.45169
3,14,-5.69834
3,15,-3.33223
3,16,-0.0333068
3,17,-3.62025
3,18,83.811
3,19,-2.05721
3,20,-9.55723
3,21,-0.374099
3,22,-5.03185
3,23,-4.34525
4,0,0
4,1,-0.185456
4,2,-14.8108
4,3,-9.8793
4,4,0
4,5,-4.31617
4,6,-22.5875
4,7,-16.3887
4,8,-16.6178
4,9,132.431
4,10,-12.4132
4,11,-11.5861
4,12,0
4,13,-1.07731
4,14,-23.6513
4,15,-4.60489
4,16,-6.28414
4,17,-9.13271
4,18,21.7895
4,19,-34.9946
4,20,-2.53347
4,21,-32.8681
4,22,-5.24708
4,23,-16.7
5,0,0
5,1,-3.8498
5,2,-7.81343
5,3,-6.25431
5,4,-4.31617
5,5,0
5,6,-12.2689
5,7,-12.2896
5,8,-9.68173
5,9,107.499
5,10,-0.175753
5,11,-8.11292
5,12,0
5,13,-0.0554775
5,14,-3.47553
5,15,-1.50592
5,16,-4.01036
5,17,-4.12166
5,18,69.6086
5,19,-10.9854
5,20,-7.35839
5,21,-15.1891
5,22,-1.12351
5,23,-4.91138
6,0,0
6,1,-15.794
6,2,-2.58011
6,3,-0.480348
6,4,-22.5875
6,5,-12.2689
6,6,0
6,7,-10.6128
6,8,0.0424748
6,9,129.609
6,10,-18.347
6,11,-3.53909
6,12,0
6,13,-2.35135
6,14,-11.2903
6,15,-3.14522
6,16,-0.403791
6,17,-5.12078
6,18,91.5148
6,19,-2.46206
6,20,-21.1057
6,21,0.0916837
6,22,-8.50133
6,23,-9.9137
7,0,0
7,1,-12.2321
7,2,-10.4332
7,3,-4.2671
7,4,-16.3887
7,5,-12.2896
7,6,-10.6128
7,7,0
7,8,-8.82744
7,9,85.8279
7,10,-20.7042
7,11,-2.06953
7,12,0
7,13,-4.5529
7,14,-24.0958
7,15,-7.44176
7,16,-2.02504
7,17,-10.1618
7,18,71.7417
7,19,-18.9033
7,20,-13.7409
7,21,-13.0837
7,22,-10.6552
7,23,-14.9023
8,0,0
8,1,-12.3068
8,2,-2.65391
8,3,-0.596499
8,4,-16.6178
8,5,-9.68173
8,6,0.0424748
8,7,-8.82744
8,8,0
8,9,115.427
8,10,-12.251
8,11,-3.4133
8,12,0
8,13,-2.20427
8,14,-7.12958
8,15,-3.16752
8,16,-0.445558
8,17,-4.79177
8,18,92.5649
8,19,-1.36864
8,20,-16.0515
8,21,0.134468
8,22,-7.19997
8,23,-6.40564
9,0,0
9,1,68.4725
9,2,121.006
9,3,86.5039
9,4,132.431
9,5,107.499
9,6,129.609
9,7,85.8279
9,8,115.427
9,9,0
9,10,183.087
9,11,83.6665
9,12,0
9,13,44.4966
9,14,162.906
9,15,80.8735
9,16,69.3225
9,17,109.517
9,18,0.00344074
9,19,155.518
9,20,15.0667
9,21,143.734
9,22,100.189
9,23,150.567
10,0,0
10,1,-4.52785
10,2,-8.14964
10,3,-7.87754
10,4,-12.4132
10,5,-0.175753
10,6,-18.347
10,7,-20.7042
10,8,-12.251
10,9,183.087
10,10,0
10,11,-11.8755
10,12,0
10,13,0.0532131
10,14,-10.133
10,15,-0.818429
10,16,-5.11502
10,17,-2.42684
10,18,55.228
10,19,-29.3517
10,20,-13.5116
10,21,-30.7808
10,22,-0.0881826
10,23,-5.659
11,0,0
11,1,-8.853
11,2,-4.99061
11,3,-1.77592
11,4,-11.5861
11,5,-8.11292
11,6,-3.53909
11,7,-2.06953
11,8,-3.4133
11,9,83.6665
11,10,-11.8755
11,11,0
11,12,0
11,13,-3.21943
11,14,-11.3175
11,15,-4.75863
11,16,-0.544671
11,17,-5.88182
11,18,76.2786
11,19,-6.92398
11,20,-10.4405
11,21,-3.75856
11,22,-6.84849
11,23,-7.81974
12,0,0
12,1,0
12,2,0
12,3,0
12,4,0
12,5,0
12,6,0
12,7,0
12,8,0
12,9,0
12,10,0
12,11,0
12,12,0
12,13,0
12,14,0
12,15,0
12,16,0
12,17,0
12,18,0
12,19,0
12,20,0
12,21,0
12,22,0
12,23,0
13,0,0
13,1,-0.79251
13,2,-1.22434
13,3,-2.45169
13,4,-1.07731
13,5,-0.0554775
13,6,-2.35135
13,7,-4.5529
13,8,-2.20427
13,9,44.4966
13,10,0.0532131
13,11,-3.21943
13,12,0
13,13,0
13,14,-0.167087
13,15,-0.278286
13,16,-1.94732
13,17,-0.383977
13,18,82.1492
13,19,-1.47081
13,20,-1.77861
13,21,-2.62529
13,22,0.0251319
13,23,-0.250175
14,0,0
14,1,-11.2158
14,2,-2.70938
14,3,-5.69834
14,4,-23.6513
14,5,-3.47553
14,6,-11.2903
14,7,-24.0958
14,8,-7.12958
14,9,162.906
14,10,-10.133
14,11,-11.3175
14,12,0
14,13,-0.167087
14,14,0
14,15,0.145621
14,16,-3.89477
14,17,0.0321853
14,18,64.1559
14,19,-22.2991
14,20,-23.6159
14,21,-22.9568
14,22,-0.813164
14,23,0.0414872
15,0,0
15,1,-3.79939
15,2,-1.33333
15,3,-3.33223
15,4,-4.60489
15,5,-1.50592
15,6,-3.14522
15,7,-7.44176
15,8,-3.16752
15,9,80.8735
15,10,-0.818429
15,11,-4.75863
15,12,0
15,13,-0.278286
15,14,0.145621
15,15,0
15,16,-2.25352
15,17,-0.0574267
15,18,95.663
15,19,-1.06139
15,20,-5.92623
15,21,-3.17611
15,22,-0.646581
15,23,0.0482237
16,0,0
16,1,-4.92697
16,2,-1.31668
16,3,-0.0333068
16,4,-6.28414
16,5,-4.01036
16,6,-0.403791
16,7,-2.02504
16,8,-0.445558
16,9,69.3225
16,10,-5.11502
16,11,-0.544671
16,12,0
16,13,-1.94732
16,14,-3.89477
16,15,-2.25352
16,16,0
16,17,-2.28655
16,18,72.4409
16,19,-1.543
16,20,-6.11076
16,21,-0.351092
16,22,-3.23187
16,23,-2.81395
17,0,0
17,1,-7.30434
17,2,-2.38867
17,3,-3.62025
17,4,-9.13271
17,5,-4.12166
17,6,-5.12078
17,7,-10.1618
17,8,-4.79177
17,9,109.517
17,10,-2.42684
