Head,Tail,Difference
0,0,0
0,1,-3.1001
0,2,-2.13959
0,3,-0.02022
0,4,-3.82062
0,5,-4.65026
0,6,-0.858417
0,7,-3.774
0,8,-0.696957
0,9,0
0,10,-10.3938
0,11,-0.454746
0,12,0
0,13,-1.56048
0,14,-13.2342
0,15,-2.34276
0,16,0
0,17,-3.14465
0,18,0
0,19,-5.89085
0,20,-0.66538
0,21,-1.10276
0,22,-3.91932
0,23,-5.59482
1,0,-3.1001
1,1,0
1,2,-4.81067
1,3,-4.48701
1,4,-0.413439
1,5,-1.76505
1,6,-8.66041
1,7,-8.5511
1,8,-6.19219
1,9,2.19087
1,10,-11.3988
1,11,-5.13068
1,12,-2.33822
1,13,-0.691583
1,14,-18.7266
1,15,-0.667928
1,16,-3.27648
1,17,-2.36906
1,18,-4.53823
1,19,-16.0286
1,20,-1.56146
1,21,-13.0204
1,22,-1.055
1,23,-7.04107
2,0,-2.13959
2,1,-4.81067
2,2,0
2,3,-4.38779
2,4,-6.46769
2,5,-4.50226
2,6,-2.12176
2,7,-10.6725
2,8,-3.32215
2,9,-5.96044
2,10,-10.9625
2,11,-5.59773
2,12,-1.71607
2,13,-1.43198
2,14,-12.5891
2,15,-0.923738
2,16,-3.64886
2,17,-1.48386
2,18,-3.62216
2,19,-3.6231
2,20,-5.61324
2,21,-1.03142
2,22,-3.0008
2,23,-4.8397
3,0,-0.02022
3,1,-4.48701
3,2,-4.38779
3,3,0
3,4,-5.72234
3,5,-6.62437
3,6,-1.55246
3,7,-8.45932
3,8,-1.56583
3,9,-2.26611
3,10,-14.0463
3,11,-2.37491
3,12,-0.0163522
3,13,-1.66449
3,14,-17.6195
3,15,-3.90664
3,16,-0.08224
3,17,-5.64492
3,18,-0.797919
3,19,-8.28009
3,20,-2.35999
3,21,-1.63131
3,22,-5.93888
3,23,-8.82095
4,0,-3.82062
4,1,-0.413439
4,2,-6.46769
4,3,-5.72234
4,4,0
4,5,-0.35877
4,6,-12.581
4,7,-10.646
4,8,-8.57139
4,9,-1.56923
4,10,-14.1014
4,11,-6.63119
4,12,-3.04621
4,13,-1.08505
4,14,-25.4593
4,15,-1.05577
4,16,-4.02139
4,17,-2.76198
4,18,-5.30556
4,19,-25.1479
4,20,-8.01719
4,21,-20.5561
4,22,-0.743749
4,23,-8.25816
5,0,-4.65026
5,1,-1.76505
5,2,-4.50226
5,3,-6.62437
5,4,-0.35877
5,5,0
5,6,-8.18605
5,7,-10.3895
5,8,-6.854
5,9,0.0281553
5,10,-6.26142
5,11,-7.07267
5,12,-3.53063
5,13,-2.79085
5,14,-11.8133
5,15,-1.88488
5,16,-5.58267
5,17,-2.12241
5,18,-6.47604
5,19,-9.71517
5,20,-3.46734
5,21,-10.1532
5,22,-0.675511
5,23,-3.82954
6,0,-0.858417
6,1,-8.66041
6,2,-2.12176
6,3,-1.55246
6,4,-12.581
6,5,-8.18605
6,6,0
6,7,-11.0674
6,8,-0.116986
6,9,-12.9055
6,10,-19.0316
6,11,-3.77619
6,12,-0.728276
6,13,-1.37619
6,14,-20.9061
6,15,-1.83976
6,16,-1.46992
6,17,-3.72183
