,Barcelona,Madrid,Paris,Brussels,London,Dublin,Hamburg,Berlin,Prague,Vienna,Budapest,Belgrade,Sofia,Bucharest,Istanbul,Kiev,Warsaw,Copenhagen,Stockholm,Saint Petersburg,Moscow,Munich,Milan,Rome
Barcelona,0,505,832,1063,1138,1473,1472,1500,1357,1351,1503,1531,1746,1972,2230,2401,1868,1758,2278,2819,3020,1057,727,857
Madrid,505,0,1053,1314,1264,1454,1786,1869,1776,1810,1979,2029,2251,2473,2735,2868,2293,2072,2592,3189,3449,1486,1189,1361
Paris,832,1053,0,261,342,784,746,881,890,1039,1253,1449,1759,1874,2254,2035,1374,1027,1543,2166,2501,689,643,1106
Brussels,1063,1314,261,0,321,782,491,656,727,921,1138,1377,1700,1775,2181,1850,1169,768,1283,1912,2271,606,698,1172
London,1138,1264,342,321,0,469,724,936,1041,1240,1457,1694,2016,2095,2500,2146,1456,959,1435,2105,2518,921,960,1432
Dublin,1473,1454,784,782,469,0,1083,1326,1476,1690,1905,2154,2479,2545,2958,2534,1838,1249,1639,2334,2820,1383,1419,1887
Hamburg,1472,1786,746,491,724,1083,0,258,496,748,935,1236,1561,1553,1991,1456,759,288,810,1421,1798,612,901,1310
Berlin,1500,1869,881,656,936,1326,258,0,282,527,694,1004,1324,1300,1741,1215,521,356,811,1323,1621,503,842,1185
Prague,1357,1776,890,727,1041,1476,496,282,0,252,445,740,1067,1080,1509,1146,517,637,1056,1481,1674,301,648,926
Vienna,1351,1810,1039,921,1240,1690,748,527,252,0,218,490,819,856,1273,1059,560,875,1248,1584,1680,356,626,768
Budapest,1503,1979,1253,1138,1457,1905,935,694,445,218,0,318,633,640,1065,901,549,1019,1327,1566,1577,566,791,818
Belgrade,1531,2029,1449,1377,1694,2154,1236,1004,740,490,318,0,331,448,807,987,834,1336,1634,1814,1730,774,886,726
Sofia,1746,2251,1759,1700,2016,2479,1561,1324,1067,819,633,331,0,305,502,1041,1088,1646,1902,1995,1807,1096,1165,895
Bucharest,1972,2473,1874,1775,2095,2545,1553,1300,1080,856,640,448,305,0,447,759,954,1584,1763,1766,1523,1187,1333,1143
Istanbul,2230,2735,2254,2181,2500,2958,1991,1741,1509,1273,1065,807,502,447,0,1075,1397,2030,2196,2136,1794,1581,1667,1374
Kiev,2401,2868,2035,1850,2146,2534,1456,1215,1146,1059,901,987,1041,759,1075,0,697,1345,1293,1073,767,1399,1681,1688
Warsaw,1868,2293,1374,1169,1456,1838,759,521,517,560,549,834,1088,954,1397,697,0,678,819,1028,1157,812,1147,1324
Copenhagen,1758,2072,1027,768,959,1249,288,356,637,875,1019,1336,1646,1584,2030,1345,678,0,522,1151,1579,840,1159,1534
Stockholm,2278,2592,1543,1283,1435,1639,810,811,1056,1248,1327,1634,1902,1763,2196,1293,819,522,0,700,1257,1314,1652,1981
Saint Petersburg,2819,3189,2166,1912,2105,2334,1421,1323,1481,1584,1566,1814,1995,1766,2136,1073,1028,1151,700,0,655,1778,2128,2351
Moscow,3020,3449,2501,2271,2518,2820,1798,1621,1674,1680,1577,1730,1807,1523,1794,767,1157,1579,1257,655,0,1968,2295,2393
Munich,1057,1486,689,606,921,1383,612,503,301,356,566,774,1096,1187,1581,1399,812,840,1314,1778,1968,0,350,700
Milan,727,1189,643,698,960,1419,901,842,648,626,791,886,1165,1333,1667,1681,1147,1159,1652,2128,2295,350,0,476
Rome,857,1361,1106,1172,1432,1887,1310,1185,926,768,818,726,895,1143,1374,1688,1324,1534,1981,2351,2393,700,476,0
