id,v0,v1,v2
Barcelona,0,0,0
Madrid,504.640,0,0
Paris,-161.945,815.669,0
Brussels,-339.834,1007.109,4.636
London,-46.716,1136.938,22.748
Dublin,308.230,1438.527,74.513
Hamburg,-759.557,1261.046,32.031
Berlin,-981.659,1132.426,56.627
Prague,-1048.680,858.824,65.288
Vienna,-1184.354,646.654,72.723
Budapest,-1388.211,571.160,83.550
Belgrade,-1504.680,275.432,68.863
Sofia,-1745.149,50.621,34.083
Bucharest,-1952.014,268.042,86.763
Istanbul,-2227.927,-83.192,64.755
Kiev,-2183.617,986.858,157.817
Warsaw,-1500.011,1108.456,102.152
Copenhagen,-939.818,1485.664,38.847
Stockholm,-1267.110,1891.941,50.110
Saint Petersburg,-1948.402,2033.076,128.796
Moscow,-2498.307,1685.221,199.704
Munich,-829.395,653.186,49.732
Milan,-624.447,370.132,33.656
Rome,-855.261,-45.519,19.371
